place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJaw6PhdCJ_RIRVkWKo-oO2-c,CAFE LAADHARI,,False,51,,CAFE LAADHARI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMP-tQmi5PIb0f8kSKqDJ2AJoSeEsniVetUmieJ=w426-h240-k-no,Cafe,Cafe,4.1,,,,"WH57+CGM CAFE LAADHARI, Akouda",quad,https://www.google.com/maps/place/CAFE+LAADHARI/data=!4m7!3m6!1s0x12fd89d0858f0e6b:0xe7db0eeaa38a4556!8m2!3d35.9085989!4d10.563783!16s%2Fg%2F11sgz12kxg!19sChIJaw6PhdCJ_RIRVkWKo-oO2-c?authuser=0&hl=fr&rclk=1
ChIJD5RzvW2K_RIRy-9mQsfpnrE,Cafe L'osmose,,False,50,,Cafe L'osmose (proprietaire),https://www.google.com/maps/contrib/107992813047240991532,https://lh5.googleusercontent.com/p/AF1QipNknrc-av5GLaC2Ur5_a0Jddcv9KO5RH64gSo2j=w408-h306-k-no,Cafe,Cafe,4.3,06:30-00:00,,26 558 550,"Cafe L'osmose, Hammam Sousse",,https://www.google.com/maps/place/Caf%C3%A9+L%27osmose/data=!4m7!3m6!1s0x12fd8a6dbd73940f:0xb19ee9c74266efcb!8m2!3d35.8545206!4d10.6069602!16s%2Fg%2F11f3ws04sc!19sChIJD5RzvW2K_RIRy-9mQsfpnrE?authuser=0&hl=fr&rclk=1
ChIJW_Zs4RGK_RIRK0DknU-Hx_s,Cafe resto l'emeraude bleue,,False,41,,Cafe resto l'emeraude bleue (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNzSdH3gvuq2CIX85xZsVGpbVNKzFPBpkdp-5yn=w426-h240-k-no,Cafe,Cafe,4.2,08:00-22:00,,,"VJ75+Q6W Cafe resto l'emeraude bleue, Hammam Sousse",,https://www.google.com/maps/place/Caf%C3%A9+resto+l%27emeraude+bleue/data=!4m7!3m6!1s0x12fd8a11e16cf65b:0xfbc7874f9de4402b!8m2!3d35.864477!4d10.6080783!16s%2Fg%2F11c51bp7hw!19sChIJW_Zs4RGK_RIRK0DknU-Hx_s?authuser=0&hl=fr&rclk=1
ChIJg6RVypCL_RIR3_YjFYaE4do,Wakeup Salon de the,,False,34,https://www.facebook.com/Wakeupeelmenchia,Wakeup Salon de the (proprietaire),https://www.google.com/maps/contrib/112545050892843097421,https://lh5.googleusercontent.com/p/AF1QipMED--WNmjp-ALOQMCzJorSRCz8tEubiIJFskne=w425-h240-k-no,Cafe,"Cafe, Restaurant",4.8,Ouvert 24h/24,,25 228 772,"Wakeup Salon de the, Hammam Sousse 4011",,https://www.google.com/maps/place/Wakeup+Salon+de+th%C3%A9/data=!4m7!3m6!1s0x12fd8b90ca55a483:0xdae184861523f6df!8m2!3d35.858857!4d10.5995483!16s%2Fg%2F11kqqpwwqw!19sChIJg6RVypCL_RIR3_YjFYaE4do?authuser=0&hl=fr&rclk=1
ChIJlVjL7MuL_RIRJ4MY4tzQ_1g,Cafe Hilal,,False,22,,Cafe Hilal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwZqx7lFm_C9CWV0CRedqqzs8Wgi62ZqHfr5_X=w408-h306-k-no,Cafe,Cafe,4,04:30-00:00,,25 374 349,"VH8C+85R Cafe Hilal, Akouda",,https://www.google.com/maps/place/Caf%C3%A9+Hilal/data=!4m7!3m6!1s0x12fd8bcbeccb5895:0x58ffd0dce2188327!8m2!3d35.8658637!4d10.5703919!16s%2Fg%2F1td80h0b!19sChIJlVjL7MuL_RIRJ4MY4tzQ_1g?authuser=0&hl=fr&rclk=1
ChIJf8cSdhaK_RIR-8OV-xPMVGI,Cafe Africana,,False,22,,Cafe Africana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOiNUPUTh_VDFpCy_uXN42BWzm1ER1ItOuwNB1F=w408-h306-k-no,Cafe,Cafe,4,10:00-23:30,,,"VH7X+PJG Cafe Africana, Hammam Sousse",,https://www.google.com/maps/place/Caf%C3%A9+Africana/data=!4m7!3m6!1s0x12fd8a167612c77f:0x6254cc13fb95c3fb!8m2!3d35.8643132!4d10.5990673!16s%2Fg%2F11c58qqygt!19sChIJf8cSdhaK_RIR-8OV-xPMVGI?authuser=0&hl=fr&rclk=1
ChIJG97Dh4mL_RIRBunO203586I,Cafe Camorra Coffee,,False,13,,Cafe Camorra Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhl-AHaghB_BFv3VDHvqXblfPpxUmhhEgNqgo=w408-h306-k-no,Cafe,Cafe,4.5,06:00-00:00,,27 192 283,"VJ93+29C Cafe Camorra Coffee, Hammam Sousse",,https://www.google.com/maps/place/Caf%C3%A9+Camorra+Coffee/data=!4m7!3m6!1s0x12fd8b8987c3de1b:0xa2f3f94ddbcee906!8m2!3d35.8675506!4d10.6033981!16s%2Fg%2F11h037sshp!19sChIJG97Dh4mL_RIRBunO203586I?authuser=0&hl=fr&rclk=1
ChIJ_yJE9NaL_RIRB66TamhzL9M,Time Cafe,,False,11,,Time Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMqZsCHAObUqt2JYDuvPqo5G9ILKYCaTSF-4k86=w408-h544-k-no,Cafe,Cafe,4.5,06:00-00:00,,,"VHJ8+3VP Time Cafe, Rue 2 Mars, Akouda",,https://www.google.com/maps/place/Time+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8bd6f44422ff:0xd32f73686a93ae07!8m2!3d35.8802006!4d10.5672008!16s%2Fg%2F11dxnt9mwb!19sChIJ_yJE9NaL_RIRB66TamhzL9M?authuser=0&hl=fr&rclk=1
ChIJf2opw8iL_RIRXEqGkIU5Rpw,Giornale,,False,11,https://www.facebook.com/giornalecafe,Giornale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO9vMKPaESoStxfGWRAXJx5FyWjZHs9dEaQPZVW=w408-h544-k-no,Salon de the,Salon de the,5,05:00-01:00,,53 563 050,"VH88+73F Giornale, Av. de la Republique, Akouda 4022",,https://www.google.com/maps/place/Giornale/data=!4m7!3m6!1s0x12fd8bc8c3296a7f:0x9c46398590864a5c!8m2!3d35.8656784!4d10.5651724!16s%2Fg%2F11clwj0mwh!19sChIJf2opw8iL_RIRXEqGkIU5Rpw?authuser=0&hl=fr&rclk=1
ChIJ6zpLdTGK_RIRLIm3sJZIKjw,Prima Cafe,,False,10,,Prima Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNo-lo--xaDl12ZT-vRjBRmy5LcksSmtYff3XHZ=w408-h306-k-no,Cafe,Cafe,4.2,05:00-00:00,,,"VH9J+8MJ Prima Cafe, Akouda",,https://www.google.com/maps/place/Prima+Cafe/data=!4m7!3m6!1s0x12fd8a31754b3aeb:0x3c2a4896b0b7892c!8m2!3d35.8683406!4d10.5816542!16s%2Fg%2F11f0kq9bj5!19sChIJ6zpLdTGK_RIRLIm3sJZIKjw?authuser=0&hl=fr&rclk=1
