place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJEdyVXOu14hIRHmwxrPV87D0,Ivy Coffee Shop & Restaurant,,False,198,https://www.facebook.com/ivyfoodanddrink/,Ivy Coffee Shop & Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMj3eSy244TEwTF0JRgun0V8XjDzf-VfO_2Iuo9=w408-h306-k-no,Restaurant,Restaurant,4.4,09:00-22:00,lundi,71 727 452,"V8MJ+MC9 Ivy Coffee Shop & Restaurant, Rue Salambo, Marsa","brunch, cafes, serveur, burger, pancakes, oeufs benedicte, plats, pates, poke, truffe",https://www.google.com/maps/place/Ivy+Coffee+Shop+%26+Restaurant/data=!4m7!3m6!1s0x12e2b5eb5c95dc11:0x3dec7cf5ac316c1e!8m2!3d36.8841631!4d10.3311233!16s%2Fg%2F11f6g5pbcq!19sChIJEdyVXOu14hIRHmwxrPV87D0?authuser=0&hl=fr&rclk=1
ChIJGd3DTI204hIROg7jS5TeezA,Cafes BEN YEDDER La Marsa,,False,63,,Cafes BEN YEDDER La Marsa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8mmRsKPYHYgh1DqdfcMjJbZFqV-zO-JqMrTQn=w408-h534-k-no,Cafe,Cafe,4.5,06:30-20:00,,71 743 591,"Cafes BEN YEDDER La Marsa, Avenue Ali Belhouane, Marsa","prix, croissant aux amandes, gateau",https://www.google.com/maps/place/Caf%C3%A9s+BEN+YEDDER+La+Marsa/data=!4m7!3m6!1s0x12e2b48d4cc3dd19:0x307bde944be30e3a!8m2!3d36.8798834!4d10.3274926!16s%2Fg%2F1yfprvkg6!19sChIJGd3DTI204hIROg7jS5TeezA?authuser=0&hl=fr&rclk=1
ChIJ5WVpgYu04hIRoVhLTnaYNb8,Grignotine Coffee Shop,,False,53,,Grignotine Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN0pQCtrUTMW4Ie6RHM4jcPBMy3QbP_7pyUwABg=w463-h240-k-no,Cafe,Cafe,4.4,06:30-00:00,,,"Grignotine Coffee Shop, Residence Hannibal Mag CCA13 2070, Marsa","atmosphere, prix",https://www.google.com/maps/place/Grignotine+Coffee+Shop/data=!4m7!3m6!1s0x12e2b48b816965e5:0xbf3598764e4b58a1!8m2!3d36.884409!4d10.3304383!16s%2Fg%2F11f4qf0n3j!19sChIJ5WVpgYu04hIRoVhLTnaYNb8?authuser=0&hl=fr&rclk=1
ChIJGQ7Cg4u04hIR_wtdDku1d4k,PORTO COFFEE,,False,31,,PORTO COFFEE (proprietaire),https://www.google.com/maps/contrib/116735290108276847494,https://lh5.googleusercontent.com/p/AF1QipOnCNm1CRITGAhXHsPPd07AIDB2wPNRpTUSaj8I=w408-h306-k-no,Cafe,Cafe,4.3,07:00-23:00,,27 728 756,"PORTO COFFEE, plage, 2070 Rue Salambo, La Marsa 2070",prix,https://www.google.com/maps/place/PORTO+COFFEE/data=!4m7!3m6!1s0x12e2b48b83c20e19:0x8977b54b0e5d0bff!8m2!3d36.8846489!4d10.3306108!16s%2Fg%2F11c1vnkkc0!19sChIJGQ7Cg4u04hIR_wtdDku1d4k?authuser=0&hl=fr&rclk=1
ChIJIWyH9fK14hIRRrD1d2OqXkE,Da Poupee,,False,22,,Da Poupee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMOHnM1fhCNykBRFlA2CF4_29rNkW_7GDoT2_D6=w408-h240-k-no-pi-0-ya170.26497-ro-0-fo100,Cafe,Cafe,4,06:00-00:00,,54 135 202,"V8MM+42J Da Poupee, Marsa",,https://www.google.com/maps/place/Da+Poup%C3%A9e/data=!4m7!3m6!1s0x12e2b5f2f5876c21:0x415eaa6377f5b046!8m2!3d36.8828441!4d10.3325189!16s%2Fg%2F11rrpbg3nv!19sChIJIWyH9fK14hIRRrD1d2OqXkE?authuser=0&hl=fr&rclk=1
ChIJ4a-XOk214hIRwOiRhBfSlYc,Cafe le Trio,,False,19,,Cafe le Trio (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNAH3eqFacKeKO1TJvBnV34Ps3DXZy1eXpPhfs=w408-h544-k-no,Cafe,Cafe,4.9,,,,"Cafe le Trio, 102 Rue de la Mecque, Marsa",,https://www.google.com/maps/place/Caf%C3%A9+le+Trio/data=!4m7!3m6!1s0x12e2b54d3a97afe1:0x8795d2178491e8c0!8m2!3d36.8734827!4d10.3144804!16s%2Fg%2F11k4ls39gg!19sChIJ4a-XOk214hIRwOiRhBfSlYc?authuser=0&hl=fr&rclk=1
ChIJvR3s9K-14hIRQyxeD3dC_Rs,Essanawbar,,False,17,,Essanawbar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPcfTS-G8YxzAjUOFZfCTIlgsTao4kucLWP68xL=w408-h544-k-no,Salon de the,Salon de the,4.5,Ouvert 24h/24,,,"W72V+RG4 Essanawbar, Omar el Mokhtar, Marsa",,https://www.google.com/maps/place/Essanawbar/data=!4m7!3m6!1s0x12e2b5aff4ec1dbd:0x1bfd42770f5e2c43!8m2!3d36.9020033!4d10.2938405!16s%2Fg%2F11cs1_2k3h!19sChIJvR3s9K-14hIRQyxeD3dC_Rs?authuser=0&hl=fr&rclk=1
ChIJQzWTtPK04hIRNI6SjV4JI08,Cafe Lavazza,,False,12,,Cafe Lavazza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTEVaG8AHTbad8OYrvISa-tGW2PiiOCE35q2AB=w408-h544-k-no,Cafe,Cafe,4.1,06:00-00:00,,,"V8JG+3W2 Cafe Lavazza, Marsa",,https://www.google.com/maps/place/Caf%C3%A9+Lavazza/data=!4m7!3m6!1s0x12e2b4f2b4933543:0x4f23095e8d928e34!8m2!3d36.8801488!4d10.3272586!16s%2Fg%2F11dxdtlfp3!19sChIJQzWTtPK04hIRNI6SjV4JI08?authuser=0&hl=fr&rclk=1
ChIJZU0Iqvm04hIRNsO9G6pswQY,Uno Coffee,,False,5,,Uno Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFCx0eDNGXjmagoYoTySZbbCPSxgN9GD7D_iEy=w408-h544-k-no,Cafe,Cafe,4.2,06:00-00:00,,,"V8Q7+58P Uno Coffee, Baghdad St, Marsa",,https://www.google.com/maps/place/Uno+Coffee/data=!4m7!3m6!1s0x12e2b4f9aa084d65:0x6c16caa1bbdc336!8m2!3d36.8879715!4d10.3133148!16s%2Fg%2F11gd1wvs14!19sChIJZU0Iqvm04hIRNsO9G6pswQY?authuser=0&hl=fr&rclk=1
ChIJFUQfUQG14hIR2_naiybhm3g,Cafe Marsa,,False,3,,Cafe Marsa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNTf6NBq1SkVEUGqHrbDUDiiZPqbzrPCPf0PjSW=w408-h306-k-no,Cafe,Cafe,4.3,07:00-00:00,,23 389 547,"V8QC+MR3 Cafe Marsa, Marsa",,https://www.google.com/maps/place/Caf%C3%A9+Marsa/data=!4m7!3m6!1s0x12e2b501511f4415:0x789be1268bdaf9db!8m2!3d36.8891334!4d10.322058!16s%2Fg%2F11fj_jrsqy!19sChIJFUQfUQG14hIR2_naiybhm3g?authuser=0&hl=fr&rclk=1
