place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJq48ScNVu-BIRUlCpSS_sEjc,CAFE ESSID,,False,14,,CAFE ESSID (proprietaire),https://www.google.com/maps/contrib/117079135567385092788,https://lh5.googleusercontent.com/p/AF1QipPKkwZ8uEDJfIBknOLA1cb4BwI3Kmh14Yl_6NUp=w426-h240-k-no,Cafe,Cafe,4.1,,,98 718 916,"CAFE ESSID, Om Al Arais 2110",,https://www.google.com/maps/place/CAFE+ESSID/data=!4m7!3m6!1s0x12f86ed570128fab:0x3712ec2f49a95052!8m2!3d34.4914475!4d8.2643248!16s%2Fg%2F11cmcg2j88!19sChIJq48ScNVu-BIRUlCpSS_sEjc?authuser=0&hl=fr&rclk=1
ChIJh415Ltty-BIR9Rt2BzvCdc0,Cafe Eletihad,,False,11,,Cafe Eletihad (proprietaire),https://www.google.com/maps/contrib/103132881613167513788,https://lh5.googleusercontent.com/p/AF1QipNkg-sBYrGBvauk7B70iwzke-thXmg1vfBXWCoS=w408-h544-k-no,Cafe,Cafe,4.2,06:00-23:00,,29 617 936,"Cafe Eletihad, lswq lmrkzy@, Redeyef 2120",,https://www.google.com/maps/place/Caf%C3%A9+Eletihad/data=!4m7!3m6!1s0x12f872db2e798d87:0xcd75c23b07761bf5!8m2!3d34.3806424!4d8.1480084!16s%2Fg%2F11c2l7t527!19sChIJh415Ltty-BIR9Rt2BzvCdc0?authuser=0&hl=fr&rclk=1
ChIJlZcR4sdz-BIR2irOjqVf1To,cafe ELBOUHELI,,False,4,,cafe ELBOUHELI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5gDKG_ZJUU35AqiNYPf7s7DHVdwwGNEx9O1zN=w426-h240-k-no,Cafe,Cafe,5,06:00-00:00,,,"94JX+5MM cafe ELBOUHELI, Redeyef",,https://www.google.com/maps/place/caf%C3%A9+ELBOUHELI/data=!4m7!3m6!1s0x12f873c7e2119795:0x3ad55fa58ece2ada!8m2!3d34.3804524!4d8.1491867!16s%2Fg%2F11fjz7gw2m!19sChIJlZcR4sdz-BIR2irOjqVf1To?authuser=0&hl=fr&rclk=1
ChIJj60XbIJz-BIRNXM0pPRNSqs,Restaurant Le Royal Roti,,False,4,,Restaurant Le Royal Roti (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPCHk7yQLhDK2XKs8DvNWtAzRNjt4_evfVwiyHZ=w408-h544-k-no,Restaurant,Restaurant,5,,,22 033 594,"95J3+W2P Restaurant Le Royal Roti, Redeyef",,https://www.google.com/maps/place/Restaurant+Le+Royal+R%C3%B4ti/data=!4m7!3m6!1s0x12f873826c17ad8f:0xab4a4df4a4347335!8m2!3d34.3825463!4d8.152756!16s%2Fg%2F11tbs491fn!19sChIJj60XbIJz-BIRNXM0pPRNSqs?authuser=0&hl=fr&rclk=1
ChIJV2ev9TFz-BIRJ0wrGoSWot4,cafe carthage,,False,2,,cafe carthage (proprietaire),,,Cafe,Cafe,5,06:00-00:00,,46 320 191,"95WC+92J cafe carthage, Redeyef",,https://www.google.com/maps/place/caf%C3%A9+carthage/data=!4m7!3m6!1s0x12f87331f5af6757:0xdea296841a2b4c27!8m2!3d34.3959593!4d8.1700044!16s%2Fg%2F11gjt5wch9!19sChIJV2ev9TFz-BIRJ0wrGoSWot4?authuser=0&hl=fr&rclk=1
ChIJAdeZcNZz-BIRntDSL9ivztA,Salon de the Bon Kif,,False,2,,Salon de the Bon Kif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOqs6sqmatDrmSgggpUMsqzQPBbYSH5a8Wd1OCh=w408-h272-k-no,Cafe,Cafe,5,,,,"Salon de the Bon Kif, R201,, R201, Redeyef",,https://www.google.com/maps/place/Salon+de+th%C3%A9+Bon+Kif/data=!4m7!3m6!1s0x12f873d67099d701:0xd0ceafd82fd2d09e!8m2!3d34.3838891!4d8.1529107!16s%2Fg%2F11r3m5j4h_!19sChIJAdeZcNZz-BIRntDSL9ivztA?authuser=0&hl=fr&rclk=1
ChIJE7zfprNz-BIR-yeTbe8J5us,Cafe nasser mqh~ lnSr l`Zym,,False,2,http://www.copyright.gov/,Cafe nasser mqh~ lnSr l`Zym (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPcG4rqbJdqysuGWi7Ql9jwKDYukX64w-TnGBDB=w408-h544-k-no,Cafe,Cafe,4.5,,,24 349 061,"95P6+7FF Cafe nasser mqh~ lnSr l`Zym, Redeyef",,https://www.google.com/maps/place/Caf%C3%A9+nasser+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1+%D8%A7%D9%84%D8%B9%D8%B8%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12f873b3a6dfbc13:0xebe609ef6d9327fb!8m2!3d34.3856827!4d8.1611703!16s%2Fg%2F11h1kjqcbf!19sChIJE7zfprNz-BIR-yeTbe8J5us?authuser=0&hl=fr&rclk=1
ChIJLV4lIutz-BIRpF5k3UZO9cA,qhw@ `mr rwyys,,False,1,,qhw@ `mr rwyys (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7QRFE1ImlIpc48uyKWMTO9hhTG-Ar0nnG7p76=w408-h306-k-no,Cafe,Cafe,5,,,,"C53F+64X qhw@ `mr rwyys, C201, Al-Rudayyif",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%B9%D9%85%D8%A7%D8%B1+%D8%B1%D9%88%D9%8A%D9%8A%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x12f873eb22255e2d:0xc0f54e46dd645ea4!8m2!3d34.4031066!4d8.1728535!16s%2Fg%2F11hdr8btzz!19sChIJLV4lIutz-BIRpF5k3UZO9cA?authuser=0&hl=fr&rclk=1
ChIJ0-djo81z-BIRAFs9woYT8uA,Ali makroune,,False,1,,Ali makroune (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMalZz9fW3QnzKr8aPA7tmsAWshQG4Vub_bUdwD=w408-h544-k-no,Cafe,Cafe,5,06:00-01:45,,,"94HW+9W2 Ali makroune, Redeyef",,https://www.google.com/maps/place/Ali+makroune/data=!4m7!3m6!1s0x12f873cda363e7d3:0xe0f21386c23d5b00!8m2!3d34.3783999!4d8.1472692!16s%2Fg%2F11js4clrsf!19sChIJ0-djo81z-BIRAFs9woYT8uA?authuser=0&hl=fr&rclk=1
ChIJL3N2Rb1z-BIR1jmiUAFcftI,Restaurant La Grinta,,False,1,,Restaurant La Grinta (proprietaire),,,Restaurant,Restaurant,5,07:00-20:00,,,"95J2+F44 Restaurant La Grinta, place Chohadaa, Redeyef",,https://www.google.com/maps/place/Restaurant+La+Grinta/data=!4m7!3m6!1s0x12f873bd4576732f:0xd27e5c0150a239d6!8m2!3d34.3811301!4d8.1503159!16s%2Fg%2F11kzvq388x!19sChIJL3N2Rb1z-BIR1jmiUAFcftI?authuser=0&hl=fr&rclk=1
