place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTa1hf29Z-xIRuYPOLnkd-H8,Beja,,False,47,,Beja (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrF_ALhB3q4ItuPk3Sj53LKEBF-zj8yHPjh6rf=w408-h306-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,25 940 244,"Beja, 9010",,https://www.google.com/maps/place/B%C3%A9ja/data=!4m7!3m6!1s0x12fb596f7f61ad4d:0x7ff81d792ece83b9!8m2!3d36.7333148!4d9.1844357!16s%2Fg%2F11gmxk078t!19sChIJTa1hf29Z-xIRuYPOLnkd-H8?authuser=0&hl=fr&rclk=1
ChIJazP1oXpY-xIRAnL-jqzxo-Y,Cafe Panorama,,False,24,,Cafe Panorama (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQBK4yYnVXlTpLRiTc2-085hvMosLtIjI-RSAB=w426-h240-k-no,Cafe,Cafe,4.1,07:00-23:00,,,"P5QJ+C3R Cafe Panorama, Beja",,https://www.google.com/maps/place/Cafe+Panorama/data=!4m7!3m6!1s0x12fb587aa1f5336b:0xe6a3f1ac8efe7202!8m2!3d36.7386199!4d9.180146!16s%2Fg%2F1pt_n7rbl!19sChIJazP1oXpY-xIRAnL-jqzxo-Y?authuser=0&hl=fr&rclk=1
ChIJ1RSJM7ZZ-xIRizw9IM5AbVk,Cosmos Coffee & Events,,False,20,,Cosmos Coffee & Events (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6JdlrZ4HGZU7fNWfnmOnGY4SVjABGrPsnwoYf=w408-h544-k-no,Cafe,Cafe,4,07:00-00:00,,26 289 990,"Cosmos Coffee & Events, Rue amdoun kilometer 2",,https://www.google.com/maps/place/Cosmos+Coffee+%26+Events/data=!4m7!3m6!1s0x12fb59b6338914d5:0x596d40ce203d3c8b!8m2!3d36.7424248!4d9.1781488!16s%2Fg%2F11jgdf1cq_!19sChIJ1RSJM7ZZ-xIRizw9IM5AbVk?authuser=0&hl=fr&rclk=1
ChIJZWhdcYFY-xIR_NtO1EUHiaA,Cafe Golden River,,False,15,,Cafe Golden River (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPoZicTluN8DxG5IAwIdhBeE3tTMIBYP-htuqPN=w408-h544-k-no,Cafe,Cafe,4.1,Ouvert 24h/24,,22 747 922,"P5FP+9JW Cafe Golden River, Beja",,https://www.google.com/maps/place/Caf%C3%A9+Golden+River/data=!4m7!3m6!1s0x12fb5881715d6865:0xa0890745d44edbfc!8m2!3d36.7234756!4d9.1865871!16s%2Fg%2F11cmzl6vcq!19sChIJZWhdcYFY-xIR_NtO1EUHiaA?authuser=0&hl=fr&rclk=1
ChIJS9CskIFY-xIRBAECXsCPxYw,Cafe Marwani,,False,13,,Cafe Marwani (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPj-omQ1MM2Vo4VVr7ht6XwggDTx8tPNoaJbN4h=w408-h307-k-no,Cafe,Cafe,4.2,06:00-23:00,,,"P5FQ+755 Cafe Marwani, Av. de France, Beja",,https://www.google.com/maps/place/Caf%C3%A9+Marwani/data=!4m7!3m6!1s0x12fb588190acd04b:0x8cc58fc05e020104!8m2!3d36.7231336!4d9.1879711!16s%2Fg%2F11b6_njxzy!19sChIJS9CskIFY-xIRBAECXsCPxYw?authuser=0&hl=fr&rclk=1
ChIJ_60uinxY-xIRtIQ0hYDy8ZA,Patesserie Mozart,,False,11,,Patesserie Mozart (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkSE8ZMZ9pQ6U1zQH2YyriYeEIg8TMpb1cQZsq=w408-h544-k-no,Restaurant,Restaurant,4,06:00-21:00,,92 105 648,"P5MJ+2G5 Patesserie Mozart, Beja",,https://www.google.com/maps/place/Patesserie+Mozart/data=!4m7!3m6!1s0x12fb587c8a2eadff:0x90f1f280853484b4!8m2!3d36.7325126!4d9.1813513!16s%2Fg%2F11g9dl9n95!19sChIJ_60uinxY-xIRtIQ0hYDy8ZA?authuser=0&hl=fr&rclk=1
ChIJM17MaoFY-xIRmlmbMmAga58,Cafe Champs-Elysees,,False,7,,Cafe Champs-Elysees (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNqMvrqRQ-w5PHvhCjXWOzVZQ48JujW-AIl8b2f=w408-h544-k-no,Cafe,Cafe,4.1,08:00-23:00,,,"P5FP+G9G Cafe Champs-Elysees, Beja",,https://www.google.com/maps/place/Caf%C3%A9+Champs-%C3%89lys%C3%A9es/data=!4m7!3m6!1s0x12fb58816acc5e33:0x9f6b2060329b599a!8m2!3d36.7238103!4d9.185946!16s%2Fg%2F1hc3_4f8t!19sChIJM17MaoFY-xIRmlmbMmAga58?authuser=0&hl=fr&rclk=1
ChIJWfD02YZY-xIR23VDKV6pG_Y,mqh~ ltwt@ _mqh~ bwthlj@ (lHsb tHt ltwt@),,False,5,,mqh~ ltwt@ _mqh~ bwthlj@ (lHsb tHt ltwt@) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMTsVClD_AD8VqWsycNAB-mLUO7hTgLXP1dU_Fp=w408-h612-k-no,Cafe,Cafe,4.6,04:00-22:00,,31 539 410,"P5GM+2C9 mqh~ ltwt@ _mqh~ bwthlj@ (lHsb tHt ltwt@), Rue Kheireddine Pacha, Beja",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%AA%D9%88%D8%AA%D8%A9+_%D9%85%D9%82%D9%87%D9%89+%D8%A8%D9%88%D8%AB%D9%84%D8%AC%D8%A9+%28%D9%84%D8%AD%D8%B3%D8%A7%D8%A8+%D8%AA%D8%AD%D8%AA+%D8%A7%D9%84%D8%AA%D9%88%D8%AA%D8%A9%29%E2%80%AD/data=!4m7!3m6!1s0x12fb5886d9f4f059:0xf61ba95e294375db!8m2!3d36.7250413!4d9.1835977!16s%2Fg%2F11gfmbhx44!19sChIJWfD02YZY-xIR23VDKV6pG_Y?authuser=0&hl=fr&rclk=1
ChIJH4JI0YKn_BIR2Nl54l_j5M0,King bouza,,False,5,,King bouza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPUO8DOk2wNzrneDzfucag-5lXfi2dbzvJGswVz=w408-h544-k-no,Cafe,Cafe,4.2,09:00-00:00,,,"P5VR+277 King bouza, Beja",,https://www.google.com/maps/place/King+bouza/data=!4m7!3m6!1s0x12fca782d148821f:0xcde4e35fe279d9d8!8m2!3d36.7426097!4d9.1906871!16s%2Fg%2F11s617dvf0!19sChIJH4JI0YKn_BIR2Nl54l_j5M0?authuser=0&hl=fr&rclk=1
ChIJN4S-y5Gn_BIRaQrIXzjd3Fk,Salon de the l ocean,,False,5,,Salon de the l ocean (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNGTPr5QWbxoMrTjOWEkrhX6wvl9_urq_m9VeT_=w408-h544-k-no,Cafe,Cafe,5,,,,"P6H2+8G9 Salon de the l ocean, Beja",,https://www.google.com/maps/place/Salon+de+th%C3%A9+l+ocean/data=!4m7!3m6!1s0x12fca791cbbe8437:0x59dcdd385fc80a69!8m2!3d36.728295!4d9.2013504!16s%2Fg%2F11t2b8spzw!19sChIJN4S-y5Gn_BIRaQrIXzjd3Fk?authuser=0&hl=fr&rclk=1
