place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDe_dzcoWAhMR5KkZ5JgZmG8,Cafe de l'Excellence,,False,24,,Cafe de l'Excellence (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJbO5WOMeuY1gRY5ikvEjHGfia0UjXLK2yxqQi=w408-h544-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,,"MV5R+67F Cafe de l'Excellence, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+de+l%27Excellence/data=!4m7!3m6!1s0x130216cacdddef0d:0x6f981998e419a9e4!8m2!3d35.6580503!4d10.8906627!16s%2Fg%2F11b6wghy32!19sChIJDe_dzcoWAhMR5KkZ5JgZmG8?authuser=0&hl=fr&rclk=1
ChIJy8JAyLQWAhMRBImw9T_1pM4,Cafe de Paris,,False,22,,Cafe de Paris (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPB-nHmvj_-DBbJFLni7BWPS3vKH5sUgzjRHwkr=w426-h240-k-no,Cafe,Cafe,4.2,08:00-23:00,,,"MV7R+H84 Cafe de Paris, Av. 14 Janvier 2011, Sayada",,https://www.google.com/maps/place/Caf%C3%A9+de+Paris/data=!4m7!3m6!1s0x130216b4c840c2cb:0xcea4f53ff5b08904!8m2!3d35.6638889!4d10.8908333!16s%2Fg%2F11r99zdyb!19sChIJy8JAyLQWAhMRBImw9T_1pM4?authuser=0&hl=fr&rclk=1
ChIJVQl9Tm89AhMRf--BNDlXztM,Salon de The l'AQUARIUM,,False,20,,Salon de The l'AQUARIUM (proprietaire),https://www.google.com/maps/contrib/101474117539679737175,https://lh5.googleusercontent.com/p/AF1QipNE_QcUNMjdLcgi6xpNzuhXfGtrcYloLfs9Df7b=w408-h244-k-no,Cafe,Cafe,4.1,07:00-00:00,,97 097 128,"Salon de The l'AQUARIUM, Bekalta",,https://www.google.com/maps/place/Salon+de+Th%C3%A9+l%27AQUARIUM/data=!4m7!3m6!1s0x13023d6f4e7d0955:0xd3ce57393481ef7f!8m2!3d35.6130686!4d10.9928864!16s%2Fg%2F1hd_c7qym!19sChIJVQl9Tm89AhMRf--BNDlXztM?authuser=0&hl=fr&rclk=1
ChIJcV62TSsWAhMRigztCXYbzUY,Amsterdam cafe,,False,18,,Amsterdam cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWX_Z67Rh6k5726gNwB1bstt7s_qelmQQfLGRH=w408-h306-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,,"JXJG+78Q Amsterdam cafe, Tabulbah",,https://www.google.com/maps/place/Amsterdam+caf%C3%A9/data=!4m7!3m6!1s0x1302162b4db65e71:0x46cd1b7609ed0c8a!8m2!3d35.6307113!4d10.9758723!16s%2Fg%2F11c685s349!19sChIJcV62TSsWAhMRigztCXYbzUY?authuser=0&hl=fr&rclk=1
ChIJPdCh-jARAhMRPyCCe05B9z8,Cafe Delice,,False,18,,Cafe Delice (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPVrVdKeZBbyOMr85oaeerQvJLXA88a6hClgOVn=w408-h725-k-no,Cafe,Cafe,4.1,06:00-23:30,,,"MV3J+7FR Cafe Delice, Ksar Hellal",,https://www.google.com/maps/place/Cafe+Delice/data=!4m7!3m6!1s0x13021130faa1d03d:0x3ff7414e7b82203f!8m2!3d35.6532394!4d10.8811298!16s%2Fg%2F11c51dg3ky!19sChIJPdCh-jARAhMRPyCCe05B9z8?authuser=0&hl=fr&rclk=1
ChIJ10TDxKwWAhMRYcnuFuOwrHw,Cafe du Port,,False,17,,Cafe du Port (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwq0R5oE94ECq70KUNZ4ne-MyWQmeTxkxBd8nf=w408-h544-k-no,Cafe,Cafe,4.3,05:00-22:00,,,"MVFR+JFG Cafe du Port, Rue Jawher Essikili, Sayada",,https://www.google.com/maps/place/Caf%C3%A9+du+Port/data=!4m7!3m6!1s0x130216acc4c344d7:0x7cacb0e316eec961!8m2!3d35.6740722!4d10.8911962!16s%2Fg%2F1th896xh!19sChIJ10TDxKwWAhMRYcnuFuOwrHw?authuser=0&hl=fr&rclk=1
ChIJ1RqpGykXAhMRUaEszSgd_b0,Cafe Essalem,,False,15,,Cafe Essalem (proprietaire),https://www.google.com/maps/contrib/100667905625824520084,https://lh5.googleusercontent.com/p/AF1QipPV-MCHd4g8gWDeUb8VJEsoV3oUZQEMLcl5GMa9=w408-h306-k-no,Cafe,Cafe,4.2,05:00-23:00,,53 728 608,"Cafe Essalem, 06 Rue Salah Eddine Ayoubie, Moknine 5050",,https://www.google.com/maps/place/Caf%C3%A9+Essalem/data=!4m7!3m6!1s0x130217291ba91ad5:0xbdfd1d28cd2ca151!8m2!3d35.6342413!4d10.8967713!16s%2Fg%2F1vq8945s!19sChIJ1RqpGykXAhMRUaEszSgd_b0?authuser=0&hl=fr&rclk=1
ChIJsR59WfU8AhMRRy4uwWWIKz0,Restaurant Thapsus (Restaurant Du Port De Bekalta ),,False,13,,Restaurant Thapsus (Restaurant Du Port De Bekalta ) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPtaKwilrB89DtQjEucnsRcnSuI0OY5Fmd-2pPj=w408-h306-k-no,Restaurant,Restaurant,4.5,10:00-22:00,,,J2FX+C3C Restaurant Thapsus (Restaurant Du Port De Bekalta ),,https://www.google.com/maps/place/Restaurant+Thapsus+%28Restaurant+Du+Port+De+Bekalta+%29/data=!4m7!3m6!1s0x13023cf5597d1eb1:0x3d2b8865c12e2e47!8m2!3d35.6235518!4d11.0476277!16s%2Fg%2F11g9r5y0nm!19sChIJsR59WfU8AhMRRy4uwWWIKz0?authuser=0&hl=fr&rclk=1
ChIJ61bHa3A9AhMRpzw7MeceAhk,Hamada cafe,,False,12,,Hamada cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN2NdNYhwBrp5Qdbe83_JinEW_oYcODVdHFCZq9=w408-h306-k-no,Cafe,Cafe,4,05:00-20:00,,,"JX9V+V7M Hamada cafe, Bekalta",,https://www.google.com/maps/place/Hamada+cafe/data=!4m7!3m6!1s0x13023d706bc756eb:0x19021ee7313b3ca7!8m2!3d35.6197187!4d10.9931809!16s%2Fg%2F1v2sj67q!19sChIJ61bHa3A9AhMRpzw7MeceAhk?authuser=0&hl=fr&rclk=1
ChIJIZ9ngfoRAhMRiGv6ToXi240,Cafe Hugo Said,,False,10,,Cafe Hugo Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMbADRaKjZ-qOaPwShKdvkEptG5k2fQ7apdWd7o=w408-h306-k-no,Cafe,"Cafe, Restaurant",4.3,Ouvert 24h/24,,,"MV3Q+7Q4 Cafe Hugo Said, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+Hugo+Sa%C3%AFd/data=!4m7!3m6!1s0x130211fa81679f21:0x8ddbe2854efa6b88!8m2!3d35.6531383!4d10.8894671!16s%2Fg%2F11pz51wx06!19sChIJIZ9ngfoRAhMRiGv6ToXi240?authuser=0&hl=fr&rclk=1
