place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJj2ktCLgf4xIRDKQi0PH4RHc,Java Coffee,,False,22,,Java Coffee (proprietaire),https://www.google.com/maps/contrib/103924145872188192154,https://lh5.googleusercontent.com/p/AF1QipNSZdHVGtBcbxQi6XUgmyClFUf0-dYuborstsK_=w408-h306-k-no,Salon de the,Salon de the,4.6,06:00-22:00,,52 799 399,"Java Coffee, Av. OMAR EL MOKHTAR, Bizerte",petit dejeuner,https://www.google.com/maps/place/Java+Coffee/data=!4m7!3m6!1s0x12e31fb8082d698f:0x7744f8f1d022a40c!8m2!3d37.2895462!4d9.8632198!16s%2Fg%2F11lg2s9nsw!19sChIJj2ktCLgf4xIRDKQi0PH4RHc?authuser=0&hl=fr&rclk=1
ChIJeaIUK0Qf4xIRiM-rBvhaT48,Floria coffee shop,,False,21,http://www.floriacoffee.tn/,Floria coffee shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNTCXOl0ze5Xy8JUzWnLI1x02ixlTY5MTY1OCVn=w408-h544-k-no,Cafe,Cafe,4.4,08:00-00:00,,20 801 801,"7VQ9+GJR Floria coffee shop, Bizerte",,https://www.google.com/maps/place/Floria+coffee+shop/data=!4m7!3m6!1s0x12e31f442b14a279:0x8f4f5af806abcf88!8m2!3d37.288854!4d9.8690268!16s%2Fg%2F11k6ylkvtr!19sChIJeaIUK0Qf4xIRiM-rBvhaT48?authuser=0&hl=fr&rclk=1
ChIJmcBqxKQf4xIRXtAVqcwvJsI,"Cafe et hotel el Medina, Bizerte",,False,21,,"Cafe et hotel el Medina, Bizerte (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipN1sBufMrwITUSU2SQtQhF5cGvdumj-x0ypkf6W=w533-h240-k-no,Cafe,Cafe,4.2,,,22 807 649,"Cafe et hotel el Medina, Bizerte, jm` lqSb@, Bizerte 7000",,"https://www.google.com/maps/place/Caf%C3%A9+et+hotel+el+Medina,+Bizerte/data=!4m7!3m6!1s0x12e31fa4c46ac099:0xc2262fcca915d05e!8m2!3d37.2788325!4d9.8748416!16s%2Fg%2F11sgzbg3bd!19sChIJmcBqxKQf4xIRXtAVqcwvJsI?authuser=0&hl=fr&rclk=1"
ChIJA3hwn1ge4xIR31Grxp6u1BM,london cafe,,False,19,,london cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMeHVCDRPziq8PWbRuE_xheLFSKha4dMvujHIOE=w408-h306-k-no,Cafe,Cafe,4.2,08:00-23:30,,,"7VM4+PXW london cafe, Unnamed Road, Bizerte",,https://www.google.com/maps/place/london+cafe/data=!4m7!3m6!1s0x12e31e589f707803:0x13d4ae9ec6ab51df!8m2!3d37.2843661!4d9.8574611!16s%2Fg%2F11c6d9mr5b!19sChIJA3hwn1ge4xIR31Grxp6u1BM?authuser=0&hl=fr&rclk=1
ChIJM92LuUge4xIRq6Gx0EZTTm0,cafe restaurant chot,,False,19,https://www.facebook.com/cafe.chot,cafe restaurant chot (proprietaire),https://www.google.com/maps/contrib/106042941664416222775,https://lh5.googleusercontent.com/p/AF1QipMePljrWj6K3JzI1Se9KY1GFekpYi40lDoLHRLJ=w408-h544-k-no,Salon de the,Salon de the,4.4,08:00-22:00,,55 891 298,"cafe restaurant chot, Harbor Drive, Bizerte 7000",,https://www.google.com/maps/place/cafe+restaurant+chot/data=!4m7!3m6!1s0x12e31e48b98bdd33:0x6d4e5346d0b1a1ab!8m2!3d37.2779304!4d9.8746509!16s%2Fg%2F11dx8hwfbp!19sChIJM92LuUge4xIRq6Gx0EZTTm0?authuser=0&hl=fr&rclk=1
ChIJlT5sPYUf4xIRs9b0jWha18I,Cafe Cite Hached,,False,19,,Cafe Cite Hached (proprietaire),https://www.google.com/maps/contrib/103687365308911256022,https://lh5.googleusercontent.com/p/AF1QipNcu4TDgWwhQ0VUg7VTnKLwGqNwQtNWz8mBopHg=w408-h306-k-no,Cafe,Cafe,4.2,,,,"Cafe Cite Hached, cite Hached, Bizerte 7001",,https://www.google.com/maps/place/Caf%C3%A9+Cit%C3%A9+Hached/data=!4m7!3m6!1s0x12e31f853d6c3e95:0xc2d75a688df4d6b3!8m2!3d37.2651387!4d9.8426259!16s%2Fg%2F11j4_r9zyz!19sChIJlT5sPYUf4xIRs9b0jWha18I?authuser=0&hl=fr&rclk=1
ChIJbz_Nc4se4xIRwXAyDP-ytSc,Cafe Morjen,,False,17,,Cafe Morjen (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNzSS5v-ReKHcUgHyomDuq8bMnGW-_oj7ifGfnU=w408-h306-k-no,Cafe,Cafe,4.6,06:00-23:30,,70 030 380,"7VV3+73J Cafe Morjen, Unnamed Road,, Bizerte",,https://www.google.com/maps/place/Cafe+Morjen/data=!4m7!3m6!1s0x12e31e8b73cd3f6f:0x27b5b2ff0c3270c1!8m2!3d37.2934973!4d9.8526528!16s%2Fg%2F11c5176t9g!19sChIJbz_Nc4se4xIRwXAyDP-ytSc?authuser=0&hl=fr&rclk=1
ChIJaQAAAFQe4xIRMtAg4fhJvb0,cafe mattino,,False,15,,cafe mattino (proprietaire),https://www.google.com/maps/contrib/114330379727082353088,https://lh5.googleusercontent.com/p/AF1QipPA3ZtLFKiW1c8TMppgyP0UTI_pgllVTpKEUyAs=w427-h240-k-no,Cafe,Cafe,4.1,06:00-23:30,,72 416 036,"cafe mattino, Bizerte",,https://www.google.com/maps/place/caf%C3%A9+mattino/data=!4m7!3m6!1s0x12e31e5400000069:0xbdbd49f8e120d032!8m2!3d37.2921164!4d9.8671454!16s%2Fg%2F11csrtbyyf!19sChIJaQAAAFQe4xIRMtAg4fhJvb0?authuser=0&hl=fr&rclk=1
ChIJhex45tcf4xIRmMCZuT8Q3dk,Bloom,,False,14,,Bloom (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMZTCJKJVN5Jy-5KXx6toPpv5Xz3iNCpFOVSBMY=w408-h408-k-no,Cafeteria,"Cafeteria, Salon de the",4.6,07:00-23:00,,94 036 378,"7VX9+62F Bloom, La Corniche, Bizerte 7000",,https://www.google.com/maps/place/Bloom/data=!4m7!3m6!1s0x12e31fd7e678ec85:0xd9dd103fb999c098!8m2!3d37.2980605!4d9.867562!16s%2Fg%2F11rcmjlmhj!19sChIJhex45tcf4xIRmMCZuT8Q3dk?authuser=0&hl=fr&rclk=1
ChIJAzFUvUwe4xIRnmtRU2BTfjw,Cafe Le coin,,False,12,,Cafe Le coin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO__CdtKfd8i0JIFoduragMBCsVtGfpzs2kw8rq=w408-h306-k-no,Cafe,Cafe,4.5,06:00-22:00,,,"7V9F+V7Q Cafe Le coin, Bizerte",,https://www.google.com/maps/place/Caf%C3%A9+Le+coin/data=!4m7!3m6!1s0x12e31e4cbd543103:0x3c7e536053516b9e!8m2!3d37.2697007!4d9.8732238!16s%2Fg%2F11c1lz7yhl!19sChIJAzFUvUwe4xIRnmtRU2BTfjw?authuser=0&hl=fr&rclk=1
