place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJnfGkbZ604hIRFHo1zFvlBCU,Kahoua El Alia,,False,409,https://www.facebook.com/Cafe.Culturel.El.Aliya.La.Marsa,Kahoua El Alia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqQoh62Zk6U1vWcz2nCj0mUerq4C5eKeofXGD-=w408-h544-k-no,Salon de the,Salon de the,4,08:00-20:00,,,"Kahoua El Alia, Cafe des Nattes, Site archeologique de Carthage","touristes, vue, chicha, espace, jus, mer, the a la menthe, dinar, payer, amande",https://www.google.com/maps/place/Kahoua+El+Alia/data=!4m7!3m6!1s0x12e2b49e6da4f19d:0x2504e55bcc357a14!8m2!3d36.871108!4d10.3481667!16s%2Fg%2F1hd_2v7tp!19sChIJnfGkbZ604hIRFHo1zFvlBCU?authuser=0&hl=fr&rclk=1
ChIJAQAAAJm04hIRf3fotEs7aBk,Art Cafe,,False,164,https://best--restaurants.blogspot.com/,Art Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOIii0bMIzu44hppLx62MXKrsETAUaT1DdvRUql=w408-h544-k-no,Cafe,Cafe,4.2,08:00-01:00,,,"V8CX+824 Art Cafe, Rue du 2 Mars 1934, Carthage","vue, prix, terrasse, toit, pignons, menthe, serveur, est",https://www.google.com/maps/place/Art+Caf%C3%A9/data=!4m7!3m6!1s0x12e2b49900000001:0x19683b4bb4e8777f!8m2!3d36.8707628!4d10.347574!16s%2Fg%2F11by_dnq1c!19sChIJAQAAAJm04hIRf3fotEs7aBk?authuser=0&hl=fr&rclk=1
ChIJ32efukO14hIRkff1o3Jxxwo,Les Indecis,,False,154,,Les Indecis (proprietaire),https://www.google.com/maps/contrib/115881096576841917839,https://lh5.googleusercontent.com/p/AF1QipOW7l9HLlUWK5A07GmbnRzlGZlnnGibojr9mgtw=w408-h725-k-no,Restaurant,"Restaurant, Cafe",4.9,"09:00-17:30, 18:30-00:00",lundi,56 574 949,"Les Indecis, Lycee carthage dermech, 4 Rue Hanon, Tunis","atmosphere, cafes, vegetariens, voyage, jus, musique, houmous, architecture d'interieur, thon",https://www.google.com/maps/place/Les+Ind%C3%A9cis/data=!4m7!3m6!1s0x12e2b543ba9f67df:0xac77172a3f5f791!8m2!3d36.8491293!4d10.3272069!16s%2Fg%2F11shsz_vmz!19sChIJ32efukO14hIRkff1o3Jxxwo?authuser=0&hl=fr&rclk=1
ChIJtXue95604hIRJsGZwpv8QtM,Cafe Sidi Azizi,,False,116,,Cafe Sidi Azizi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO9JDiNoMhrhWZ4TILW0D9acqOuvIm3LZSm0dye=w408-h306-k-no,Cafe,Cafe,4.1,06:30-00:00,,,"V8CW+2PQ Cafe Sidi Azizi, Site archeologique de Carthage",terrasse,https://www.google.com/maps/place/Caf%C3%A9+Sidi+Azizi/data=!4m7!3m6!1s0x12e2b49ef79e7bb5:0xd342fc9bc299c126!8m2!3d36.8700775!4d10.3468711!16s%2Fg%2F11c5svg4km!19sChIJtXue95604hIRJsGZwpv8QtM?authuser=0&hl=fr&rclk=1
ChIJA2Z9gby04hIRRf2P5CJB3uM,Gate14 TN,,False,70,https://facebook.com/Gate14TN,Gate14 TN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9u1vf-RVrJ30b3jQ3e8SDjH1Qej3UAHj2a-OY=w408-h544-k-no,Cafe,Cafe,4.4,07:00-00:00,dimanche,71 776 065,"V87P+29G Gate14 TN, Rue Saint Cyprien, Carthage","prix, quesadillas, cheesecake",https://www.google.com/maps/place/Gate14+TN/data=!4m7!3m6!1s0x12e2b4bc817d6603:0xe3de4122e48ffd45!8m2!3d36.8625559!4d10.3359645!16s%2Fg%2F11byxfqbys!19sChIJA2Z9gby04hIRRf2P5CJB3uM?authuser=0&hl=fr&rclk=1
ChIJo3Un2GO14hIR2j2ybcfQnTw,Galerie Cafe,,False,31,,Galerie Cafe (proprietaire),https://www.google.com/maps/contrib/104295371625355389034,https://lh5.googleusercontent.com/p/AF1QipPzL00pJLGijCwZmHjyIxOdV7zQKq41SU8P_6vD=w408-h306-k-no,Cafe,"Cafe, Galerie d'art",4.6,07:00-00:00,,,"Galerie Cafe, Residence L'Horizon, Local M5 et M4, Avenue Jugurtha, Tunis 1090",noisette,https://www.google.com/maps/place/Galerie+Caf%C3%A9/data=!4m7!3m6!1s0x12e2b563d82775a3:0x3c9dd0c76db23dda!8m2!3d36.8471627!4d10.2995621!16s%2Fg%2F11rf7pnz81!19sChIJo3Un2GO14hIR2j2ybcfQnTw?authuser=0&hl=fr&rclk=1
ChIJX_3-syu14hIRH-e-jiFpsBU,iber Pastry & Coffee,,False,29,,iber Pastry & Coffee (proprietaire),https://www.google.com/maps/contrib/108021959156279440538,https://lh5.googleusercontent.com/p/AF1QipO5WuBup65Q6my9yVNiDQbbCgyMzIL3nviw3B8_=w408-h315-k-no,Cafe,Cafe,4.5,07:00-23:45,,36 317 744,"iber Pastry & Coffee, iber Residence l'Arche de Carthage - C2 twns, 2045",cake,https://www.google.com/maps/place/ib%C3%A9r+Pastry+%26+Coffee/data=!4m7!3m6!1s0x12e2b52bb3fefd5f:0x15b069218ebee71f!8m2!3d36.8529247!4d10.3017331!16s%2Fg%2F11dxchnr9p!19sChIJX_3-syu14hIRH-e-jiFpsBU?authuser=0&hl=fr&rclk=1
ChIJ9culqo604hIRdNcYl4abPnM,Cafe Jimmy's,,False,23,,Cafe Jimmy's (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPzRwhadCbeQ98qKcAM1fj6a681krR1hRAeTg35=w408-h306-k-no,Cafe specialise dans les boissons expresso,Cafe specialise dans les boissons expresso,4.1,06:00-23:55,,,"V8MM+G5H Cafe Jimmy's, Carthage",,https://www.google.com/maps/place/Caf%C3%A9+Jimmy%27s/data=!4m7!3m6!1s0x12e2b48eaaa5cbf5:0x733e9b869718d774!8m2!3d36.8838216!4d10.3329755!16s%2Fg%2F11bztqr4_d!19sChIJ9culqo604hIRdNcYl4abPnM?authuser=0&hl=fr&rclk=1
ChIJAe0sb5604hIRJ6ljrXH5Uko,Cafe Essaad,,False,18,,Cafe Essaad (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-S7R7iMU5GhFeDgStC3RiqE-MagQM7SkOB-Pk=w532-h240-k-no,Cafe,Cafe,4.4,08:00-00:00,,20 668 895,"V8CX+942 Cafe Essaad, Imp. Dabbagh, Site archeologique de Carthage",,https://www.google.com/maps/place/Caf%C3%A9+Essaad/data=!4m7!3m6!1s0x12e2b49e6f2ced01:0x4a52f971ad63a927!8m2!3d36.8708868!4d10.3477596!16s%2Fg%2F11g6_d6cbd!19sChIJAe0sb5604hIRJ6ljrXH5Uko?authuser=0&hl=fr&rclk=1
ChIJn8oq95C04hIRChTU9eZSPhE,Cafe Sidi Dhrif,,False,16,,Cafe Sidi Dhrif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkM33B1OylXMCcbqMfTpcDJpfWGdNQJatXRBFG=w513-h240-k-no,Cafe,Cafe,4.1,07:00-00:00,,,"V8GP+3MV Cafe Sidi Dhrif, Site archeologique de Carthage",,https://www.google.com/maps/place/Caf%C3%A9+Sidi+Dhrif/data=!4m7!3m6!1s0x12e2b490f72aca9f:0x113e52e6f5d4140a!8m2!3d36.8752356!4d10.3366729!16s%2Fg%2F11dxs12m14!19sChIJn8oq95C04hIRChTU9eZSPhE?authuser=0&hl=fr&rclk=1
