place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQzNhCDWPARMRHC1r5FjmHiM,Cafe Casino,,False,22,,Cafe Casino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmjkZPaaq2vEN3uVODrJ-6yMivXixpq3HmGLne=w408-h306-k-no,Cafe,Cafe,4,,,,"64RQ+MRV Cafe Casino, Chebba",,https://www.google.com/maps/place/Cafe+Casino/data=!4m7!3m6!1s0x13018f3508613343:0x231ee658e46b2d1c!8m2!3d35.2417475!4d11.1395588!16s%2Fg%2F11hzrnf8zg!19sChIJQzNhCDWPARMRHC1r5FjmHiM?authuser=0&hl=fr&rclk=1
ChIJI2wUrsmRARMRoKbHxFf55Ss,MY STORY Coffee Resto,,False,20,https://www.facebook.com/mystory.coffee.resto1/,MY STORY Coffee Resto (proprietaire),https://www.google.com/maps/contrib/111046396319855157686,https://lh5.googleusercontent.com/p/AF1QipPefF3eKPhgr_Bdkja6AjPmLkixWnLsGmURhNKC=w408-h306-k-no,Salon de the,"Salon de the, Restaurant",4.6,08:30-00:00,,22 153 154,"MY STORY Coffee Resto, Rue de port 150m de, Borj Khadija, Chebba 5170",petit dejeuner,https://www.google.com/maps/place/MY+STORY+Coffee+Resto/data=!4m7!3m6!1s0x130191c9ae146c23:0x2be5f957c4c7a6a0!8m2!3d35.2340313!4d11.155316!16s%2Fg%2F11pkkn794q!19sChIJI2wUrsmRARMRoKbHxFf55Ss?authuser=0&hl=fr&rclk=1
ChIJwQfDf82PARMR5lZpGitUSUM,La Cantine Royale,,False,13,,La Cantine Royale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrZwi9KxidYHMlIhhWLf_dwC6LihAo-O7XQ7q2=w408-h306-k-no,Restaurant,Restaurant,4.3,13:00-02:00,,21 463 996,"64Q9+8MR La Cantine Royale, Unnamed Road, La Chebba",,https://www.google.com/maps/place/La+Cantine+Royale/data=!4m7!3m6!1s0x13018fcd7fc307c1:0x4349542b1a6956e6!8m2!3d35.2383575!4d11.119138!16s%2Fg%2F11g6_tv8ff!19sChIJwQfDf82PARMR5lZpGitUSUM?authuser=0&hl=fr&rclk=1
ChIJpZz99RiPARMR7gK3fRK5G9g,Mamma Lisa Cafe-Resto,,False,12,,Mamma Lisa Cafe-Resto (proprietaire),https://www.google.com/maps/contrib/117790499086602224888,https://lh5.googleusercontent.com/p/AF1QipNCjqwMGWPNLUbsnXVbLWKcLiR-NmB5OhETnZii=w408-h306-k-no,Restaurant,Restaurant,4.6,Ouvert 24h/24,,50 430 068,"Mamma Lisa Cafe-Resto, Mahdia, Rue Sidi Marzouk, La Chebba 5170",,https://www.google.com/maps/place/Mamma+Lisa+Caf%C3%A9-Resto/data=!4m7!3m6!1s0x13018f18f5fd9ca5:0xd81bb9127db702ee!8m2!3d35.237702!4d11.115591!16s%2Fg%2F11rhf8ywj4!19sChIJpZz99RiPARMR7gK3fRK5G9g?authuser=0&hl=fr&rclk=1
ChIJwfaeRy2OARMR1pH9jlpOQO4,Cafe Bechir mqhy bshyr,,False,11,,Cafe Bechir mqhy bshyr (proprietaire),https://www.google.com/maps/contrib/116034304353199507108,https://lh5.googleusercontent.com/p/AF1QipPSt99SqX89vd7ZSwM7TI3rdupQrlRE_J-h2zSq=w408-h306-k-no,Cafe,Cafe,4,07:00-21:00,,54 976 561,"Cafe Bechir mqhy bshyr, As-Sabbah",,https://www.google.com/maps/place/Caf%C3%A9+Bechir+%D9%85%D9%82%D9%87%D9%8A+%D8%A8%D8%B4%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x13018e2d479ef6c1:0xee404e5a8efd91d6!8m2!3d35.2373823!4d11.1156656!16s%2Fg%2F1tydq4pg!19sChIJwfaeRy2OARMR1pH9jlpOQO4?authuser=0&hl=fr&rclk=1
ChIJC-MF32-PARMRLO-8FA6t3H8,Pizzeria Khadija,,False,10,,Pizzeria Khadija (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkRdOIykvPO9UJbkgPvOLE2ttgryqSr5GBde-O=w408-h306-k-no,Pizzeria,Pizzeria,4.2,,,,"65P4+28J Pizzeria Khadija, Unnamed Road, La Chebba",,https://www.google.com/maps/place/Pizzeria+Khadija/data=!4m7!3m6!1s0x13018f6fdf05e30b:0x7fdcad0e14bcef2c!8m2!3d35.2350865!4d11.1557533!16s%2Fg%2F11h4w9p9cb!19sChIJC-MF32-PARMRLO-8FA6t3H8?authuser=0&hl=fr&rclk=1
ChIJ1T7fYSyOARMRdGuFWq4O9t0,Cafe Jabeur,,False,9,,Cafe Jabeur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP8VR2BI1RotXWaTHGIStpRfKp9V7EjMIEJhzyt=w408-h306-k-no,Cafe,Cafe,4,06:00-23:00,,,"64M7+RC6 Cafe Jabeur, C82, Chebba",,https://www.google.com/maps/place/Caf%C3%A9+Jabeur/data=!4m7!3m6!1s0x13018e2c61df3ed5:0xddf60eae5a856b74!8m2!3d35.234532!4d11.1135307!16s%2Fg%2F11cr_hw_vr!19sChIJ1T7fYSyOARMRdGuFWq4O9t0?authuser=0&hl=fr&rclk=1
ChIJg-s_OMuPARMRtbZ8gPUyNyU,restaurant le voilier,,False,8,,restaurant le voilier (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOUzt77GWPbrySnHQX2gksaKeRufWmdIibmOezW=w408-h272-k-no,Restaurant,Restaurant,4.1,,,,"64QV+8MQ restaurant le voilier, Chebba",,https://www.google.com/maps/place/restaurant+le+voilier/data=!4m7!3m6!1s0x13018fcb383feb83:0x253732f5807cb6b5!8m2!3d35.2383282!4d11.1442455!16s%2Fg%2F11qp13z85d!19sChIJg-s_OMuPARMRtbZ8gPUyNyU?authuser=0&hl=fr&rclk=1
ChIJ9yxvqW2RARMRUXLquOtxehI,Cafe Paris Chebba,,False,6,,Cafe Paris Chebba (proprietaire),https://www.google.com/maps/contrib/108208007315051513140,https://lh5.googleusercontent.com/p/AF1QipML4ZVN0y62mkplPDRBhp_Yg3ZxLwMtJ64hL1uF=w426-h240-k-no,Cafe,Cafe,4.5,05:00-00:00,,,"Cafe Paris Chebba, Rue de la lybie, La Chebba 5170",,https://www.google.com/maps/place/Caf%C3%A9+Paris+Chebba/data=!4m7!3m6!1s0x1301916da96f2cf7:0x127a71ebb8ea7251!8m2!3d35.22802!4d11.1075766!16s%2Fg%2F11l82qnxhd!19sChIJ9yxvqW2RARMRUXLquOtxehI?authuser=0&hl=fr&rclk=1
ChIJmT31hLaPARMRrME5Vo6NQzE,The wave,,False,6,,The wave (proprietaire),https://www.google.com/maps/contrib/104300832080382646903,https://lh5.googleusercontent.com/p/AF1QipMz7CR3nW0izFbkIYL5D1juntSoizzHmWIA3DYr=w426-h240-k-no,Cafe,Cafe,4.3,08:00-02:00,,,"65P2+X59 The wave, La Chebba",,https://www.google.com/maps/place/The+wave/data=!4m7!3m6!1s0x13018fb684f53d99:0x31438d8e5639c1ac!8m2!3d35.2374104!4d11.1505136!16s%2Fg%2F11f5_hm3_8!19sChIJmT31hLaPARMRrME5Vo6NQzE?authuser=0&hl=fr&rclk=1
