place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_YWxnm-ZAhMRfc25fg9qiOQ,Meet'in Cafe Nabeul,,False,21,,Meet'in Cafe Nabeul (proprietaire),https://www.google.com/maps/contrib/105891250644253624476,https://lh5.googleusercontent.com/p/AF1QipP-niXSTwSNJ6c3QvhGPb9vTYAeJf0c_zynKfIY=w408-h577-k-no,Salon de the,Salon de the,4.7,07:00-00:00,,22 613 613,"Meet'in Cafe Nabeul, 1 Rue ladhekia AFH, Nabeul 8000",,https://www.google.com/maps/place/Meet%27in+Caf%C3%A9+Nabeul/data=!4m7!3m6!1s0x1302996f9eb185fd:0xe4886a0f7eb9cd7d!8m2!3d36.4469282!4d10.7266915!16s%2Fg%2F11r_tsvn6t!19sChIJ_YWxnm-ZAhMRfc25fg9qiOQ?authuser=0&hl=fr&rclk=1
ChIJn0g_BfqZAhMRsAWD0XcMUdI,Chez Haji,,False,20,,Chez Haji (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpNEKyBSDTNFeM0rgGzIUdAKbS3b3w1-vIe1C_=w408-h307-k-no,Cafe,Cafe,4.5,11:00-20:00,,98 512 619,"FP4P+CQ6 Chez Haji, Nabeul",,https://www.google.com/maps/place/Chez+Haji/data=!4m7!3m6!1s0x130299fa053f489f:0xd2510c77d18305b0!8m2!3d36.4560425!4d10.7368894!16s%2Fg%2F11gh9p2ny1!19sChIJn0g_BfqZAhMRsAWD0XcMUdI?authuser=0&hl=fr&rclk=1
ChIJ3yF3RqOYAhMRkq3u3NdMV_w,Cafe Baba Zou,,False,15,,Cafe Baba Zou (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOgRdp3jVfjXNw3sSnbbAOpkH_InZy8FQi-HzIO=w408-h256-k-no,Cafe,Cafe,4.8,07:00-00:00,,21 803 511,"FP6H+24J Cafe Baba Zou, Nabeul",,https://www.google.com/maps/place/Caf%C3%A9+Baba+Zou/data=!4m7!3m6!1s0x130298a3467721df:0xfc574cd7dceead92!8m2!3d36.4600804!4d10.7277695!16s%2Fg%2F11dymg95tm!19sChIJ3yF3RqOYAhMRkq3u3NdMV_w?authuser=0&hl=fr&rclk=1
ChIJSVP5LpaYAhMRImVuuHcluVs,Hollywood Cafe Nabeul,,False,14,,Hollywood Cafe Nabeul (proprietaire),https://www.google.com/maps/contrib/115865007947934056106,https://lh5.googleusercontent.com/p/AF1QipPyatFp64isCq2RwJThbInPL0ahzHck0tCW5EmN=w408-h272-k-no,Cafe,Cafe,4.3,09:00-23:00,,24 672 719,"Hollywood Cafe Nabeul, Nabeul",,https://www.google.com/maps/place/Hollywood+Cafe+Nabeul/data=!4m7!3m6!1s0x130298962ef95349:0x5bb92577b86e6522!8m2!3d36.4556619!4d10.7327738!16s%2Fg%2F11fy1d0hj9!19sChIJSVP5LpaYAhMRImVuuHcluVs?authuser=0&hl=fr&rclk=1
ChIJNWcUXoiYAhMRn9TGRv41iLA,Cafe Panorama-mqh~ bnwrm,,False,10,,Cafe Panorama-mqh~ bnwrm (proprietaire),https://www.google.com/maps/contrib/107203658074282981351,https://lh5.googleusercontent.com/p/AF1QipNO-Ledwm-AWjntgBD9K7ilJLZitXy_RDcbztcg=w408-h306-k-no,Cafe,Cafe,4.3,Ouvert 24h/24,,,"Cafe Panorama-mqh~ bnwrm, Dar Chaabane Al Fehri",,https://www.google.com/maps/place/Caf%C3%A9+Panorama-%D9%85%D9%82%D9%87%D9%89+%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x130298885e146735:0xb08835fe46c6d49f!8m2!3d36.4566738!4d10.7526752!16s%2Fg%2F11c6d9rhln!19sChIJNWcUXoiYAhMRn9TGRv41iLA?authuser=0&hl=fr&rclk=1
ChIJDQKHEryYAhMREw28eXEfDfA,Cafe Sahnoun,,False,9,,Cafe Sahnoun (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qxNNi38V3h_pa-0zCHpoHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.71317&pitch=0&thumbfov=100,Cafe,Cafe,4.7,05:00-23:00,,92 033 717,"FP4H+327 Cafe Sahnoun, Ave. Du 2 Mars 1934, Nabeul",,https://www.google.com/maps/place/Caf%C3%A9+Sahnoun/data=!4m7!3m6!1s0x130298bc1287020d:0xf00d1f7179bc0d13!8m2!3d36.4551714!4d10.727557!16s%2Fg%2F11bbrkgcpk!19sChIJDQKHEryYAhMREw28eXEfDfA?authuser=0&hl=fr&rclk=1
ChIJ1QX6zj6ZAhMRkTsULiyzMDQ,Cafe free time,,False,8,https://www.facebook.com/Cafe-Free-Time-106305901892526/,Cafe free time (proprietaire),https://www.google.com/maps/contrib/114180802158084708030,https://lh5.googleusercontent.com/p/AF1QipOU13sCCHd_Y9BhtdpFgzKhuO8ewcg-d295VxQa=w408-h306-k-no,Cafe,"Cafe, Cafeteria, Salon de the",5,06:00-02:00,,54 300 719,"Cafe free time, Dar chaaben, Av. du Dr Mohamed Souissi, Dar Chaabane Al Fehri 8011",,https://www.google.com/maps/place/Caf%C3%A9+free+time/data=!4m7!3m6!1s0x1302993ecefa05d5:0x3430b32c2e143b91!8m2!3d36.449169!4d10.7519692!16s%2Fg%2F11sgvj60y4!19sChIJ1QX6zj6ZAhMRkTsULiyzMDQ?authuser=0&hl=fr&rclk=1
ChIJIXserXSjAhMRmvJV5Y1ak34,Restaurant Dghais 1,,False,8,,Restaurant Dghais 1 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtZNthEX0X05AuS5J1ihLjafAJVp1iX9f_0J7X=w408-h306-k-no,Restaurant tunisien,Restaurant tunisien,4.9,06:00-15:00,dimanche,,"Restaurant Dghais 1, 1 Rue Hilal, Dar Chaabane Al Fehri 8011",,https://www.google.com/maps/place/Restaurant+Dghais+1/data=!4m7!3m6!1s0x1302a374ad1e7b21:0x7e935a8de555f29a!8m2!3d36.4683236!4d10.7500812!16s%2Fg%2F11nfq5jxf3!19sChIJIXserXSjAhMRmvJV5Y1ak34?authuser=0&hl=fr&rclk=1
ChIJZycq4omYAhMRTDsGAMfDnWM,Cafe El Qods,,False,7,,Cafe El Qods (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOHCdgmRB7qpysxN6MnjuSFwKKVcq6LOTlgkVw=w408-h541-k-no,Cafe specialise dans les boissons expresso,Cafe specialise dans les boissons expresso,4,,,54 004 204,"FQ33+2V5 Cafe El Qods, Dar Chaabane Al Fehri",,https://www.google.com/maps/place/Caf%C3%A9+El+Qods/data=!4m7!3m6!1s0x13029889e22a2767:0x639dc3c700063b4c!8m2!3d36.4525001!4d10.7547308!16s%2Fg%2F11bzyw8z5d!19sChIJZycq4omYAhMRTDsGAMfDnWM?authuser=0&hl=fr&rclk=1
ChIJGa3I8seYAhMRD0IvnSe-JvU,Ex-Tasse cafe,,False,7,,Ex-Tasse cafe (proprietaire),https://www.google.com/maps/contrib/114974882871324526665,https://lh5.googleusercontent.com/p/AF1QipNBnZbEG-EXjGm1w-mw_dK9DuUz5e-26LFeIE4V=w408-h306-k-no,Cafe,Cafe,5,05:00-02:00,,98 659 311,"Ex-Tasse cafe, Nabeul",,https://www.google.com/maps/place/Ex-Tasse+caf%C3%A9/data=!4m7!3m6!1s0x130298c7f2c8ad19:0xf526be279d2f420f!8m2!3d36.4484854!4d10.7224184!16s%2Fg%2F11f3j7b7dg!19sChIJGa3I8seYAhMRD0IvnSe-JvU?authuser=0&hl=fr&rclk=1
