place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJL6duuJ4PAhMRvPSQtwYP37g,Cafe La Municipalite,,False,12,,Cafe La Municipalite (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPaCohu1rLC8vvQsM70kYdAyHTT0zH5C9qI0FOJ=w426-h240-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,lundi,,"JQF5+QVH Cafe La Municipalite, Jemmel",,https://www.google.com/maps/place/Caf%C3%A9+La+Municipalit%C3%A9/data=!4m7!3m6!1s0x13020f9eb86ea72f:0xb8df0f06b790f4bc!8m2!3d35.6244444!4d10.7597222!16s%2Fg%2F1thjqq0m!19sChIJL6duuJ4PAhMRvPSQtwYP37g?authuser=0&hl=fr&rclk=1
ChIJOVTaVaIPAhMROslGZyIJI6w,Sesame Coffee Shop,,False,9,,Sesame Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNqmHOhufwUgSSCP2ORKLBTtoOvAgT4xHeEg15L=w408-h544-k-no,Cafe,Cafe,4.6,07:00-20:00,,53 869 675,"Sesame Coffee Shop, 11 Av. des Martyrs, Jemmal",,https://www.google.com/maps/place/Sesame+Coffee+Shop/data=!4m7!3m6!1s0x13020fa255da5439:0xac2309226746c93a!8m2!3d35.6276971!4d10.7669465!16s%2Fg%2F11n11t141h!19sChIJOVTaVaIPAhMROslGZyIJI6w?authuser=0&hl=fr&rclk=1
ChIJSc-yYb0PAhMRofntEe0P1LU,The Fabulous,,False,4,,The Fabulous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMa1ihxioa1vCXui-g9R9Qlvc-K-3SOv8j2iFql=w408-h410-k-no,Cafe,Cafe,5,08:00-00:00,,,"The Fabulous, 11 Av. des Martyrs, Jemmel",,https://www.google.com/maps/place/The+Fabulous/data=!4m7!3m6!1s0x13020fbd61b2cf49:0xb5d40fed11edf9a1!8m2!3d35.6278811!4d10.7677623!16s%2Fg%2F11c2nrdt67!19sChIJSc-yYb0PAhMRofntEe0P1LU?authuser=0&hl=fr&rclk=1
ChIJObES7O0PAhMRIspEtZB4Xa0,Salon de the CLASSICO V.I.P.,,False,4,,Salon de the CLASSICO V.I.P. (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNSGaCvb12jfbFWgsqLQ-fHIendj6q4wYCrGjuL=w408-h408-k-no,Cafe,Cafe,4.8,,,29 569 451,"JQHJ+RR6 Salon de the CLASSICO V.I.P., Jemmel",,https://www.google.com/maps/place/Salon+de+th%C3%A9+CLASSICO+V.I.P./data=!4m7!3m6!1s0x13020fedec12b139:0xad5d7890b544ca22!8m2!3d35.6295288!4d10.7820145!16s%2Fg%2F11fn77y61x!19sChIJObES7O0PAhMRIspEtZB4Xa0?authuser=0&hl=fr&rclk=1
ChIJVzNBKKcPAhMRbL_ht-X2DN0,Cafe etoil,,False,3,,Cafe etoil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOOKDGQ8Wy66SDCecMCTXJUpzijSVXxquXgVVmO=w408-h544-k-no,Cafe,Cafe,4.7,,,94 674 544,"JQG2+9QJ Cafe etoil, Jemmel",,https://www.google.com/maps/place/Cafe+etoil/data=!4m7!3m6!1s0x13020fa728413357:0xdd0cf6e5b7e1bf6c!8m2!3d35.6259702!4d10.751897!16s%2Fg%2F11q_nvcm8f!19sChIJVzNBKKcPAhMRbL_ht-X2DN0?authuser=0&hl=fr&rclk=1
ChIJZYvAUNwPAhMRkaSinzav62k,Cafeteria Jonger,,False,3,,Cafeteria Jonger (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGXmKcuP_1FSi1k_ZH_aamZ0AHxvpM7hHK4xY9=w426-h240-k-no,Cafe,Cafe,4.7,,,,"JQ93+QF5 Cafeteria Jonger, C88, Jemmel",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria+Jonger/data=!4m7!3m6!1s0x13020fdc50c08b65:0x69ebaf369fa2a491!8m2!3d35.619386!4d10.7537192!16s%2Fg%2F11ndy_21ms!19sChIJZYvAUNwPAhMRkaSinzav62k?authuser=0&hl=fr&rclk=1
ChIJbfn4cngPAhMRCcshEumFrvw,Cafe 20mars,,False,2,,Cafe 20mars (proprietaire),,,Cafe,Cafe,4.5,,,98 632 546,"JQ83+MPG Cafe 20mars, Unnamed Road, Jemmel, Jemmal",,https://www.google.com/maps/place/Cafe+20mars/data=!4m7!3m6!1s0x13020f7872f8f96d:0xfcae85e91221cb09!8m2!3d35.6166952!4d10.7543245!16s%2Fg%2F11f1hxsys_!19sChIJbfn4cngPAhMRCcshEumFrvw?authuser=0&hl=fr&rclk=1
ChIJK8B6_cUPAhMR3k53Ym5ut-g,Cafe El Habib,,False,2,,Cafe El Habib (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN47P3eetrAhuYhv_P5DEUa5ky1x_NChB5wPFXU=w408-h306-k-no,Cafe,Cafe,4,,,55 937 960,"JP9X+38H Cafe El Habib, Unnamed Road, Jemmel",,https://www.google.com/maps/place/Caf%C3%A9+El+Habib/data=!4m7!3m6!1s0x13020fc5fd7ac02b:0xe8b76e6e62774ede!8m2!3d35.617688!4d10.7483642!16s%2Fg%2F11j0b3flxz!19sChIJK8B6_cUPAhMR3k53Ym5ut-g?authuser=0&hl=fr&rclk=1
ChIJDbUjKJkPAhMRDuLD8U4VWao,mqh~ lshm,,False,1,,mqh~ lshm (proprietaire),https://www.google.com/maps/contrib/101813860789727239018,,Salon de the,"Salon de the, Cafe",5,Ouvert 24h/24,,96 015 195,"mqh~ lshm, Avenue de la Republique, Jemmel 5020",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B4%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x13020f992823b50d:0xaa59154ef1c3e20e!8m2!3d35.6249514!4d10.759841!16s%2Fg%2F11fz9yx8hr!19sChIJDbUjKJkPAhMRDuLD8U4VWao?authuser=0&hl=fr&rclk=1
ChIJ2TaUoJ8PAhMROKdXpazcK-Y,Cafe ZA3IM,,False,1,,Cafe ZA3IM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOUNfyJ7rKTh1BT2NffegbggRz7gFPrMc7zxTrg=w426-h240-k-no,Cafe,Cafe,5,03:00-12:00,,53 837 615,"JQH9+9MF Cafe ZA3IM, Jemmel",,https://www.google.com/maps/place/Caf%C3%A9+ZA3IM/data=!4m7!3m6!1s0x13020f9fa09436d9:0xe62bdcaca557a738!8m2!3d35.6284337!4d10.7691749!16s%2Fg%2F11ghdjq4k8!19sChIJ2TaUoJ8PAhMROKdXpazcK-Y?authuser=0&hl=fr&rclk=1
