place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJiSFXDEM1_RIRyrPgH3UzeQg,Obladi Coffee,,False,254,,Obladi Coffee (proprietaire),https://www.google.com/maps/contrib/118414528732555765080,https://lh5.googleusercontent.com/p/AF1QipMT2qhIMCUig0bCKhYeNBybj6mCbsKncn2EZibq=w408-h408-k-no,Cafe,Cafe,4.2,07:00-22:00,,24 318 745,"Obladi Coffee, Rue du Lac Huron, Tunis","prix, atmosphere, musique, serveur, experience, brunch, etudiants, croissant, methode d'apprentissage, sourire",https://www.google.com/maps/place/Obladi+Coffee/data=!4m7!3m6!1s0x12fd35430c572189:0x87933751fe0b3ca!8m2!3d36.8366942!4d10.24654!16s%2Fg%2F11f57k77c7!19sChIJiSFXDEM1_RIRyrPgH3UzeQg?authuser=0&hl=fr&rclk=1
ChIJiYq1Ulsz_RIR-R1c3NNake4,"Le Chat Noir, Espresso bar",,False,28,,"Le Chat Noir, Espresso bar (proprietaire)",https://www.google.com/maps/contrib/107428938211296904740,https://lh5.googleusercontent.com/p/AF1QipNUT8RqAiRJvA6qp7iaKkGUmX02vJ_siffAPnFR=w408-h306-k-no,Cafe specialise dans les boissons expresso,"Cafe specialise dans les boissons expresso, Boutique de desserts",4.7,07:00-21:00,dimanche,55 621 770,"Le Chat Noir, Espresso bar, 8 Ter, Av. Salah Ben Youssef, Tunis 1013",,"https://www.google.com/maps/place/Le+Chat+Noir,+Espresso+bar/data=!4m7!3m6!1s0x12fd335b52b58a89:0xee915ad3dc5c1df9!8m2!3d36.8461824!4d10.1591044!16s%2Fg%2F11cn0vh067!19sChIJiYq1Ulsz_RIR-R1c3NNake4?authuser=0&hl=fr&rclk=1"
ChIJb2XAw7EjAhMRJmoK3Iyohqc,Cafe la zone,,False,17,,Cafe la zone (proprietaire),https://www.google.com/maps/contrib/103097607298241054880,https://lh5.googleusercontent.com/p/AF1QipNSl46RYGIEgPHjajHFYrPXSH8uFoWti_j0zY-H=w408-h306-k-no,Cafe,Cafe,4.4,Ouvert 24h/24,,94 901 600,"Cafe la zone, zone tourestique, Hiboun",,https://www.google.com/maps/place/Caf%C3%A9+la+zone/data=!4m7!3m6!1s0x130223b1c3c0656f:0xa786a88cdc0a6a26!8m2!3d35.5270169!4d11.0333189!16s%2Fg%2F11f3nl3pq8!19sChIJb2XAw7EjAhMRJmoK3Iyohqc?authuser=0&hl=fr&rclk=1
ChIJIyON-LW7AhMRoW85hE2DKRg,Cafe du Lac,,False,13,,Cafe du Lac (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOFzfGR7_z2jS9x5HjIv9xZWAsfjhheTvVFh5h3=w426-h240-k-no,Cafe,Cafe,4.5,05:00-23:00,,58 218 548,"HVJ9+637 Cafe du Lac, Korba",,https://www.google.com/maps/place/Caf%C3%A9+du+Lac/data=!4m7!3m6!1s0x1302bbb5f88d2323:0x1829834d84396fa1!8m2!3d36.5805484!4d10.867678!16s%2Fg%2F11c7sys_tx!19sChIJIyON-LW7AhMRoW85hE2DKRg?authuser=0&hl=fr&rclk=1
ChIJda5LdQSl-xIRqr_aifpIqA0,Cafe ALA EDDINE,,False,9,,Cafe ALA EDDINE (proprietaire),https://www.google.com/maps/contrib/103764051645997476279,https://lh5.googleusercontent.com/p/AF1QipOahOaiJlFXYxd7LJ8ua7pynPwnB8eCfGArNW6G=w408-h306-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,98 776 767,"Cafe ALA EDDINE, El Kef",,https://www.google.com/maps/place/Caf%C3%A9+ALA+EDDINE/data=!4m7!3m6!1s0x12fba504754bae75:0xda848fa89dabfaa!8m2!3d36.1565625!4d8.6980625!16s%2Fg%2F11cnwqs1lr!19sChIJda5LdQSl-xIRqr_aifpIqA0?authuser=0&hl=fr&rclk=1
ChIJkU7ROI9X_RIRN_149IlrJ7o,Cafe Des Chasseurs,,False,8,,Cafe Des Chasseurs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNg91YTJIM2pdy7p2BPmxHf6hdZ9zsoTU4-snmg=w408-h544-k-no,Cafe,Cafe,4.6,05:00-00:00,,,"Cafe Des Chasseurs, C42",,https://www.google.com/maps/place/Caf%C3%A9+Des+Chasseurs/data=!4m7!3m6!1s0x12fd578f38d14e91:0xba276b89f478fd37!8m2!3d36.6589465!4d10.5878878!16s%2Fg%2F11r8b_tmx!19sChIJkU7ROI9X_RIRN_149IlrJ7o?authuser=0&hl=fr&rclk=1
ChIJG6NE6H2t5BIR0zq7vsEmFFU,Cafe Jabeur,,False,7,,Cafe Jabeur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNcuJ_xpszf4nHl7neDxUzgusJtckszAmkG5mGb=w426-h240-k-no,Cafe,Cafe,4.7,06:00-23:30,,,"X3MJ+RF8 Cafe Jabeur, P7, Nefza",,https://www.google.com/maps/place/Caf%C3%A9+Jabeur/data=!4m7!3m6!1s0x12e4ad7de844a31b:0x551426c1bebb3ad3!8m2!3d36.9845465!4d9.0812134!16s%2Fg%2F11qk7qzn4y!19sChIJG6NE6H2t5BIR0zq7vsEmFFU?authuser=0&hl=fr&rclk=1
ChIJOV64MDUe4xIRl5iSEQExKJI,Cafe Porta Dei Tunisia (Ficha),,False,7,,Cafe Porta Dei Tunisia (Ficha) (proprietaire),,,Cafe,Cafe,4.1,07:00-22:30,,00000000,"Cafe Porta Dei Tunisia (Ficha), 9, Rue de Tunis, Zarzouna 7000",,https://www.google.com/maps/place/Caf%C3%A9+Porta+Dei+Tunisia+%28Ficha%29/data=!4m7!3m6!1s0x12e31e3530b85e39:0x9228310111929897!8m2!3d37.2683764!4d9.8814845!16s%2Fg%2F11c5xd6w3s!19sChIJOV64MDUe4xIRl5iSEQExKJI?authuser=0&hl=fr&rclk=1
ChIJdQwBNoDL4hIR_qpLsXA_RIQ,Cafe Zaman,,False,7,,Cafe Zaman (proprietaire),https://www.google.com/maps/contrib/101705661810761451483,https://lh5.googleusercontent.com/p/AF1QipN9vEdSLbijPHorYd4J41wZolyBcGSRZpLTLtnD=w426-h240-k-no,Cafeteria,"Cafeteria, Cafe",4.9,Ouvert 24h/24,,70 943 404,"Cafe Zaman, Residence riadh rue du cypres r de chaussee n 3 Tunis, 2045",,https://www.google.com/maps/place/Caf%C3%A9+Zaman/data=!4m7!3m6!1s0x12e2cb8036010c75:0x84443f70b14baafe!8m2!3d36.8544816!4d10.2548118!16s%2Fg%2F11fjs49yhl!19sChIJdQwBNoDL4hIR_qpLsXA_RIQ?authuser=0&hl=fr&rclk=1
ChIJMRLdSwEu_RIRLmKA2wYq6F8,cafe in,,False,7,,cafe in (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOJnQPnSwLTetS4wMipdNyVXgEVh506bXtIMuds=w408-h544-k-no,Cafe,Cafe,4.1,06:30-23:00,,,"Q3HG+P5P cafe in, Tunis",,https://www.google.com/maps/place/caf%C3%A9+in/data=!4m7!3m6!1s0x12fd2e014bdd1231:0x5fe82a06db80622e!8m2!3d36.7793423!4d10.075453!16s%2Fg%2F11fx8cmjwv!19sChIJMRLdSwEu_RIRLmKA2wYq6F8?authuser=0&hl=fr&rclk=1
