place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJiSFXDEM1_RIRyrPgH3UzeQg,Obladi Coffee,,False,254,,Obladi Coffee (proprietaire),https://www.google.com/maps/contrib/118414528732555765080,https://lh5.googleusercontent.com/p/AF1QipMT2qhIMCUig0bCKhYeNBybj6mCbsKncn2EZibq=w408-h408-k-no,Cafe,Cafe,4.2,07:00-22:00,,24 318 745,"Obladi Coffee, Rue du Lac Huron, Tunis","prix, atmosphere, musique, serveur, experience, brunch, etudiants, croissant, methode d'apprentissage, sourire",https://www.google.com/maps/place/Obladi+Coffee/data=!4m7!3m6!1s0x12fd35430c572189:0x87933751fe0b3ca!8m2!3d36.8366942!4d10.24654!16s%2Fg%2F11f57k77c7!19sChIJiSFXDEM1_RIRyrPgH3UzeQg?authuser=0&hl=fr&rclk=1
ChIJAbCBUozd4hIRtQqFw0yNrMk,Le Petit olivier,,False,27,,Le Petit olivier (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO-YzMgPJoY0jje7ZU3yj4O7772P5O6ERuDxvaJ=w408-h306-k-no,Restaurant,Restaurant,4,,,98 311 884,"42R8+5MJ Le Petit olivier, Douar Mrah, Al Khitmin","cadre, experience, chambres, petit dejeuner, diner",https://www.google.com/maps/place/Le+Petit+olivier/data=!4m7!3m6!1s0x12e2dd8c5281b001:0xc9ac8d4cc3850ab5!8m2!3d37.1404546!4d10.0166298!16s%2Fg%2F11h3yh2yzb!19sChIJAbCBUozd4hIRtQqFw0yNrMk?authuser=0&hl=fr&rclk=1
ChIJmcBqxKQf4xIRXtAVqcwvJsI,"Cafe et hotel el Medina, Bizerte",,False,21,,"Cafe et hotel el Medina, Bizerte (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipN1sBufMrwITUSU2SQtQhF5cGvdumj-x0ypkf6W=w533-h240-k-no,Cafe,Cafe,4.2,,,22 807 649,"Cafe et hotel el Medina, Bizerte, jm` lqSb@, Bizerte 7000",,"https://www.google.com/maps/place/Caf%C3%A9+et+hotel+el+Medina,+Bizerte/data=!4m7!3m6!1s0x12e31fa4c46ac099:0xc2262fcca915d05e!8m2!3d37.2788325!4d9.8748416!16s%2Fg%2F11sgzbg3bd!19sChIJmcBqxKQf4xIRXtAVqcwvJsI?authuser=0&hl=fr&rclk=1"
ChIJM92LuUge4xIRq6Gx0EZTTm0,cafe restaurant chot,,False,19,https://www.facebook.com/cafe.chot,cafe restaurant chot (proprietaire),https://www.google.com/maps/contrib/106042941664416222775,https://lh5.googleusercontent.com/p/AF1QipMePljrWj6K3JzI1Se9KY1GFekpYi40lDoLHRLJ=w408-h544-k-no,Salon de the,Salon de the,4.4,08:00-22:00,,55 891 298,"cafe restaurant chot, Harbor Drive, Bizerte 7000",,https://www.google.com/maps/place/cafe+restaurant+chot/data=!4m7!3m6!1s0x12e31e48b98bdd33:0x6d4e5346d0b1a1ab!8m2!3d37.2779304!4d9.8746509!16s%2Fg%2F11dx8hwfbp!19sChIJM92LuUge4xIRq6Gx0EZTTm0?authuser=0&hl=fr&rclk=1
ChIJw44hfEge4xIROAyX7aHrk6Y,mqh~ fD lmbd`yn,,False,19,,mqh~ fD lmbd`yn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrJqt0m0nLaDQyOY3FWjUHanqp0R0_RvkgGvcO=w408-h306-k-no,Cafe,Cafe,4.3,06:30-00:00,,,"7VHG+9RG mqh~ fD lmbd`yn, Bizerte",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%81%D8%B6%D8%A7%D8%A1+%D8%A7%D9%84%D9%85%D8%A8%D8%AF%D8%B9%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12e31e487c218ec3:0xa693eba1ed970c38!8m2!3d37.2784265!4d9.8770764!16s%2Fg%2F12mj_qqc0!19sChIJw44hfEge4xIROAyX7aHrk6Y?authuser=0&hl=fr&rclk=1
ChIJbz_Nc4se4xIRwXAyDP-ytSc,Cafe Morjen,,False,17,,Cafe Morjen (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNzSS5v-ReKHcUgHyomDuq8bMnGW-_oj7ifGfnU=w408-h306-k-no,Cafe,Cafe,4.6,06:00-23:30,,70 030 380,"7VV3+73J Cafe Morjen, Unnamed Road,, Bizerte",,https://www.google.com/maps/place/Cafe+Morjen/data=!4m7!3m6!1s0x12e31e8b73cd3f6f:0x27b5b2ff0c3270c1!8m2!3d37.2934973!4d9.8526528!16s%2Fg%2F11c5176t9g!19sChIJbz_Nc4se4xIRwXAyDP-ytSc?authuser=0&hl=fr&rclk=1
ChIJJbQ9B7gf4xIRT0apRlxvd8w,Cafe Tapana,,False,9,,Cafe Tapana (proprietaire),https://www.google.com/maps/contrib/105764629763263943602,https://lh5.googleusercontent.com/p/AF1QipM0iOttXWF9e0laKvT5uZIjtqm8sg6wJvFzNAvT=w408-h544-k-no,Cafe,Cafe,4.6,05:00-22:00,,50 338 493,"Cafe Tapana, Rue de cap bon zarzouna, Bizerte 7021",,https://www.google.com/maps/place/Caf%C3%A9+Tapana/data=!4m7!3m6!1s0x12e31fb8073db425:0xcc776f5c46a9464f!8m2!3d37.2569165!4d9.879359!16s%2Fg%2F11hbv8_v0l!19sChIJJbQ9B7gf4xIRT0apRlxvd8w?authuser=0&hl=fr&rclk=1
ChIJ_____8gf4xIRwol3TCZz7ew,Salon De The Coin D'or,,False,8,,Salon De The Coin D'or (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOiPmLEDv3PpTEdXTia2ocEjga8j8p0hnbys_PK=w408-h306-k-no,Cafe,Cafe,4.1,06:00-23:00,,,"7V8H+CVV Salon De The Coin D'or, pre de la faculte des sciences de bizerte, Zarzouna",,https://www.google.com/maps/place/Salon+De+The+Coin+D%27or/data=!4m7!3m6!1s0x12e31fc8ffffffff:0xeced73264c7789c2!8m2!3d37.2661082!4d9.879678!16s%2Fg%2F11f50fvlyg!19sChIJ_____8gf4xIRwol3TCZz7ew?authuser=0&hl=fr&rclk=1
ChIJf61r6qk5_RIRSkruW-xI1Pk,cafe booo,,False,7,,cafe booo (proprietaire),https://www.google.com/maps/contrib/108109229119506508840,https://lh5.googleusercontent.com/p/AF1QipMPe2Fvu9LoSSKJVHyDdlW9IpupzbZBVJuZGLB2=w408-h544-k-no,Cafe,Cafe,4,05:30-01:30,,98 779 068,"cafe booo, batiments Bounaouara, Route de liaison Chbedda et, 02 rue 20 mars, Naassen 1135",,https://www.google.com/maps/place/caf%C3%A9+booo/data=!4m7!3m6!1s0x12fd39a9ea6bad7f:0xf9d448ec5bee4a4a!8m2!3d36.6851709!4d10.213801!16s%2Fg%2F11ns405dtp!19sChIJf61r6qk5_RIRSkruW-xI1Pk?authuser=0&hl=fr&rclk=1
ChIJMRLdSwEu_RIRLmKA2wYq6F8,cafe in,,False,7,,cafe in (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOJnQPnSwLTetS4wMipdNyVXgEVh506bXtIMuds=w408-h544-k-no,Cafe,Cafe,4.1,06:30-23:00,,,"Q3HG+P5P cafe in, Tunis",,https://www.google.com/maps/place/caf%C3%A9+in/data=!4m7!3m6!1s0x12fd2e014bdd1231:0x5fe82a06db80622e!8m2!3d36.7793423!4d10.075453!16s%2Fg%2F11fx8cmjwv!19sChIJMRLdSwEu_RIRLmKA2wYq6F8?authuser=0&hl=fr&rclk=1
ChIJB7HuZHs0_RIRGBstew4cRdI,Bar Dowar,,False,7,,Bar Dowar (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Es4-LA3L1lpqa4RUxjDUmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.699&pitch=0&thumbfov=100,Bar,Bar,4.4,12:00-21:00,vendredi,,"R56H+3R9 Bar Dowar, Av. de La Liberte, Tunis 1002",,https://www.google.com/maps/place/Bar+Dowar/data=!4m7!3m6!1s0x12fd347b64eeb107:0xd2451c0e7b2d1b18!8m2!3d36.8101508!4d10.1796087!16s%2Fg%2F11f146cng9!19sChIJB7HuZHs0_RIRGBstew4cRdI?authuser=0&hl=fr&rclk=1
ChIJG5IcaUke4xIRse9nPJGPtFM,Dar Binzart,,False,6,,Dar Binzart (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNLxJr24yMJkNMdB6VKKPDAyLdd6fVQY2H-_gLF=w408-h726-k-no,Cafe,Cafe,4,06:00-00:00,,,"7VFG+Q62 Dar Binzart, rue Garibaldi, Bizerte",,https://www.google.com/maps/place/Dar+Binzart/data=!4m7!3m6!1s0x12e31e49691c921b:0x53b48f913c67efb1!8m2!3d37.2743847!4d9.8755127!16s%2Fg%2F12lvws9s0!19sChIJG5IcaUke4xIRse9nPJGPtFM?authuser=0&hl=fr&rclk=1
ChIJ2ZHnPlU1_RIRq7INhem1I58,Coffee Time,,False,6,,Coffee Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOqdYRARNczxOyVSfGnKJmM1S2vFY8ionEsAHMf=w408-h544-k-no,Cafe,Cafe,4.3,07:00-00:00,,,"V725+R93 Coffee Time, Av. Monji Slim, Tunis",,https://www.google.com/maps/place/Coffee+Time/data=!4m7!3m6!1s0x12fd35553ee791d9:0x9f23b5e9850db2ab!8m2!3d36.8520081!4d10.2584094!16s%2Fg%2F11dyqt8ljm!19sChIJ2ZHnPlU1_RIRq7INhem1I58?authuser=0&hl=fr&rclk=1
