place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMdHyReSHVhIRS6CbjA4s44E,Restaurant La Porte De Sahara,,False,172,,Restaurant La Porte De Sahara (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmW7O3qNVD5SgxTcksWObn02hX2uxnIf7DpZml=w426-h240-k-no,Restaurant,Restaurant,4.9,08:00-22:00,,98 801 217,"F23C+455 Restaurant La Porte De Sahara, Douz","soupe, cuisine traditionnelle, droit de propriete, entree, brik, vegetariens, ramadan, menu, couscous, plat principal",https://www.google.com/maps/place/Restaurant+La+Porte+De+Sahara/data=!4m7!3m6!1s0x125687e445f2d131:0x81e32c0e8c9ba04b!8m2!3d33.4527513!4d9.0204856!16s%2Fg%2F11gg_v2402!19sChIJMdHyReSHVhIRS6CbjA4s44E?authuser=0&hl=fr&rclk=1
ChIJM1lhm7eHVhIRdkALcVJ_JOc,casa catering,,False,35,,casa catering (proprietaire),https://www.google.com/maps/contrib/117756555773380564588,https://lh5.googleusercontent.com/p/AF1QipMHRXsew1XJCjqMC-LW9BpkMnkKNlPHi5f0FOc3=w408-h544-k-no,Restaurant,Restaurant,4.8,20:00-00:30,,29 480 719,"casa catering, 4200, Douz",pizza,https://www.google.com/maps/place/casa+catering/data=!4m7!3m6!1s0x125687b79b615933:0xe7247f52710b4076!8m2!3d33.4568261!4d9.0248257!16s%2Fg%2F11fnxpp76l!19sChIJM1lhm7eHVhIRdkALcVJ_JOc?authuser=0&hl=fr&rclk=1
ChIJY3ngNSyHVhIRMDGU-WFu8QI,Cafe Sahara,,False,26,,Cafe Sahara (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMIHXeLVFmExqsO_mnTApZQzDp_275Znqk4SgAe=w408-h305-k-no,Restaurant,Restaurant,4,Ouvert 24h/24,,54 336 633,"F24F+RRC Cafe Sahara, Unnamed Road, Douz",agneau,https://www.google.com/maps/place/Cafe+Sahara/data=!4m7!3m6!1s0x1256872c35e07963:0x2f16e61f9943130!8m2!3d33.4570671!4d9.0245182!16s%2Fg%2F11g0s4ynm1!19sChIJY3ngNSyHVhIRMDGU-WFu8QI?authuser=0&hl=fr&rclk=1
ChIJQ0qn_--HVhIRm9_JiTQeloU,Cafe L'orient Douz ... mqh~ lshrq,,False,14,,Cafe L'orient Douz ... mqh~ lshrq (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMby_M3ZpBgapQJBiNrq4Hy1QLGefrmipneA6jb=w408-h544-k-no,Cafe,Cafe,4.9,Ouvert 24h/24,,51 059 151,"F24F+CJX Cafe L'orient Douz ... mqh~ lshrq, Douz",,https://www.google.com/maps/place/Caf%C3%A9+L%27orient+Douz+...+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%E2%80%AD/data=!4m7!3m6!1s0x125687efffa74a43:0x85961e3489c9df9b!8m2!3d33.456109!4d9.0240973!16s%2Fg%2F11b_3gd925!19sChIJQ0qn_--HVhIRm9_JiTQeloU?authuser=0&hl=fr&rclk=1
ChIJCzA8-u-HVhIRKOK4nHysAG8,dr lswq Dar El Souk,,False,12,,dr lswq Dar El Souk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOyF12EO2y7iOSeS3aAytbZe9ngWKYswvfj5krb=w408-h306-k-no,Cafe,Cafe,4.4,,,,"F24F+7P8 dr lswq Dar El Souk, Douz",,https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%B3%D9%88%D9%82+Dar+El+Souk%E2%80%AD/data=!4m7!3m6!1s0x125687effa3c300b:0x6f00ac7c9cb8e228!8m2!3d33.4556502!4d9.0243243!16s%2Fg%2F11c1hjvxfp!19sChIJCzA8-u-HVhIRKOK4nHysAG8?authuser=0&hl=fr&rclk=1
ChIJNe515--HVhIRBLsJvD-AjBM,Cafe de la Republique,,False,7,,Cafe de la Republique (proprietaire),,,Cafe,Cafe,4,05:30-01:00,,75 470 011,"F24G+74H Cafe de la Republique, C206, Douz",,https://www.google.com/maps/place/Caf%C3%A9+de+la+Republique/data=!4m7!3m6!1s0x125687efe775ee35:0x138c803fbc09bb04!8m2!3d33.455684!4d9.025344!16s%2Fg%2F1tfhvtph!19sChIJNe515--HVhIRBLsJvD-AjBM?authuser=0&hl=fr&rclk=1
ChIJO225t0GHVhIR5CEt75b9Imc,Restaurant pizza Venezia,,False,7,,Restaurant pizza Venezia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhRRjOV-sndmmZtPN43hrZrLi7z0Pje83ph2pW=w408-h306-k-no,Restaurant familial,Restaurant familial,4.1,,,28 604 035,"F25C+7RG Restaurant pizza Venezia, Douz",,https://www.google.com/maps/place/Restaurant+pizza+Venezia/data=!4m7!3m6!1s0x12568741b7b96d3b:0x6722fd96ef2d21e4!8m2!3d33.458187!4d9.0220653!16s%2Fg%2F11sfk5yc8v!19sChIJO225t0GHVhIR5CEt75b9Imc?authuser=0&hl=fr&rclk=1
ChIJiVIvaVd9VhIRoLI5aS5YQWQ,cafe saraya,,False,6,,cafe saraya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNX_67UT8tLq3OrFjlfyn-1DRXfY9wRbRs7uJ8L=w408-h244-k-no,Cafe,Cafe,5,Ouvert 24h/24,,,"F2CF+M43 cafe saraya, C206, Douz",,https://www.google.com/maps/place/caf%C3%A9+saraya/data=!4m7!3m6!1s0x12567d57692f5289:0x6441582e6939b2a0!8m2!3d33.4716269!4d9.0228014!16s%2Fg%2F11css6616x!19sChIJiVIvaVd9VhIRoLI5aS5YQWQ?authuser=0&hl=fr&rclk=1
ChIJiyRGdQCHVhIRtAqYvy1GUM0,L'artisan house byt l'rtyzn,,False,6,https://www.facebook.com/profile.php%3Fid%3D61554449017414,L'artisan house byt l'rtyzn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwmNV7kzdVgHQHLEpkUnLqSFbOGcsZOjQNZy5q=w408-h544-k-no,Cafe des arts,Cafe des arts,5,,,25 179 349,"F25C+8W3 L'artisan house byt l'rtyzn, Douz",,https://www.google.com/maps/place/L%27artisan+house+%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%A3%D8%B1%D8%AA%D9%8A%D8%B2%D8%A7%D9%86%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x125687007546248b:0xcd50462dbf980ab4!8m2!3d33.4582693!4d9.0223047!16s%2Fg%2F11vm96m396!19sChIJiyRGdQCHVhIRtAqYvy1GUM0?authuser=0&hl=fr&rclk=1
ChIJvzhgESR9VhIRP4e4WepNL3E,Overdose pastry coffee shop,,False,5,,Overdose pastry coffee shop (proprietaire),https://www.google.com/maps/contrib/113589308624516681247,https://lh5.googleusercontent.com/p/AF1QipMAreuLhJqkL61kxzAVFIti-KVg30mfauXGJ8am=w484-h240-k-no,Patisserie,Patisserie,4.4,06:00-21:00,,99 177 499,"Overdose pastry coffee shop, C206, Douz 4260",,https://www.google.com/maps/place/Overdose+pastry+coffee+shop/data=!4m7!3m6!1s0x12567d24116038bf:0x712f4dea59b8873f!8m2!3d33.4691395!4d9.0232115!16s%2Fg%2F11ptm9ss0x!19sChIJvzhgESR9VhIRP4e4WepNL3E?authuser=0&hl=fr&rclk=1
