place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJvUdZK6vd4hIRUxuThejAEY8,Venezia,,False,19,,Venezia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmUE8_vRXdiWm5fKmfWyp5J6XjnxeOg4uCj8qu=w408-h306-k-no,Cafe,Cafe,4.3,04:00-00:00,,52 705 807,"52CM+448 Venezia, Av. Habib Bourguiba, El Alia",,https://www.google.com/maps/place/Venezia/data=!4m7!3m6!1s0x12e2ddab2b5947bd:0x8f11c0e885931b53!8m2!3d37.1702764!4d10.0328387!16s%2Fg%2F1q62bqj18!19sChIJvUdZK6vd4hIRUxuThejAEY8?authuser=0&hl=fr&rclk=1
ChIJrTnBMrDn4hIRTA4bm7xXU6c,Cafe el Ain,,False,16,,Cafe el Ain (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMKmhIPmIXwkexV4jAly59cxoj-EE1JsHZC0gtx=w427-h240-k-no,Cafe,Cafe,4.2,05:00-01:00,,55 375 761,"62WX+75F Cafe el Ain, Al Matlin 1722",,https://www.google.com/maps/place/Caf%C3%A9+el+Ain/data=!4m7!3m6!1s0x12e2e7b032c139ad:0xa75357bc9b1b0e4c!8m2!3d37.2456781!4d10.0479245!16s%2Fg%2F113f6wfnv!19sChIJrTnBMrDn4hIRTA4bm7xXU6c?authuser=0&hl=fr&rclk=1
ChIJf7apIDbd4hIRFFapGX3w5tk,Aliana Restaurant,,False,12,,Aliana Restaurant (proprietaire),https://www.google.com/maps/contrib/106773059784633341569,https://lh5.googleusercontent.com/p/AF1QipMnpyj1K5Fog81cUx4B200UpDzqf0X-by0hZ-9B=w425-h240-k-no,Restaurant,Restaurant,4,,,23 349 082,"Aliana Restaurant, El Alia",,https://www.google.com/maps/place/Aliana+Restaurant/data=!4m7!3m6!1s0x12e2dd3620a9b67f:0xd9e6f07d19a95614!8m2!3d37.1705276!4d10.0328605!16s%2Fg%2F11j2xk5gt6!19sChIJf7apIDbd4hIRFFapGX3w5tk?authuser=0&hl=fr&rclk=1
ChIJXQRDpazd4hIR-wUeYbHJtF0,salon de the 8eme art,,False,8,,salon de the 8eme art (proprietaire),https://www.google.com/maps/contrib/105461010401939216764,https://lh5.googleusercontent.com/p/AF1QipMJsY2ZTm-yEOB6U58A9Ovz7o89SQykBBVbmccj=w426-h240-k-no,Cafe,Cafe,4.3,Ouvert 24h/24,,46 501 410,"salon de the 8eme art, C70, El Alia",,https://www.google.com/maps/place/salon+de+th%C3%A9+8%C3%A8me+art/data=!4m7!3m6!1s0x12e2ddaca543045d:0x5db4c9b1611e05fb!8m2!3d37.1711017!4d10.0297346!16s%2Fg%2F1hc72nb0s!19sChIJXQRDpazd4hIR-wUeYbHJtF0?authuser=0&hl=fr&rclk=1
ChIJ-apw_oLd4hIRU98C7nsGnGQ,Cafe Vienne,,False,8,,Cafe Vienne (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMQ6-slKs18aPhJ23oQau7ku0lw2mdun-9Dikzp=w408-h272-k-no,Salon de the,Salon de the,4.8,05:00-00:00,,20 297 383,"52HH+CPR Cafe Vienne, C70e, El Alia",,https://www.google.com/maps/place/Caf%C3%A9+Vienne/data=!4m7!3m6!1s0x12e2dd82fe70aaf9:0x649c067bee02df53!8m2!3d37.1786206!4d10.0292704!16s%2Fg%2F11j1d3l5hc!19sChIJ-apw_oLd4hIRU98C7nsGnGQ?authuser=0&hl=fr&rclk=1
ChIJl03afjfd4hIRrWnNVxk_dP4,Seventy Four 74,,False,7,,Seventy Four 74 (proprietaire),https://www.google.com/maps/contrib/118303627449554293414,https://lh5.googleusercontent.com/p/AF1QipPiGzYlHN4n56VtDFaRaYTyz8FSVx4TX3nERBnM=w408-h304-k-no,Salon de the,Salon de the,5,06:00-00:00,,54 455 228,"Seventy Four 74, Av. Habib Bourguiba, El Alia",,https://www.google.com/maps/place/Seventy+Four+74/data=!4m7!3m6!1s0x12e2dd377eda4d97:0xfe743f1957cd69ad!8m2!3d37.1682137!4d10.0355031!16s%2Fg%2F11jy5b0w47!19sChIJl03afjfd4hIRrWnNVxk_dP4?authuser=0&hl=fr&rclk=1
ChIJPX-OQ7rn4hIRPTGEuzg2jXw,Cafe Ladhib,,False,7,,Cafe Ladhib (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNZRPY2eG2aDl72l22qysC2pKBbNf7XcE4aAKOt=w408-h677-k-no,Cafe,Cafe,4.4,Ouvert 24h/24,,,"63R2+F9C Cafe Ladhib, Al Matlin 1722",,https://www.google.com/maps/place/Caf%C3%A9+Ladhib/data=!4m7!3m6!1s0x12e2e7ba438e7f3d:0x7c8d3638bb84313d!8m2!3d37.2411765!4d10.0508916!16s%2Fg%2F113fn4k5c!19sChIJPX-OQ7rn4hIRPTGEuzg2jXw?authuser=0&hl=fr&rclk=1
ChIJc0rz8VPc4hIRtm3DPx3g1ps,Cafe Joker,,False,7,,Cafe Joker (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPE99WW1v70XPGw2QHk98DBvU3QnlJZsf_w7VJN=w426-h240-k-no,Cafe,Cafe,4.4,05:00-12:00,,98 631 143,"528H+9VP Cafe Joker, Avenue Farhat Hached, El Alia",,https://www.google.com/maps/place/Cafe+Joker/data=!4m7!3m6!1s0x12e2dc53f1f34a73:0x9bd6e01d3fc36db6!8m2!3d37.1659611!4d10.0297167!16s%2Fg%2F11cp7pmq54!19sChIJc0rz8VPc4hIRtm3DPx3g1ps?authuser=0&hl=fr&rclk=1
ChIJj0zvz6_n4hIRFB8OXWTE0HU,Cafe l'Aigle Sportif de Metline,,False,7,,Cafe l'Aigle Sportif de Metline (proprietaire),,,Cafe,Cafe,4,06:00-23:00,,,"62WW+4H3 Cafe l'Aigle Sportif de Metline, Al Matlin 1722",,https://www.google.com/maps/place/Caf%C3%A9+l%27Aigle+Sportif+de+Metline/data=!4m7!3m6!1s0x12e2e7afcfef4c8f:0x75d0c4645d0e1f14!8m2!3d37.2452738!4d10.0464294!16s%2Fg%2F11g69zmvd8!19sChIJj0zvz6_n4hIRFB8OXWTE0HU?authuser=0&hl=fr&rclk=1
ChIJ27ZTTVTc4hIRy0QOkf15aHI,Cafe YABBA,,False,6,,Cafe YABBA (proprietaire),,,Cafe,Cafe,4.5,05:30-23:00,,,"528M+P72 Cafe YABBA, Rue du Maghrebe Arabe, El Alia",,https://www.google.com/maps/place/Caf%C3%A9+YABBA/data=!4m7!3m6!1s0x12e2dc544d53b6db:0x726879fd910e44cb!8m2!3d37.1667503!4d10.0331539!16s%2Fg%2F11hcqf_p_4!19sChIJ27ZTTVTc4hIRy0QOkf15aHI?authuser=0&hl=fr&rclk=1
