place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJKSo2k1od_RIR6FWOIhWIF14,Restaurant Pizzeria soltan,,False,10,,Restaurant Pizzeria soltan (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOEiQYJa3Z0iVBv9sitoIQ1yxyuWH113Vx4n5ic=w408-h306-k-no,Restaurant,Restaurant,4.1,08:30-00:00,,53 200 217,"9WJ6+MFJ Restaurant Pizzeria soltan, Unnamed Road, El Fahs",,https://www.google.com/maps/place/Restaurant+Pizzeria+soltan/data=!4m7!3m6!1s0x12fd1d5a93362a29:0x5e178815228e55e8!8m2!3d36.3817125!4d9.9111511!16s%2Fg%2F11f4pm1z2h!19sChIJKSo2k1od_RIR6FWOIhWIF14?authuser=0&hl=fr&rclk=1
ChIJs4QF9osd_RIR4HRqgEBiqb4,Pizza Famoso,,False,7,,Pizza Famoso (proprietaire),https://www.google.com/maps/contrib/103411199622072510591,https://lh5.googleusercontent.com/p/AF1QipOkMAxJnhHgykxc7cHzFbGqD-DNcIAASwZ1tKP8=w408-h408-k-no,Restauration rapide,Restauration rapide,5,09:00-17:00,,52 223 674,"9WC3+MM4 Pizza Famoso, El Fahs",,https://www.google.com/maps/place/Pizza+Famoso/data=!4m7!3m6!1s0x12fd1d8bf60584b3:0xbea96240806a74e0!8m2!3d36.3720274!4d9.9044977!16s%2Fg%2F11kj8dnmrl!19sChIJs4QF9osd_RIR4HRqgEBiqb4?authuser=0&hl=fr&rclk=1
ChIJieC-sVsd_RIRaBhNCgwsbEQ,Cafe Hambousi,,False,6,,Cafe Hambousi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPrIpqQuJzonhTWf-6M8t3AED9QuJH62JxH8Dp0=w408-h544-k-no,Cafe,Cafe,4,04:00-23:00,,,"9WM5+FQ7 Cafe Hambousi, GP3, El Fahs",,https://www.google.com/maps/place/Cafe+Hambousi/data=!4m7!3m6!1s0x12fd1d5bb1bee089:0x446c2c0c0a4d1868!8m2!3d36.3836592!4d9.9094342!16s%2Fg%2F11c2rdykwl!19sChIJieC-sVsd_RIRaBhNCgwsbEQ?authuser=0&hl=fr&rclk=1
ChIJ51Tv6pwd_RIR0yB_8938osk,Ice Dream,,False,6,,Ice Dream (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPK5RR0YDMAy-3o0ykYF-_2iNXbGYuld6yGFJjT=w408-h544-k-no,Cafe,Cafe,5,"09:00-14:00, 16:00-21:00",lundi,23 154 407,"9WH5+53G Ice Dream, Rue de Mohamed Ali, El Fahs",,https://www.google.com/maps/place/Ice+Dream/data=!4m7!3m6!1s0x12fd1d9ceaef54e7:0xc9a2fcddf37f20d3!8m2!3d36.3779279!4d9.9077056!16s%2Fg%2F11f6dlyv9y!19sChIJ51Tv6pwd_RIR0yB_8938osk?authuser=0&hl=fr&rclk=1
ChIJFRed3NAD_RIRX88ElwdO1SA,Maestro El Fahs,,False,6,,Maestro El Fahs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMOwL4jrXoGy6HJ7q1qcCxxwj-rsyHsbEHpzpvg=w408-h306-k-no,Pizzeria,Pizzeria,5,10:00-23:30,,26 895 919,"9W92+QVM Maestro El Fahs, Avenue de l'environnement, El Fahs",,https://www.google.com/maps/place/Maestro+El+Fahs/data=!4m7!3m6!1s0x12fd03d0dc9d1715:0x20d54e079704cf5f!8m2!3d36.3694538!4d9.9021737!16s%2Fg%2F11vjnx7yxz!19sChIJFRed3NAD_RIRX88ElwdO1SA?authuser=0&hl=fr&rclk=1
ChIJbX6FenMd_RIRaWVK4ZE5RGE,Domino's,,False,6,,Domino's (proprietaire),,,Restaurant,Restaurant,5,,,,"9WM5+9G8 Domino's, C28, El Fahs",,https://www.google.com/maps/place/Domino%27s/data=!4m7!3m6!1s0x12fd1d737a857e6d:0x61443991e14a6569!8m2!3d36.3834073!4d9.9088296!16s%2Fg%2F11hnbzjgmd!19sChIJbX6FenMd_RIRaWVK4ZE5RGE?authuser=0&hl=fr&rclk=1
ChIJvzRJoFAd_RIRzaYQTz6Aeuk,Patisserie Hanedi,,False,4,,Patisserie Hanedi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQ49d0dZUALW0tmz-MczVY6zudD65amWVGugej=w408-h306-k-no,Cafe,Cafe,4,06:00-23:00,,,"9WJ5+5FQ Patisserie Hanedi, P3, El Fahs",,https://www.google.com/maps/place/Patisserie+Hanedi/data=!4m7!3m6!1s0x12fd1d50a04934bf:0xe97a803e4f10a6cd!8m2!3d36.380464!4d9.9087205!16s%2Fg%2F11fylsl08_!19sChIJvzRJoFAd_RIRzaYQTz6Aeuk?authuser=0&hl=fr&rclk=1
ChIJ7UBFDuAd_RIR_pwoe739kHg,Cafe MED,,False,4,,Cafe MED (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNI50kHzsy7kCH75wBBT7Ee7Ng3atHPH-z-YBVl=w408-h306-k-no,Cafe,Cafe,5,04:00-00:00,,,"9WRW+WX6 Cafe MED, El Fahs",,https://www.google.com/maps/place/Cafe+MED/data=!4m7!3m6!1s0x12fd1de00e4540ed:0x7890fdbd7b289cfe!8m2!3d36.3922921!4d9.9473849!16s%2Fg%2F11hdw908ql!19sChIJ7UBFDuAd_RIR_pwoe739kHg?authuser=0&hl=fr&rclk=1
ChIJhWNtTvEd_RIRWKo5DAKVaco,Cafe prestige,,False,3,,Cafe prestige (proprietaire),https://www.google.com/maps/contrib/114332166186289881525,https://lh5.googleusercontent.com/p/AF1QipPArLgVwBz0RHiU2j_4Ad185KKE04CF3NH3Heyc=w426-h240-k-no,Cafe,Cafe,4,04:00-00:00,,,"Cafe prestige, C28, El Fahs",,https://www.google.com/maps/place/Caf%C3%A8+prestige/data=!4m7!3m6!1s0x12fd1df14e6d6385:0xca6995020c39aa58!8m2!3d36.38494!4d9.9092107!16s%2Fg%2F11rgftx8hn!19sChIJhWNtTvEd_RIRWKo5DAKVaco?authuser=0&hl=fr&rclk=1
ChIJTWLQhlUd_RIRbb776YwJOdc,Cafe Naffeti,,False,3,,Cafe Naffeti (proprietaire),,,Cafe,Cafe,4,Ouvert 24h/24,,,"9WF2+FRF Cafe Naffeti, P3, El Fahs",,https://www.google.com/maps/place/Caf%C3%A9+Naff%C3%A9ti/data=!4m7!3m6!1s0x12fd1d5586d0624d:0xd739098ce9fbbe6d!8m2!3d36.3736979!4d9.9020387!16s%2Fg%2F12ml2vpm4!19sChIJTWLQhlUd_RIRbb776YwJOdc?authuser=0&hl=fr&rclk=1
