place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ4c7KSnU0_RIR7lSJ0D4aAgQ,Cafe De La Vigne,,False,64,,Cafe De La Vigne (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPRlm8PM2_-5Cup9EeDrVy6yTJ_tLZlhvjzsj_a=w408-h510-k-no,Cafe,Cafe,4.3,06:00-17:00,dimanche,,"Q5WC+MMC Cafe De La Vigne, swq lrb`, Rue El Kahia, Tunis 1111",,https://www.google.com/maps/place/Caf%C3%A9+De+La+Vigne/data=!4m7!3m6!1s0x12fd34754acacee1:0x4021a3ed08954ee!8m2!3d36.7966906!4d10.1716316!16s%2Fg%2F11c53hh0gg!19sChIJ4c7KSnU0_RIR7lSJ0D4aAgQ?authuser=0&hl=fr&rclk=1
ChIJF7K-SSybVRIRn_U2-M9BFdU,L'etoile d'or,,False,15,,L'etoile d'or (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOfhe0tqQbZKQqHUtYWSL8RI_cfQZI27n2dwKhi=w533-h240-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,25 576 220,"VQJ4+RQR L'etoile d'or, P16, El Hamma",,https://www.google.com/maps/place/L%27%C3%A9toile+d%27or/data=!4m7!3m6!1s0x12559b2c49beb217:0xd51541cff836f59f!8m2!3d33.8821073!4d9.7568852!16s%2Fg%2F11nnmzdrb2!19sChIJF7K-SSybVRIRn_U2-M9BFdU?authuser=0&hl=fr&rclk=1
ChIJywKqWy6bVRIRjmCN80L67Vk,Cafe lounge Babali'Za,,False,9,https://www.facebook.com/Cafe-lounge-BabAliZa-105618911235229/,Cafe lounge Babali'Za (proprietaire),https://www.google.com/maps/contrib/106737802748778429693,https://lh5.googleusercontent.com/p/AF1QipM9qicZK3cNMcGxI50VEYkX6BYbUo6-dIy6e5XP=w408-h552-k-no,Salon de the,Salon de the,4.4,Ouvert 24h/24,,52 600 006,"Cafe lounge Babali'Za, Rue l'environnement proche station de louage, El Hamma 6020",,https://www.google.com/maps/place/Cafe+lounge+Babali%27Za/data=!4m7!3m6!1s0x12559b2e5baa02cb:0x59edfa42f38d608e!8m2!3d33.8891889!4d9.79917!16s%2Fg%2F11p4jqr44n!19sChIJywKqWy6bVRIRjmCN80L67Vk?authuser=0&hl=fr&rclk=1
ChIJcTt05P2bVRIRQggUcZzksjg,30.8 creperie,,False,8,,30.8 creperie (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGZGK9omAPTgp0SdXwqF2ifMx7_ihxsYME4-B8=w426-h240-k-no,Creperie,Creperie,4.6,07:00-23:30,,23 597 726,"VQQW+3W3 30.8 creperie, Unnamed Road, El Hamma",,https://www.google.com/maps/place/30.8+cr%C3%AAperie/data=!4m7!3m6!1s0x12559bfde4743b71:0x38b2e49c71140842!8m2!3d33.8876302!4d9.7973025!16s%2Fg%2F11rm1r56xl!19sChIJcTt05P2bVRIRQggUcZzksjg?authuser=0&hl=fr&rclk=1
ChIJqZMjRwjDVxIRprRHo8CKVS4,Essiguifa - El Hamma du Djerid,,False,7,,Essiguifa - El Hamma du Djerid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipORCan24iKT9Yylt2ZSgnKi9N5iKVCv85O6zGZa=w480-h240-k-no,Cafe,Cafe,4.4,,,,"256H+H8 Essiguifa - El Hamma du Djerid, El Hamma du Jerid",,https://www.google.com/maps/place/Essiguifa+-+El+Hamma+du+Djerid/data=!4m7!3m6!1s0x1257c308472393a9:0x2e558ac0a347b4a6!8m2!3d34.0113991!4d8.1782734!16s%2Fg%2F11rn7hx_kq!19sChIJqZMjRwjDVxIRprRHo8CKVS4?authuser=0&hl=fr&rclk=1
ChIJI_FUbitxVRIRG7z7bQQSAIg,Cafe El Garabi,,False,5,,Cafe El Garabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPDKZSI_Ar70udnWve5ivRoOTQr4NMX5XbtvH5i=w408-h544-k-no,Cafe,Cafe,4.2,,,,"VXGV+577 Cafe El Garabi, P16, El Hamma",,https://www.google.com/maps/place/Caf%C3%A9+El+Garabi/data=!4m7!3m6!1s0x1255712b6e54f123:0x880012046dfbbc1b!8m2!3d33.8754145!4d9.9931618!16s%2Fg%2F11f15drjm_!19sChIJI_FUbitxVRIRG7z7bQQSAIg?authuser=0&hl=fr&rclk=1
ChIJ_aSKFe6bVRIRYveLrczeSuM,Restaurant Aziz,,False,5,,Restaurant Aziz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOYkfMcmDSEmYRF-rgluoiF1IJD1mnSbRKylfGi=w408-h544-k-no,Restaurant,Restaurant,4,08:00-23:00,,,"VQQW+9VV Restaurant Aziz, El Hamma",,https://www.google.com/maps/place/Restaurant+Aziz/data=!4m7!3m6!1s0x12559bee158aa4fd:0xe34adeccad8bf762!8m2!3d33.8884911!4d9.7971594!16s%2Fg%2F11g234mkfz!19sChIJ_aSKFe6bVRIRYveLrczeSuM?authuser=0&hl=fr&rclk=1
ChIJG2Tnh7ibVRIRuuFnwsRxsXY,mntzh msk llyl,,False,4,,mntzh msk llyl (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP2rakngtLhrEx8Rv-na7ER1KAjfkCuKTnLuuCk=w426-h240-k-no,Cafe,Cafe,4.3,,,97 654 474,"VQHG+XGW mntzh msk llyl, P16, El Hamma",,https://www.google.com/maps/place/%D9%85%D9%86%D8%AA%D8%B2%D9%87+%D9%85%D8%B3%D9%83+%D8%A7%D9%84%D9%84%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12559bb887e7641b:0x76b171c4c267e1ba!8m2!3d33.8799783!4d9.7763204!16s%2Fg%2F11fkmzq4vh!19sChIJG2Tnh7ibVRIRuuFnwsRxsXY?authuser=0&hl=fr&rclk=1
ChIJU4rL8b2TVRIRvCptr2jjCUg,cafe juini,,False,4,,cafe juini (proprietaire),,,Cafe,Cafe,4.5,,,,"VJJC+H88 cafe juini, benghilpuf, El Hamma",,https://www.google.com/maps/place/caf%C3%A9+juini/data=!4m7!3m6!1s0x125593bdf1cb8a53:0x4809e368af6d2abc!8m2!3d33.8814019!4d9.6208286!16s%2Fg%2F11h6njpmn3!19sChIJU4rL8b2TVRIRvCptr2jjCUg?authuser=0&hl=fr&rclk=1
ChIJMyMfHBubVRIRFp1mWYnYKW0,Cafe Terrasse Elhamma,,False,4,,Cafe Terrasse Elhamma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOU7uAwG3gEmiYBpAUkEitrndR3UvsN4Mp1-oNz=w408-h306-k-no,Cafe,Cafe,4.5,07:00-23:30,,,"VRW5+2GW Cafe Terrasse Elhamma, El Hamma",,https://www.google.com/maps/place/Caf%C3%A9+Terrasse+Elhamma/data=!4m7!3m6!1s0x12559b1b1c1f2333:0x6d29d88959669d16!8m2!3d33.8951112!4d9.8088424!16s%2Fg%2F11gk6fvzpq!19sChIJMyMfHBubVRIRFp1mWYnYKW0?authuser=0&hl=fr&rclk=1
