place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJW4BQ6Eak-xIRi6dQ0tQkcYc,Le Petit Bateau,,False,67,,Le Petit Bateau (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN88D3RC6D3bcu-wkVzl7MypZRvvcS95Ji51EGE=w408-h306-k-no,Restaurant,Restaurant,4.5,11:00-21:30,,27 743 379,"5PH9+XJV Le Petit Bateau, El Kef",prix,https://www.google.com/maps/place/Le+Petit+Bateau/data=!4m7!3m6!1s0x12fba446e850805b:0x877124d4d250a78b!8m2!3d36.1799813!4d8.7190371!16s%2Fg%2F11cp77z79f!19sChIJW4BQ6Eak-xIRi6dQ0tQkcYc?authuser=0&hl=fr&rclk=1
ChIJg9FcxMyl-xIRFrOuo_gjQk8,Restaurant Chef Fatma,,False,39,,Restaurant Chef Fatma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqD3iKpd1X6TpzE7v8UBNRxwV_aEVIDeRTE8qP=w408-h306-k-no,Restaurant,Restaurant,5,Ouvert 24h/24,,97 706 629,"5PJ5+C65 Restaurant Chef Fatma, Sidi ali ben, Rue Salah Ayach, Le Kef","plats, sourire, experience",https://www.google.com/maps/place/Restaurant+Chef+Fatma/data=!4m7!3m6!1s0x12fba5ccc45cd183:0x4f4223f8a3aeb316!8m2!3d36.1810015!4d8.7081225!16s%2Fg%2F11j0_wsxc2!19sChIJg9FcxMyl-xIRFrOuo_gjQk8?authuser=0&hl=fr&rclk=1
ChIJ8WhXW0Ck-xIRt74DgYay0_w,Cafe Frigua,,False,27,,Cafe Frigua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM5HYoPOREtK_uh76rmQeJagIk5tg52EqT_0x7q=w408-h306-k-no,Cafe,Cafe,4.1,06:00-01:00,,36 363 232,"5PJF+HH6 Cafe Frigua, El Kef",,https://www.google.com/maps/place/Caf%C3%A9+Frigua/data=!4m7!3m6!1s0x12fba4405b5768f1:0xfcd3b2868103beb7!8m2!3d36.181412!4d8.7238862!16s%2Fg%2F11cs01lhnr!19sChIJ8WhXW0Ck-xIRt74DgYay0_w?authuser=0&hl=fr&rclk=1
ChIJMQDHZmqk-xIRgW8JeEQE5SA,LELLA BEYA,,False,23,,LELLA BEYA (proprietaire),https://www.google.com/maps/contrib/105348750237097380046,https://lh5.googleusercontent.com/p/AF1QipNxfsfjpm7Zt8hmgzeWbVev6F1xNnfCVYZEJmvk=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,23 566 900,"LELLA BEYA, P17, Le Kef",,https://www.google.com/maps/place/LELLA+BEYA/data=!4m7!3m6!1s0x12fba46a66c70031:0x20e5044478096f81!8m2!3d36.1801562!4d8.7268843!16s%2Fg%2F11b74v602l!19sChIJMQDHZmqk-xIRgW8JeEQE5SA?authuser=0&hl=fr&rclk=1
ChIJ_cfDE2yk-xIRFLmX82ZUpEU,Casa Globe,,False,20,,Casa Globe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPCfuoO75QdxzEOZho0bdKnSqVB-VvLWhpRpMF-=w426-h240-k-no,Cafe,Cafe,4,07:00-22:00,,98 988 928,"5PHM+722 Casa Globe, Le Kef",,https://www.google.com/maps/place/Casa+Globe/data=!4m7!3m6!1s0x12fba46c13c3c7fd:0x45a45466f397b914!8m2!3d36.1781326!4d8.7325309!16s%2Fg%2F11fy238p0m!19sChIJ_cfDE2yk-xIRFLmX82ZUpEU?authuser=0&hl=fr&rclk=1
ChIJn9C9nHel-xIRy1V08RNMTAg,Cafe Dokken,,False,17,,Cafe Dokken (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNiG7oQ3zZYPfjxke5WzTpiYgH6uscEBx11mrmM=w408-h306-k-no,Cafe,Cafe,4.8,,,,"5PH7+MFG Cafe Dokken, Rue Habib Karma, Le Kef",,https://www.google.com/maps/place/Caf%C3%A9+Dokken/data=!4m7!3m6!1s0x12fba5779cbdd09f:0x84c4c13f17455cb!8m2!3d36.1791879!4d8.7136941!16s%2Fg%2F11j52snn59!19sChIJn9C9nHel-xIRy1V08RNMTAg?authuser=0&hl=fr&rclk=1
ChIJVyDbZWqk-xIR0V8Mujajf-s,Cafe Panorama,,False,17,,Cafe Panorama (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP6x1i6E2sECMtoerGYEkIj-zjUKPDHoNb70ot2=w408-h544-k-no,Cafe,Cafe,4.1,08:00-22:00,,,"5PHG+RRP Cafe Panorama, Le Kef",,https://www.google.com/maps/place/Caf%C3%A9+Panorama/data=!4m7!3m6!1s0x12fba46a65db2057:0xeb7fa336ba0c5fd1!8m2!3d36.1795983!4d8.7270867!16s%2Fg%2F11c1rw80f3!19sChIJVyDbZWqk-xIR0V8Mujajf-s?authuser=0&hl=fr&rclk=1
ChIJxYHsE6yl-xIRI77ONlgqzd8,Romantica Cafe,,False,16,,Romantica Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOydeCNEo9X57gaYXTkQ0-oGj4gF7QAI0wa07Xi=w408-h544-k-no,Cafe,Cafe,4.4,07:00-23:00,,,"5M9X+VV3 Romantica Cafe, Le Kef",,https://www.google.com/maps/place/Romantica+Caf%C3%A9/data=!4m7!3m6!1s0x12fba5ac13ec81c5:0xdfcd2a5836cebe23!8m2!3d36.1696312!4d8.6996598!16s%2Fg%2F11c5fyngk7!19sChIJxYHsE6yl-xIRI77ONlgqzd8?authuser=0&hl=fr&rclk=1
ChIJ4z8gm-Kl-xIRLNT2R8Eci-M,Dar bouallegue,,False,13,,Dar bouallegue (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOtdZzoUoTp87m0M1kf06w0HUFOIFxU66rKVwEn=w408-h296-k-no,Cafe,Cafe,4.8,,,28 192 584,"5PH7+XP2 Dar bouallegue, Le Kef",,https://www.google.com/maps/place/Dar+bouallegue/data=!4m7!3m6!1s0x12fba5e29b203fe3:0xe38b1cc147f6d42c!8m2!3d36.1798867!4d8.7142693!16s%2Fg%2F11m9rf45z5!19sChIJ4z8gm-Kl-xIRLNT2R8Eci-M?authuser=0&hl=fr&rclk=1
ChIJVe6ToWCk-xIRaJtIGtKUOl4,Golden Coffee,,False,12,,Golden Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjvpUTmWXc1GRgqHfAHsyhWXM7c6i_aGi2E4se=w408-h306-k-no,Cafe,Cafe,4.8,06:00-00:00,,51 059 514,"Golden Coffee, P5, Le Kef",,https://www.google.com/maps/place/Golden+Coffee/data=!4m7!3m6!1s0x12fba460a193ee55:0x5e3a94d21a489b68!8m2!3d36.1655223!4d8.7263329!16s%2Fg%2F11ggs53wgm!19sChIJVe6ToWCk-xIRaJtIGtKUOl4?authuser=0&hl=fr&rclk=1
ChIJkwYBCkak-xIRlfSkZsPyT34,Station de services Shell Kef,,False,11,,Station de services Shell Kef (proprietaire),https://www.google.com/maps/contrib/113289031866402936600,https://lh5.googleusercontent.com/p/AF1QipOH_BSgCq_J6hIqZ8PCqO-J6IIoXSRl3Omfkrc9=w408-h255-k-no,Station-service,"Station-service, Service de chauffeur prive, Station de lavage automobile, Cafe, Service de vidange d'huile",4.5,Ouvert 24h/24,,78 205 894,"Station de services Shell Kef, 71 Av. habib bourguiba, Le Kef 7100",,https://www.google.com/maps/place/Station+de+services+Shell+Kef/data=!4m7!3m6!1s0x12fba4460a010693:0x7e4ff2c366a4f495!8m2!3d36.1782603!4d8.7160269!16s%2Fg%2F1pp2v022g!19sChIJkwYBCkak-xIRlfSkZsPyT34?authuser=0&hl=fr&rclk=1
ChIJda5LdQSl-xIRqr_aifpIqA0,Cafe ALA EDDINE,,False,9,,Cafe ALA EDDINE (proprietaire),https://www.google.com/maps/contrib/103764051645997476279,https://lh5.googleusercontent.com/p/AF1QipOahOaiJlFXYxd7LJ8ua7pynPwnB8eCfGArNW6G=w408-h306-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,98 776 767,"Cafe ALA EDDINE, El Kef",,https://www.google.com/maps/place/Caf%C3%A9+ALA+EDDINE/data=!4m7!3m6!1s0x12fba504754bae75:0xda848fa89dabfaa!8m2!3d36.1565625!4d8.6980625!16s%2Fg%2F11cnwqs1lr!19sChIJda5LdQSl-xIRqr_aifpIqA0?authuser=0&hl=fr&rclk=1
ChIJ02TByiKl-xIRz-MhzbXxOE4,Cafe Foundou,,False,8,,Cafe Foundou (proprietaire),https://www.google.com/maps/contrib/104240117465661328025,https://lh5.googleusercontent.com/p/AF1QipPL3d6wKORPpkEaAv3MIAq3lZBgh5cbR1Rz5i2N=w408-h544-k-no,Cafe,Cafe,5,06:30-23:30,,58 703 082,"Cafe Foundou, Rue Scipion, Le Kef",,https://www.google.com/maps/place/Caf%C3%A9+Foundou/data=!4m7!3m6!1s0x12fba522cac164d3:0x4e38f1b5cd21e3cf!8m2!3d36.1794533!4d8.7148403!16s%2Fg%2F11s60vckvf!19sChIJ02TByiKl-xIRz-MhzbXxOE4?authuser=0&hl=fr&rclk=1
ChIJr41P866l-xIRJstANfhIUUA,Sicca,,False,8,https://m.facebook.com/SICCACOFFEE/,Sicca (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMa_B2OfYOffqn4VlL_Z0QQ9SXW_ahCFH4b85mL=w426-h240-k-no,Cafe,Cafe,4.5,05:00-00:00,,25 603 040,"5MCW+FRM Sicca, Le Kef",,https://www.google.com/maps/place/Sicca/data=!4m7!3m6!1s0x12fba5aef34f8daf:0x405148f83540cb26!8m2!3d36.1712236!4d8.697059!16s%2Fg%2F11f3n2rcwd!19sChIJr41P866l-xIRJstANfhIUUA?authuser=0&hl=fr&rclk=1
ChIJnV7ItQCl-xIR70jU-jlTl7w,Cafe Cesar,,False,8,,Cafe Cesar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPGUff_fJ43CH9O328PomIuaHuxrw_rpeiw7aUT=w426-h240-k-no,Cafe,Cafe,4.1,07:00-23:00,,,"5M6X+RHM Cafe Cesar, El Kef",,https://www.google.com/maps/place/Caf%C3%A9+C%C3%A9sar/data=!4m7!3m6!1s0x12fba500b5c85e9d:0xbc975339fad448ef!8m2!3d36.1620958!4d8.6989264!16s%2Fg%2F11cp5sdr6v!19sChIJnV7ItQCl-xIR70jU-jlTl7w?authuser=0&hl=fr&rclk=1
ChIJMwy0IVOk-xIR_cionCKm7wA,Cafe Theatre,,False,7,,Cafe Theatre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPhq_WQMX0CsdkvikGDoMRZ1YlOD0g-vb95pfGr=w408-h836-k-no,Cafe,Cafe,4.6,08:00-22:00,,,"5PC4+73X Cafe Theatre, Le Kef",,https://www.google.com/maps/place/Caf%C3%A9+Th%C3%A9atre/data=!4m7!3m6!1s0x12fba45321b40c33:0xefa6229ca8c8fd!8m2!3d36.170747!4d8.7052374!16s%2Fg%2F11gf0rh9g8!19sChIJMwy0IVOk-xIR_cionCKm7wA?authuser=0&hl=fr&rclk=1
ChIJrx6Hb0yk-xIRWWAt4fLC1Io,Cafe Breeze,,False,6,,Cafe Breeze (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMMMPUXlk7o2QRZ-sSi2Cet1e27mnpZvRgUjuUO=w408-h306-k-no,Cafe,Cafe,4.3,07:00-00:00,,,"5PH5+727 Cafe Breeze, Av. Mongi Slim, Le Kef",,https://www.google.com/maps/place/Cafe+Breeze/data=!4m7!3m6!1s0x12fba44c6f871eaf:0x8ad4c2f2e12d6059!8m2!3d36.1781629!4d8.7075344!16s%2Fg%2F11c6cyq68r!19sChIJrx6Hb0yk-xIRWWAt4fLC1Io?authuser=0&hl=fr&rclk=1
