place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJt5JoFpu14hIR1SkzvkC-7eA,BEN RAHIM,,False,229,http://www.benrahim.tn/,BEN RAHIM (proprietaire),https://www.google.com/maps/contrib/112734769428683013219,https://lh5.googleusercontent.com/p/AF1QipNCP7XpY0EfGizC_iSDdRIRTUnmUWri7abkmA_Q=w408-h306-k-no,Cafe,Cafe,4.6,07:00-00:00,,98 659 860,"BEN RAHIM, N1 Rue de la Republique, Av 14 Janvier, Rue du Maroc, tunis 2026","prix, sucre, patisseries, barista, croissants, atmosphere, experience, musicale, expresso",https://www.google.com/maps/place/BEN+RAHIM/data=!4m7!3m6!1s0x12e2b59b166892b7:0xe0edbe40be3329d5!8m2!3d36.8698678!4d10.3441173!16s%2Fg%2F11p6hcyq85!19sChIJt5JoFpu14hIR1SkzvkC-7eA?authuser=0&hl=fr&rclk=1
ChIJrV511DIy_RIR763KANfw2MU,Havana Cafe,,False,17,,Havana Cafe (proprietaire),https://www.google.com/maps/contrib/111489255985705408674,https://lh5.googleusercontent.com/p/AF1QipNE5jEEYN5WYax9iv0wCFHOoqdULom5bE17qnhM=w408-h306-k-no,Salon de the,Salon de the,4.1,05:00-23:45,,23 888 744,"Havana Cafe, 139 Rue 4001, Tunis 2052",,https://www.google.com/maps/place/Havana+Caf%C3%A9/data=!4m7!3m6!1s0x12fd3232d4755ead:0xc5d8f0d700caadef!8m2!3d36.7924019!4d10.1252242!16s%2Fg%2F11cnbwvc_6!19sChIJrV511DIy_RIR763KANfw2MU?authuser=0&hl=fr&rclk=1
ChIJYcM3BfAV-RIRmzCM_g-qosk,Salon De The Montana,,False,6,,Salon De The Montana (proprietaire),,,Cafe,Cafe,4.3,06:00-22:00,,,"5R9G+48Q Salon De The Montana, Kasserine",,https://www.google.com/maps/place/Salon+De+Th%C3%A9+Montana/data=!4m7!3m6!1s0x12f915f00537c361:0xc9a2aa0ffe8c309b!8m2!3d35.1678371!4d8.8258515!16s%2Fg%2F11gdyk94qg!19sChIJYcM3BfAV-RIRmzCM_g-qosk?authuser=0&hl=fr&rclk=1
ChIJj9ywz3Iu_RIRUQexXtfKM6M,Cafe Hamrouni,,False,6,,Cafe Hamrouni (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO_uTAgo_ZnplHm5vGKaIXmqnIKTaUGV-IR-QoS=w408-h306-k-no,Cafe,Cafe,4,05:00-22:00,,,"Q3G5+G4M Cafe Hamrouni, Tunis",,https://www.google.com/maps/place/Caf%C3%A9+Hamrouni/data=!4m7!3m6!1s0x12fd2e72cfb0dc8f:0xa333cad75eb10751!8m2!3d36.7763337!4d10.0577856!16s%2Fg%2F11c20v53zf!19sChIJj9ywz3Iu_RIRUQexXtfKM6M?authuser=0&hl=fr&rclk=1
ChIJizIS-BIV-RIRY2xweM72ukc,Brown Club,,False,6,https://brownclub.ovh/,Brown Club (proprietaire),https://www.google.com/maps/contrib/112310130366734304141,https://lh5.googleusercontent.com/p/AF1QipOzQg-pDZc_yTJ9q52zzO5_7YD8D58zICCjD03W=w408-h282-k-no,Cafe,"Cafe, Restaurant",4.7,07:00-00:00,,92 299 007,"Brown Club, Avenue Mohammed El Hammi, Kasserine",,https://www.google.com/maps/place/Brown+Club/data=!4m7!3m6!1s0x12f91512f812328b:0x47baf6ce78706c63!8m2!3d35.1710214!4d8.8221157!16s%2Fg%2F11s56r7lj0!19sChIJizIS-BIV-RIRY2xweM72ukc?authuser=0&hl=fr&rclk=1
ChIJC7RU57wzHRMRHrmUPTlTxw0,Story coffee kelibia,,False,4,,Story coffee kelibia (proprietaire),https://www.google.com/maps/contrib/115067148038335738918,https://lh5.googleusercontent.com/p/AF1QipN8C_mMbLgrfIOYnu59LRG2ScNz6Migcq8OmbmX=w408-h543-k-no,Cafe,Cafe,5,Ouvert 24h/24,,56 066 947,"Story coffee kelibia, 8090 Avenu Militant Abdelkader Dardouri, Kelibia",,https://www.google.com/maps/place/Story+coffee+k%C3%A9libia/data=!4m7!3m6!1s0x131d33bce754b40b:0xdc753393d94b91e!8m2!3d36.8469341!4d11.096714!16s%2Fg%2F11j9ktzyt_!19sChIJC7RU57wzHRMRHrmUPTlTxw0?authuser=0&hl=fr&rclk=1
ChIJCxd62-M_-RIRyMVAMO_cS_Y,Bloom cafe,,False,3,,Bloom cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPBeqGuSqFidnTEZJLwvTjpKdBUVf-PTOEXofGw=w543-h240-k-no,Cafe,Cafe,5,07:00-00:00,,55 533 671,"Bloom cafe, Kasserine",,https://www.google.com/maps/place/Bloom+caf%C3%A9/data=!4m7!3m6!1s0x12f93fe3db7a170b:0xf64bdcef3040c5c8!8m2!3d35.1781712!4d8.8511265!16s%2Fg%2F11rz7fzr8j!19sChIJCxd62-M_-RIRyMVAMO_cS_Y?authuser=0&hl=fr&rclk=1
ChIJX0h66C34-BIRT76eJEF6NI0,Ezzouhour,,False,3,,Ezzouhour (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPvpNYB7arVBj0_IHAXJK8JkLWXxhzbZrnMTpLC=w408-h544-k-no,Cafe,Cafe,4.7,,,,"PGXF+X8H Ezzouhour, P15, Maial Bal Abbas",,https://www.google.com/maps/place/Ezzouhour/data=!4m7!3m6!1s0x12f8f82de87a485f:0x8d347a41249ebe4f!8m2!3d34.7499497!4d8.5233675!16s%2Fg%2F1tfdw1x3!19sChIJX0h66C34-BIRT76eJEF6NI0?authuser=0&hl=fr&rclk=1
ChIJlzyiSVU5VRIRfLqI2DNAAG4,Cafe ezzouhour,,False,3,,Cafe ezzouhour (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipObqa6WbkINLLpxN5o-ByGN5HE2rq8veoWJ_68l=w426-h240-k-no,Cafe,Cafe,5,06:00-23:00,,,"M9C3+RQ Cafe ezzouhour, Al-Zar At",,https://www.google.com/maps/place/Cafe+ezzouhour/data=!4m7!3m6!1s0x1255395549a23c97:0x6e004033d888ba7c!8m2!3d33.672037!4d10.3544459!16s%2Fg%2F11syshhrg4!19sChIJlzyiSVU5VRIRfLqI2DNAAG4?authuser=0&hl=fr&rclk=1
ChIJ7c_-zPM_-RIR4M71ypUc54Y,My Way coffee shop,,False,3,,My Way coffee shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOtWeui-cOpfkXrpnl7FDc0Q19dcoHOs9dIdUit=w408-h271-k-no,Cafe,Cafe,5,Ouvert 24h/24,,97 221 055,"5RFW+PH9 My Way coffee shop, Kasserine",,https://www.google.com/maps/place/My+Way+coffee+shop/data=!4m7!3m6!1s0x12f93ff3ccfecfed:0x86e71c95caf5cee0!8m2!3d35.1742841!4d8.8464926!16s%2Fg%2F11q2yr_bbm!19sChIJ7c_-zPM_-RIR4M71ypUc54Y?authuser=0&hl=fr&rclk=1
