place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJg_rm-nQ0_RIR2guj6aUCaC0,EL ALI Resto & Cafe Culturel,,False,532,https://instagram.com/resto_el_ali%3Figshid%3DOGQ2MjdiOTE%3D,EL ALI Resto & Cafe Culturel (proprietaire),https://www.google.com/maps/contrib/114444395705674073490,https://lh5.googleusercontent.com/p/AF1QipNmihF4SA_zSUh8dCGKe4RqYNiXC3s50L-3MHNO=w408-h271-k-no,Restaurant,"Restaurant, Cafe",4.2,08:00-17:00,dimanche,71 321 927,"EL ALI Resto & Cafe Culturel, Rue Jamaa Ezzitouna, Tunis","petit dejeuner, tunisien, couscous, musique, service, coeur, tajine, souk, cuisine traditionnelle, entree",https://www.google.com/maps/place/EL+ALI+Resto+%26+Caf%C3%A9+Culturel/data=!4m7!3m6!1s0x12fd3474fae6fa83:0x2d6802a5e9a30bda!8m2!3d36.7981557!4d10.172971!16s%2Fg%2F113hnpbqr!19sChIJg_rm-nQ0_RIR2guj6aUCaC0?authuser=0&hl=fr&rclk=1
ChIJnfGkbZ604hIRFHo1zFvlBCU,Kahoua El Alia,,False,409,https://www.facebook.com/Cafe.Culturel.El.Aliya.La.Marsa,Kahoua El Alia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqQoh62Zk6U1vWcz2nCj0mUerq4C5eKeofXGD-=w408-h544-k-no,Salon de the,Salon de the,4,08:00-20:00,,,"Kahoua El Alia, Cafe des Nattes, Site archeologique de Carthage","touristes, vue, chicha, espace, jus, mer, the a la menthe, dinar, payer, amande",https://www.google.com/maps/place/Kahoua+El+Alia/data=!4m7!3m6!1s0x12e2b49e6da4f19d:0x2504e55bcc357a14!8m2!3d36.871108!4d10.3481667!16s%2Fg%2F1hd_2v7tp!19sChIJnfGkbZ604hIRFHo1zFvlBCU?authuser=0&hl=fr&rclk=1
ChIJiSFXDEM1_RIRyrPgH3UzeQg,Obladi Coffee,,False,254,,Obladi Coffee (proprietaire),https://www.google.com/maps/contrib/118414528732555765080,https://lh5.googleusercontent.com/p/AF1QipMT2qhIMCUig0bCKhYeNBybj6mCbsKncn2EZibq=w408-h408-k-no,Cafe,Cafe,4.2,07:00-22:00,,24 318 745,"Obladi Coffee, Rue du Lac Huron, Tunis","prix, atmosphere, musique, serveur, experience, brunch, etudiants, croissant, methode d'apprentissage, sourire",https://www.google.com/maps/place/Obladi+Coffee/data=!4m7!3m6!1s0x12fd35430c572189:0x87933751fe0b3ca!8m2!3d36.8366942!4d10.24654!16s%2Fg%2F11f57k77c7!19sChIJiSFXDEM1_RIRyrPgH3UzeQg?authuser=0&hl=fr&rclk=1
ChIJiYq1Ulsz_RIR-R1c3NNake4,"Le Chat Noir, Espresso bar",,False,28,,"Le Chat Noir, Espresso bar (proprietaire)",https://www.google.com/maps/contrib/107428938211296904740,https://lh5.googleusercontent.com/p/AF1QipNUT8RqAiRJvA6qp7iaKkGUmX02vJ_siffAPnFR=w408-h306-k-no,Cafe specialise dans les boissons expresso,"Cafe specialise dans les boissons expresso, Boutique de desserts",4.7,07:00-21:00,dimanche,55 621 770,"Le Chat Noir, Espresso bar, 8 Ter, Av. Salah Ben Youssef, Tunis 1013",,"https://www.google.com/maps/place/Le+Chat+Noir,+Espresso+bar/data=!4m7!3m6!1s0x12fd335b52b58a89:0xee915ad3dc5c1df9!8m2!3d36.8461824!4d10.1591044!16s%2Fg%2F11cn0vh067!19sChIJiYq1Ulsz_RIR-R1c3NNake4?authuser=0&hl=fr&rclk=1"
ChIJDzuAL5_L4hIRyzCPFs_JFuw,Cafe 4U,,False,15,,Cafe 4U (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMs6VWlBquEcDzm1PmkR8t6HIrJTSHUFvhVgVvq=w408-h307-k-no,Cafe,Cafe,4.3,06:00-00:00,,20 244 012,"Cafe 4U, Gouvernorat de l, 33 Palestine, 2083",,https://www.google.com/maps/place/Cafe+4U/data=!4m7!3m6!1s0x12e2cb9f2f803b0f:0xec16c9cf168f30cb!8m2!3d36.8893843!4d10.1803164!16s%2Fg%2F11j20t95wm!19sChIJDzuAL5_L4hIRyzCPFs_JFuw?authuser=0&hl=fr&rclk=1
ChIJzz_eYgdj-RIRFIPTmLxeC_Y,Sweet Cafe (qhw@ lrlw),,False,12,,Sweet Cafe (qhw@ lrlw) (proprietaire),https://www.google.com/maps/contrib/108165276518820125534,https://lh5.googleusercontent.com/p/AF1QipOF_Uh91vnXNI0HQajyoTT0akRdOoF04zont-BI=w408-h306-k-no,Salon de the,Salon de the,5,Ouvert 24h/24,,20 261 962,"Sweet Cafe (qhw@ lrlw), P17, Thala",,https://www.google.com/maps/place/Sweet+Caf%C3%A9+%28%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%B1%D8%A7%D9%84%D9%88%29%E2%80%AD/data=!4m7!3m6!1s0x12f9630762de3fcf:0xf60b5ebc98d38314!8m2!3d35.5647658!4d8.6748507!16s%2Fg%2F11ght9btry!19sChIJzz_eYgdj-RIRFIPTmLxeC_Y?authuser=0&hl=fr&rclk=1
ChIJPzlo7CLT4hIRjA6OLSXfDKQ,ALTA CAFFE,,False,10,,ALTA CAFFE (proprietaire),https://www.google.com/maps/contrib/102176679609031855216,https://lh5.googleusercontent.com/p/AF1QipNyXmlveinsaPvAV1K0uLDZJeb5T958ILndG9Is=w408-h306-k-no,Cafe,"Cafe, Fabricant",4.5,08:00-18:00,dimanche,70 553 612,"ALTA CAFFE, Route de Bejaoua KM 7, Sidi Thabet 2020",,https://www.google.com/maps/place/ALTA+CAFF%C3%88/data=!4m7!3m6!1s0x12e2d322ec68393f:0xa40cdf252d8e0e8c!8m2!3d36.8928855!4d10.0267889!16s%2Fg%2F1hm3d5wyd!19sChIJPzlo7CLT4hIRjA6OLSXfDKQ?authuser=0&hl=fr&rclk=1
ChIJda5LdQSl-xIRqr_aifpIqA0,Cafe ALA EDDINE,,False,9,,Cafe ALA EDDINE (proprietaire),https://www.google.com/maps/contrib/103764051645997476279,https://lh5.googleusercontent.com/p/AF1QipOahOaiJlFXYxd7LJ8ua7pynPwnB8eCfGArNW6G=w408-h306-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,98 776 767,"Cafe ALA EDDINE, El Kef",,https://www.google.com/maps/place/Caf%C3%A9+ALA+EDDINE/data=!4m7!3m6!1s0x12fba504754bae75:0xda848fa89dabfaa!8m2!3d36.1565625!4d8.6980625!16s%2Fg%2F11cnwqs1lr!19sChIJda5LdQSl-xIRqr_aifpIqA0?authuser=0&hl=fr&rclk=1
ChIJuTQqd3Dq-BIRQAp8OXvABnU,Cafe les Zidi,,False,9,,Cafe les Zidi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJqN5PRzPx3kpxdGaV_pOW3mPbGIeRvcRJ_4Ra=w408-h306-k-no,Cafe,Cafe,4.1,06:00-01:00,,25 550 509,HRXG+7V6 Cafe les Zidi,,https://www.google.com/maps/place/Caf%C3%A9+les+Zidi/data=!4m7!3m6!1s0x12f8ea70772a34b9:0x7506c07b397c0a40!8m2!3d34.5981554!4d8.8271556!16s%2Fg%2F11bzrgwb4p!19sChIJuTQqd3Dq-BIRQAp8OXvABnU?authuser=0&hl=fr&rclk=1
ChIJ0xQGbEmk-xIRNONKlkfdaWo,Cafe Ras el Ain,,False,8,https://www.facebook.com/kefcentre/about/%3Fref%3Dpage_internal,Cafe Ras el Ain (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNFZidiGlyY-uxuSzC2bYPjZfhg0X7Fn2RpXVl=w408-h306-k-no,Cafe,Cafe,4.5,,,,"5PJ6+47R Cafe Ras el Ain, Le Kef",,https://www.google.com/maps/place/Cafe+Ras+el+Ain/data=!4m7!3m6!1s0x12fba4496c0614d3:0x6a69dd47964ae334!8m2!3d36.1803642!4d8.7106485!16s%2Fg%2F11dzdvvj2t!19sChIJ0xQGbEmk-xIRNONKlkfdaWo?authuser=0&hl=fr&rclk=1
ChIJgRiVg8Wl-xIRUzY7oNWZzNw,cafe l'Artisto,,False,7,https://m.facebook.com/pages/category/Cafeteria/Caf%25C3%25A9-lartisto-110981441389551/,cafe l'Artisto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMIGw_1DQj41den2AdBzRAKf5bJK9jrkRUKNAs=w408-h360-k-no,Cafe,Cafe,5,Ouvert 24h/24,,90 054 034,"5PJ6+4FH cafe l'Artisto, Le Kef",la musique,https://www.google.com/maps/place/cafe+l%27Artisto/data=!4m7!3m6!1s0x12fba5c583951881:0xdccc99d5a03b3653!8m2!3d36.180314!4d8.711236!16s%2Fg%2F11s535r_bg!19sChIJgRiVg8Wl-xIRUzY7oNWZzNw?authuser=0&hl=fr&rclk=1
ChIJl-2jxAtL_RIRbgJtUlqlPSU,Melody Cafe,,False,7,,Melody Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM0rAa95N9EgznvEcVD5qC-On6fAastRiVKYD5n=w408-h906-k-no,Cafe,Cafe,4.9,07:00-23:00,,53 242 995,"R8G6+7F3 Melody Cafe, La Goulette",,https://www.google.com/maps/place/Melody+Caf%C3%A9/data=!4m7!3m6!1s0x12fd4b0bc4a3ed97:0x253da55a526d026e!8m2!3d36.8256335!4d10.3111769!16s%2Fg%2F11rtc8r1_l!19sChIJl-2jxAtL_RIRbgJtUlqlPSU?authuser=0&hl=fr&rclk=1
ChIJMRLdSwEu_RIRLmKA2wYq6F8,cafe in,,False,7,,cafe in (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOJnQPnSwLTetS4wMipdNyVXgEVh506bXtIMuds=w408-h544-k-no,Cafe,Cafe,4.1,06:30-23:00,,,"Q3HG+P5P cafe in, Tunis",,https://www.google.com/maps/place/caf%C3%A9+in/data=!4m7!3m6!1s0x12fd2e014bdd1231:0x5fe82a06db80622e!8m2!3d36.7793423!4d10.075453!16s%2Fg%2F11fx8cmjwv!19sChIJMRLdSwEu_RIRLmKA2wYq6F8?authuser=0&hl=fr&rclk=1
ChIJB-jEW3A5_xIR76s6I82OlNA,Cafe El Nidhal,,False,5,,Cafe El Nidhal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOHpb_gcPhNdB8_eySGRyf5dhtsarTOC8__EjcN=w408-h725-k-no,Cafe,Cafe,4.8,06:30-00:00,,,"HCFC+95G Cafe El Nidhal, Menzel Bouzaiane",,https://www.google.com/maps/place/Caf%C3%A9+El+Nidhal/data=!4m7!3m6!1s0x12ff39705bc4e807:0xd0948ecd233aabef!8m2!3d34.5734283!4d9.4204455!16s%2Fg%2F11c480jp8z!19sChIJB-jEW3A5_xIR76s6I82OlNA?authuser=0&hl=fr&rclk=1
