place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJURu_qP38-hIRI8sm8w05_pw,Cafe La gare,,False,15,,Cafe La gare (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPQdLXU1jSnDh-YqbDLwSN6UiAL-S3q9nz-Sgiq=w408-h544-k-no,Cafe,Cafe,4.1,06:00-21:00,,,"CCXQ+77M Cafe La gare, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+La+gare/data=!4m7!3m6!1s0x12fafcfda8bf1b51:0x9cfe390df326cb23!8m2!3d36.4482163!4d8.4381787!16s%2Fg%2F1hm3yrqg4!19sChIJURu_qP38-hIRI8sm8w05_pw?authuser=0&hl=fr&rclk=1
ChIJTdX9JhH9-hIRdYarDmMhWck,Cafe Tom,,False,12,,Cafe Tom (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPoERLfD-SNG8JL2jZnCFL1O3TPuv49R0Ss92U6=w408-h725-k-no,Cafe,Cafe,4.8,Ouvert 24h/24,,20 176 530,"FF32+246 Cafe Tom, Unnamed Road, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Tom/data=!4m7!3m6!1s0x12fafd1126fdd54d:0xc95921630eab8675!8m2!3d36.4525423!4d8.4502612!16s%2Fg%2F11gk8r5tss!19sChIJTdX9JhH9-hIRdYarDmMhWck?authuser=0&hl=fr&rclk=1
ChIJu8IyFQL9-hIRK3ONqRwj9WM,Cafe black and white,,False,10,,Cafe black and white (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYvpxpTecatVAKQz_AN5JattEq1BdNJQYpv33W=w408-h544-k-no,Cafe,Cafe,4.7,Ouvert 24h/24,,,"CCWR+QJJ Cafe black and white, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+black+and+white/data=!4m7!3m6!1s0x12fafd021532c2bb:0x63f5231ca98d732b!8m2!3d36.4469635!4d8.4415083!16s%2Fg%2F11bzywq8c_!19sChIJu8IyFQL9-hIRK3ONqRwj9WM?authuser=0&hl=fr&rclk=1
ChIJS_ACr_38-hIRe6GhzDKZP_U,Resto Top Five,,False,8,,Resto Top Five (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO3l0w8QSP6u7pKj7aP5MuOjVZYcnXy5Zhg2qzh=w408-h302-k-no,Restaurant,Restaurant,4,09:00-23:00,vendredi,,"CCXQ+57J Resto Top Five, Av. Hedi Chaker, Ghardimaou",,https://www.google.com/maps/place/Resto+Top+Five/data=!4m7!3m6!1s0x12fafcfdaf02f04b:0xf53f9932cca1a17b!8m2!3d36.4479716!4d8.4381367!16s%2Fg%2F11ddx8mk6q!19sChIJS_ACr_38-hIRe6GhzDKZP_U?authuser=0&hl=fr&rclk=1
ChIJC13pygL9-hIRtgKlGPs0wQw,Cafe Bejjoudi,,False,7,,Cafe Bejjoudi (proprietaire),,,Cafe,Cafe,4,Ouvert 24h/24,,78 000 000,"FC2R+8P8 Cafe Bejjoudi, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Bejjoudi/data=!4m7!3m6!1s0x12fafd02cae95d0b:0xcc134fb18a502b6!8m2!3d36.4507752!4d8.4418272!16s%2Fg%2F11g8wpq6vc!19sChIJC13pygL9-hIRtgKlGPs0wQw?authuser=0&hl=fr&rclk=1
ChIJB3JzSwD9-hIRyOUivqwSeu0,Salon de the Elfoundou lfwndw,,False,7,https://www.facebook.com/profile.php%3Fid%3D61555820297118%26mibextid%3DLQQJ4d%26refid%3D17%26_ft_%3Dencrypted_tracking_data.0AY9ofXRBz_knnIV9A9056-bkOkFks0pWRWdtl2nyUBDXZ6HFc5YsLtinlDEM1RJsqfG_MnFbQdj2VaZGaPKrANf5QJOkHuHLaPEFfUkUgUypTQXCpgN4wzhR-Q1UwX28p68Tx5N_LdRdvEqAS0MxdxJgbSA067UTmXhtQFyqynFAXMly3TXNXr8zI0JbJwbjWANVLT7c2LZMkMHOD0xxZwW2XOOSf44UuFBobtVjPcWbmA6mfynl8hnvgFoki_utV8fSGHgh_MgL1i2ppga91yutgRT3t28v2LxW6SlB3yFuc8CxEIRmpcKZLmkjgfGM-bkIZhxdn1u5ju6CCsS-do2i8GA62nMoaFoR8w16RCLw7KqNuAKbJNyamxwcnW6fObzOk0PpDIMa7rdPE58OVWtaqbpwsrfDF9OLOfwOHaCOkeOXg9zT_W57PtwXULdXIkUPlP0Z6kwmcYOpRO-KY60r5GXM3PI2TLLAu7tsmRiokK8Tr11I5z1cWkj4tbKUcRMaIXDNrlGPgULcJjlEclWmlHLeLbXdF-Ryd4m4eiRZC3eDH0m0l6OpQ7cXxlNKHDDRzAL2Dr2dYYpW8U1OfjVWOJckj1Ve_oS6ccSgFaDPW91ae42BZuVOAsslHNcTI4LH8E7d6T5hmV_w8rzf2v-DkH1FEwyY9VSG_YH6gOK-AcBv1RpAsdj1XcnODSVSnsZ7tY2OybpyFyzNdZ-OI_DI-n7fryDvjrXyEslFqPrC19DMHDbzf2EGrEo7PfvJbkYQ4PdyRf6nHuDU2fZcGDX9dGQxvxPX8LWd-0tlHcbZyyz-dJtRb100gBfVWy_HQhi_UNvHSXSDrphB_e02RNJzozTCU__Fo3g3P2rxinEWD4cPZaEAeRYdC6eE-s_CE1XBF7OdjMHvw5gnQo6RjT_aJBQ7YiHpQZvIbSp1zLXNjO7P8_Nr0pHepQi4GSqDtn3EvgHlwOC-ddZRj63rMNe1Q5AhAi_9sCkF2Fzp719ThBXIBgVRPxL2QupKZcerE3TXuJxFujRm0awAf8iEi0Y60mGE6Qewr1uE7BusqzRpmEm2jpZ7VLs0xPDtXYaiQsR_QaC9ma7ZpQTDmMSx7uZzXAjf_MJL15q6bGuj8L7k9wbIjEnQo3B62_itld5fgs-pVrJMzVnk5jaAia6y3pWEVwyRiVcA1bQ2VKtDlFo6zLRArBUG5WOyXie6smHwgXYewyoinyZit_NI88FrxtD_EDTONb3c7235x5A-qtRKDbzwGOIZvyT8tFFXZ3PzZEy8S3yEUTMH8QAaGQVYzf6CtQMoy2dXU1R5asdSinDGTxn_RdYMyOHupYvOCi4fXgmbmnYiHKSfDh1PgKF7verQ0smCb-0jJRCgk4-OLYkubyv5HCJASG96pU-nnL1QYdzhzhCLKLdiw3xEUlz-1Qb_HCeGswdsao0PeVVB1IpkpqsmL6IF11BmvqB_TYFHdQJyzlmq4IhdmsQ4fVTpfZM%26__tn__%3D%252As-R%26paipv%3D0%26eav%3DAfYge7uWp3rvmUMH8zxH2OTDSlY7yEzN4TiDGYymVa14DymhLgh-IOXZ2jWC77xHk5U,Salon de the Elfoundou lfwndw (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTtmYJ35YZj_lQp7CU4-Y2677UkbB5OU0tSvBn=w408-h544-k-no,Cafe,Cafe,4.9,06:10-00:00,,58 916 688,"FC3H+327 Salon de the Elfoundou lfwndw, P6, Ghardimaou",,https://www.google.com/maps/place/Salon+de+th%C3%A8+Elfoundou+%D8%A7%D9%84%D9%81%D9%88%D9%86%D8%AF%D9%88%E2%80%AD/data=!4m7!3m6!1s0x12fafd004b737207:0xed7a12acbe22e5c8!8m2!3d36.4527009!4d8.4275563!16s%2Fg%2F11vsj1f1t7!19sChIJB3JzSwD9-hIRyOUivqwSeu0?authuser=0&hl=fr&rclk=1
ChIJN0OXeP38-hIRBiMSvt87y-g,Cafe Jdidi,,False,6,,Cafe Jdidi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAa8fVLTCJI1fq5RCpK1qagcdMN4gIkg7PPPgt=w408-h725-k-no,Cafe,Cafe,4.8,06:00-23:00,,,"CCXQ+9X2 Cafe Jdidi, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Jdidi/data=!4m7!3m6!1s0x12fafcfd78974337:0xe8cb3bdfbe122306!8m2!3d36.4483895!4d8.4398831!16s%2Fg%2F11fy4l0q3k!19sChIJN0OXeP38-hIRBiMSvt87y-g?authuser=0&hl=fr&rclk=1
ChIJ3c16bzj9-hIRp-95ftNNjjg,Cafe Diwani,,False,4,,Cafe Diwani (proprietaire),https://www.google.com/maps/contrib/114126452502801442209,https://lh5.googleusercontent.com/p/AF1QipM8ZH5rJTptsXMhNfmVx0SvqkpYI2n-tSIspMS_=w408-h306-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,21 938 946,"Cafe Diwani, P6",,https://www.google.com/maps/place/Caf%C3%A9+Diwani/data=!4m7!3m6!1s0x12fafd386f7acddd:0x388e4dd37e79efa7!8m2!3d36.4510656!4d8.4410703!16s%2Fg%2F11f62hd2nk!19sChIJ3c16bzj9-hIRp-95ftNNjjg?authuser=0&hl=fr&rclk=1
ChIJofoe7wL9-hIRtWPxPVv50qs,Cafe Jalel,,False,4,,Cafe Jalel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMMhsO2X33xpswpexmrof53sd4Omz0AIykNPSaC=w408-h725-k-no,Cafe,Cafe,4,05:00-22:00,,,"CCXR+HRR Cafe Jalel, Av. Habib Bourguiba, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Jal%C3%A9l/data=!4m7!3m6!1s0x12fafd02ef1efaa1:0xabd2f95b3df163b5!8m2!3d36.4489955!4d8.4420024!16s%2Fg%2F11g9q598vm!19sChIJofoe7wL9-hIRtWPxPVv50qs?authuser=0&hl=fr&rclk=1
ChIJdXxTDQL9-hIRQfz1CfKlj7Y,Cafetirya,,False,4,,Cafetirya (proprietaire),,,Cafe,Cafe,4,06:00-21:00,,,"CCWR+QC2 Cafetirya, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9tirya/data=!4m7!3m6!1s0x12fafd020d537c75:0xb68fa5f209f5fc41!8m2!3d36.4468852!4d8.4410202!16s%2Fg%2F11fy4hgdgt!19sChIJdXxTDQL9-hIRQfz1CfKlj7Y?authuser=0&hl=fr&rclk=1
ChIJP1BH-vz8-hIRO47j6owcIfw,Cafe Zigavou,,False,3,,Cafe Zigavou (proprietaire),,,Cafe,Cafe,4,06:00-00:00,,,"CCXP+HRJ Cafe Zigavou, Rue Farhat Hached, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Zigavou/data=!4m7!3m6!1s0x12fafcfcfa47503f:0xfc211c8ceae38e3b!8m2!3d36.4489589!4d8.4370197!16s%2Fg%2F11gcz3gy8h!19sChIJP1BH-vz8-hIRO47j6owcIfw?authuser=0&hl=fr&rclk=1
