place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJF57g3A1J_RIRScL7-ccMC98,Let's Waffle,,False,20,https://www.facebook.com/profile.php%3Fid%3D100090508456915,Let's Waffle (proprietaire),https://www.google.com/maps/contrib/101095645332684557153,https://lh5.googleusercontent.com/p/AF1QipOo3eK19yn7A7mrz8rH95rhJXNpIsQjTcOy7fVl=w408-h544-k-no,Magasin de the aux perles,"Magasin de the aux perles, Boutique de desserts, Restaurant, Boutique de boissons sans alcool",4.5,10:00-21:30,mardi,26 085 503,"Let's Waffle, 8 Av. Habib Bourguiba, Hammam-Lif 2050",,https://www.google.com/maps/place/Let%27s+Waffle/data=!4m7!3m6!1s0x12fd490ddce09e17:0xdf0b0cc7f9fbc249!8m2!3d36.7319278!4d10.3366181!16s%2Fg%2F11txtf82ls!19sChIJF57g3A1J_RIRScL7-ccMC98?authuser=0&hl=fr&rclk=1
ChIJGdH0FTpJ_RIR3bvvnk78JRw,Cafe Rossignol,,False,16,,Cafe Rossignol (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPXdT0-6U3bTQYsahYly9f1Nmi5XQSIYrzsSuo=w426-h240-k-no,Cafe,Cafe,4,06:00-00:00,,,"P8MP+8V2 Cafe Rossignol, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A9+Rossignol/data=!4m7!3m6!1s0x12fd493a15f4d119:0x1c25fc4e9eefbbdd!8m2!3d36.7332514!4d10.337142!16s%2Fg%2F11dxdzynxw!19sChIJGdH0FTpJ_RIR3bvvnk78JRw?authuser=0&hl=fr&rclk=1
ChIJ_UwLCN9O_RIRETtdC6SHjIg,salon de the amazonia,,False,11,,salon de the amazonia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMukXzCsCSMM_engAUQV8Y6OfKpD9WQbQ8UWTS7=w408-h306-k-no,Cafe,Cafe,4.4,07:35-15:15,,,"P999+2Q4 salon de the amazonia, Hammam-Lif",,https://www.google.com/maps/place/salon+de+th%C3%A9+amazonia/data=!4m7!3m6!1s0x12fd4edf080b4cfd:0x888c87a40b5d3b11!8m2!3d36.7175022!4d10.3694668!16s%2Fg%2F11c310q31_!19sChIJ_UwLCN9O_RIRETtdC6SHjIg?authuser=0&hl=fr&rclk=1
ChIJ8aHTQVBJ_RIRwlhgNSQ8Thg,Cafe-Restaurant 59,,False,10,,Cafe-Restaurant 59 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjUn-zudkqgFgbNL-bXUr0JfyIbXmqaK1jp-Iv=w489-h240-k-no,Pizzeria,Pizzeria,4,Ouvert 24h/24,,92 232 177,"P8PJ+X2W Cafe-Restaurant 59, Unnamed Road,, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A9-Restaurant+59/data=!4m7!3m6!1s0x12fd495041d3a1f1:0x184e3c24356058c2!8m2!3d36.737485!4d10.3300641!16s%2Fg%2F11smnrxh8f!19sChIJ8aHTQVBJ_RIRwlhgNSQ8Thg?authuser=0&hl=fr&rclk=1
ChIJaTDno7FP_RIRJlJ-6m10LHE,Coco Coffee,,False,9,,Coco Coffee (proprietaire),https://www.google.com/maps/contrib/114944584028932767032,https://lh5.googleusercontent.com/p/AF1QipOXcIIcwgLTX42c6tQ-OSVnXaHHcNhYZP75jmof=w408-h305-k-no,Cafe,Cafe,4.2,06:00-23:30,,,"Coco Coffee, Hammam-Lif",,https://www.google.com/maps/place/Coco+Coffee/data=!4m7!3m6!1s0x12fd4fb1a3e73069:0x712c746dea7e5226!8m2!3d36.7212002!4d10.3678302!16s%2Fg%2F11gjs8ktn3!19sChIJaTDno7FP_RIRJlJ-6m10LHE?authuser=0&hl=fr&rclk=1
ChIJSZCGgsRJ_RIRqRe9h4q-RjI,The Lab Cofee,,False,8,,The Lab Cofee (proprietaire),,,Cafe,Cafe,4.9,07:00-23:00,,58 753 651,"P8JP+RR4 The Lab Cofee, Rue Habib Bougatfa, Hammam-Lif 2050",,https://www.google.com/maps/place/The+Lab+Cofee/data=!4m7!3m6!1s0x12fd49c482869049:0x3246be8a87bd17a9!8m2!3d36.7320173!4d10.3370834!16s%2Fg%2F11h22jnw0q!19sChIJSZCGgsRJ_RIRqRe9h4q-RjI?authuser=0&hl=fr&rclk=1
ChIJX1BK0VtJ_RIRZUgg8fWCFqA,Cafe resto M59,,False,7,,Cafe resto M59 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8XBtfWHV3ClXPpdKc_xsQodBISnQNvl9bV-Mb=w408-h544-k-no,Cafe,Cafe,4.7,08:00-22:25,mardi,97 445 322,"Cafe resto M59, 59 bchira ben mrad, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A9+resto+M59/data=!4m7!3m6!1s0x12fd495bd14a505f:0xa01682f5f1204865!8m2!3d36.7379929!4d10.3295175!16s%2Fg%2F11tcjpf431!19sChIJX1BK0VtJ_RIRZUgg8fWCFqA?authuser=0&hl=fr&rclk=1
ChIJQ0-Wj2pJ_RIRdGBS1vgl7CU,cafe brasilia,,False,7,https://www.facebook.com/Brasilia-coffee-101155535909236,cafe brasilia (proprietaire),https://www.google.com/maps/contrib/102021780977699731486,https://lh5.googleusercontent.com/p/AF1QipNNWEkIQ8QLfH-rwFrPJP7cZwmaJxKVDlyoYHsn=w408-h543-k-no,Cafe,Cafe,4,06:00-00:00,,27 558 909,"cafe brasilia, cite casino, Hammam-Lif 2050",,https://www.google.com/maps/place/caf%C3%A9+brasilia/data=!4m7!3m6!1s0x12fd496a8f964f43:0x25ec25f8d6526074!8m2!3d36.7331146!4d10.3368816!16s%2Fg%2F11qbxzytx7!19sChIJQ0-Wj2pJ_RIRdGBS1vgl7CU?authuser=0&hl=fr&rclk=1
ChIJ4bJbwixJ_RIRYlb2SbhMwJg,Cafe Chaabia,,False,6,,Cafe Chaabia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO9OIF845dalDwDkjNSDyqsosDgAsda4al08I8X=w408-h306-k-no,Cafe,Cafe,4.7,05:30-23:00,,25 641 601,"Cafe Chaabia, n15, Avenue Charles Nicolle, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A8+Chaabia/data=!4m7!3m6!1s0x12fd492cc25bb2e1:0x98c04cb849f65662!8m2!3d36.7245618!4d10.3484431!16s%2Fg%2F11dxrr7_g_!19sChIJ4bJbwixJ_RIRYlb2SbhMwJg?authuser=0&hl=fr&rclk=1
ChIJ7WkN6CdP_RIRoQUEt0QI-T8,Cafe Zina,,False,6,,Cafe Zina (proprietaire),,,Cafe,Cafe,4.7,06:00-23:00,,,"P986+2P8 Cafe Zina, P1, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A9+Zina/data=!4m7!3m6!1s0x12fd4f27e80d69ed:0x3ff90844b70405a1!8m2!3d36.7150477!4d10.3618418!16s%2Fg%2F1tf3l3vr!19sChIJ7WkN6CdP_RIRoQUEt0QI-T8?authuser=0&hl=fr&rclk=1
ChIJ9cpKvKhP_RIRW3EMYsheO5E,Cafe Wifi,,False,5,,Cafe Wifi (proprietaire),,,Cafe,Cafe,4,07:00-23:00,,,"P979+623 Cafe Wifi, Av. de la paix, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A9+Wifi/data=!4m7!3m6!1s0x12fd4fa8bc4acaf5:0x913b5ec8620c715b!8m2!3d36.7130217!4d10.3675313!16s%2Fg%2F11k36xz37k!19sChIJ9cpKvKhP_RIRW3EMYsheO5E?authuser=0&hl=fr&rclk=1
ChIJBXab9jBJ_RIRjGsi2NovECs,La Cabane (Sardouk),,False,5,,La Cabane (Sardouk) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOFYAATJM3EpTqLCV6hyUDYO9oVBgEamlEcFSRC=w408-h306-k-no,Cafe,Cafe,4.8,Ouvert 24h/24,,,"P8QH+G6P La Cabane (Sardouk), Rue Saad Zaghloul, Hammam-Lif",,https://www.google.com/maps/place/La+Cabane+%28Sardouk%29/data=!4m7!3m6!1s0x12fd4930f69b7605:0x2b102fdad8226b8c!8m2!3d36.7388324!4d10.3280664!16s%2Fg%2F11jx1x2rht!19sChIJBXab9jBJ_RIRjGsi2NovECs?authuser=0&hl=fr&rclk=1
ChIJH8IFvNdJ_RIRiZJD1dpg6yk,Hammam Linf,,False,5,,Hammam Linf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMytQM92fPkZAsnACYEZzISdwjjzzBuSWFkfLf0=w408-h306-k-no,Cafe,Cafe,4,06:00-00:00,,,"P8MP+7WP Hammam Linf, Rue Habib Bougatfa, Hammam-Lif",,https://www.google.com/maps/place/Hammam+Linf/data=!4m7!3m6!1s0x12fd49d7bc05c21f:0x29eb60dad5439289!8m2!3d36.7319982!4d10.3371357!16s%2Fg%2F11h22k43cx!19sChIJH8IFvNdJ_RIRiZJD1dpg6yk?authuser=0&hl=fr&rclk=1
ChIJt_ZpjMlJ_RIREJwqUyzZ-mM,3 Bro's,,False,4,,3 Bro's (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM8q1orKjj3z8eqrXiPsnXMZWSs346fHPhqkEMR=w408-h306-k-no,Cafe,Cafe,4.5,,,,"3 Bro's, 6 Rue D' Alger, Hammam-Lif",,https://www.google.com/maps/place/3+Bro%27s/data=!4m7!3m6!1s0x12fd49c98c69f6b7:0x63fad92c532a9c10!8m2!3d36.7305559!4d10.3367031!16s%2Fg%2F11j1_n7gp3!19sChIJt_ZpjMlJ_RIREJwqUyzZ-mM?authuser=0&hl=fr&rclk=1
ChIJSdsNANlO_RIRPHWjfuwOGCo,BiancoNero,,False,4,https://www.facebook.com/Bianconero-1161385820673252/,BiancoNero (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNgsaxqyca4zJ7O98aMLsmIaa8GC_kwytGlSsY8=w408-h408-k-no,Salon de the,Salon de the,4.3,14:00-22:00,,71 421 893,"BiancoNero, 2, Avenue de l'independance, Hammam-Lif",,https://www.google.com/maps/place/BiancoNero/data=!4m7!3m6!1s0x12fd4ed9000ddb49:0x2a180eec7ea3753c!8m2!3d36.7187112!4d10.3638672!16s%2Fg%2F11f0_fns4t!19sChIJSdsNANlO_RIRPHWjfuwOGCo?authuser=0&hl=fr&rclk=1
ChIJdfAkTedJ_RIRimD-VnYo624,Cafe Ludo,,False,3,,Cafe Ludo (proprietaire),https://www.google.com/maps/contrib/103119754389010319586,https://lh5.googleusercontent.com/p/AF1QipNCMxt5OvcC0PYwTXtP_MPDzWngwDIQxbSLEtAB=w408-h544-k-no,Cafe,Cafe,4.7,06:00-00:00,,50 315 711,"Cafe Ludo, Rue Slaheddine Bouchoucha, Hammam-Lif 2050",,https://www.google.com/maps/place/Caf%C3%A9+Ludo/data=!4m7!3m6!1s0x12fd49e74d24f075:0x6eeb287656fe608a!8m2!3d36.7297928!4d10.3375532!16s%2Fg%2F11g1kvm5jz!19sChIJdfAkTedJ_RIRimD-VnYo624?authuser=0&hl=fr&rclk=1
