place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWTNdXAuK_RIRipBo2X7DUk4,Mio Mondo Cafe,,False,967,,Mio Mondo Cafe (proprietaire),https://www.google.com/maps/contrib/118013217065311971170,https://lh5.googleusercontent.com/p/AF1QipMFUaDmucMZW4GKm8_D1Az5sjOnRig5ES8mdYJn=w426-h240-k-no,Cafe,"Cafe, Marchand de glaces, Patisserie, Pizzeria, Restaurant, Centre commercial, Salon de the",4.1,07:00-01:00,,73 243 273,"Mio Mondo Cafe, route touristique khezema 4057, Boulevard du 14 Janvier, Sousse 4057","chicha, serveurs, glace, famille, fumeurs, brunch, pizza, service, terrasse, pourboire",https://www.google.com/maps/place/Mio+Mondo+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0b5c5d3359:0x4e52c37ed968908a!8m2!3d35.8585963!4d10.6146498!16s%2Fg%2F1tf5yh__!19sChIJWTNdXAuK_RIRipBo2X7DUk4?authuser=0&hl=fr&rclk=1
ChIJ7WuM7BGK_RIRmrMh7vUCPAQ,Restaurant Miam's Hammam Sousse,,False,661,,Restaurant Miam's Hammam Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZTU9OJqvFTc1Rjasm91AYvHw-ebeVC2CRYJhY=w408-h306-k-no,Restaurant,Restaurant,4.2,12:00-22:30,,56 177 097,"VJ74+HHG Restaurant Miam's Hammam Sousse, Rte de la Plage, Lebna","burger, pizza, service, qualite, serveurs, salade, cadre, cuisine, fast food, organisation",https://www.google.com/maps/place/Restaurant+Miam%27s+Hammam+Sousse/data=!4m7!3m6!1s0x12fd8a11ec8c6bed:0x43c02f5ee21b39a!8m2!3d35.8639355!4d10.6064403!16s%2Fg%2F11c5hkcxkq!19sChIJ7WuM7BGK_RIRmrMh7vUCPAQ?authuser=0&hl=fr&rclk=1
ChIJaSUuhAyK_RIRR4HPaAtUU-E,Big Ben Cafe,,False,468,https://www.facebook.com/BigBenRestoCafe/,Big Ben Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjnHclFyigcBpjIVFOQSWCWfUmC-kdLGCBQxlp=w408-h306-k-no,Cafe,Cafe,4,07:00-02:00,,58 573 854,"VJ67+392 Big Ben Cafe, Sousse","prix, enfants, brunch, serveur, famille, pizza, hamburger, plats, chaises, omelette",https://www.google.com/maps/place/Big+Ben+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0c842e2569:0xe153540b68cf8147!8m2!3d35.8601341!4d10.6133956!16s%2Fg%2F11g9r8syhh!19sChIJaSUuhAyK_RIRR4HPaAtUU-E?authuser=0&hl=fr&rclk=1
ChIJB4uGahOK_RIRs909Y3WZ3Lg,Cafe The Diesel,,False,296,https://www.facebook.com/pages/The-Diesel-Sousse/1720332748223002,Cafe The Diesel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPKNFlD85YsF5BlBMzrtM35dhy_1Td9-UJ7t-kz=w408-h306-k-no,Cafe,"Cafe, Torrefacteur",4,08:00-01:00,,52 777 278,"VJ53+WJ4 Cafe The Diesel, Hammam Sousse","petit dejeuner, prix, plats, brunch, qualite, decor, souriant, tayara, musique",https://www.google.com/maps/place/Caf%C3%A9+The+Diesel/data=!4m7!3m6!1s0x12fd8a136a868b07:0xb8dc9975633dddb3!8m2!3d35.8597585!4d10.6040643!16s%2Fg%2F11bz_2ckcc!19sChIJB4uGahOK_RIRs909Y3WZ3Lg?authuser=0&hl=fr&rclk=1
ChIJKXZFu3eK_RIRkiSJ8pahbkY,Twins Cafe,,False,279,,Twins Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM3oGR4cdMCNPQ2tTxh4GfT7AsACTPj_d-h_Jh-=w426-h240-k-no,Cafe,Cafe,4,08:00-00:00,,73 271 765,"RJX9+62V Twins Cafe, Av. 14 Janvier, Sousse","salon de the, serveur, chicha, brunch, omelette, prix",https://www.google.com/maps/place/Twins+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a77bb457629:0x466ea196f2892492!8m2!3d35.8481217!4d10.6175517!16s%2Fg%2F1hhjkrylf!19sChIJKXZFu3eK_RIRkiSJ8pahbkY?authuser=0&hl=fr&rclk=1
ChIJEf4aD42J_RIRGr-Uh7FoT4E,Waterside Cafe & Kitchen,,False,203,https://waterside.acquapalace.com/,Waterside Cafe & Kitchen (proprietaire),https://www.google.com/maps/contrib/100188806994942814175,https://lh5.googleusercontent.com/p/AF1QipNl-UYGJBOm4uy9xnWVmmRoTYpCrbs3GiUzXa_C=w408-h240-k-no-pi-10.403646-ya312.27063-ro-0.8310937-fo100,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.4,"08:30-16:30, 19:45-00:30",,73 246 050,"Waterside Cafe & Kitchen, Rue des Palmiers, Immeuble Acqua Palace, Hammam Sousse 4089","prix, petit dejeuner, service, hamburger, pizza, piscine, fumeurs, serveur, famille",https://www.google.com/maps/place/Waterside+Caf%C3%A9+%26+Kitchen/data=!4m7!3m6!1s0x12fd898d0f1afe11:0x814f68b18794bf1a!8m2!3d35.8895958!4d10.5947949!16s%2Fg%2F11c381p6gh!19sChIJEf4aD42J_RIRGr-Uh7FoT4E?authuser=0&hl=fr&rclk=1
ChIJ88rgY3N1AhMRPS26yaq0C04,Cafe Beb Al Medina,,False,175,https://www.facebook.com/BEBAlMedina/,Cafe Beb Al Medina (proprietaire),https://www.google.com/maps/contrib/112424319669691302706,https://lh5.googleusercontent.com/p/AF1QipNOwNdN5wsjuhiHfVc9_IhZoYW-68kKL_obk-YP=w408-h305-k-no,Salon de the,Salon de the,4.1,08:00-22:00,,29 594 200,"Cafe Beb Al Medina, Sousse","vue, prix, serveur, petit dejeuner, milkshake, crepe, burger, pizza, etage, mer",https://www.google.com/maps/place/Caf%C3%A9+Beb+Al+Medina/data=!4m7!3m6!1s0x1302757363e0caf3:0x4e0bb4aac9ba2d3d!8m2!3d35.8278877!4d10.6403986!16s%2Fg%2F11cs5m7v4j!19sChIJ88rgY3N1AhMRPS26yaq0C04?authuser=0&hl=fr&rclk=1
ChIJw0dRdfeL_RIR6vPGygi9y9s,Jazz Cafe,,False,153,,Jazz Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6kb_GrGvvFVcQjomypD-FS0QN7p_NuMJyxR3L=w408-h906-k-no,Cafe,Cafe,4.2,06:00-01:00,,52 405 204,"VJF2+HM9 Jazz Cafe, Hammam Sousse","petit dejeuner, musique, prix, serveur",https://www.google.com/maps/place/Jazz+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8bf7755147c3:0xdbcbbd08cac6f3ea!8m2!3d35.8739838!4d10.6016682!16s%2Fg%2F11tgd66p1g!19sChIJw0dRdfeL_RIR6vPGygi9y9s?authuser=0&hl=fr&rclk=1
ChIJmXnlCqeJ_RIR2EzX9y8PHuY,Cafe La Terrasse,,False,104,http://www.fastfoodformule1.com/,Cafe La Terrasse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNxPeRA8Fj-MmdH0ZxWdLhxCKRol7ZO83eNBWxh=w408-h544-k-no,Cafe,Cafe,4.2,07:00-01:00,,73 817 837,"WH6G+QF2 Cafe La Terrasse, Hammam Sousse","chicha, prix, cappuccino",https://www.google.com/maps/place/Caf%C3%A9+La+Terrasse/data=!4m7!3m6!1s0x12fd89a70ae57999:0xe61e0f2ff7d74cd8!8m2!3d35.9118785!4d10.5761513!16s%2Fg%2F1hdzp40j9!19sChIJmXnlCqeJ_RIR2EzX9y8PHuY?authuser=0&hl=fr&rclk=1
ChIJD5RzvW2K_RIRy-9mQsfpnrE,Cafe L'osmose,,False,50,,Cafe L'osmose (proprietaire),https://www.google.com/maps/contrib/107992813047240991532,https://lh5.googleusercontent.com/p/AF1QipNknrc-av5GLaC2Ur5_a0Jddcv9KO5RH64gSo2j=w408-h306-k-no,Cafe,Cafe,4.3,06:30-00:00,,26 558 550,"Cafe L'osmose, Hammam Sousse",,https://www.google.com/maps/place/Caf%C3%A9+L%27osmose/data=!4m7!3m6!1s0x12fd8a6dbd73940f:0xb19ee9c74266efcb!8m2!3d35.8545206!4d10.6069602!16s%2Fg%2F11f3ws04sc!19sChIJD5RzvW2K_RIRy-9mQsfpnrE?authuser=0&hl=fr&rclk=1
