place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJf_UBegJi_RIRD54Ic8-wk9o,Cafe Sidi Bouhdid,,False,1319,http://www.sidibouhdid.com/,Cafe Sidi Bouhdid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP2VrkY4ID0GfCKglCm1DnIRCfMMGRMlY32iu2M=w426-h240-k-no,Cafe,Cafe,4.1,06:00-00:00,,72 280 040,"9JV6+RPH Cafe Sidi Bouhdid, Rue Sidi Abdel Kader, Hammamet 8050","mer, vue, coucher de soleil, chicha, serveur, the a la menthe, terrasse, crepes, pignons, fort",https://www.google.com/maps/place/Caf%C3%A9+Sidi+Bouhdid/data=!4m7!3m6!1s0x12fd62027a01f57f:0xda93b0cf73089e0f!8m2!3d36.3945591!4d10.6118448!16s%2Fg%2F1tfdv4jd!19sChIJf_UBegJi_RIRD54Ic8-wk9o?authuser=0&hl=fr&rclk=1
ChIJ-5eE_wCeAhMRGccHlRndMCM,La Sirene,,False,309,,La Sirene (proprietaire),https://www.google.com/maps/contrib/109697982352619451307,https://lh5.googleusercontent.com/p/AF1QipPV1tGqW29Hg5xFOyJSehNaBg-ItOXU_RwSng80=w426-h240-k-no,Cafe,"Cafe, Restaurant",4,07:00-23:00,,72 282 652,"La Sirene, Avec. Assad ibn fourat, Hammamet 8050","mer, prix, eau, musique, poisson, terrasse, petit dejeuner, serveurs, couscous, dorade",https://www.google.com/maps/place/La+Sirene/data=!4m7!3m6!1s0x13029e00ff8497fb:0x2330dd199507c719!8m2!3d36.3965137!4d10.6224867!16s%2Fg%2F11cn9pp1tp!19sChIJ-5eE_wCeAhMRGccHlRndMCM?authuser=0&hl=fr&rclk=1
ChIJlX436_5h_RIR0l22p-BzBAA,Bridge Cafe,,False,106,,Bridge Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1x9gxUhYhuw19U_xXNvCklRE95P7jA30Tl_rT=w408-h544-k-no,Cafe,Cafe,4.3,Ouvert 24h/24,,,"9JX8+97V Bridge Cafe, Ave. de la Republique, Hammamet","petit dejeuner, prix",https://www.google.com/maps/place/Bridge+Caf%C3%A9/data=!4m7!3m6!1s0x12fd61feeb377e95:0x473e0a7b65dd2!8m2!3d36.3984765!4d10.6156635!16s%2Fg%2F11bbrn4trb!19sChIJlX436_5h_RIR0l22p-BzBAA?authuser=0&hl=fr&rclk=1
ChIJ1-KB5_1h_RIR6berpslgKEE,SIDI EL KILANI,,False,27,https://www.facebook.com/pages/Caf%25C3%25A9-Maure-Sidi-Kilani/331576000331940%3Ffref%3Dts,SIDI EL KILANI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMc0am733MQ7Q-pKbrJ_Q6mshtTXesnHqRdBWsZ=w425-h240-k-no,Cafe,Cafe,4.6,06:00-00:00,,23 207 070,"CJ29+28R SIDI EL KILANI, Hammamet","chicha, wifi",https://www.google.com/maps/place/SIDI+EL+KILANI/data=!4m7!3m6!1s0x12fd61fde781e2d7:0x412860c9a6abb7e9!8m2!3d36.4001075!4d10.6182668!16s%2Fg%2F11c54920c8!19sChIJ1-KB5_1h_RIR6berpslgKEE?authuser=0&hl=fr&rclk=1
ChIJT2R2iQ-eAhMR8qqacZaWCBk,Barbara Bistro Lounge,,False,25,,Barbara Bistro Lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVt80nZHNUdJgH50JjVKbJcEqBqc7hUG1b1Rfp=w408-h306-k-no,Cafe,Cafe,4.5,08:00-00:00,,,"CJ2J+RC4 Barbara Bistro Lounge, Rte Touristique, Hammamet",gateau,https://www.google.com/maps/place/Barbara+Bistro+Lounge/data=!4m7!3m6!1s0x13029e0f8976644f:0x19089696719aaaf2!8m2!3d36.4020121!4d10.6310641!16s%2Fg%2F11dxq8f48l!19sChIJT2R2iQ-eAhMR8qqacZaWCBk?authuser=0&hl=fr&rclk=1
ChIJj8dQPXSfAhMRUwNGZW--jdk,Hexagone Cafe,,False,24,,Hexagone Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMT40RUQMxoZwH5Is4FqcbfD5TiLLnCmVBfOj8-=w426-h240-k-no,Cafe,Cafe,4.2,07:00-03:00,,52 979 533,"CJ2G+6HJ Hexagone Cafe, Hammamet",chicha,https://www.google.com/maps/place/Hexagone+Caf%C3%A9/data=!4m7!3m6!1s0x13029f743d50c78f:0xd98dbe6f65460353!8m2!3d36.4005835!4d10.6263945!16s%2Fg%2F11f6cqpbnx!19sChIJj8dQPXSfAhMRUwNGZW--jdk?authuser=0&hl=fr&rclk=1
ChIJB3Ar_gOeAhMRriXG2RoqQl8,Cafe Halfaouine,,False,21,,Cafe Halfaouine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7tFA0NVZ6Zu9yibyOQjBKISH9vI2uIoFebzMZ=w520-h240-k-no,Cafe,Cafe,4.4,09:00-00:00,,,"9JXG+H3W Cafe Halfaouine, Rte Touristique, Hammamet",,https://www.google.com/maps/place/Caf%C3%A9+Halfaouine/data=!4m7!3m6!1s0x13029e03fe2b7007:0x5f422a1ad9c625ae!8m2!3d36.3989917!4d10.6252013!16s%2Fg%2F11dxnyrydf!19sChIJB3Ar_gOeAhMRriXG2RoqQl8?authuser=0&hl=fr&rclk=1
ChIJGRN6RgGeAhMRg0lOPnUkgnc,Salon De The la Vague,,False,21,,Salon De The la Vague (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNMFc95dZvK-mbcT-gz0bhvGLBMhIrWGzpH_PNH=w408-h272-k-no,Cafe,Cafe,4.2,07:00-01:00,,24 106 199,"9JXF+5QQ Salon De The la Vague, Rue Sidi Bou Ali, Hammamet",chicha,https://www.google.com/maps/place/Salon+De+Th%C3%A9+la+Vague/data=!4m7!3m6!1s0x13029e01467a1319:0x778224753e4e4983!8m2!3d36.3979642!4d10.6244868!16s%2Fg%2F11dxk69tqv!19sChIJGRN6RgGeAhMRg0lOPnUkgnc?authuser=0&hl=fr&rclk=1
ChIJbwDfroNh_RIRj8NBNR-a1aM,Cafeina,,False,20,https://cafeina.tn/,Cafeina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMYo0xaFtFRhzIR56QIM-xAy2V1biKjZWBBc_PY=w426-h240-k-no,Cafe,Cafe,5,06:00-00:00,,,"Cafeina, 3 Rue de la Corniche, Hammamet","chicha, prix",https://www.google.com/maps/place/Cafeina/data=!4m7!3m6!1s0x12fd6183aedf006f:0xa3d59a1f3541c38f!8m2!3d36.4007365!4d10.6113597!16s%2Fg%2F11stlcy_7z!19sChIJbwDfroNh_RIRj8NBNR-a1aM?authuser=0&hl=fr&rclk=1
ChIJZzQqAQGeAhMRtRv19W-bNiI,Cafe Bello,,False,17,,Cafe Bello (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYimNspotT382-U0SEgBBY8dfY10JWPwvW7hz-=w480-h240-k-no,Cafe,Cafe,4.4,06:00-00:00,,52 130 730,"9JWF+Q39 Cafe Bello, Hammamet",,https://www.google.com/maps/place/Caf%C3%A9+Bello/data=!4m7!3m6!1s0x13029e01012a3467:0x22369b6ff5f51bb5!8m2!3d36.3969187!4d10.6227247!16s%2Fg%2F11ddxvtv6m!19sChIJZzQqAQGeAhMRtRv19W-bNiI?authuser=0&hl=fr&rclk=1
