place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJP6_aF-ykqhMR0IdSg5bHKY4,Cafe Lounge Djerba,,False,65,,Cafe Lounge Djerba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOoLQO5RkQvtk9K4FYZlWD3mwd3j0TOZGcov7wk=w408-h545-k-no,Cafe,Cafe,4.3,07:30-23:00,dimanche,29 923 085,"VVH7+H5R Cafe Lounge Djerba, Houmt Souk",,https://www.google.com/maps/place/Caf%C3%A9+Lounge+Djerba/data=!4m7!3m6!1s0x13aaa4ec17daaf3f:0x8e29c796835287d0!8m2!3d33.8789873!4d10.8628865!16s%2Fg%2F11c1s67z94!19sChIJP6_aF-ykqhMR0IdSg5bHKY4?authuser=0&hl=fr&rclk=1
ChIJ0568NOakqhMRCGzwYsLaF8Q,L&L Cafe Restaurant,,False,44,,L&L Cafe Restaurant (proprietaire),https://www.google.com/maps/contrib/100663457595586085324,https://lh5.googleusercontent.com/p/AF1QipMhPqjcOX3vi0OPDT4M8eDfcf9lYsRlSTncIBPZ=w408-h306-k-no,Cafe,Cafe,4.3,05:30-00:00,,75 622 076,"L&L Cafe Restaurant, Houmt Souk",,https://www.google.com/maps/place/L%26L+Caf%C3%A9+Restaurant/data=!4m7!3m6!1s0x13aaa4e634bc9ed3:0xc417dac262f06c08!8m2!3d33.875714!4d10.8553259!16s%2Fg%2F11g9js0yj7!19sChIJ0568NOakqhMRCGzwYsLaF8Q?authuser=0&hl=fr&rclk=1
ChIJXZq_L5OkqhMRrSAWgnpmdQU,Cafe L'arabesque,,False,42,,Cafe L'arabesque (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM7PAGPaeQS4I7fz-hrH_okjAa7XxhzRAhfTmeI=w408-h544-k-no,Cafe,Cafe,4.4,Ouvert 24h/24,,,"VVH9+P8W Cafe L'arabesque, Houmt Souk",,https://www.google.com/maps/place/Caf%C3%A9+L%27arabesque/data=!4m7!3m6!1s0x13aaa4932fbf9a5d:0x575667a821620ad!8m2!3d33.8793657!4d10.8683406!16s%2Fg%2F11g7285fgz!19sChIJXZq_L5OkqhMRrSAWgnpmdQU?authuser=0&hl=fr&rclk=1
ChIJzwCsf_qkqhMRNFjG9vGQnVg,Au Quai Crepe Cafe & Co Djerba,,False,40,https://www.facebook.com/Au-Quai-622720964601054/,Au Quai Crepe Cafe & Co Djerba (proprietaire),https://www.google.com/maps/contrib/106865255755000184823,https://lh5.googleusercontent.com/p/AF1QipP13EnDlBMc2TxcNA2il6fLsSY9qDhYKgR5NpiR=w408-h306-k-no,Creperie,"Creperie, Cafe",4.4,08:00-22:00,,27 888 886,"Au Quai Crepe Cafe & Co Djerba, Marina, Houmt Souk 4180","petit dejeuner, salees",https://www.google.com/maps/place/Au+Quai+Cr%C3%AApe+Caf%C3%A9+%26+Co+Djerba/data=!4m7!3m6!1s0x13aaa4fa7fac00cf:0x589d90f1f6c65834!8m2!3d33.8872469!4d10.8571342!16s%2Fg%2F11ddzd5dyr!19sChIJzwCsf_qkqhMRNFjG9vGQnVg?authuser=0&hl=fr&rclk=1
ChIJN32b5OikqhMRcLQ-Sq1OCNc,Cafe Ben Daamech,,False,38,,Cafe Ben Daamech (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOGYRBni0rzT1N5gns8T6zg5LEnyPq_BuIPzAaP=w408-h544-k-no,Cafe,Cafe,4.2,05:00-22:00,,21 546 055,"VVG5+CH6 Cafe Ben Daamech, Houmt Souk",jus,https://www.google.com/maps/place/Caf%C3%A9+Ben+Daamech/data=!4m7!3m6!1s0x13aaa4e8e49b7d37:0xd7084ead4a3eb470!8m2!3d33.8760298!4d10.8588769!16s%2Fg%2F11cn9kkym3!19sChIJN32b5OikqhMRcLQ-Sq1OCNc?authuser=0&hl=fr&rclk=1
ChIJ1dgQVuWkqhMRcM8VUYsAhoo,Kaffa Cafe,,False,28,,Kaffa Cafe (proprietaire),https://www.google.com/maps/contrib/115271986252871000527,https://lh5.googleusercontent.com/p/AF1QipM6OsnfCIzf8StzUIxUh933f4gvoFfL_gBX71IR=w408-h306-k-no,Cafe specialise dans les boissons expresso,Cafe specialise dans les boissons expresso,4.3,07:00-23:30,,23 588 033,"Kaffa Cafe, 04, avenue Habib bourguiba Houmet souk - djerba, 4128",,https://www.google.com/maps/place/Kaffa+Caf%C3%A9/data=!4m7!3m6!1s0x13aaa4e55610d8d5:0x8a86008b5115cf70!8m2!3d33.8832815!4d10.8563956!16s%2Fg%2F11bxb93ykk!19sChIJ1dgQVuWkqhMRcM8VUYsAhoo?authuser=0&hl=fr&rclk=1
ChIJ4d66Nj-lqhMRyXCaQj1zUik,Cafe Le Garage,,False,27,https://www.facebook.com/profile.php%3Fid%3D100086913193624,Cafe Le Garage (proprietaire),https://www.google.com/maps/contrib/111747202138642803814,https://lh5.googleusercontent.com/p/AF1QipMe2bWhKcB8A3D74MMebZR_1fHvXdy2CZ8Zuq5c=w408-h544-k-no,Cafe,"Cafe, Restaurant brunch, Patisserie, Salon de the",4.2,07:00-23:00,,24 005 646,"Cafe Le Garage, Avenue Bechir Sfar, Houmt Souk 4180","petit dejeuner, prix",https://www.google.com/maps/place/Caf%C3%A9+Le+Garage/data=!4m7!3m6!1s0x13aaa53f36badee1:0x2952733d429a70c9!8m2!3d33.8749049!4d10.8565143!16s%2Fg%2F11tjl4hd5p!19sChIJ4d66Nj-lqhMRyXCaQj1zUik?authuser=0&hl=fr&rclk=1
ChIJpTF70eikqhMR5JHEdumsuGg,Cafe de Haj'hsan mqh~ lHj Hsn,,False,26,,Cafe de Haj'hsan mqh~ lHj Hsn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7vEq271x0l_VrHw0-QnRATM47eHzUPenq3qMZ=w408-h725-k-no,Cafe,Cafe,4.4,05:30-22:00,,,"VVH5+4C8 Cafe de Haj'hsan mqh~ lHj Hsn, Rue Habib Bou Gatfa, Houmt Souk",,https://www.google.com/maps/place/Caf%C3%A9+de+Haj%27hsan+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%AD%D8%A7%D8%AC+%D8%AD%D8%B3%D9%86%E2%80%AD/data=!4m7!3m6!1s0x13aaa4e8d17b31a5:0x68b8ace976c491e4!8m2!3d33.8777949!4d10.858572!16s%2Fg%2F11cpq1s536!19sChIJpTF70eikqhMR5JHEdumsuGg?authuser=0&hl=fr&rclk=1
ChIJUeKOyXmlqhMRGIT7wVswIF0,Cafe The Baklawa,,False,16,,Cafe The Baklawa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPcOmDdKxiyIke-4bUCWdmXEUk6WeQ2EP94TZ0=w408-h306-k-no,Cafe,Cafe,4.8,,,,"VVH5+27P Cafe The Baklawa, Rue Habib Bou Gatfa, Houmt Souk 4180",,https://www.google.com/maps/place/Caf%C3%A9+Th%C3%A9+Baklawa/data=!4m7!3m6!1s0x13aaa579c98ee251:0x5d20305bc1fb8418!8m2!3d33.8775938!4d10.8582065!16s%2Fg%2F11ssdghkjk!19sChIJUeKOyXmlqhMRGIT7wVswIF0?authuser=0&hl=fr&rclk=1
ChIJbZ8APOakqhMRqddhMV6HZGk,Cafe Nespresso,,False,15,,Cafe Nespresso (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNtlGY4d_TMg6KhNMBOqQIy8Sp1PtJHLmn2Jtbp=w408-h544-k-no,Cafe,Cafe,4.4,06:00-00:00,,,"VVG4+M53 Cafe Nespresso, Houmt Souk",,https://www.google.com/maps/place/Caf%C3%A9+Nespresso/data=!4m7!3m6!1s0x13aaa4e63c009f6d:0x6964875e3161d7a9!8m2!3d33.876626!4d10.8554063!16s%2Fg%2F11g9drt2rn!19sChIJbZ8APOakqhMRqddhMV6HZGk?authuser=0&hl=fr&rclk=1
