place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJP1f897UT-xIRRbguwNy2-yU,Jendouba,,False,45,,Jendouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM9OIiQhlUtXy5QhV0hS_QfdkAajVqQUP4NRJk2=w408-h544-k-no,Cafe,Cafe,4.5,08:00-18:00,dimanche,28 574 003,FQXQ+43Q Jendouba,,https://www.google.com/maps/place/Jendouba/data=!4m7!3m6!1s0x12fb13b5f7fc573f:0x25fbb6dcc02eb845!8m2!3d36.4978262!4d8.7877362!16s%2Fg%2F11kykrmmc2!19sChIJP1f897UT-xIRRbguwNy2-yU?authuser=0&hl=fr&rclk=1
ChIJBd0OalAT-xIR4G1Wh5yy3pE,Pizza woods Lounge Jendouba,,False,41,,Pizza woods Lounge Jendouba (proprietaire),https://www.google.com/maps/contrib/110662378874257101787,https://lh5.googleusercontent.com/p/AF1QipMPFoV4-_IFlR-o2v3oqGY1siAyxmaZm1VA5SJZ=w408-h246-k-no,Salon de the,"Salon de the, Restaurant servant le petit-dejeuner, Restaurant brunch, Cafe, Creperie, Bar a chicha, Bar lounge, Restaurant de plats a emporter, Pizzeria, Restaurant",4.5,Ouvert 24h/24,,93 012 000,"Pizza woods Lounge Jendouba, P6, Jendouba",,https://www.google.com/maps/place/Pizza+woods+Lounge+Jendouba/data=!4m7!3m6!1s0x12fb13506a0edd05:0x91deb29c87566de0!8m2!3d36.4954402!4d8.7892684!16s%2Fg%2F11h0524wy3!19sChIJBd0OalAT-xIR4G1Wh5yy3pE?authuser=0&hl=fr&rclk=1
ChIJee7sk1AS-xIRuHtej4d-E7o,ALMAS,,False,29,,ALMAS (proprietaire),https://www.google.com/maps/contrib/112380353722843896397,https://lh5.googleusercontent.com/p/AF1QipNGjo9lBuYst-FqrZrOfqbkM-khbGy01k6dyU0q=w408-h306-k-no,Restaurant,"Restaurant, Salon de the",4.2,06:00-00:00,,24 888 838,"ALMAS, P6, Jendouba",,https://www.google.com/maps/place/ALMAS/data=!4m7!3m6!1s0x12fb125093ecee79:0xba137e878f5e7bb8!8m2!3d36.4915445!4d8.7848463!16s%2Fg%2F11b6wpmny8!19sChIJee7sk1AS-xIRuHtej4d-E7o?authuser=0&hl=fr&rclk=1
ChIJDTtxg0oS-xIRS_32NZU4mOw,Cafe Touerg,,False,21,,Cafe Touerg (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmqsszxtB5vwRKsW1_4oCrxBbX4E5NZuZUCD5O=w408-h544-k-no,Cafe,Cafe,4.3,05:00-00:00,,,"GQ2C+25M Cafe Touerg, Jendouba",,https://www.google.com/maps/place/Caf%C3%A9+Touerg/data=!4m7!3m6!1s0x12fb124a83713b0d:0xec98389535f6fd4b!8m2!3d36.5000919!4d8.7704342!16s%2Fg%2F11c51t6dw1!19sChIJDTtxg0oS-xIRS_32NZU4mOw?authuser=0&hl=fr&rclk=1
ChIJUSwo3kQS-xIRxTjsrNqlVcE,Salon de the Jazz,,False,15,,Salon de the Jazz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOBfrLxeVsZxFgGKU-D5WaxIlImKD6m1Z6s2ZTL=w408-h306-k-no,Salon de the,Salon de the,4.3,07:00-22:00,,28 129 639,"FQQH+5WF Salon de the Jazz, P6, Jendouba",,https://www.google.com/maps/place/Salon+de+th%C3%A9+Jazz/data=!4m7!3m6!1s0x12fb1244de282c51:0xc155a5daacec38c5!8m2!3d36.4879432!4d8.7797891!16s%2Fg%2F11f03vt3qs!19sChIJUSwo3kQS-xIRxTjsrNqlVcE?authuser=0&hl=fr&rclk=1
ChIJV_NPV60T-xIRC1C-UvLzOZE,cafe olympic,,False,10,,cafe olympic (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOm69AprgzE31WiSbQrYe6f6qls0trhKfEoDMPM=w408-h544-k-no,Cafe,Cafe,4.4,07:00-22:00,,,"GQ2J+RHJ cafe olympic, Enour, Jendouba",,https://www.google.com/maps/place/cafe+olympic/data=!4m7!3m6!1s0x12fb13ad574ff357:0x9139f3f252be500b!8m2!3d36.5020841!4d8.7813874!16s%2Fg%2F11g6j86t7j!19sChIJV_NPV60T-xIRC1C-UvLzOZE?authuser=0&hl=fr&rclk=1
ChIJc8cEw7IT-xIRHc1rQQVUke4,cafe ben henda,,False,8,,cafe ben henda (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNHXLrV6q3_uonE-yCAFbGxs9urPXHP0Pj_XAXc=w408-h544-k-no,Cafe,Cafe,4.6,,,90 245 469,"GQ3H+4M9 cafe ben henda, Ezghadiya Main avenue, Jendouba",,https://www.google.com/maps/place/caf%C3%A9+ben+henda/data=!4m7!3m6!1s0x12fb13b2c304c773:0xee915405416bcd1d!8m2!3d36.5027832!4d8.7792344!16s%2Fg%2F11c6smy280!19sChIJc8cEw7IT-xIRHc1rQQVUke4?authuser=0&hl=fr&rclk=1
ChIJW3jC8FES-xIRP3HQqJUvT6I,Cafe Oasis,,False,7,,Cafe Oasis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNN76yC8PTLw76qXF_oZkPdrDBg9MBvK0w9oVIh=w426-h240-k-no,Cafe,Cafe,4.1,07:00-22:00,,96 723 905,"FQWJ+6QW Cafe Oasis, Jendouba",,https://www.google.com/maps/place/Caf%C3%A9+Oasis/data=!4m7!3m6!1s0x12fb1251f0c2785b:0xa24f2f95a8d0713f!8m2!3d36.4956202!4d8.7819591!16s%2Fg%2F11f53h857k!19sChIJW3jC8FES-xIRP3HQqJUvT6I?authuser=0&hl=fr&rclk=1
ChIJm9My6acT-xIRnDXi7Bxv8Z8,Cafe Podium,,False,6,,Cafe Podium (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOeMznb2tB-BFuxeQqSX3prKS1seCpc6VBxu4i1=w426-h240-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,,"GQ4R+HM6 Cafe Podium, Al Habib Bourguiba (Main road), Jendouba",,https://www.google.com/maps/place/Caf%C3%A9+Podium/data=!4m7!3m6!1s0x12fb13a7e932d39b:0x9ff16f1cece2359c!8m2!3d36.5064029!4d8.7916427!16s%2Fg%2F11hm7snn10!19sChIJm9My6acT-xIRnDXi7Bxv8Z8?authuser=0&hl=fr&rclk=1
ChIJc2UKcvoT-xIRRyDDAed0SRg,Twins Coffee,,False,6,,Twins Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMleGH-xeGfPuIQkKYWVt59qoemfNv9aqIGLMYS=w426-h240-k-no,Cafe,Cafe,4.3,Ouvert 24h/24,,,"FQXM+FQF Twins Coffee, Unnamed Road, Jendouba",,https://www.google.com/maps/place/Twins+Coffee/data=!4m7!3m6!1s0x12fb13fa720a6573:0x184974e701c32047!8m2!3d36.4986846!4d8.784426!16s%2Fg%2F11mw6y5mkk!19sChIJc2UKcvoT-xIRRyDDAed0SRg?authuser=0&hl=fr&rclk=1
ChIJL5oZEkgT-xIRM5u_7riJc_w,mqh~ klsykw,,False,5,,mqh~ klsykw (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlwS-LHbaPBywvWtakZvkFvLhDz6HzfDVokfgZ=w408-h306-k-no,Cafe,Cafe,4.4,06:00-00:00,,21 539 739,"mqh~ klsykw, P17, Jendouba",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%83%D9%84%D8%A7%D8%B3%D9%8A%D9%83%D9%88%E2%80%AD/data=!4m7!3m6!1s0x12fb134812199a2f:0xfc7389b8eebf9b33!8m2!3d36.4852829!4d8.7780474!16s%2Fg%2F11g192lfv0!19sChIJL5oZEkgT-xIRM5u_7riJc_w?authuser=0&hl=fr&rclk=1
ChIJC6LhuAMT-xIRCJHaNZMT0vA,fD lHdy'q,,False,5,,fD lHdy'q (proprietaire),https://www.google.com/maps/contrib/117913571421049668409,https://lh5.googleusercontent.com/p/AF1QipMIIyDNz0tJ0i5bZTPgUVVGxAcWjTs7JfyPTkst=w426-h240-k-no,Cafe,Cafe,4.2,,,,"fD lHdy'q, Jendouba 8100",,https://www.google.com/maps/place/%D9%81%D8%B6%D8%A7%D8%A1+%D8%A7%D9%84%D8%AD%D8%AF%D8%A7%D8%A6%D9%82%E2%80%AD/data=!4m7!3m6!1s0x12fb1303b8e1a20b:0xf0d2139335da9108!8m2!3d36.5095977!4d8.7881735!16s%2Fg%2F11t6v_k0wc!19sChIJC6LhuAMT-xIRCJHaNZMT0vA?authuser=0&hl=fr&rclk=1
