place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJLSfIgYPF_RIRl7PMm9JCCa4,GO Cafe,,False,63,http://www.gocafe.tn/,GO Cafe (proprietaire),https://www.google.com/maps/contrib/112450648408136355518,https://lh5.googleusercontent.com/p/AF1QipN8dE-4Z3en6LXzj740UIu_491dQ_f9gC-1iyn_=w426-h240-k-no,Restaurant,"Restaurant, Cafe",4.8,10:00-00:00,,24 101 831,"GO Cafe, Medina de, Rue Mouley Taieb, en face de la Mosquee des Trois Portes Cite Jraba, Kairouan 3100","ramadan, mosquee, dejeuner, tunisien, touristes, architecture d'interieur, culture, atmosphere",https://www.google.com/maps/place/GO+Caf%C3%A9/data=!4m7!3m6!1s0x12fdc58381c8272d:0xae0942d29bccb397!8m2!3d35.6775987!4d10.1023824!16s%2Fg%2F11j0rgs5d6!19sChIJLSfIgYPF_RIRl7PMm9JCCa4?authuser=0&hl=fr&rclk=1
ChIJbRy9Pz_F_RIR-JL0tLpyXZM,Chez Mamie,,False,55,,Chez Mamie (proprietaire),https://www.google.com/maps/contrib/117801815030220277321,https://lh5.googleusercontent.com/p/AF1QipO9UlH2rxTTYkxU_d8lotbKbeR5JDCcQ03_eZQ5=w408-h544-k-no,Cafe,"Cafe, Restaurant brunch",4.4,08:00-23:00,,50 333 411,"Chez Mamie, 270 rue om iyadh houmet jemaa kairouan, Kairouan 3100","mosquee, smoothies",https://www.google.com/maps/place/Chez+Mamie/data=!4m7!3m6!1s0x12fdc53f3fbd1c6d:0x935d72bab4f492f8!8m2!3d35.682578!4d10.103667!16s%2Fg%2F11c76n042j!19sChIJbRy9Pz_F_RIR-JL0tLpyXZM?authuser=0&hl=fr&rclk=1
ChIJk0KqllXF_RIRUz9Sl9JQHSU,cafe hermess,,False,43,,cafe hermess (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMRdbUGzdDxmlfbkgkbepLnXQT4aecz0OCn9URV=w408-h544-k-no,Cafe,Cafe,4,04:00-23:00,,,"M39J+VP7 cafe hermess, Av. Mongi Slim, Kairouan",,https://www.google.com/maps/place/caf%C3%A9+hermess/data=!4m7!3m6!1s0x12fdc55596aa4293:0x251d50d297523f53!8m2!3d35.6696631!4d10.0817934!16s%2Fg%2F11c20c35b7!19sChIJk0KqllXF_RIRUz9Sl9JQHSU?authuser=0&hl=fr&rclk=1
ChIJ2zeoqOzF_RIRMwffeICZPc8,Ci Gusta Kairouan,,False,32,http://www.cigusta.com/,Ci Gusta Kairouan (proprietaire),https://www.google.com/maps/contrib/114225223844960716542,https://lh5.googleusercontent.com/p/AF1QipPPiTFualoF2lxAS5dq4eMeEav52kNFb3TKXmQd=w408-h306-k-no,Restaurant de sundae,Restaurant de sundae,4,08:30-22:00,,25 450 864,"Ci Gusta Kairouan, Av. Mohamed Ibn Sahnoun, Kairouan","pizza, gaufres",https://www.google.com/maps/place/Ci+Gusta+Kairouan/data=!4m7!3m6!1s0x12fdc5eca8a837db:0xcf3d998078df0733!8m2!3d35.6752867!4d10.1088666!16s%2Fg%2F11g0j6j5hp!19sChIJ2zeoqOzF_RIRMwffeICZPc8?authuser=0&hl=fr&rclk=1
ChIJT9UOKELF_RIRl7rz-CvU3R0,Cafe Chic,,False,21,https://www.facebook.com/Cafe-Chic-190166681399711/,Cafe Chic (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOt8tYaaDY_ijxtRdsAE7S7tMLIxruAil5FSFjy=w408-h544-k-no,Cafe,Cafe,4.2,07:00-00:00,,77 277 819,"M3MW+MXW Cafe Chic, Kairouan",,https://www.google.com/maps/place/Caf%C3%A9+Chic/data=!4m7!3m6!1s0x12fdc542280ed54f:0x1dddd42bf8f3ba97!8m2!3d35.6842428!4d10.097445!16s%2Fg%2F11c1q7nbqx!19sChIJT9UOKELF_RIRl7rz-CvU3R0?authuser=0&hl=fr&rclk=1
ChIJc1ZluhLF_RIRu2fHzeZXvBY,Cafe Les Veterants,,False,18,,Cafe Les Veterants (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9a4BAfp0oU_-87JIyZDRsWyoArKfPzorW659S=w408-h306-k-no,Cafe,Cafe,4,06:00-23:00,,,"M4W3+7G5 Cafe Les Veterants, Kairouan",,https://www.google.com/maps/place/Caf%C3%A9+Les+V%C3%A9t%C3%A9rants/data=!4m7!3m6!1s0x12fdc512ba655673:0x16bc57e6cdc767bb!8m2!3d35.6956325!4d10.1038599!16s%2Fg%2F1td10g_6!19sChIJc1ZluhLF_RIRu2fHzeZXvBY?authuser=0&hl=fr&rclk=1
ChIJR8mbNkjF_RIRBRXzliFO6DM,Fratello Cafe,,False,14,,Fratello Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNImRnBFH83lu1BlH1zDPSkgP523HncVfy4z6BR=w408-h341-k-no,Cafe,Cafe,4.6,06:00-22:00,,77 229 270,"M4F2+3Q7 Fratello Cafe, Av. de La Republique, Kairouan",,https://www.google.com/maps/place/Fratello+Caf%C3%A9/data=!4m7!3m6!1s0x12fdc548369bc947:0x33e84e2196f31505!8m2!3d35.6726728!4d10.101927!16s%2Fg%2F11gc6brw12!19sChIJR8mbNkjF_RIRBRXzliFO6DM?authuser=0&hl=fr&rclk=1
ChIJf8lTb0jF_RIR2NApmWjH3MU,Cafe Taktak,,False,12,,Cafe Taktak (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMiWRnS1dqUskQ4026EO1Kz5mVLYu5CUqb_Xtf_=w408-h541-k-no,Cafe,Cafe,4.9,05:00-23:00,,,"M4F2+H9H Cafe Taktak, Av. Du 20 Mars, Kairouan",,https://www.google.com/maps/place/Cafe+Taktak/data=!4m7!3m6!1s0x12fdc5486f53c97f:0xc5dcc7689929d0d8!8m2!3d35.6739471!4d10.1009856!16s%2Fg%2F11hbqds0qv!19sChIJf8lTb0jF_RIR2NApmWjH3MU?authuser=0&hl=fr&rclk=1
ChIJ3Vf1nz_F_RIR2Sj72MLGJOU,Espace Ben Rejeb,,False,11,https://www.ben-rejeb.com/,Espace Ben Rejeb (proprietaire),https://www.google.com/maps/contrib/110961345170447861257,https://lh5.googleusercontent.com/p/AF1QipPyzDGNrwscAkfGFqMot3AU-kPQT7nSP6JtRGWY=w408-h291-k-no,Cafe,Cafe,4,10:00-00:00,,98 507 533,"Espace Ben Rejeb, street about zamaa lbalawi, Av. de la Republique, Kairouan 3100",,https://www.google.com/maps/place/Espace+Ben+Rejeb/data=!4m7!3m6!1s0x12fdc53f9ff557dd:0xe524c6c2d8fb28d9!8m2!3d35.6830277!4d10.1045567!16s%2Fg%2F1tds3y3f!19sChIJ3Vf1nz_F_RIR2Sj72MLGJOU?authuser=0&hl=fr&rclk=1
ChIJuWKdKkLF_RIR71m-XKc2ryc,Miami,,False,10,,Miami (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmasGbSciIaItzWebjuB5ifnAiQF6rLnCKMprN=w408-h725-k-no,Cafe,Cafe,4.2,08:00-21:00,,,"M3MX+F26 Miami, Rue Des Aglabiles, Kairouan",,https://www.google.com/maps/place/Miami/data=!4m7!3m6!1s0x12fdc5422a9d62b9:0x27af36a75cbe59ef!8m2!3d35.6836738!4d10.0975222!16s%2Fg%2F1hd_301bm!19sChIJuWKdKkLF_RIR71m-XKc2ryc?authuser=0&hl=fr&rclk=1
ChIJ8_EL7XfF_RIRmUcgqEvlKi8,City Lounge cafe,,False,7,,City Lounge cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM_iPcz_dehua6D47rD_36MLAJDIypzECAlQxbT=w408-h725-k-no,Cafe,Cafe,4,,,,"City Lounge cafe, afh 1 kairouan, 3100",,https://www.google.com/maps/place/City+Lounge+cafe/data=!4m7!3m6!1s0x12fdc577ed0bf1f3:0x2f2ae54ba8204799!8m2!3d35.6885427!4d10.0946527!16s%2Fg%2F11nrwt1t1d!19sChIJ8_EL7XfF_RIRmUcgqEvlKi8?authuser=0&hl=fr&rclk=1
ChIJP5_dy1_R_RIRIjT7aBJgteo,mqh~ `bd llh,,False,6,,mqh~ `bd llh (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgl8tVDvMYsv6abrS9J6q8cDbIjvn2F5fna10b=w408-h725-k-no,Salon de the,Salon de the,4.3,Ouvert 24h/24,,50 046 744,"M38C+PG7 mqh~ `bd llh, Av. Mongi Slim, Kairouan",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%84%D9%87%E2%80%AD/data=!4m7!3m6!1s0x12fdd15fcbdd9f3f:0xeab5601268fb3422!8m2!3d35.6667841!4d10.0712887!16s%2Fg%2F11j8h6s94g!19sChIJP5_dy1_R_RIRIjT7aBJgteo?authuser=0&hl=fr&rclk=1
ChIJQ9CRnWnF_RIRZ1UCT8rEeuQ,Cafe La Terrasse,,False,5,,Cafe La Terrasse (proprietaire),https://www.google.com/maps/contrib/100472275846073776107,https://lh5.googleusercontent.com/p/AF1QipMxwU-WmvRn0-mfGtypSxXlc9y8pnFL3CME0u_7=w408-h408-k-no,Cafe,Cafe,4.6,09:00-17:00,,,"Cafe La Terrasse, Kairouan",,https://www.google.com/maps/place/Caf%C3%A9+La+Terrasse/data=!4m7!3m6!1s0x12fdc5699d91d043:0xe47ac4ca4f025567!8m2!3d35.6890217!4d10.0966971!16s%2Fg%2F11cs3q6zkc!19sChIJQ9CRnWnF_RIRZ1UCT8rEeuQ?authuser=0&hl=fr&rclk=1
ChIJL3Emk43F_RIRqWTA6LOsFzY,Cafe in beb el khoukha,,False,4,,Cafe in beb el khoukha (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtGDEB_cSyqNgNdxJ4pv2taiE3hWHXMdvb9ENb=w408-h320-k-no,Cafe,Cafe,5,09:00-00:00,,,"M4J3+4PF Cafe in beb el khoukha, Kairouan",,https://www.google.com/maps/place/Caf%C3%A9+in+beb+el+khoukha/data=!4m7!3m6!1s0x12fdc58d9326712f:0x3617acb3e8c064a9!8m2!3d35.6803172!4d10.1042985!16s%2Fg%2F11s854r3ps!19sChIJL3Emk43F_RIRqWTA6LOsFzY?authuser=0&hl=fr&rclk=1
