place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-dC9HVluVhIRhI2McHY4Vmw,Bon Gusto,,False,44,,Bon Gusto (proprietaire),https://www.google.com/maps/contrib/102058492449937823050,https://lh5.googleusercontent.com/p/AF1QipPzMy_E6wndW8hQv7V-D-X28_PcmVYgcFNFMdqX=w408-h306-k-no,Restaurant,Restaurant,4.2,09:00-01:00,,22 900 717,"Bon Gusto, C206, Kebili",,https://www.google.com/maps/place/Bon+Gusto/data=!4m7!3m6!1s0x12566e591dbdd0f9:0x6c563876708c8d84!8m2!3d33.7080697!4d8.9714938!16s%2Fg%2F12q4xb3rc!19sChIJ-dC9HVluVhIRhI2McHY4Vmw?authuser=0&hl=fr&rclk=1
ChIJYXahCFluVhIRegAZRm-hf2k,Restaurant PARADISIO,,False,27,,Restaurant PARADISIO (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYP8xSI3bCjetn9OL-VLQ4_KeY5y-OGKJoDWTK=w426-h240-k-no,Restaurant,Restaurant,4.2,09:00-22:00,dimanche,25 956 484,"PX4C+WVV Restaurant PARADISIO, Kebili",,https://www.google.com/maps/place/Restaurant+PARADISIO/data=!4m7!3m6!1s0x12566e5908a17661:0x697fa16f4619007a!8m2!3d33.7073749!4d8.9721705!16s%2Fg%2F11fyln8mp6!19sChIJYXahCFluVhIRegAZRm-hf2k?authuser=0&hl=fr&rclk=1
ChIJtYVQlFluVhIRirFM0BNj_Uk,Big Apple Resto and Cafe,,False,15,,Big Apple Resto and Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMjSmNJytRzQgDUrfMNqD4hbHuj00FMYqIrx_Cm=w426-h240-k-no,Restaurant,Restaurant,4.1,08:00-22:30,dimanche,,"PX4F+86V Big Apple Resto and Cafe, Qibili",,https://www.google.com/maps/place/Big+Apple+Resto+and+Cafe/data=!4m7!3m6!1s0x12566e59945085b5:0x49fd6313d04cb18a!8m2!3d33.7058568!4d8.9730567!16s%2Fg%2F11c0xdb4z3!19sChIJtYVQlFluVhIRirFM0BNj_Uk?authuser=0&hl=fr&rclk=1
ChIJ07BKQ1N7VhIRff4bs4qSzFc,mqh~ lqds,,False,13,,mqh~ lqds (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO0vlinzzbFaW5heKY3JhxjaYGMgeXCpf7jpOiQ=w426-h240-k-no,Cafe,Cafe,4.7,06:00-00:00,,93 568 122,"H277+7JM mqh~ lqds, C206, Jamnah",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%82%D8%AF%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x12567b53434ab0d3:0x57cc928ab31bfe7d!8m2!3d33.5632072!4d9.014033!16s%2Fg%2F11csr_k99s!19sChIJ07BKQ1N7VhIRff4bs4qSzFc?authuser=0&hl=fr&rclk=1
ChIJEWLWLOxvVhIRCXKot4L523A,Le theatre cafe-resto,,False,12,,Le theatre cafe-resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMqndug0QK2ba-ASBuLdO8OIOwqSjSX7QxBq3Et=w408-h725-k-no,Cafe,Cafe,4,,,55 987 094,"PX2G+9JW Le theatre cafe-resto, C206, Kebili",,https://www.google.com/maps/place/Le+th%C3%A9%C3%A2tre+caf%C3%A9-resto/data=!4m7!3m6!1s0x12566fec2cd66211:0x70dbf982b7a87209!8m2!3d33.7009911!4d8.97659!16s%2Fg%2F11ljw3flj8!19sChIJEWLWLOxvVhIRCXKot4L523A?authuser=0&hl=fr&rclk=1
ChIJU4j3E15uVhIR8FUMMg72-GY,El Majless coffee lounge,,False,11,,El Majless coffee lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN-Ji2ffpRxJGp21mDuF41FDAk3kVDBTuAauptF=w408-h544-k-no,Cafe,Cafe,4.5,08:00-23:00,,23 494 420,"PX7F+M8R El Majless coffee lounge, Rte de Gabes, Kebili",,https://www.google.com/maps/place/El+Majless+coffee+lounge/data=!4m7!3m6!1s0x12566e5e13f78853:0x66f8f60e320c55f0!8m2!3d33.7142489!4d8.9732555!16s%2Fg%2F11c74c96yy!19sChIJU4j3E15uVhIR8FUMMg72-GY?authuser=0&hl=fr&rclk=1
ChIJ054aFnpvVhIRgoDU5V44lg8,THE HOUSE,,False,9,,THE HOUSE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPSLhCFM1Yd9VM9DeuHo4g6yDj-wYGzHC_MtlL7=w408-h306-k-no,Salon de the,Salon de the,4,08:00-23:00,,,"PX4C+W6H THE HOUSE, Kebili",,https://www.google.com/maps/place/THE+HOUSE/data=!4m7!3m6!1s0x12566f7a161a9ed3:0xf96385ee5d48082!8m2!3d33.7073224!4d8.9706032!16s%2Fg%2F11h1lsn1kt!19sChIJ054aFnpvVhIRgoDU5V44lg8?authuser=0&hl=fr&rclk=1
ChIJuTQqd3Dq-BIRQAp8OXvABnU,Cafe les Zidi,,False,9,,Cafe les Zidi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJqN5PRzPx3kpxdGaV_pOW3mPbGIeRvcRJ_4Ra=w408-h306-k-no,Cafe,Cafe,4.1,06:00-01:00,,25 550 509,HRXG+7V6 Cafe les Zidi,,https://www.google.com/maps/place/Caf%C3%A9+les+Zidi/data=!4m7!3m6!1s0x12f8ea70772a34b9:0x7506c07b397c0a40!8m2!3d34.5981554!4d8.8271556!16s%2Fg%2F11bzrgwb4p!19sChIJuTQqd3Dq-BIRQAp8OXvABnU?authuser=0&hl=fr&rclk=1
ChIJmwd7GV5uVhIR4eIv_rGxIqE,Cafe Royale,,False,8,,Cafe Royale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMZMMQxrrnsWUY4WvK19w_MoppB_ZiAGNaTE3Jo=w426-h240-k-no,Cafe,Cafe,4.6,05:30-23:30,,20 187 027,"PX8F+9C3 Cafe Royale, Rte de Gabes, Qibili",,https://www.google.com/maps/place/Caf%C3%A9+Royale/data=!4m7!3m6!1s0x12566e5e197b079b:0xa122b1b1fe2fe2e1!8m2!3d33.715885!4d8.9735582!16s%2Fg%2F11b8_sdlpj!19sChIJmwd7GV5uVhIR4eIv_rGxIqE?authuser=0&hl=fr&rclk=1
ChIJBXxqCU5uVhIRipyhBNa1Fm8,Cafe Azur,,False,7,,Cafe Azur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO193bpqJ06xxcy5kj-zj42-E5fX1jf5rlxNBIz=w408-h544-k-no,Cafe,Cafe,4.4,08:00-23:00,,94 709 125,"MXXJ+98C Cafe Azur, C206, Kebili",,https://www.google.com/maps/place/Caf%C3%A8+Azur/data=!4m7!3m6!1s0x12566e4e096a7c05:0x6f16b5d604a19c8a!8m2!3d33.6984333!4d8.9807581!16s%2Fg%2F11g72g4v1k!19sChIJBXxqCU5uVhIRipyhBNa1Fm8?authuser=0&hl=fr&rclk=1
