place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJt4kIrrG7AhMRuQwQvirXZIY,Africa Jade Thalasso Hotel Korba,"Logements simples dans complexe elegant en bord de plage avec piscine exterieure, 5 restaurants et 5 bars.",False,837,http://www.africajade.com/hotel-africajade/,Africa Jade Thalasso Hotel Korba (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEawVEQCGMTpKCzY9d5lReh_0k3uthKInfG1JGH6-RchBirShz8nU8woEEedLmsRBzW2mm_uE87xol0q9XFnhoHr3iUP065KhIHZuYueFfIjZ6DeobwU-ZKHubk6YRZUiHgmWXuXSbaMGRPpuKqQkhMtEsxdekqKsSOh-JutlFvAnxWvH05oSYL=w408-h254-k-no,Hotel,"Hotel, Complexe hotelier, Restaurant, Piscine, Centre de bien-etre",4,,,72 384 633,"HV55+XF7 Africa Jade Thalasso Hotel Korba, Avenue Habib Bourguiba, Korba 8070","plage, all inclusive, serveurs, animation, pizza, massage, buffet, style, calme, qualite",https://www.google.com/maps/place/Africa+Jade+Thalasso+H%C3%B4tel+Korba/data=!4m10!3m9!1s0x1302bbb1ae0889b7:0x8664d72abe100cb9!5m2!4m1!1i2!8m2!3d36.5599231!4d10.858676!16s%2Fg%2F1tstmr5j!19sChIJt4kIrrG7AhMRuQwQvirXZIY?authuser=0&hl=fr&rclk=1
ChIJPzFdNO27AhMRQNKc924M_ek,Waffle Cap,,False,221,https://linktr.ee/wafflecap,Waffle Cap (proprietaire),https://www.google.com/maps/contrib/110588347040635614383,https://lh5.googleusercontent.com/p/AF1QipMthJgx7IHke7tVVUNk_O2CS40rtfZxBbRiIlB3=w408-h278-k-no,Restaurant,Restaurant,4.6,19:30-04:00,,70 295 400,"Waffle Cap, Bd de l'Environnement, Korba 8070","serveur, petit dejeuner, choix, boissons, prix",https://www.google.com/maps/place/Waffle+Cap/data=!4m7!3m6!1s0x1302bbed345d313f:0xe9fd0c6ef79cd240!8m2!3d36.5748449!4d10.8673234!16s%2Fg%2F11ss8ggyv1!19sChIJPzFdNO27AhMRQNKc924M_ek?authuser=0&hl=fr&rclk=1
ChIJg72j_Ji7AhMR4-O5v8PwdM8,Restaurant Bel Horizon,,False,53,http://www.restaurant-belhorizon.com/,Restaurant Bel Horizon (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMF7TszOiUNq6J3MVBhZ7UoSItQ_HGgIne3D3a9=w408-h306-k-no,Restaurant,Restaurant,4.6,12:00-23:30,,72 388 562,"HV73+65H Restaurant Bel Horizon, C27, Korba","prix, fruits de mer, vin",https://www.google.com/maps/place/Restaurant+Bel+Horizon/data=!4m7!3m6!1s0x1302bb98fca3bd83:0xcf74f0c3bfb9e3e3!8m2!3d36.5630649!4d10.8529794!16s%2Fg%2F1234w3b42!19sChIJg72j_Ji7AhMR4-O5v8PwdM8?authuser=0&hl=fr&rclk=1
ChIJ1_rfh79Q_RIR_OXO_UnYh9w,"KORBA,Tunisia",,False,53,http://tgplines.wix.com/wikilines-tunisia,"KORBA,Tunisia (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipMCnMhkLmVNfrZlmQAYR4Q2irKXiWdPI1HkJoph=w408-h906-k-no,Conseiller en gestion des affaires,Conseiller en gestion des affaires,4.2,08:00-18:00,,99 997 602,"KORBA,Tunisia, rue sadek toumi, 26/2",plage,"https://www.google.com/maps/place/KORBA,Tunisia/data=!4m7!3m6!1s0x12fd50bf87dffad7:0xdc87d849fdcee5fc!8m2!3d36.5725779!4d10.8677369!16s%2Fg%2F11c51sjn9_!19sChIJ1_rfh79Q_RIR_OXO_UnYh9w?authuser=0&hl=fr&rclk=1"
ChIJoQibhIC7AhMRJT19s3tsOMg,Bella Artista,,False,16,,Bella Artista (proprietaire),https://www.google.com/maps/contrib/106472550436544248059,https://lh5.googleusercontent.com/p/AF1QipPnFygvw5rPgDydFIs2NoSdAhDZ8FY2xhzq8t-m=w408-h272-k-no,Restaurant,Restaurant,4.6,07:30-01:30,,90 262 340,"Bella Artista, Bd de l'Environnement, Korba",,https://www.google.com/maps/place/Bella+Artista/data=!4m7!3m6!1s0x1302bb80849b08a1:0xc8386c7bb37d3d25!8m2!3d36.5760118!4d10.8639081!16s%2Fg%2F11fkl1k24w!19sChIJoQibhIC7AhMRJT19s3tsOMg?authuser=0&hl=fr&rclk=1
ChIJobdsa7q7AhMR9yaRCTID7Wk,CAFE MIAMI,,False,14,,CAFE MIAMI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOd29Wwj8JbMQLm3kg_2gSLUQbA7evuXLxdYUtJ=w426-h240-k-no,Cafe,Cafe,4.1,15:00-22:00,,,"HVF6+P6M CAFE MIAMI, Rue 2 Mars, Korba",,https://www.google.com/maps/place/CAF%C3%89+MIAMI/data=!4m7!3m6!1s0x1302bbba6b6cb7a1:0x69ed0332099126f7!8m2!3d36.5743305!4d10.8605448!16s%2Fg%2F12ml2mvkh!19sChIJobdsa7q7AhMR9yaRCTID7Wk?authuser=0&hl=fr&rclk=1
ChIJIyON-LW7AhMRoW85hE2DKRg,Cafe du Lac,,False,13,,Cafe du Lac (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOFzfGR7_z2jS9x5HjIv9xZWAsfjhheTvVFh5h3=w426-h240-k-no,Cafe,Cafe,4.5,05:00-23:00,,58 218 548,"HVJ9+637 Cafe du Lac, Korba",,https://www.google.com/maps/place/Caf%C3%A9+du+Lac/data=!4m7!3m6!1s0x1302bbb5f88d2323:0x1829834d84396fa1!8m2!3d36.5805484!4d10.867678!16s%2Fg%2F11c7sys_tx!19sChIJIyON-LW7AhMRoW85hE2DKRg?authuser=0&hl=fr&rclk=1
ChIJA4UWvLW7AhMR1eMqLTuy4uo,Cafe Marina,,False,13,,Cafe Marina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPl5-vYXmCJFxC-4gAiGdSMSti0AWnzjXQMI3ae=w408-h306-k-no,Cafe,Cafe,4,05:30-02:00,,,"HVJ8+Q9H Cafe Marina, Korba",,https://www.google.com/maps/place/Caf%C3%A9+Marina/data=!4m7!3m6!1s0x1302bbb5bc168503:0xeae2b23b2d2ae3d5!8m2!3d36.5819438!4d10.8659722!16s%2Fg%2F1pv26hl2d!19sChIJA4UWvLW7AhMR1eMqLTuy4uo?authuser=0&hl=fr&rclk=1
ChIJ1co40bC7AhMRXf9mw4LaoxQ,Restaurant Le Bongout,,False,11,,Restaurant Le Bongout (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOLem1iduLlQppGil9Hi-F5_ujRa3JmZNB4heTn=w408-h270-k-no,Restaurant,Restaurant,4.2,10:00-23:00,,,"HVH6+2J5 Restaurant Le Bongout, Bd de l'Environnement, Korba",,https://www.google.com/maps/place/Restaurant+Le+Bongout/data=!4m7!3m6!1s0x1302bbb0d138cad5:0x14a3da82c366ff5d!8m2!3d36.5775082!4d10.8615948!16s%2Fg%2F11hc_0_qb_!19sChIJ1co40bC7AhMRXf9mw4LaoxQ?authuser=0&hl=fr&rclk=1
ChIJhwB_vAa7AhMRA4ZS2d7Cr9Q,CUP N CAKE,,False,8,,CUP N CAKE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOCH24Wq8fCX44MYmkIONx2LsO6WhtUZvikezRD=w426-h240-k-no,Cafe,Cafe,4.4,,,,"HVG7+HM7 CUP N CAKE, Bd de l'Environnement, Korba",,https://www.google.com/maps/place/CUP+N+CAKE/data=!4m7!3m6!1s0x1302bb06bc7f0087:0xd4afc2ded9528603!8m2!3d36.5764084!4d10.8641633!16s%2Fg%2F11nn47sl9l!19sChIJhwB_vAa7AhMRA4ZS2d7Cr9Q?authuser=0&hl=fr&rclk=1
