place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJrQ_pqH4RAhMR5oKYjUxY5NY,Gracia's,,False,53,,Gracia's (proprietaire),https://www.google.com/maps/contrib/109494976187578953263,https://lh5.googleusercontent.com/p/AF1QipNiIjcwEZte0KM5KYwcz2gnr8CG5wJFnveeKSoG=w408-h306-k-no,Creperie,Creperie,4.4,,,52 504 544,"Gracia's, Av. Hadj Ali Soua, Ksar Hellal 5070","continuation, gaufres",https://www.google.com/maps/place/Gracia%E2%80%99s/data=!4m7!3m6!1s0x1302117ea8e90fad:0xd6e4584c8d9882e6!8m2!3d35.6545647!4d10.8901803!16s%2Fg%2F11t3bt7qq6!19sChIJrQ_pqH4RAhMR5oKYjUxY5NY?authuser=0&hl=fr&rclk=1
ChIJDe_dzcoWAhMR5KkZ5JgZmG8,Cafe de l'Excellence,,False,24,,Cafe de l'Excellence (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJbO5WOMeuY1gRY5ikvEjHGfia0UjXLK2yxqQi=w408-h544-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,,"MV5R+67F Cafe de l'Excellence, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+de+l%27Excellence/data=!4m7!3m6!1s0x130216cacdddef0d:0x6f981998e419a9e4!8m2!3d35.6580503!4d10.8906627!16s%2Fg%2F11b6wghy32!19sChIJDe_dzcoWAhMR5KkZ5JgZmG8?authuser=0&hl=fr&rclk=1
ChIJJ_Xy0FkRAhMRTGnJ4JLD0r8,Chaneb Food shnb fwd,,False,22,,Chaneb Food shnb fwd (proprietaire),https://www.google.com/maps/contrib/104422441157294540395,https://lh5.googleusercontent.com/p/AF1QipNnyfgAhE0llHyXiagZ_Nrs4niKVEldmIEh4m-X=w408-h306-k-no,Restauration rapide,"Restauration rapide, Restaurant tunisien",4.4,11:00-23:00,,58 336 336,"Chaneb Food shnb fwd, En Face De << ZEN >>, 199 Av. Habib bourguiba, Ksar Hellal 5070",,https://www.google.com/maps/place/Chaneb+Food+%D8%B4%D9%86%D8%A7%D8%A8+%D9%81%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x13021159d0f2f527:0xbfd2c392e0c9694c!8m2!3d35.648245!4d10.8846906!16s%2Fg%2F11qnt8fkxg!19sChIJJ_Xy0FkRAhMRTGnJ4JLD0r8?authuser=0&hl=fr&rclk=1
ChIJB_b00MoWAhMRmSYdKfkXlTA,Cafe Kuriat,,False,20,,Cafe Kuriat (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNlHovIZ5jbm2heNTGe6lRwxgX6MSLIj-sN9ve3=w408-h544-k-no,Cafe,Cafe,4.2,06:30-12:00,,,"MV5R+397 Cafe Kuriat, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+Kuriat/data=!4m7!3m6!1s0x130216cad0f4f607:0x309517f9291d2699!8m2!3d35.657658!4d10.8909166!16s%2Fg%2F11b6xd4zfl!19sChIJB_b00MoWAhMRmSYdKfkXlTA?authuser=0&hl=fr&rclk=1
ChIJPdCh-jARAhMRPyCCe05B9z8,Cafe Delice,,False,18,,Cafe Delice (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPVrVdKeZBbyOMr85oaeerQvJLXA88a6hClgOVn=w408-h725-k-no,Cafe,Cafe,4.1,06:00-23:30,,,"MV3J+7FR Cafe Delice, Ksar Hellal",,https://www.google.com/maps/place/Cafe+Delice/data=!4m7!3m6!1s0x13021130faa1d03d:0x3ff7414e7b82203f!8m2!3d35.6532394!4d10.8811298!16s%2Fg%2F11c51dg3ky!19sChIJPdCh-jARAhMRPyCCe05B9z8?authuser=0&hl=fr&rclk=1
ChIJF-rxT9MWAhMR-WX_To026xA,Volcano,,False,14,,Volcano (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOkbwj7yiUD4zPuQkNOHCUsN1dBOMvDwONWgpj7=w426-h240-k-no,Restaurant,Restaurant,4.4,13:00-00:00,dimanche,98 288 755,"JVVR+Q95 Volcano, Ksar Hellal",,https://www.google.com/maps/place/Volcano/data=!4m7!3m6!1s0x130216d34ff1ea17:0x10eb368d4eff65f9!8m2!3d35.6443919!4d10.8909759!16s%2Fg%2F11bz_yczyc!19sChIJF-rxT9MWAhMR-WX_To026xA?authuser=0&hl=fr&rclk=1
ChIJGZuE9dQWAhMR4L-sWrbPEfo,Down Town,,False,13,https://www.facebook.com/down-town-caf%25C3%25A9-109068542474837/,Down Town (proprietaire),https://www.google.com/maps/contrib/113490824901200573082,https://lh5.googleusercontent.com/p/AF1QipNrcTy8lEHi6ydUkCRJrdZb0ZALdGHOZM7sQxCM=w408-h256-k-no,Salon de the,Salon de the,4.5,07:00-01:00,,98 514 151,"Down Town, avenue aglabite, Ksar Hellal 5070",,https://www.google.com/maps/place/Down+Town/data=!4m7!3m6!1s0x130216d4f5849b19:0xfa11cfb65aacbfe0!8m2!3d35.6419828!4d10.8931616!16s%2Fg%2F1pp2wz255!19sChIJGZuE9dQWAhMR4L-sWrbPEfo?authuser=0&hl=fr&rclk=1
ChIJUzPfWXQXAhMRMFDOp3C1bJ0,SULTANE EL CHAM,,False,11,,SULTANE EL CHAM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsnmr42igtJimrnxP6A8E8zVXIXxwdwWHgES3b=w533-h240-k-no,Pizzeria,Pizzeria,4.4,08:00-23:00,lundi,95 911 911,"JVWR+PGW SULTANE EL CHAM, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/SULTANE+EL+CHAM/data=!4m7!3m6!1s0x1302177459df3353:0x9d6cb570a7ce5030!8m2!3d35.6467824!4d10.8913317!16s%2Fg%2F11rclk8xjd!19sChIJUzPfWXQXAhMRMFDOp3C1bJ0?authuser=0&hl=fr&rclk=1
ChIJIZ9ngfoRAhMRiGv6ToXi240,Cafe Hugo Said,,False,10,,Cafe Hugo Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMbADRaKjZ-qOaPwShKdvkEptG5k2fQ7apdWd7o=w408-h306-k-no,Cafe,"Cafe, Restaurant",4.3,Ouvert 24h/24,,,"MV3Q+7Q4 Cafe Hugo Said, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+Hugo+Sa%C3%AFd/data=!4m7!3m6!1s0x130211fa81679f21:0x8ddbe2854efa6b88!8m2!3d35.6531383!4d10.8894671!16s%2Fg%2F11pz51wx06!19sChIJIZ9ngfoRAhMRiGv6ToXi240?authuser=0&hl=fr&rclk=1
ChIJ-5Rm_ggXAhMRVJMys13clIw,BAM COFFEE SHOP,,False,6,,BAM COFFEE SHOP (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7AnBpBOKch3slvMuYV0jig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=51.90749&pitch=0&thumbfov=100,Cafe,Cafe,4.5,Ouvert 24h/24,,52 334 344,"MV4R+Q82 BAM COFFEE SHOP, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/BAM+COFFEE+SHOP/data=!4m7!3m6!1s0x13021708fe6694fb:0x8c94dc5db3329354!8m2!3d35.6568918!4d10.8907778!16s%2Fg%2F11r3tgfgkq!19sChIJ-5Rm_ggXAhMRVJMys13clIw?authuser=0&hl=fr&rclk=1
