place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJeU6bEWiKARMR8FOgSvrm54k,cafe Ben Hassine,,False,74,,cafe Ben Hassine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOVXjdWcqFsF1SfWzt1qo8hJu4dORinbX5ayLv0=w408-h306-k-no,Cafe,Cafe,4.4,07:00-00:00,,,"cafe Ben Hassine, Salakta",,https://www.google.com/maps/place/caf%C3%A9+Ben+Hassine/data=!4m7!3m6!1s0x13018a68119b4e79:0x89e7e6fa4aa053f0!8m2!3d35.3879619!4d11.0379296!16s%2Fg%2F11c44fbzw_!19sChIJeU6bEWiKARMR8FOgSvrm54k?authuser=0&hl=fr&rclk=1
ChIJKWNvfAchAhMRBlT2YjXnlKw,722 cafe resto,,False,40,,722 cafe resto (proprietaire),https://www.google.com/maps/contrib/116889870303003024219,https://lh5.googleusercontent.com/p/AF1QipN7a8uK7CHWl0WGneEt5W3RGE-EGfzD8-o8Ha_4=w408-h306-k-no,Cafe,Cafe,4.5,06:30-23:30,,,"722 cafe resto, 0000 Avenue 02 Mars, Ksour Essef 5180",,https://www.google.com/maps/place/722+caf%C3%A9+resto/data=!4m7!3m6!1s0x130221077c6f6329:0xac94e73562f65406!8m2!3d35.4216906!4d10.9982515!16s%2Fg%2F11r35pdtmb!19sChIJKWNvfAchAhMRBlT2YjXnlKw?authuser=0&hl=fr&rclk=1
ChIJ4THNYVOKARMRGzYzlxz7dds,Cabane Du Pecheur,,False,18,,Cabane Du Pecheur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPw6cAszZWw1oS-STh91--EUAhq3FLqQogFTmrw=w408-h271-k-no,Cafe,Cafe,4.5,06:00-00:00,,92 371 122,"928J+VMJ Cabane Du Pecheur, Ksour Essef",,https://www.google.com/maps/place/Cabane+Du+P%C3%AAcheur/data=!4m7!3m6!1s0x13018a5361cd31e1:0xdb75fb1c9733361b!8m2!3d35.3672246!4d11.0316347!16s%2Fg%2F11fxzm7_gb!19sChIJ4THNYVOKARMRGzYzlxz7dds?authuser=0&hl=fr&rclk=1
ChIJLeSPARIgAhMRNctK65UTWEM,Cafe Hajer,,False,17,,Cafe Hajer (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZcmjQRAzFKGrEubRAkAfQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.278275&pitch=0&thumbfov=100,Cafe,Cafe,4.1,Ouvert 24h/24,,23 454 346,"CXFX+843 Cafe Hajer, Ksour Essef",,https://www.google.com/maps/place/Caf%C3%A9+Hajer/data=!4m7!3m6!1s0x13022012018fe42d:0x43581395eb4acb35!8m2!3d35.4232718!4d10.9977889!16s%2Fg%2F12j1d9qbw!19sChIJLeSPARIgAhMRNctK65UTWEM?authuser=0&hl=fr&rclk=1
ChIJoTUjCGiKARMRym96BKROkkM,Cafe Bachar,,False,17,,Cafe Bachar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM8uJPLaXJ5srACStrD5kGBvoGrdsSTPHG7uEG3=w408-h306-k-no,Cafe,Cafe,4.5,06:00-00:20,,,"92PP+J8H Cafe Bachar, Ksour Essaf",,https://www.google.com/maps/place/Caf%C3%A9+Bachar/data=!4m7!3m6!1s0x13018a68082335a1:0x43924ea4047a6fca!8m2!3d35.3865536!4d11.0358453!16s%2Fg%2F11bzz2flmn!19sChIJoTUjCGiKARMRym96BKROkkM?authuser=0&hl=fr&rclk=1
ChIJW0RMtA4gAhMRAj-ziBg8v8s,HM Food,,False,11,https://www.facebook.com/HM-Food-107293796579071/,HM Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNuD7jezCCWdDkkWdPLOVJspdEAoI4hIGpCPTY=w408-h408-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,lundi,20 894 035,"CX9W+5H6 HM Food, Ksour Essef",,https://www.google.com/maps/place/HM+Food/data=!4m7!3m6!1s0x1302200eb44c445b:0xcbbf3c1888b33f02!8m2!3d35.4179147!4d10.996392!16s%2Fg%2F11g8y_rlsm!19sChIJW0RMtA4gAhMRAj-ziBg8v8s?authuser=0&hl=fr&rclk=1
ChIJ376dk0MhAhMRhXU3ccoQkqo,Dar Zmen,,False,10,,Dar Zmen (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPej9xf9D6cE8oB0QdQuIkG2YuRxB6K9I-XOLn9=w408-h725-k-no,Salon de the traditionnel,Salon de the traditionnel,4.8,06:00-23:00,,94 991 779,"CX8W+M6M Dar Zmen, Avenue Hedi Chaker, Ksour Essef 5180",,https://www.google.com/maps/place/Dar+Zmen/data=!4m7!3m6!1s0x13022143939dbedf:0xaa9210ca71377585!8m2!3d35.4167098!4d10.99556!16s%2Fg%2F11kmw5jcs1!19sChIJ376dk0MhAhMRhXU3ccoQkqo?authuser=0&hl=fr&rclk=1
ChIJn3owv_4hAhMRMpRd0oiGPR0,Cafe Hamama,,False,9,https://www.facebook.com/cafehamama/,Cafe Hamama (proprietaire),https://www.google.com/maps/contrib/104470455128260388016,,Cafe,Cafe,5,07:00-00:00,,98 372 255,"Cafe Hamama, Avenue Bourgiba, Building 5, Ksour Essaf 5180",,https://www.google.com/maps/place/Caf%C3%A9+Hamama/data=!4m7!3m6!1s0x130221febf307a9f:0x1d3d8688d25d9432!8m2!3d35.4229756!4d10.9973247!16s%2Fg%2F11rz4st25f!19sChIJn3owv_4hAhMRMpRd0oiGPR0?authuser=0&hl=fr&rclk=1
ChIJKZ7dYaohAhMR32ZvFTQY9HI,Storia cafe,,False,9,,Storia cafe (proprietaire),https://www.google.com/maps/contrib/107246580275081509629,https://lh5.googleusercontent.com/p/AF1QipN4NJLX9HmCo9OQ6JNiUxNZztxDI1to-01qeZUf=w408-h544-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,,"Storia cafe, C 90, Ksour Essaf",,https://www.google.com/maps/place/Storia+cafe/data=!4m7!3m6!1s0x130221aa61dd9e29:0x72f41834156f66df!8m2!3d35.4251586!4d10.9936723!16s%2Fg%2F11fp1lzcbl!19sChIJKZ7dYaohAhMR32ZvFTQY9HI?authuser=0&hl=fr&rclk=1
ChIJBSdWhGyKARMRo6UsE_mMgOw,Cafe Blayet,,False,9,,Cafe Blayet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP_UM2wmgA4nzArAQb6jT8eifEq2aslhD41cRZZ=w408-h544-k-no,Cafe,Cafe,4.1,04:00-02:00,,,"92RW+QFQ Cafe Blayet, Salakta",,https://www.google.com/maps/place/Caf%C3%A9+Blayet/data=!4m7!3m6!1s0x13018a6c84562705:0xec808cf9132ca5a3!8m2!3d35.391959!4d11.0462294!16s%2Fg%2F11by_zkh34!19sChIJBSdWhGyKARMRo6UsE_mMgOw?authuser=0&hl=fr&rclk=1
ChIJsQFehQsgAhMRfcUfBuMeFZA,Cafe Hammem,,False,7,,Cafe Hammem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOvOTysLfjUtPjaTLeZ_tDGgUDxglXt5AGFnO8F=w426-h240-k-no,Cafe,Cafe,4.7,,,,"CX8X+PWF Cafe Hammem, Ksour Essef",,https://www.google.com/maps/place/Caf%C3%A9+Hammem/data=!4m7!3m6!1s0x1302200b855e01b1:0x90151ee3061fc57d!8m2!3d35.4168018!4d10.9997916!16s%2Fg%2F11c6sd6t4s!19sChIJsQFehQsgAhMRfcUfBuMeFZA?authuser=0&hl=fr&rclk=1
ChIJUWDkJzghAhMRAa7Vj_UoevI,Pizzeria Nacer,,False,7,,Pizzeria Nacer (proprietaire),,,Pizzeria,Pizzeria,4.7,,,25 397 505,"CX8X+J44 Pizzeria Nacer, Ksour Essef",,https://www.google.com/maps/place/Pizzeria+Nacer/data=!4m7!3m6!1s0x1302213827e46051:0xf27a28f58fd5ae01!8m2!3d35.416502!4d10.9978209!16s%2Fg%2F11j03b06dz!19sChIJUWDkJzghAhMRAa7Vj_UoevI?authuser=0&hl=fr&rclk=1
