place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlY8WGZRL_RIRhBlIDws0IYI,Restaurant Djerbien The House - lHwsh,,False,206,https://facebook.com/ElHoucheLaGoulette,Restaurant Djerbien The House - lHwsh (proprietaire),https://www.google.com/maps/contrib/109148645026368609116,https://lh5.googleusercontent.com/p/AF1QipNhUu_CPbwUjUsC6VZSUFsEDpbW6Kdr_6U6f3pC=w408-h306-k-no,Restaurant,Restaurant,4.3,12:30-22:30,lundi,28 413 413,"Restaurant Djerbien The House - lHwsh, 43 Av. Franklin Roosevelt, La Goulette","couscous, prix, pain, tunisien, experience, serveur, cuisine traditionnelle, succulente, quantites, entree",https://www.google.com/maps/place/Restaurant+Djerbien+The+House+-+%D8%A7%D9%84%D8%AD%D9%88%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x12fd4b9419168f95:0x8221340b0f481984!8m2!3d36.8200762!4d10.3088234!16s%2Fg%2F11f613y0hv!19sChIJlY8WGZRL_RIRhBlIDws0IYI?authuser=0&hl=fr&rclk=1
ChIJ4be7ol9L_RIR8NpVEmNDloA,Vin sur Vin,,False,81,,Vin sur Vin (proprietaire),https://www.google.com/maps/contrib/107373230831427067366,https://lh5.googleusercontent.com/p/AF1QipP-Iv5lFd9Oax2HddyMs2Xt6LFiPNBbVWya2ajy=w408-h306-k-no,Bistro,Bistro,4,,,53 270 000,"Vin sur Vin, 20 Rue Ali Bach, La Goulette 2060","fromage, bar, boissons, jogging, argent, musique, prix",https://www.google.com/maps/place/Vin+sur+Vin/data=!4m7!3m6!1s0x12fd4b5fa2bbb7e1:0x809643631255daf0!8m2!3d36.8155317!4d10.3055714!16s%2Fg%2F11j3rqh77n!19sChIJ4be7ol9L_RIR8NpVEmNDloA?authuser=0&hl=fr&rclk=1
ChIJaWvy_RxL_RIRWn6T5exyIp4,Restaurant Waywa,,False,39,,Restaurant Waywa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsWEbkraEMaHIm7guBq2arcjFpEY2Hyvb2sBjD=w408-h306-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,25 524 477,"R884+R86 Restaurant Waywa, Av. Franklin Roosevelt, La Goulette","poisson, prix",https://www.google.com/maps/place/Restaurant+Waywa/data=!4m7!3m6!1s0x12fd4b1cfdf26b69:0x9e2272ece5937e5a!8m2!3d36.8170356!4d10.3057719!16s%2Fg%2F11gbnvdwz3!19sChIJaWvy_RxL_RIRWn6T5exyIp4?authuser=0&hl=fr&rclk=1
ChIJPanmchhL_RIRrWh_FKWDnd0,restaurant la paella,,False,26,https://www.facebook.com/search/top%3Fq%3Drestaurant%2520la%2520paella,restaurant la paella (proprietaire),https://www.google.com/maps/contrib/111279379995923553848,https://lh5.googleusercontent.com/p/AF1QipM0nr0R1v7XcemY91vwUzG0V5Dx_8I2EJFhVfro=w408-h544-k-no,Restaurant,Restaurant,4.4,12:00-01:00,,21 171 717,"restaurant la paella, casino, La Goulette 2060","musique, tapas, atmosphere",https://www.google.com/maps/place/restaurant+la+paella/data=!4m7!3m6!1s0x12fd4b1872e6a93d:0xdd9d83a5147f68ad!8m2!3d36.822863!4d10.3116817!16s%2Fg%2F11swqc5zby!19sChIJPanmchhL_RIRrWh_FKWDnd0?authuser=0&hl=fr&rclk=1
ChIJy1ToQ0hL_RIRQVj4WaRMsdQ,Leblebi chez Naceur (lblby),,False,26,,Leblebi chez Naceur (lblby) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPVTibTgN8hQlZxQYiTrtLoJAF4XL42qHM-9YMF=w408-h544-k-no,Restaurant,Restaurant,4.5,12:00-05:00,,,"Leblebi chez Naceur (lblby), 35 Av. Franklin Roosevelt, La Goulette",prix,https://www.google.com/maps/place/Leblebi+chez+Naceur+%28%D9%84%D8%A8%D9%84%D8%A7%D8%A8%D9%8A%29%E2%80%AD/data=!4m7!3m6!1s0x12fd4b4843e854cb:0xd4b14ca459f85841!8m2!3d36.8192715!4d10.3079783!16s%2Fg%2F11n0697v0r!19sChIJy1ToQ0hL_RIRQVj4WaRMsdQ?authuser=0&hl=fr&rclk=1
ChIJA2irmBlL_RIRmh0kqhecL88,Cafe Goletta,,False,21,https://www.facebook.com/Caf%25C3%25A9-Goletta-1355210237887652/,Cafe Goletta (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsdOJxYBYpaQ6DxVXU4w4rMbK6aaixeoA6BwF_=w426-h240-k-no,Cafe,Cafe,4.4,07:00-23:00,,21 759 284,"R8F7+5FV Cafe Goletta, La Goulette",,https://www.google.com/maps/place/Caf%C3%A9+Goletta/data=!4m7!3m6!1s0x12fd4b1998ab6803:0xcf2f9c17aa241d9a!8m2!3d36.8229867!4d10.313663!16s%2Fg%2F11dyns8n3_!19sChIJA2irmBlL_RIRmh0kqhecL88?authuser=0&hl=fr&rclk=1
ChIJ2RhCkl1L_RIRb9GyIbKCsbg,Sam'S BEACH LA GOULETTE,,False,18,,Sam'S BEACH LA GOULETTE (proprietaire),https://www.google.com/maps/contrib/105777494845884932443,https://lh5.googleusercontent.com/p/AF1QipPs5sCOa_s5lDqfjMh6HZlEhXVsvhMbenJTAew0=w408-h278-k-no,Cafe servant des chocolats chauds,"Cafe servant des chocolats chauds, Creperie, Salon de the",4.3,07:00-20:30,,24 170 701,"Sam'S BEACH LA GOULETTE, 30 Av. De La Republique, La Goulette",,https://www.google.com/maps/place/Sam%27S+BEACH+LA+GOULETTE/data=!4m7!3m6!1s0x12fd4b5d924218d9:0xb8b182b221b2d16f!8m2!3d36.8160739!4d10.3060813!16s%2Fg%2F11gnplhxpc!19sChIJ2RhCkl1L_RIRb9GyIbKCsbg?authuser=0&hl=fr&rclk=1
ChIJ15wprQJL_RIRQLAQ2KWGwJA,Chicago La Goulette,,False,16,,Chicago La Goulette (proprietaire),https://www.google.com/maps/contrib/115907590496356518688,https://lh5.googleusercontent.com/p/AF1QipN1NrmAGroZonncLKUlN_P8C2uS5qOINZSucJbH=w426-h240-k-no,Restaurant,Restaurant,4.3,12:00-00:00,,21 502 249,"Chicago La Goulette, 2 Av. Franklin Roosevelt, La Goulette 2060",,https://www.google.com/maps/place/Chicago+La+Goulette/data=!4m7!3m6!1s0x12fd4b02ad299cd7:0x90c086a5d810b040!8m2!3d36.8170692!4d10.3053236!16s%2Fg%2F11gdz49_jk!19sChIJ15wprQJL_RIRQLAQ2KWGwJA?authuser=0&hl=fr&rclk=1
ChIJtyOfD-RL_RIRW_o2AsTLfsg,Restaurant La Guitoune,,False,12,,Restaurant La Guitoune (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPvidJendHjpnPQ3pGYEESCZOCdBCThSjtYQapU=w408-h306-k-no,Restaurant,Restaurant,4.6,11:00-23:00,,24 813 503,"Restaurant La Guitoune, 17 Av. Franklin Roosevelt, La Goulette",,https://www.google.com/maps/place/Restaurant+La+Guitoune/data=!4m7!3m6!1s0x12fd4be40f9f23b7:0xc87ecbc40236fa5b!8m2!3d36.8184243!4d10.3071166!16s%2Fg%2F11f6dkhyt3!19sChIJtyOfD-RL_RIRW_o2AsTLfsg?authuser=0&hl=fr&rclk=1
ChIJ54JSTR1L_RIRf7MPIl5qRWw,Restaurant Le Cordoue,,False,12,,Restaurant Le Cordoue (proprietaire),https://www.google.com/maps/contrib/112613800018876625539,https://lh5.googleusercontent.com/p/AF1QipOxc84Wat1USxiy5zPvVY56L6TP8UrYKO1uSyNM=w513-h240-k-no,Restaurant,Restaurant,4.4,11:00-23:30,,71 735 476,"Restaurant Le Cordoue, 13 Av. Franklin Roosevelt, La Goulette 2060",,https://www.google.com/maps/place/Restaurant+Le+Cordoue/data=!4m7!3m6!1s0x12fd4b1d4d5282e7:0x6c456a5e220fb37f!8m2!3d36.8170461!4d10.3057647!16s%2Fg%2F11f3b0d980!19sChIJ54JSTR1L_RIRf7MPIl5qRWw?authuser=0&hl=fr&rclk=1
ChIJKxkCcXRL_RIRU-wXLC9OO-8,Mazaj cafe,,False,9,,Mazaj cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMR01Xil44ckwSsO2ZBRseeP3D0WgVjRz1_Vkcg=w426-h240-k-no,Cafe,Cafe,4.1,06:00-01:00,,,"R8C6+V7Q Mazaj cafe, Av. Pasteur, La Goulette",,https://www.google.com/maps/place/Mazaj+cafe/data=!4m7!3m6!1s0x12fd4b747102192b:0xef3b4e2f2c17ec53!8m2!3d36.8222055!4d10.3107491!16s%2Fg%2F11fl3zmhqx!19sChIJKxkCcXRL_RIRU-wXLC9OO-8?authuser=0&hl=fr&rclk=1
ChIJZWv6QntL_RIR9Ij8Y2JLB1I,EL FIRMA COFFEE SHOP,,False,9,,EL FIRMA COFFEE SHOP (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN0aYkO1Io8c7tbamR6adHRN7BDUD_QDw2Wtayo=w408-h503-k-no,Cafe,Cafe,4.8,09:00-01:00,,99 544 925,"EL FIRMA COFFEE SHOP, 90 Av. Franklin Roosevelt, La Goulette 2060",,https://www.google.com/maps/place/EL+FIRMA+COFFEE+SHOP/data=!4m7!3m6!1s0x12fd4b7b42fa6b65:0x52074b6263fc88f4!8m2!3d36.8228658!4d10.3116849!16s%2Fg%2F11jpp056q5!19sChIJZWv6QntL_RIR9Ij8Y2JLB1I?authuser=0&hl=fr&rclk=1
ChIJPwj42lhL_RIR3jXQQoyNX54,quedamos,,False,8,,quedamos (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNpHmgP6eoUKmLYYyDvIzVhVEHIXclncpJUVBom=w408-h300-k-no,Restaurant,Restaurant,4.5,11:00-23:00,,29 462 516,"R884+R47 quedamos, Av. Franklin Roosevelt, La Goulette",,https://www.google.com/maps/place/quedamos/data=!4m7!3m6!1s0x12fd4b58daf8083f:0x9e5f8d8c42d035de!8m2!3d36.8170461!4d10.3053106!16s%2Fg%2F11hz2kzxyz!19sChIJPwj42lhL_RIR3jXQQoyNX54?authuser=0&hl=fr&rclk=1
ChIJl-2jxAtL_RIRbgJtUlqlPSU,Melody Cafe,,False,7,,Melody Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM0rAa95N9EgznvEcVD5qC-On6fAastRiVKYD5n=w408-h906-k-no,Cafe,Cafe,4.9,07:00-23:00,,53 242 995,"R8G6+7F3 Melody Cafe, La Goulette",,https://www.google.com/maps/place/Melody+Caf%C3%A9/data=!4m7!3m6!1s0x12fd4b0bc4a3ed97:0x253da55a526d026e!8m2!3d36.8256335!4d10.3111769!16s%2Fg%2F11rtc8r1_l!19sChIJl-2jxAtL_RIRbgJtUlqlPSU?authuser=0&hl=fr&rclk=1
ChIJl-x-tgJL_RIR_OMyfxGsdz8,La Corniche,,False,6,,La Corniche (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNXjlLRwGSW7bLWRMsy2DzvLFEZSdgZd6Dn_kbB=w480-h240-k-no,Restaurant,Restaurant,4.3,11:00-23:00,,,"R884+MF6 La Corniche, Rue El Amir Abdelkader, La Goulette",,https://www.google.com/maps/place/La+Corniche/data=!4m7!3m6!1s0x12fd4b02b67eec97:0x3f77ac117f32e3fc!8m2!3d36.8166558!4d10.306132!16s%2Fg%2F11csr2xzgb!19sChIJl-x-tgJL_RIR_OMyfxGsdz8?authuser=0&hl=fr&rclk=1
ChIJLbMLHwpL_RIRhPS0G9o1kM0,Astoria Coffee,,False,5,,Astoria Coffee (proprietaire),https://www.google.com/maps/contrib/103712317996916689085,https://lh5.googleusercontent.com/p/AF1QipNcbH4ZsBY0ccMI5TFn6LdoqT88t25WNErfnEFU=w408-h544-k-no,Salon de the,Salon de the,4.2,07:00-01:00,,,"Astoria Coffee, Av. Franklin Roosevelt, La Goulette 2060",,https://www.google.com/maps/place/Astoria+Coffee/data=!4m7!3m6!1s0x12fd4b0a1f0bb32d:0xcd9035da1bb4f484!8m2!3d36.8227708!4d10.3113287!16s%2Fg%2F11t6lkqgzt!19sChIJLbMLHwpL_RIRhPS0G9o1kM0?authuser=0&hl=fr&rclk=1
ChIJaWvy_RxL_RIR__1vtKHp27g,Salon De The Casablanca,,False,5,,Salon De The Casablanca (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOvlny2Fd3YRj843upTPAxyjIdqYMMQs7aT3IYM=w408-h906-k-no,Cafe,Cafe,4.4,07:15-01:00,,22 700 609,"R895+J4F Salon De The Casablanca, Av. Franklin Roosevelt, La Goulette",,https://www.google.com/maps/place/Salon+De+Th%C3%A9+Casablanca/data=!4m7!3m6!1s0x12fd4b1cfdf26b69:0xb8dbe9a1b46ffdff!8m2!3d36.8190662!4d10.3078025!16s%2Fg%2F11fy4lzccr!19sChIJaWvy_RxL_RIR__1vtKHp27g?authuser=0&hl=fr&rclk=1
ChIJ32rfOvtK_RIRqC4-lue4Qeo,Istanbul Cafe,,False,3,,Istanbul Cafe (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q_NGjsYT0iwvu8rbRaB-7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.27984&pitch=0&thumbfov=100,Cafe,Cafe,4.3,06:00-00:00,,,"R882+572 Istanbul Cafe, Residence Asma, Boulevard, Av. du 1er Juin 1955, La Goulette",,https://www.google.com/maps/place/Istanbul+Caf%C3%A9/data=!4m7!3m6!1s0x12fd4afb3adf6adf:0xea41b8e7963e2ea8!8m2!3d36.8153755!4d10.3006313!16s%2Fg%2F11gg92d189!19sChIJ32rfOvtK_RIRqC4-lue4Qeo?authuser=0&hl=fr&rclk=1
