place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJsU9Gk1Q3_RIRCj1SsgG1MlE,Cafe l'AQUARIUM,,False,13,,Cafe l'AQUARIUM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhxuuHAFNB9wkKdA62fUpI_KuYkpt9gzcy6s_2=w408-h306-k-no,Cafe,Cafe,4.8,05:00-23:00,,53 385 742,"M5VC+HRH Cafe l'AQUARIUM, Fouchana",,https://www.google.com/maps/place/Caf%C3%A9+l%27AQUARIUM/data=!4m7!3m6!1s0x12fd375493464fb1:0x5132b501b2523d0a!8m2!3d36.693941!4d10.1721011!16s%2Fg%2F11c1ww_f8n!19sChIJsU9Gk1Q3_RIRCj1SsgG1MlE?authuser=0&hl=fr&rclk=1
ChIJj7skw6w7_RIRnx5XfoMASq8,cafe et espace HAPPINESS,,False,12,,cafe et espace HAPPINESS (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOEPnTXc2QH96uJpY1q5QpXj5z-kB5xURU8NnrJ=w426-h240-k-no,Cafe,Cafe,4,06:00-00:00,,28 623 605,"cafe et espace HAPPINESS, RN3",,https://www.google.com/maps/place/caf%C3%A9+et+espace+HAPPINESS/data=!4m7!3m6!1s0x12fd3bacc324bb8f:0xaf4a00837e571e9f!8m2!3d36.6489489!4d10.1333749!16s%2Fg%2F11g9q43hb7!19sChIJj7skw6w7_RIRnx5XfoMASq8?authuser=0&hl=fr&rclk=1
ChIJG6VhlQ86_RIRsdi8mm-B4bg,Poz'kfe,,False,10,,Poz'kfe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNSe-OUbYXn8JP_X-4H5Gof3r4NhkWSKoAsHx-i=w426-h240-k-no,Cafe,Cafe,4.2,,,,"M5J5+Q3Q Poz'kfe, GP3, Mohammedia",,https://www.google.com/maps/place/Poz%27kf%C3%A8/data=!4m7!3m6!1s0x12fd3a0f9561a51b:0xb8e1816f9abcd8b1!8m2!3d36.6819693!4d10.1577295!16s%2Fg%2F11df0y7pr1!19sChIJG6VhlQ86_RIRsdi8mm-B4bg?authuser=0&hl=fr&rclk=1
ChIJf61r6qk5_RIRSkruW-xI1Pk,cafe booo,,False,7,,cafe booo (proprietaire),https://www.google.com/maps/contrib/108109229119506508840,https://lh5.googleusercontent.com/p/AF1QipMPe2Fvu9LoSSKJVHyDdlW9IpupzbZBVJuZGLB2=w408-h544-k-no,Cafe,Cafe,4,05:30-01:30,,98 779 068,"cafe booo, batiments Bounaouara, Route de liaison Chbedda et, 02 rue 20 mars, Naassen 1135",,https://www.google.com/maps/place/caf%C3%A9+booo/data=!4m7!3m6!1s0x12fd39a9ea6bad7f:0xf9d448ec5bee4a4a!8m2!3d36.6851709!4d10.213801!16s%2Fg%2F11ns405dtp!19sChIJf61r6qk5_RIRSkruW-xI1Pk?authuser=0&hl=fr&rclk=1
ChIJ48UhmQ86_RIR4ja9DCR0nME,Cafe Ellissa,,False,6,,Cafe Ellissa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMd9qx0_r4XWr6lU4RtqV1HY17KS03XqJJEX7Pb=w408-h544-k-no,Cafe,Cafe,4.3,06:00-23:00,,20 633 865,"M5M5+44H Cafe Ellissa, GP3, Mohammedia",,https://www.google.com/maps/place/Cafe+Ellissa/data=!4m7!3m6!1s0x12fd3a0f9921c5e3:0xc19c74240cbd36e2!8m2!3d36.6828054!4d10.1578564!16s%2Fg%2F11c5643qf5!19sChIJ48UhmQ86_RIR4ja9DCR0nME?authuser=0&hl=fr&rclk=1
ChIJawNeWEg7_RIR53a3tXN4TC0,Cafe venezia,,False,5,,Cafe venezia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMMijXkiXDeKhIP3jc2Qzoot25icWCO25a1ruT4=w408-h725-k-no,Cafe,Cafe,4.2,05:00-02:00,,,"M599+MJH Cafe venezia, Unnamed Road, Mohammedia",,https://www.google.com/maps/place/Cafe+venezia/data=!4m7!3m6!1s0x12fd3b48585e036b:0x2d4c7873b5b776e7!8m2!3d36.6691989!4d10.1690954!16s%2Fg%2F11hdvvqrb1!19sChIJawNeWEg7_RIR53a3tXN4TC0?authuser=0&hl=fr&rclk=1
ChIJq6qqqq4w_RIRnw1nBoHligM,Cafe Iyed,,False,5,,Cafe Iyed (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjFgWPYzLZ21N0MAFgyHbxbesrR4QW1eE_LQx-=w408-h306-k-no,Cafe,Cafe,4,06:00-23:00,,22 055 070,"M5W7+9VQ Cafe Iyed, Fouchana",,https://www.google.com/maps/place/Caf%C3%A9+Iyed/data=!4m7!3m6!1s0x12fd30aeaaaaaaab:0x38ae58106670d9f!8m2!3d36.6959589!4d10.164736!16s%2Fg%2F11c71pptpc!19sChIJq6qqqq4w_RIRnw1nBoHligM?authuser=0&hl=fr&rclk=1
ChIJm_N_wOM7_RIRGtIxvXkamSE,Salon De The Et Espace Elhnaya,,False,5,,Salon De The Et Espace Elhnaya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOiT2Czgoj_NwjdG7Lx9QHp5pvLVbgsxyhT8UQe=w408-h306-k-no,Cafe,Cafe,4.6,06:00-00:00,,50 625 989,"M42M+G47 Salon De The Et Espace Elhnaya, Mohammedia",,https://www.google.com/maps/place/Salon+De+The+Et+Espace+Elhnaya/data=!4m7!3m6!1s0x12fd3be3c07ff39b:0x21991a79bd31d21a!8m2!3d36.6512786!4d10.1327862!16s%2Fg%2F11fcq2blzk!19sChIJm_N_wOM7_RIRGtIxvXkamSE?authuser=0&hl=fr&rclk=1
ChIJuQtL1Go6_RIRVoGNVwQKUis,Pyramide,,False,5,,Pyramide (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMDD6488NBl21882Ao4uvfpN4nB8vg3wSuRV9Jq=w408-h306-k-no,Cafe,Cafe,4.6,,,,"M4FX+73V Pyramide, Mohammedia",,https://www.google.com/maps/place/Pyramide/data=!4m7!3m6!1s0x12fd3a6ad44b0bb9:0x2b520a04578d8156!8m2!3d36.6732312!4d10.1476775!16s%2Fg%2F11crzlg8j0!19sChIJuQtL1Go6_RIRVoGNVwQKUis?authuser=0&hl=fr&rclk=1
ChIJN9UcDpo7_RIRyYe_U0wMnpk,Cafe la Rosa,,False,4,,Cafe la Rosa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM0NjtpLWAwenXSxQWAwl5a8X3FLQlzCteggtvm=w408-h725-k-no,Cafe,Cafe,4,03:00-00:00,,,"M44Q+5M7 Cafe la Rosa, Mohammedia",,https://www.google.com/maps/place/Caf%C3%A9+la+Rosa/data=!4m7!3m6!1s0x12fd3b9a0e1cd537:0x999e0c4c53bf87c9!8m2!3d36.6554122!4d10.1391642!16s%2Fg%2F11rx4km_f3!19sChIJN9UcDpo7_RIRyYe_U0wMnpk?authuser=0&hl=fr&rclk=1
