place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuazKsd9H_RIRnxVBZFBDlgM,Salon de the Fratello,,False,30,,Salon de the Fratello (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkbft3E_NgU4f73c0mSYsoF9wHsAkA-i0lDZ3v=w520-h240-k-no,Salon de the,"Salon de the, Restaurant",4.3,07:00-00:00,,54 177 777,"Salon de the Fratello, Peage de Mornag, A1, Mornag 2090",,https://www.google.com/maps/place/Salon+de+the+Fratello/data=!4m7!3m6!1s0x12fd47dfb1caacb9:0x39643506441159f!8m2!3d36.6780462!4d10.2845015!16s%2Fg%2F1260xxfhp!19sChIJuazKsd9H_RIRnxVBZFBDlgM?authuser=0&hl=fr&rclk=1
ChIJjeV9SHNI_RIRMzFt8Dgj2cc,Havana Salon De The,,False,14,,Havana Salon De The (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNPAc6LZk4MIovTHldxYPoK2It2i5ap8rlFhk5D=w426-h240-k-no,Cafe,Cafe,4.1,Ouvert 24h/24,,20 888 394,"M7PM+P6M Havana Salon De The, C35, Mornag",,https://www.google.com/maps/place/Havana+Salon+De+Th%C3%A9/data=!4m7!3m6!1s0x12fd4873487de58d:0xc7d92338f06d3133!8m2!3d36.6868399!4d10.2830585!16s%2Fg%2F11c4b4r0km!19sChIJjeV9SHNI_RIRMzFt8Dgj2cc?authuser=0&hl=fr&rclk=1
ChIJ8Uka8HVI_RIR6N1_liM9mbY,Cafe Hannibal,,False,11,,Cafe Hannibal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNQz2uNUr_cp_gJpA_qsgSjA7nzhvMHXuxUxrKm=w408-h725-k-no,Cafe,Cafe,4.2,05:00-22:00,,23 393 476,"M7JP+7W7 Cafe Hannibal, Mornag",,https://www.google.com/maps/place/Caf%C3%A9+Hannibal/data=!4m7!3m6!1s0x12fd4875f01a49f1:0xb6993d23967fdde8!8m2!3d36.6806536!4d10.2872968!16s%2Fg%2F11cm_hqg89!19sChIJ8Uka8HVI_RIR6N1_liM9mbY?authuser=0&hl=fr&rclk=1
ChIJaWH9ZHlI_RIRpYOaCoe8VM0,Cafe Omar Khayem,,False,11,,Cafe Omar Khayem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNnXXqc617tIMDOm1qenWmLPuj-GDYfIXPekkc_=w408-h544-k-no,Cafe,Cafe,4.5,06:00-01:00,,,"M7MW+HWW Cafe Omar Khayem, Mornag",,https://www.google.com/maps/place/Cafe+Omar+Khayem/data=!4m7!3m6!1s0x12fd487964fd6169:0xcd54bc870a9a83a5!8m2!3d36.683985!4d10.297313!16s%2Fg%2F11f125bnm9!19sChIJaWH9ZHlI_RIRpYOaCoe8VM0?authuser=0&hl=fr&rclk=1
ChIJp95_0LpH_RIRUqGHkqItQd4,Cafe Voltaire,,False,10,,Cafe Voltaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6G4m_MRRf1TynHx1qewdt_7Y0upe3VgYOxIhK=w408-h725-k-no,Cafe,Cafe,4.1,Ouvert 24h/24,,,"M79R+J87 Cafe Voltaire, Mornag",,https://www.google.com/maps/place/Caf%C3%A9+Voltaire/data=!4m7!3m6!1s0x12fd47bad07fdea7:0xde412da29287a152!8m2!3d36.6690402!4d10.2908105!16s%2Fg%2F11lfkmk03_!19sChIJp95_0LpH_RIRUqGHkqItQd4?authuser=0&hl=fr&rclk=1
ChIJq3qBTHRI_RIRgLhXORN-4YU,Cafe L'orange,,False,10,,Cafe L'orange (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1H02yKziQPjlltalxWok63gewEJb2TltTs1wy=w408-h306-k-no,Salon de the,Salon de the,4,06:00-00:00,,,"M7MP+6C4 Cafe L'orange, Mornag",,https://www.google.com/maps/place/Caf%C3%A9+L%27orange/data=!4m7!3m6!1s0x12fd48744c817aab:0x85e17e133957b880!8m2!3d36.6830127!4d10.2860721!16s%2Fg%2F11bzrfkrtb!19sChIJq3qBTHRI_RIRgLhXORN-4YU?authuser=0&hl=fr&rclk=1
ChIJ4YL_LXZI_RIR0rIj5j0hZSk,Cafe Haffa,,False,8,,Cafe Haffa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKZBbeEINp7aFoMGNJEGM24Dms-wiC603hD_Vw=w408-h680-k-no,Cafe,Cafe,4.3,06:00-22:00,,,"M7JR+566 Cafe Haffa, Mornag",,https://www.google.com/maps/place/Caf%C3%A9+Haffa/data=!4m7!3m6!1s0x12fd48762dff82e1:0x2965213de623b2d2!8m2!3d36.6804035!4d10.2905229!16s%2Fg%2F1tfysf_m!19sChIJ4YL_LXZI_RIR0rIj5j0hZSk?authuser=0&hl=fr&rclk=1
ChIJb4VRd3lI_RIRKDRyzlPK230,Salon De The MIRAGE,,False,8,,Salon De The MIRAGE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN6TykY2jPdSeqQTWG-JMHeGLd5qexRUo81lhSK=w408-h547-k-no,Cafe,Cafe,4.3,06:30-00:00,,58 020 373,"M7MW+HQ2 Salon De The MIRAGE, Mornag",,https://www.google.com/maps/place/Salon+De+The+MIRAGE/data=!4m7!3m6!1s0x12fd48797751856f:0x7ddbca53ce723428!8m2!3d36.6838835!4d10.2968755!16s%2Fg%2F11f3n1n1l2!19sChIJb4VRd3lI_RIRKDRyzlPK230?authuser=0&hl=fr&rclk=1
ChIJmyj0MjhH_RIR-VA-CoPituM,cafe adel benghalia / cafe du souk,,False,7,,cafe adel benghalia / cafe du souk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOqVd49fPFMLoP45p69f0b7R8uFfDxvFCUsaf-a=w408-h544-k-no,Cafe,Cafe,5,,,,"M7HQ+58X cafe adel benghalia / cafe du souk, Mornag",,https://www.google.com/maps/place/caf%C3%A9+adel+benghalia+%2F+caf%C3%A9+du+souk/data=!4m7!3m6!1s0x12fd473832f4289b:0xe3b6e2830a3e50f9!8m2!3d36.6779818!4d10.2883573!16s%2Fg%2F11r5qr4785!19sChIJmyj0MjhH_RIR-VA-CoPituM?authuser=0&hl=fr&rclk=1
ChIJqbFMzspH_RIRz4SL_utgZDI,El Alelga,,False,6,,El Alelga (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNDT6xiPAl_oDlaUP6LV9K-Zh4szH51j6E-_PSV=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,,"M853+JP3 El Alelga, Alelga face epicie bechir, Mornag",,https://www.google.com/maps/place/El+Alelga/data=!4m7!3m6!1s0x12fd47cace4cb1a9:0x326460ebfe8b84cf!8m2!3d36.6590166!4d10.3043064!16s%2Fg%2F11c6r8nbnw!19sChIJqbFMzspH_RIRz4SL_utgZDI?authuser=0&hl=fr&rclk=1
