place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJNzce47IjAhMRLpVTUj2IDFo,4.47,,False,340,,4.47 (proprietaire),https://www.google.com/maps/contrib/114441231384226754392,https://lh5.googleusercontent.com/p/AF1QipNTjuN5ZJ_v0j5bcxaGSUyW70wBBsYWmfbcQRid=w408-h306-k-no,Cafe et restaurant de grillades,"Cafe et restaurant de grillades, Cafe",4.1,07:00-00:00,,20 008 933,"4.47, Zone Touristique, Av. Taher Sfar, Mahdia 5111","serveur, experience, brunch, cuisine, table, sel, fromage, quantite, commande, souriant",https://www.google.com/maps/place/4.47/data=!4m7!3m6!1s0x130223b2e31e3737:0x5a0c883d5253952e!8m2!3d35.5191817!4d11.0389037!16s%2Fg%2F11fs30zgl9!19sChIJNzce47IjAhMRLpVTUj2IDFo?authuser=0&hl=fr&rclk=1
ChIJ33emBysjAhMRnrxvovcDsyg,RESTO DARNA,,False,119,,RESTO DARNA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMKZ3nmPY0bwLfQqmGq69FMEMAJomu5-E7wbphC=w408-h306-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,,54 676 088,"RESTO DARNA, Av. 14 Janvier, Mahdia","prix, tunisienne, soupe, poisson, salade, couscous, plats, poulpe, plage, service",https://www.google.com/maps/place/RESTO+DARNA/data=!4m7!3m6!1s0x1302232b07a677df:0x28b303f7a26fbc9e!8m2!3d35.5100325!4d11.0539664!16s%2Fg%2F11fpgpd0hr!19sChIJ33emBysjAhMRnrxvovcDsyg?authuser=0&hl=fr&rclk=1
ChIJw2uQJsAjAhMRdPkRGWip8ZM,El Margoum,,False,114,,El Margoum (proprietaire),https://www.google.com/maps/contrib/113177391305063257670,https://lh5.googleusercontent.com/p/AF1QipPPvYR7cLDHuqhBwIuuy1em5QmSYVaOtENndFpn=w408-h306-k-no,Salon de the,"Salon de the, Cafe",4.3,07:00-02:00,,97 452 246,"El Margoum, Mahdia","mer, prix",https://www.google.com/maps/place/El+Margoum/data=!4m7!3m6!1s0x130223c026906bc3:0x93f1a9681911f974!8m2!3d35.5139152!4d11.0476924!16s%2Fg%2F11b609wlfp!19sChIJw2uQJsAjAhMRdPkRGWip8ZM?authuser=0&hl=fr&rclk=1
ChIJT_sTGekjAhMRdtmurofRQKM,Cafe Machmoum,,False,97,,Cafe Machmoum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFJ9sHp7HqSX2u-FVsITabv7IXlafisz__4ha5=w408-h306-k-no,Cafe,Cafe,4.2,07:00-00:00,,73 695 565,"G353+32Q Cafe Machmoum, Av. du 2 Mars 1934, Mahdia 5100","prix, terrasse",https://www.google.com/maps/place/Caf%C3%A9+Machmoum/data=!4m7!3m6!1s0x130223e91913fb4f:0xa340d187aeaed976!8m2!3d35.5077059!4d11.0525973!16s%2Fg%2F1yg6ngs0j!19sChIJT_sTGekjAhMRdtmurofRQKM?authuser=0&hl=fr&rclk=1
ChIJh5gBzvcjAhMRxKtkX3bR778,Vitamin Sea,,False,84,https://www.facebook.com/Vitamin.Sea.Mahdia/,Vitamin Sea (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpyQ6e7wm0ym2VGiGrBqT0Nnexhcjs3RpMj1go=w408-h306-k-no,Cafe,Cafe,4.1,07:00-01:30,,54 098 585,"G34C+35G Vitamin Sea, Av. Cap Africa, Mahdia","vue, jus, prix",https://www.google.com/maps/place/Vitamin+Sea/data=!4m7!3m6!1s0x130223f7ce019887:0xbfefd1765f64abc4!8m2!3d35.5051927!4d11.0704558!16s%2Fg%2F11fxxw_x_5!19sChIJh5gBzvcjAhMRxKtkX3bR778?authuser=0&hl=fr&rclk=1
ChIJEW7ITT0lAhMRpJv_q9aicME,Malibu,,False,74,,Malibu (proprietaire),https://www.google.com/maps/contrib/109068692846471792996,https://lh5.googleusercontent.com/p/AF1QipOz111CKdl84ZbM1XGSIn8BNFThMI_y3Wbd8xMy=w408-h307-k-no,Cafe,Cafe,4.2,06:00-00:00,,99 651 499,"Malibu, A proximite de","prix, pizza, cocktails, creme, petit-dejeuner",https://www.google.com/maps/place/Malibu/data=!4m7!3m6!1s0x1302253d4dc86e11:0xc170a2d6abff9ba4!8m2!3d35.5030348!4d11.0684896!16s%2Fg%2F11sh5qdsrm!19sChIJEW7ITT0lAhMRpJv_q9aicME?authuser=0&hl=fr&rclk=1
ChIJuRpj5_cjAhMROtVd_M5ejYo,Cafe Gamra,,False,51,http://www.cafe-gamra.com/,Cafe Gamra (proprietaire),https://www.google.com/maps/contrib/112602314017241660626,https://lh5.googleusercontent.com/p/AF1QipMrZdb3pdOQiLbwb9cKbUAojiPAgE70u9xFYzRm=w408-h306-k-no,Cafe,Cafe,4.1,08:00-00:00,,73 680 916,"Cafe Gamra, Place du Caire, Mahdia","touristes, serveur, prix",https://www.google.com/maps/place/Caf%C3%A9+Gamra/data=!4m7!3m6!1s0x130223f7e7631ab9:0x8a8d5ecefc5dd53a!8m2!3d35.5043927!4d11.0707762!16s%2Fg%2F11g690bc4c!19sChIJuRpj5_cjAhMROtVd_M5ejYo?authuser=0&hl=fr&rclk=1
ChIJZbA9WAgkAhMRbvhJ-Le-pDo,Cafe El Mehdi,,False,38,,Cafe El Mehdi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN4wJisdz6bb799LdBG6IbbEx6RRw8_C_TWng_D=w408-h306-k-no,Cafe,Cafe,4.2,08:00-00:00,,,"G33F+QC6 Cafe El Mehdi, Rue de Borj Othmani, Mahdia",,https://www.google.com/maps/place/Caf%C3%A9+El+Mehdi/data=!4m7!3m6!1s0x13022408583db065:0x3aa4beb7f849f86e!8m2!3d35.5044237!4d11.0735155!16s%2Fg%2F11b604fccw!19sChIJZbA9WAgkAhMRbvhJ-Le-pDo?authuser=0&hl=fr&rclk=1
ChIJI4o3Lb8jAhMRZuGoykHF-oY,Champ's,,False,34,http://www.facebook.com/champs216,Champ's (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVduZOfKOdA0bE4byIKT7r9jqvk7BjsELEpUV7=w408-h240-k-no-pi-10-ya351.19083-ro-0-fo100,Cafe,Cafe,4,08:00-01:00,,73 682 873,"G29V+84F Champ's, Avenue Al Ajenna, Av. de la Corniche, Mahdia 5111",,https://www.google.com/maps/place/Champ%27s/data=!4m7!3m6!1s0x130223bf2d378a23:0x86fac541caa8e166!8m2!3d35.5183134!4d11.0428053!16s%2Fg%2F11c1w_hj72!19sChIJI4o3Lb8jAhMRZuGoykHF-oY?authuser=0&hl=fr&rclk=1
ChIJKyCOELEjAhMRMQYA1GDNWcs,el Habib,,False,33,,el Habib (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPP7PG2azf0s0cu9f-Me-nMug3y8MP-2Fht15Q8=w408-h306-k-no,Cafe,Cafe,4.4,07:00-00:00,,99 951 997,"E19, el Habib, Avenue de l'Environnement, Mahdia 5199",,https://www.google.com/maps/place/el+Habib/data=!4m7!3m6!1s0x130223b1108e202b:0xcb59cd60d4000631!8m2!3d35.5242596!4d11.0336693!16s%2Fg%2F1tvdxn_y!19sChIJKyCOELEjAhMRMQYA1GDNWcs?authuser=0&hl=fr&rclk=1
