place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWTXjHuYw4xIRdURNjzZt4eA,La Maison,,False,34,,La Maison (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPD6lGjo7meAuy1I4paowjL6aS9T6wrzaW6WdvS=w408-h544-k-no,Restaurant,Restaurant,4.4,09:00-19:00,dimanche,20 747 793,"2MR6+JFC La Maison, Mateur",,https://www.google.com/maps/place/La+Maison/data=!4m7!3m6!1s0x12e330e61ee33559:0xe0e16d368f4d4475!8m2!3d37.0415526!4d9.6611521!16s%2Fg%2F11gcc3_0zz!19sChIJWTXjHuYw4xIRdURNjzZt4eA?authuser=0&hl=fr&rclk=1
ChIJmQn9ruUw4xIRqV7ZXsnUq0U,Patisserie Lamouchi,,False,15,,Patisserie Lamouchi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM8WPRig3ldz45JtepZyRhpYIPEvGOE-RTtpCJA=w408-h306-k-no,Restaurant,Restaurant,4.5,07:35-23:05,,22 047 650,"2MQ7+QP4 Patisserie Lamouchi, Av. Habib Bourguiba, Mateur 7030",,https://www.google.com/maps/place/P%C3%A2tisserie+Lamouchi/data=!4m7!3m6!1s0x12e330e5aefd0999:0x45abd4c95ed95ea9!8m2!3d37.0393855!4d9.6643246!16s%2Fg%2F11dfj0r7_4!19sChIJmQn9ruUw4xIRqV7ZXsnUq0U?authuser=0&hl=fr&rclk=1
ChIJl_UIGcMw4xIRH_0q_ejHAl4,Golden Coffee,,False,14,,Golden Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5BFAxQK0Q47sc0SUVU6qreD5q_TUlFYYZeYBc=w426-h240-k-no,Cafe,Cafe,4.5,05:00-00:00,,,"2MV3+J6H Golden Coffee, Mateur",,https://www.google.com/maps/place/Golden+Coffee/data=!4m7!3m6!1s0x12e330c31908f597:0x5e02c7e8fd2afd1f!8m2!3d37.0440569!4d9.6531157!16s%2Fg%2F11c708t4zz!19sChIJl_UIGcMw4xIRH_0q_ejHAl4?authuser=0&hl=fr&rclk=1
ChIJKWsiOfsw4xIRIt1pe_qdZLs,Cafe Turki,,False,8,,Cafe Turki (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfNDAfo2T8fhOiOIyh_iWyQnVKX7cnm7x7vHQs=w408-h725-k-no,Cafe,Cafe,4.5,06:00-22:00,,97 841 988,"2MP9+RHJ Cafe Turki, P11, Mateur",,https://www.google.com/maps/place/Cafe+Turki/data=!4m7!3m6!1s0x12e330fb39226b29:0xbb649dfa7b69dd22!8m2!3d37.037086!4d9.6689031!16s%2Fg%2F11cst1f6wd!19sChIJKWsiOfsw4xIRIt1pe_qdZLs?authuser=0&hl=fr&rclk=1
ChIJQcA-jIYx4xIRDyRjQAsEOZM,Cafe Said,,False,4,,Cafe Said (proprietaire),,,Cafe,Cafe,4,,,,"2MP6+7M Cafe Said, Mateur",,https://www.google.com/maps/place/Caf%C3%A9+Sa%C3%AFd/data=!4m7!3m6!1s0x12e331868c3ec041:0x9339040b4063240f!8m2!3d37.0356451!4d9.6617004!16s%2Fg%2F11p791jhps!19sChIJQcA-jIYx4xIRDyRjQAsEOZM?authuser=0&hl=fr&rclk=1
ChIJHxh7ffcx4xIRyoLbZeVXjMg,Break time,,False,4,,Break time (proprietaire),https://www.google.com/maps/contrib/103687420748876204066,https://lh5.googleusercontent.com/p/AF1QipNz1qamxhKA7PGH-JWBLt9krX6RpZID5agk77ul=w408-h544-k-no,Cafe,Cafe,4.5,,,58 512 389,"2JWW+9QP Break time, Mateur",,https://www.google.com/maps/place/Break+time/data=!4m7!3m6!1s0x12e331f77d7b181f:0xc88c57e565db82ca!8m2!3d37.0460171!4d9.6470525!16s%2Fg%2F11stvfw39g!19sChIJHxh7ffcx4xIRyoLbZeVXjMg?authuser=0&hl=fr&rclk=1
ChIJ48fY7c8x4xIRtG9cpk2CBnU,Salon de the,,False,3,,Salon de the (proprietaire),,,Cafe,Cafe,4.7,06:00-23:00,,95 449 851,"2MRH+HX4 Salon de the, Rte de Bizerte, Mateur",,https://www.google.com/maps/place/Salon+de+th%C3%A9/data=!4m7!3m6!1s0x12e331cfedd8c7e3:0x7506824da65c6fb4!8m2!3d37.0413865!4d9.6799521!16s%2Fg%2F11h3m9s6ww!19sChIJ48fY7c8x4xIRtG9cpk2CBnU?authuser=0&hl=fr&rclk=1
ChIJ6apnAhkx4xIRFOIZex4lLsA,Cafe 5alwadh,,False,3,,Cafe 5alwadh (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCF8xJ2F1Zue48-szYHv2EH0uB_atJ7-C6gInc=w408-h306-k-no,Cafe,Cafe,5,,,,"2MQ7+W96 Cafe 5alwadh, Unnamed Road, Mateur",,https://www.google.com/maps/place/Caf%C3%A9+5alwadh/data=!4m7!3m6!1s0x12e331190267aae9:0xc02e251e7b19e214!8m2!3d37.0397919!4d9.6634027!16s%2Fg%2F11qpz17_wc!19sChIJ6apnAhkx4xIRFOIZex4lLsA?authuser=0&hl=fr&rclk=1
ChIJQaP4_QMx4xIR53CiH68aAGk,Resturant Cukur Mateur,,False,3,,Resturant Cukur Mateur (proprietaire),https://www.google.com/maps/contrib/118416700912014405833,https://lh5.googleusercontent.com/p/AF1QipNQt3mDbCrI1v1GnCxSiNkMzx8exKhfgRdG2M6Z=w408-h544-k-no,Restaurant,Restaurant,4.7,Ouvert 24h/24,,23 526 510,"Resturant Cukur Mateur, Rue Algerie, Mateur 7030",,https://www.google.com/maps/place/Resturant+Cukur+Mateur/data=!4m7!3m6!1s0x12e33103fdf8a341:0x69001aaf1fa270e7!8m2!3d37.0373567!4d9.6639873!16s%2Fg%2F11tgc90m88!19sChIJQaP4_QMx4xIR53CiH68aAGk?authuser=0&hl=fr&rclk=1
ChIJd_UPErox4xIR9BM8z6vTXg4,Saraya restaurant & Salon de the,,False,3,,Saraya restaurant & Salon de the (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNb4Es89rP30r90_34cGt9sCFnlDh2CAPKaEoGy=w408-h306-k-no,Restaurant,Restaurant,4,05:00-22:00,,93 931 986,"2MQ7+R9R Saraya restaurant & Salon de the, Mateur",,https://www.google.com/maps/place/Saraya+restaurant+%26+Salon+de+th%C3%A9/data=!4m7!3m6!1s0x12e331ba120ff577:0xe5ed3abcf3c13f4!8m2!3d37.0396125!4d9.6633906!16s%2Fg%2F11sddnqfq2!19sChIJd_UPErox4xIR9BM8z6vTXg4?authuser=0&hl=fr&rclk=1
