place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ44bBBivWVBIRECb1X2xn8OQ,Cafe Costa,,False,41,,Cafe Costa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOiwGQuBj9DRDQNtlxiuvldIulCjFLQ2VrOpsDs=w408-h544-k-no,Cafe,Cafe,4.3,06:00-00:00,,,"8FXP+CVG Cafe Costa, Medenine",,https://www.google.com/maps/place/Caf%C3%A9+Costa/data=!4m7!3m6!1s0x1254d62b06c186e3:0xe4f0676c5ff52610!8m2!3d33.3485585!4d10.4871915!16s%2Fg%2F11bzywm878!19sChIJ44bBBivWVBIRECb1X2xn8OQ?authuser=0&hl=fr&rclk=1
ChIJK5ppUN3XVBIRPVXQzCMg--g,Hallway Coffee Shop,,False,32,https://www.cafehallway.com/,Hallway Coffee Shop (proprietaire),https://www.google.com/maps/contrib/113963423612672992205,https://lh5.googleusercontent.com/p/AF1QipOPTv8wWZzP_jTRsttIfkf42ZVZVUDzFT2zHmRB=w408-h544-k-no,Cafe,Cafe,4.1,06:45-21:00,,,"Hallway Coffee Shop, 8FVQ+RXV Medenine hallway",,https://www.google.com/maps/place/Hallway+Coffee+Shop/data=!4m7!3m6!1s0x1254d7dd50699a2b:0xe8fb2023ccd0553d!8m2!3d33.3445625!4d10.4899375!16s%2Fg%2F11p66drnbk!19sChIJK5ppUN3XVBIRPVXQzCMg--g?authuser=0&hl=fr&rclk=1
ChIJz1J8LMTXVBIRcLS1DS8hFA4,mntzh lfSwl lrb`@,,False,18,,mntzh lfSwl lrb`@ (proprietaire),https://www.google.com/maps/contrib/114122265473571410730,https://lh5.googleusercontent.com/p/AF1QipMB207ueKOW246r1ccfOI7bQsPcwV9ktkdZBZ6p=w408-h264-k-no,Cafe,Cafe,4,07:00-00:00,,75 646 887,"mntzh lfSwl lrb`@, C113, Medenine",,https://www.google.com/maps/place/%D9%85%D9%86%D8%AA%D8%B2%D9%87+%D8%A7%D9%84%D9%81%D8%B5%D9%88%D9%84+%D8%A7%D9%84%D8%A7%D8%B1%D8%A8%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1254d7c42c7c52cf:0xe14212f0db5b470!8m2!3d33.3369152!4d10.4703814!16s%2Fg%2F11c45p6755!19sChIJz1J8LMTXVBIRcLS1DS8hFA4?authuser=0&hl=fr&rclk=1
ChIJZzcjFpMpVRIRVsPfXvKmwKI,mntzh `Sm jm`@,,False,15,,mntzh `Sm jm`@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNcvzZ_u3cNcoKa-8tGEFXaJQbyHmPJ1r4oHgmO=w408-h544-k-no,Cafe,Cafe,4,07:00-00:00,,,"9GF7+6VG mntzh `Sm jm`@, Medenine",,https://www.google.com/maps/place/%D9%85%D9%86%D8%AA%D8%B2%D9%87+%D8%B9%D8%B5%D8%A7%D9%85+%D8%AC%D9%85%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1255299316233767:0xa2c0a6f25edfc356!8m2!3d33.3730669!4d10.5147063!16s%2Fg%2F11hbqq340q!19sChIJZzcjFpMpVRIRVsPfXvKmwKI?authuser=0&hl=fr&rclk=1
ChIJ__6jp-spVRIRIlb_LvG4HK0,Cafe Bonkif,,False,11,,Cafe Bonkif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM9XALVcOdNs0-xcgiud1n1Gsh6JFYmPU1jbq-T=w408-h544-k-no,Cafe,Cafe,4,05:00-22:00,,24 676 569,"9G96+J7Q Cafe Bonkif, Medenine",,https://www.google.com/maps/place/Cafe+Bonkif/data=!4m7!3m6!1s0x125529eba7a3feff:0xad1cb8f12eff5622!8m2!3d33.369084!4d10.5107487!16s%2Fg%2F11c2kdrwf3!19sChIJ__6jp-spVRIRIlb_LvG4HK0?authuser=0&hl=fr&rclk=1
ChIJjTaCff0pVRIRAPvGZ1jKiHU,Monarc Coffee,,False,8,,Monarc Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsetfjoBYFGvB5YSwClGPZeylRhnvnE7R4X6f2=w408-h272-k-no,Cafe,Cafe,4.6,06:00-00:00,,,"9G29+FMP Monarc Coffee, P1, Medenine",,https://www.google.com/maps/place/Monarc+Coffee/data=!4m7!3m6!1s0x125529fd7d82368d:0x7588ca5867c6fb00!8m2!3d33.3512014!4d10.5192152!16s%2Fg%2F11fz9y58lj!19sChIJjTaCff0pVRIRAPvGZ1jKiHU?authuser=0&hl=fr&rclk=1
ChIJuXJwdtLXVBIRlkB0qLct0kk,Salon de the TonTon,,False,8,,Salon de the TonTon (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN6MKOsrYKD3AF8PSyjMeAnvYpNeksouKq9UQIU=w408-h544-k-no,Cafe,Cafe,4.4,07:00-23:00,,,"8FRQ+WJH Salon de the TonTon, Medenine",,https://www.google.com/maps/place/Salon+de+th%C3%A9+TonTon/data=!4m7!3m6!1s0x1254d7d2767072b9:0x49d22db7a8744096!8m2!3d33.3423145!4d10.4891118!16s%2Fg%2F11h666r53c!19sChIJuXJwdtLXVBIRlkB0qLct0kk?authuser=0&hl=fr&rclk=1
ChIJ2altTyvWVBIRQGtf2xoIjV4,mqh~ shyf,,False,7,,mqh~ shyf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMbxKdw4sZiW_T8ZbXVO355v7eJurFTTFiDAgK4=w408-h725-k-no,Cafe,Cafe,4.6,Ouvert 24h/24,,21 219 116,"8FWP+X38 mqh~ shyf, mSbH ljrbw`, shr`, Medenine",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%B4%D9%8A%D9%81%D8%A7%D8%A1%E2%80%AD/data=!4m7!3m6!1s0x1254d62b4f6da9d9:0x5e8d081adb5f6b40!8m2!3d33.3474171!4d10.4852048!16s%2Fg%2F11g70wwz29!19sChIJ2altTyvWVBIRQGtf2xoIjV4?authuser=0&hl=fr&rclk=1
ChIJJaC4-nUpVRIRIETweCep01Q,Cafe La Fiesta,,False,6,https://www.facebook.com/Caf%25C3%25A9-la-fiesta-109853241729935/,Cafe La Fiesta (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYf35mHLT9j7KH2TOtT3izML5SBDCuqawJ3COh=w408-h279-k-no,Salon de the,Salon de the,5,06:00-02:00,,90 096 973,"9F3X+H79 Cafe La Fiesta, Rue Djerba, Medenine",,https://www.google.com/maps/place/Caf%C3%A9+La+Fiesta/data=!4m7!3m6!1s0x12552975fab8a025:0x54d3a92778f04420!8m2!3d33.3539029!4d10.4982472!16s%2Fg%2F11t1dx63vn!19sChIJJaC4-nUpVRIRIETweCep01Q?authuser=0&hl=fr&rclk=1
ChIJB3o7KCooVRIR2_hPmpsmpXg,Cafe EZZAHRA,,False,6,,Cafe EZZAHRA (proprietaire),,,Cafe,Cafe,4,,,,"9F3H+VJ7 Cafe EZZAHRA, Route de Gabes,, Medenine",,https://www.google.com/maps/place/Caf%C3%A9+EZZAHRA/data=!4m7!3m6!1s0x1255282a283b7a07:0x78a5269b9a4ff8db!8m2!3d33.354659!4d10.4790512!16s%2Fg%2F11c489xfxz!19sChIJB3o7KCooVRIR2_hPmpsmpXg?authuser=0&hl=fr&rclk=1
