place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSyWwjkvB_BIRTzcow66ezaU,"Les Arcades ""Sidi Raies""",,False,23,,"Les Arcades ""Sidi Raies"" (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipMLShf5JFP9hRiqw_XVWeFvAyxCwRK160qVefdq=w408-h306-k-no,Cafe,Cafe,4.4,04:00-00:00,,,"JJW8+VRV Les Arcades ""Sidi Raies"", av.habib bourguiba, Majaz Al Bab",,https://www.google.com/maps/place/Les+Arcades+%22Sidi+Raies%22/data=!4m7!3m6!1s0x12fcc14b8eb0254b:0xa5cd9eaec328374f!8m2!3d36.6472459!4d9.6170562!16s%2Fg%2F11xgh0j_h!19sChIJSyWwjkvB_BIRTzcow66ezaU?authuser=0&hl=fr&rclk=1
ChIJRXX0pknB_BIRpQlwNkpNCVo,Queen Lounge,,False,18,https://www.facebook.com/queenlounge2020/,Queen Lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO5Uw9RHOlIJBBXsmOBf3wy-Z-YGHwrzSR3AROQ=w408-h544-k-no,Cafe,Cafe,4.8,,,,"JJW9+G4M Queen Lounge, Majaz Al Bab",,https://www.google.com/maps/place/Queen+Lounge/data=!4m7!3m6!1s0x12fcc149a6f47545:0x5a094d4a367009a5!8m2!3d36.6463258!4d9.6178031!16s%2Fg%2F11rc0__zqm!19sChIJRXX0pknB_BIRpQlwNkpNCVo?authuser=0&hl=fr&rclk=1
ChIJu5LvmArH_BIRq4hHPHEGivc,Restaurant Hela,,False,9,,Restaurant Hela (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOO5gyQ-np6v38DcAQUFErQqUXs6h3Kf41P6ctw=w408-h544-k-no,Grillades,Grillades,5,,,97 763 613,"Restaurant Hela, Rue Union du Grand Maghreb",,https://www.google.com/maps/place/Restaurant+Hela/data=!4m7!3m6!1s0x12fcc70a98ef92bb:0xf78a06713c4788ab!8m2!3d36.653546!4d9.5884792!16s%2Fg%2F11h6ffsj06!19sChIJu5LvmArH_BIRq4hHPHEGivc?authuser=0&hl=fr&rclk=1
ChIJQwcWllXB_BIRPmzrEfOOwIk,Cafe Faouzi,,False,8,,Cafe Faouzi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP6ZZMSYGZWSpdb9VNODUwMMbtsE29aVSzWr5Pv=w408-h725-k-no,Cafe,Cafe,4,05:00-22:00,,,"JJWM+C5J Cafe Faouzi, av.habib bourguiba, Majaz Al Bab",,https://www.google.com/maps/place/Caf%C3%A9+Faouzi/data=!4m7!3m6!1s0x12fcc15596160743:0x89c08ef311eb6c3e!8m2!3d36.6460967!4d9.6329036!16s%2Fg%2F11fy4pvcv_!19sChIJQwcWllXB_BIRPmzrEfOOwIk?authuser=0&hl=fr&rclk=1
ChIJ9fH0cTXB_BIRCX0ZBEGGBeI,Cafe De La Paix,,False,8,,Cafe De La Paix (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO8fTH7OOzsw2ltBuxbAd83JzvPSQqJchSgHfwM=w408-h544-k-no,Cafe,Cafe,4.1,04:30-21:00,,78 560 326,"JJX6+Q8C Cafe De La Paix, Majaz Al Bab",,https://www.google.com/maps/place/Cafe+De+La+Paix/data=!4m7!3m6!1s0x12fcc13571f4f1f5:0xe205864104197d09!8m2!3d36.6494482!4d9.6107618!16s%2Fg%2F11cn9f798v!19sChIJ9fH0cTXB_BIRCX0ZBEGGBeI?authuser=0&hl=fr&rclk=1
ChIJz5Dw_Z_H_BIR9kS_RrD_4tU,Cafe Le Boncoin,,False,6,https://www.facebook.com/Caf%25C3%25A9-le-boncoin-1608029509315556/,Cafe Le Boncoin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmyRbncrBvav7cdfr36c6XoYvEEkpkIH6dWKqJ=w408-h306-k-no,Cafe,Cafe,4.7,Ouvert 24h/24,,28 456 252,"MJ33+M8G Cafe Le Boncoin, Medjez el Bab",,https://www.google.com/maps/place/Caf%C3%A9+Le+Boncoin/data=!4m7!3m6!1s0x12fcc79ffdf090cf:0xd5e2ffb046bf44f6!8m2!3d36.6541841!4d9.6033265!16s%2Fg%2F11gjw3cmbh!19sChIJz5Dw_Z_H_BIR9kS_RrD_4tU?authuser=0&hl=fr&rclk=1
ChIJUU81sk3B_BIRRhE7VwkADks,Cafe Madih El Hajj,,False,6,,Cafe Madih El Hajj (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOLo6uMvfKlxs7RIR6U7OblYQXjv9tJU2zCu1sb=w408-h544-k-no,Cafe,Cafe,4,,,99 461 123,"JJWC+R4X Cafe Madih El Hajj, Medjez el Bab",,https://www.google.com/maps/place/Caf%C3%A9+Madih+El+Hajj/data=!4m7!3m6!1s0x12fcc14db2354f51:0x4b0e0009573b1146!8m2!3d36.6471202!4d9.620344!16s%2Fg%2F11cn94zc1g!19sChIJUU81sk3B_BIRRhE7VwkADks?authuser=0&hl=fr&rclk=1
ChIJlTz8GsvB_BIR3PA6J6Pda_w,CASA PASTA restaurant pizzeria,,False,6,,CASA PASTA restaurant pizzeria (proprietaire),https://www.google.com/maps/contrib/102238118806268514466,https://lh5.googleusercontent.com/p/AF1QipM-kEMZTy4Po-nJqDohJRXRsq5uENTxila3PTy0=w408-h306-k-no,Restaurant,"Restaurant, Pizzeria",5,10:00-00:00,,26 672 707,"CASA PASTA restaurant pizzeria, EL ARGOUB, Majaz Al Bab 9070",,https://www.google.com/maps/place/CASA+PASTA+restaurant+pizzeria/data=!4m7!3m6!1s0x12fcc1cb1afc3c95:0xfc6bdda3273af0dc!8m2!3d36.6462241!4d9.6318448!16s%2Fg%2F11j90rzzrg!19sChIJlTz8GsvB_BIR3PA6J6Pda_w?authuser=0&hl=fr&rclk=1
ChIJrXVGITXB_BIR6HjMPdUnc0w,restaurant ferjani,,False,5,,restaurant ferjani (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPakC1QL_U3cinP42sqjxJEp4GbcFV8UMMp4XCj=w408-h544-k-no,Restaurant,Restaurant,4.8,Ouvert 24h/24,,90 309 965,"MJ25+6P4 restaurant ferjani, Majaz Al Bab",,https://www.google.com/maps/place/restaurant+ferjani/data=!4m7!3m6!1s0x12fcc135214675ad:0x4c7327d53dcc78e8!8m2!3d36.6505059!4d9.609339!16s%2Fg%2F11d_x00yjx!19sChIJrXVGITXB_BIR6HjMPdUnc0w?authuser=0&hl=fr&rclk=1
ChIJ_47TfQTB_BIR6-k05X76Nrg,Boum Boum pizza & grill,,False,5,,Boum Boum pizza & grill (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO3G5bOvzItb5cRdCl8n11he1zTwI4xhtPq9jTa=w408-h640-k-no,Pizzeria,Pizzeria,4.2,,,90 185 736,"JJWG+4J Boum Boum pizza & grill, Majaz Al Bab",,https://www.google.com/maps/place/Boum+Boum+pizza+%26+grill/data=!4m7!3m6!1s0x12fcc1047dd38eff:0xb836fa7ee534e9eb!8m2!3d36.645317!4d9.6265347!16s%2Fg%2F11rp8xs_4g!19sChIJ_47TfQTB_BIR6-k05X76Nrg?authuser=0&hl=fr&rclk=1
