place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRQqFnjhX_RIRCiHkMeEHjAc,Vertigo,,False,12,,Vertigo (proprietaire),https://www.google.com/maps/contrib/104239413550613263432,https://lh5.googleusercontent.com/p/AF1QipP0SzsEHOW_jm0u9wXhSe0xULcLRmH99-ayBDAr=w408-h306-k-no,Cafe,Cafe,4.3,05:00-00:00,,22 227 778,"Vertigo, Menzel Bou Zelfa",,https://www.google.com/maps/place/Vertigo/data=!4m7!3m6!1s0x12fd57389e850a45:0x78c07e131e4210a!8m2!3d36.6769679!4d10.5840122!16s%2Fg%2F11ry25ygk1!19sChIJRQqFnjhX_RIRCiHkMeEHjAc?authuser=0&hl=fr&rclk=1
ChIJxfiMwINX_RIR8zkO-Oucemo,Pizza Napoli,,False,9,,Pizza Napoli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJMl3f7o8QxFSj9GMQEUnrCJfzeXNVqAa81eyY=w426-h240-k-no,Pizzeria,Pizzeria,5,19:00-01:00,"lundi, mardi",,"Pizza Napoli, RR42, Menzel Bou Zelfa",,https://www.google.com/maps/place/Pizza+Napoli/data=!4m7!3m6!1s0x12fd5783c08cf8c5:0x6a7a9cebf80e39f3!8m2!3d36.6701357!4d10.5854293!16s%2Fg%2F11q27q7dvw!19sChIJxfiMwINX_RIR8zkO-Oucemo?authuser=0&hl=fr&rclk=1
ChIJXdbOrKdX_RIR-5qkFG7qo_s,mqh~ bn `ly@,,False,6,,mqh~ bn `ly@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNR5toaxCL47EQT7BfIoYokfSsnx0br1gsQoRZ4=w408-h408-k-no,Cafe,Cafe,4.5,04:00-23:59,,,"MHMG+MXJ mqh~ bn `ly@, Manzil Bu Zalafah",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A8%D9%86+%D8%B9%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd57a7acced65d:0xfba3ea6e14a49afb!8m2!3d36.6842116!4d10.5774039!16s%2Fg%2F11c76g1m2c!19sChIJXdbOrKdX_RIR-5qkFG7qo_s?authuser=0&hl=fr&rclk=1
ChIJo_8cfKRX_RIR2REYzcrcJIA,Cafe Ayeb,,False,5,,Cafe Ayeb (proprietaire),,,Cafe,Cafe,4.2,,,,"MHJM+85C Cafe Ayeb, Manzil Bu Zalafah",,https://www.google.com/maps/place/Caf%C3%A9+Ayeb/data=!4m7!3m6!1s0x12fd57a47c1cffa3:0x8024dccacd1811d9!8m2!3d36.6808127!4d10.582883!16s%2Fg%2F11cn9n534q!19sChIJo_8cfKRX_RIR2REYzcrcJIA?authuser=0&hl=fr&rclk=1
ChIJ53xBTaxX_RIRKb3s6lxVmf8,Cafe Fahem,,False,5,,Cafe Fahem (proprietaire),,,Cafe,Cafe,4.2,,,,"MHPP+3X6 Cafe Fahem, Unnamed Road, Menzel Bou Zelfa",,https://www.google.com/maps/place/Caf%C3%A9+Fahem/data=!4m7!3m6!1s0x12fd57ac4d417ce7:0xff99555ceaecbd29!8m2!3d36.6851552!4d10.5873941!16s%2Fg%2F11f7brmc_y!19sChIJ53xBTaxX_RIRKb3s6lxVmf8?authuser=0&hl=fr&rclk=1
ChIJ38nKpadX_RIRWxZ8AnsDsEg,Pizza Show Time,,False,5,,Pizza Show Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNDnkbt_xswmaSIcT1sAH29gyYgpmAtHysHfO6s=w408-h544-k-no,Restaurant,Restaurant,4.6,07:30-23:30,dimanche,21 075 169,"MHMG+PMJ Pizza Show Time, Rue Mongi Slim, Manzil Bu Zalafah",,https://www.google.com/maps/place/Pizza+Show+Time/data=!4m7!3m6!1s0x12fd57a7a5cac9df:0x48b0037b027c165b!8m2!3d36.6843436!4d10.5766438!16s%2Fg%2F11c2p90gq6!19sChIJ38nKpadX_RIRWxZ8AnsDsEg?authuser=0&hl=fr&rclk=1
ChIJYywvVMRX_RIRKQO6ZwhkoXc,Cafe bahe,,False,2,,Cafe bahe (proprietaire),,,Cafe,Cafe,5,,,,"MHQQ+4Q9 Cafe bahe, Manzil Bu Zalafah",,https://www.google.com/maps/place/Caf%C3%A9+bahe/data=!4m7!3m6!1s0x12fd57c4542f2c63:0x77a1640867ba0329!8m2!3d36.6878053!4d10.5895226!16s%2Fg%2F11kbc5v7rk!19sChIJYywvVMRX_RIRKQO6ZwhkoXc?authuser=0&hl=fr&rclk=1
ChIJo7-AKUJX_RIR5K5m976EOcM,Cafe Mohamed Tounsi,,False,2,,Cafe Mohamed Tounsi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtHoq4nEfJ5XlcdLRQnT8X0woLmyQZG9uuvsUs=w408-h544-k-no,Cafe,Cafe,5,,,,"MHMV+P7J Cafe Mohamed Tounsi, R43, Menzel Bou Zelfa",,https://www.google.com/maps/place/Caf%C3%A9+Mohamed+Tounsi/data=!4m7!3m6!1s0x12fd57422980bfa3:0xc33984bef766aee4!8m2!3d36.6843391!4d10.593152!16s%2Fg%2F11skj2f996!19sChIJo7-AKUJX_RIR5K5m976EOcM?authuser=0&hl=fr&rclk=1
ChIJX4fCjcBX_RIRfjDnUyAaCJY,Cafe mdalel,,False,1,,Cafe mdalel (proprietaire),,,Cafe,Cafe,5,,,,"MHMV+8JF Cafe mdalel, R43, Menzel Bou Zelfa",,https://www.google.com/maps/place/Caf%C3%A9+mdalel/data=!4m7!3m6!1s0x12fd57c08dc2875f:0x96081a2053e7307e!8m2!3d36.6843727!4d10.5937731!16s%2Fg%2F11ks451hrz!19sChIJX4fCjcBX_RIRfjDnUyAaCJY?authuser=0&hl=fr&rclk=1
ChIJH_7FyZdX_RIRJ-Kqv7NBUAc,Cafe africa,,False,1,,Cafe africa (proprietaire),https://www.google.com/maps/contrib/113539966211255417020,https://lh5.googleusercontent.com/p/AF1QipOiEGN9K-hdv7txOKc1SzmRNmBzQlLg1GCyJfs=w408-h408-k-no,Cafe,Cafe,5,05:00-22:00,,53 804 697,"Cafe africa, Menzel Bou Zelfa 8010",,https://www.google.com/maps/place/Cafe+africa/data=!4m7!3m6!1s0x12fd5797c9c5fe1f:0x75041b3bfaae227!8m2!3d36.6821564!4d10.5869069!16s%2Fg%2F11rn598nl_!19sChIJH_7FyZdX_RIRJ-Kqv7NBUAc?authuser=0&hl=fr&rclk=1
