place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJfcWEfpwf4xIRlQpaOviX2Sk,Cafe Nesma,,False,29,,Cafe Nesma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO8_T5tw8AjyInth7BZIRgOGCnjryFuju-0XlOW=w408-h306-k-no,Cafe,Cafe,4,06:00-00:00,,55 155 432,"6VR6+5X7 Cafe Nesma, ave Bourguiba, Menzel Abderrahmen",,https://www.google.com/maps/place/Caf%C3%A9+Nesma/data=!4m7!3m6!1s0x12e31f9c7e84c57d:0x29d997f83a5a0a95!8m2!3d37.2404033!4d9.862425!16s%2Fg%2F1hhhmlc48!19sChIJfcWEfpwf4xIRlQpaOviX2Sk?authuser=0&hl=fr&rclk=1
ChIJabZhg5wf4xIRoIvYD-WLYGo,Cafe Paris,,False,15,,Cafe Paris (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBAlK9OpF9fgx1kUJa5Xlg7pkaOTlnL4RdFWA0=w408-h544-k-no,Cafe,Cafe,4.3,06:00-00:00,,55 155 432,"6VQ6+RWR Cafe Paris, Bourguiba St, Menzel Abderrahmane",,https://www.google.com/maps/place/Caf%C3%A9+Paris/data=!4m7!3m6!1s0x12e31f9c8361b669:0x6a608be50fd88ba0!8m2!3d37.2396155!4d9.8622586!16s%2Fg%2F11cpp3xjb4!19sChIJabZhg5wf4xIRoIvYD-WLYGo?authuser=0&hl=fr&rclk=1
ChIJ977DRSTg4hIREbcxL8Awd4o,mqh~ lwy'm,,False,11,,mqh~ lwy'm (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKhQNpJItcQssmJiiWUr9G_EF-TG3R0W_LFLih=w408-h544-k-no,Cafe,Cafe,4.5,05:00-00:00,,53 514 762,"7W25+HM4 mqh~ lwy'm, lTryq lrimal,, Menzel Jemil",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%88%D8%A6%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12e2e02445c3bef7:0x8a7730c02f31b711!8m2!3d37.2513948!4d9.9091896!16s%2Fg%2F11c2kv_29_!19sChIJ977DRSTg4hIREbcxL8Awd4o?authuser=0&hl=fr&rclk=1
ChIJJbQ9B7gf4xIRT0apRlxvd8w,Cafe Tapana,,False,9,,Cafe Tapana (proprietaire),https://www.google.com/maps/contrib/105764629763263943602,https://lh5.googleusercontent.com/p/AF1QipM0iOttXWF9e0laKvT5uZIjtqm8sg6wJvFzNAvT=w408-h544-k-no,Cafe,Cafe,4.6,05:00-22:00,,50 338 493,"Cafe Tapana, Rue de cap bon zarzouna, Bizerte 7021",,https://www.google.com/maps/place/Caf%C3%A9+Tapana/data=!4m7!3m6!1s0x12e31fb8073db425:0xcc776f5c46a9464f!8m2!3d37.2569165!4d9.879359!16s%2Fg%2F11hbv8_v0l!19sChIJJbQ9B7gf4xIRT0apRlxvd8w?authuser=0&hl=fr&rclk=1
ChIJodcd6nrh4hIRXM61x59RB3Q,Le News Du Bled,,False,8,,Le News Du Bled (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOxUzfyWt-SrBXB_1_xvjn_iAzxCC1fG3pba6WV=w408-h544-k-no,Cafe,Cafe,5,08:00-22:00,vendredi,25 356 984,"6WM6+4PP Le News Du Bled, Menzel Jemil Sud, Menzel Jemil",,https://www.google.com/maps/place/Le+News+Du+Bled/data=!4m7!3m6!1s0x12e2e17aea1dd7a1:0x7407519fc7b5ce5c!8m2!3d37.2328434!4d9.9118148!16s%2Fg%2F11g3hbm3y7!19sChIJodcd6nrh4hIRXM61x59RB3Q?authuser=0&hl=fr&rclk=1
ChIJR7mxILkf4xIRGCNRQFzPstQ,THE MIXTE Cafe Restaurant Chicha Soiree Dansante,,False,8,,THE MIXTE Cafe Restaurant Chicha Soiree Dansante (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNXU_cXvpQj4y0pworyxuuCbwzvbpCnfJ1uioWD=w408-h725-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.5,04:30-03:30,,55 229 266,"THE MIXTE Cafe Restaurant Chicha Soiree Dansante, 46 Ave Habib Bourguiba, Menzel Abderrahmen",,https://www.google.com/maps/place/THE+MIXTE+Caf%C3%A9+Restaurant+Chicha+Soir%C3%A9e+Dansante/data=!4m7!3m6!1s0x12e31fb920b1b947:0xd4b2cf5c40512318!8m2!3d37.2333483!4d9.8674436!16s%2Fg%2F11gtd25s5g!19sChIJR7mxILkf4xIRGCNRQFzPstQ?authuser=0&hl=fr&rclk=1
ChIJDx_dgZ7h4hIRFjVU3N8wABE,Pizza le coin,,False,8,,Pizza le coin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPecFfEhQUgNYHzSTt7kj8EP8NCLQ7hm2B1fLBK=w427-h240-k-no,Restaurant,Restaurant,4.4,09:00-21:00,mercredi,23 370 383,"6WQ7+R2H Pizza le coin, P8, Menzel Jemil",,https://www.google.com/maps/place/Pizza+le+coin/data=!4m7!3m6!1s0x12e2e19e81dd1f0f:0x110030dfdc543516!8m2!3d37.2395638!4d9.9125961!16s%2Fg%2F11frtcth4g!19sChIJDx_dgZ7h4hIRFjVU3N8wABE?authuser=0&hl=fr&rclk=1
ChIJFZW-3o4f4xIRUcLda8FTsxE,Oasis Cafe,,False,7,,Oasis Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWyV1a-MjCvRMjjwgmg1cxng3CE_Pt_MFZRQ9H=w408-h306-k-no,Cafe,Cafe,4.9,06:00-22:00,,,"6VMC+2HC Oasis Cafe, Menzel Abderrahmen",,https://www.google.com/maps/place/Oasis+Caf%C3%A9/data=!4m7!3m6!1s0x12e31f8edebe9515:0x11b353c16bddc251!8m2!3d37.232551!4d9.8713774!16s%2Fg%2F11gds3_62_!19sChIJFZW-3o4f4xIRUcLda8FTsxE?authuser=0&hl=fr&rclk=1
ChIJu6DkY1rh4hIRRCHdBLRsZgI,Cafe Paris,,False,6,,Cafe Paris (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOILgFMoJ_ZyIiavBxCy_Hg1jNP62SCCPWcJcsX=w408-h510-k-no,Salon de the,Salon de the,4.3,,,,"6WW6+37Q Cafe Paris, Unnamed Road, Menzel Jemil",,https://www.google.com/maps/place/Caf%C3%A9+Paris/data=!4m7!3m6!1s0x12e2e15a63e4a0bb:0x2666cb404dd2144!8m2!3d37.2452218!4d9.9107272!16s%2Fg%2F11hy_m8bbt!19sChIJu6DkY1rh4hIRRCHdBLRsZgI?authuser=0&hl=fr&rclk=1
ChIJe8elpCPg4hIRS4-6U0WO9vM,Cafe Nafoura,,False,6,,Cafe Nafoura (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP53_FL_IBp9ZXcFSUDBDUuzLsIDhS5-Z8V_aX5=w408-h306-k-no,Cafe,Cafe,4.7,05:00-23:00,,,"6WX5+4RG Cafe Nafoura, Menzel Jemil",,https://www.google.com/maps/place/Caf%C3%A9+Nafoura/data=!4m7!3m6!1s0x12e2e023a4a5c77b:0xf3f68e4553ba8f4b!8m2!3d37.2478099!4d9.9095643!16s%2Fg%2F11c60p9dck!19sChIJe8elpCPg4hIRS4-6U0WO9vM?authuser=0&hl=fr&rclk=1
