place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-zS6AAB7-BIRk2_IMqhxEvM,Bey Room,,False,7,,Bey Room (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPLtijZU9azMe1jsnLupAt544czxkNDzq4iXVoO=w408-h544-k-no,Salon de the,Salon de the,4.6,Ouvert 24h/24,,26 637 396,"Bey Room, Cite Thelja 2, Al-Mitlawi",,https://www.google.com/maps/place/Bey+Room/data=!4m7!3m6!1s0x12f87b0000ba34fb:0xf31271a832c86f93!8m2!3d34.3140306!4d8.390996!16s%2Fg%2F11vrvkh7sm!19sChIJ-zS6AAB7-BIRk2_IMqhxEvM?authuser=0&hl=fr&rclk=1
ChIJTW_ALYR9-BIRbuAsfFbcEgE,Caffe Del Sogno,,False,6,,Caffe Del Sogno (proprietaire),https://www.google.com/maps/contrib/108351997283131136563,https://lh5.googleusercontent.com/p/AF1QipOX-M8JXjvAGTRBMGycIhEOjEeB8RT122FxYXbC=w408-h306-k-no,Cafe,Cafe,4.7,06:00-22:00,,76 241 820,"Caffe Del Sogno, Rue metlaoui, Al-Mitlawi 2130",,https://www.google.com/maps/place/Caff%C3%A8+Del+Sogno/data=!4m7!3m6!1s0x12f87d842dc06f4d:0x112dc567c2ce06e!8m2!3d34.323711!4d8.4048634!16s%2Fg%2F11fq8_p95f!19sChIJTW_ALYR9-BIRbuAsfFbcEgE?authuser=0&hl=fr&rclk=1
ChIJOUIH2gV8-BIR-FEG9JV5YkI,Cafe London (Gadour),,False,6,,Cafe London (Gadour) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMet_Xy4lMXJXYNuCnBdtnFX1tkZ3URL7NQqZIo=w408-h544-k-no,Cafe,Cafe,4.8,,,23 176 294,"8C92+3W4 Cafe London (Gadour), C122, Al-Mitlawi",,https://www.google.com/maps/place/Caf%C3%A9+London+%28Gadour%29/data=!4m7!3m6!1s0x12f87c05da074239:0x42627995f40651f8!8m2!3d34.3176289!4d8.4023378!16s%2Fg%2F11dxh7kqys!19sChIJOUIH2gV8-BIR-FEG9JV5YkI?authuser=0&hl=fr&rclk=1
ChIJ4w42HAd8-BIRBFBI21xHkNA,Cafe Royale,,False,5,,Cafe Royale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPrrk3gH7xu3FhPlQLkAPwLmq3EMjQ9nT18wzI=w408-h725-k-no,Cafe,Cafe,4.6,06:00-22:30,,,"898X+FJV Cafe Royale, P3, Al-Mitlawi",,https://www.google.com/maps/place/Cafe+Royale/data=!4m7!3m6!1s0x12f87c071c360ee3:0xd090475cdb485004!8m2!3d34.3162383!4d8.39904!16s%2Fg%2F11c6dc0_1r!19sChIJ4w42HAd8-BIRBFBI21xHkNA?authuser=0&hl=fr&rclk=1
ChIJtdV_GyJ8-BIR_1j-tWMWWog,mqh~ lsHly,,False,4,,mqh~ lsHly (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNtCXLn9-o-w_7BX7fiRREHRr_ZTDJo2fUOSrOt=w408-h306-k-no,Cafe,Cafe,4.8,,,,"8C79+9PJ mqh~ lsHly, P3, Al-Mitlawi",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B3%D8%A7%D8%AD%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f87c221b7fd5b5:0x885a1663b5fe58ff!8m2!3d34.3134528!4d8.419277!16s%2Fg%2F11c4stbsc1!19sChIJtdV_GyJ8-BIR_1j-tWMWWog?authuser=0&hl=fr&rclk=1
ChIJRQu2leB7-BIRUEZ7RkfYKAY,Java Time,,False,4,,Java Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP70qs_BlHw8HT73NZatFLmTzct50uXTSFzy9LT=w408-h306-k-no,Cafe,Cafe,5,,,,"898W+8CX Java Time, Al-Mitlawi",,https://www.google.com/maps/place/Java+Time/data=!4m7!3m6!1s0x12f87be095b60b45:0x628d847467b4650!8m2!3d34.3158612!4d8.3961004!16s%2Fg%2F11tstypwrn!19sChIJRQu2leB7-BIRUEZ7RkfYKAY?authuser=0&hl=fr&rclk=1
ChIJJ68j5gN8-BIRGmGm2XkAfA4,qhw@ slym,,False,4,,qhw@ slym (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOGylAUgpKUknZsE16hJdUI5A0PKgw1yuHpkkNm=w408-h375-k-no,Cafe,Cafe,5,,,,"8C73+63C qhw@ slym, Al-Mitlawi",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%B3%D9%84%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12f87c03e623af27:0xe7c0079d9a6611a!8m2!3d34.313053!4d8.40263!16s%2Fg%2F11cs5tkbjd!19sChIJJ68j5gN8-BIRGmGm2XkAfA4?authuser=0&hl=fr&rclk=1
ChIJAzCfxmh7-BIR5qGkbHyuQx8,Cafe CESAR,,False,3,,Cafe CESAR (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOg_fOv2Eq-6gXZK8uNo_PL4QkHK8aAVB_Fn2fQ=w408-h511-k-no,Cafe,Cafe,5,Ouvert 24h/24,,,"896R+GCG Cafe CESAR, Unnamed Road, Al-Mitlawi",,https://www.google.com/maps/place/Cafe+CESAR/data=!4m7!3m6!1s0x12f87b68c69f3003:0x1f43ae7c6ca4a1e6!8m2!3d34.3113118!4d8.3910695!16s%2Fg%2F11kwjl6_34!19sChIJAzCfxmh7-BIR5qGkbHyuQx8?authuser=0&hl=fr&rclk=1
ChIJW4Z3oQZ8-BIRBlz9nKiAi6Y,mqh~ lnfwr@,,False,3,,mqh~ lnfwr@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO5o8sVun9xchdn52YJhEeuqGCosHYxDlC9jH0f=w408-h305-k-no,Cafe,Cafe,4,,,,"8C82+5JP mqh~ lnfwr@, Al-Mitlawi",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%86%D8%A7%D9%81%D9%88%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f87c06a177865b:0xa68b80a89cfd5c06!8m2!3d34.3154575!4d8.4015863!16s%2Fg%2F11c1c4lt41!19sChIJW4Z3oQZ8-BIRBlz9nKiAi6Y?authuser=0&hl=fr&rclk=1
ChIJvUqowxh8-BIRGfvqwqNZz-M,Cafe Ben Ammi,,False,3,,Cafe Ben Ammi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOC5sP0clfnjLdoKgCIoUfZAZXDw5yj4ozCcVg=w408-h574-k-no,Cafe,Cafe,4.7,,,93 747 974,"8C78+QH8 Cafe Ben Ammi, shr` ljmhwry@, Al-Mitlawi",,https://www.google.com/maps/place/Cafe+Ben+Ammi/data=!4m7!3m6!1s0x12f87c18c3a84abd:0xe3cf59a3c2eafb19!8m2!3d34.3144064!4d8.4164551!16s%2Fg%2F11cn9dl7c1!19sChIJvUqowxh8-BIRGfvqwqNZz-M?authuser=0&hl=fr&rclk=1
