place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJGbUuuNeZqhMRRD86VvUR3PI,Gaia Stylish Coffee & Food,,False,734,https://menuonline.tn/place/gaia-stylish-coffee-food/,Gaia Stylish Coffee & Food (proprietaire),https://www.google.com/maps/contrib/111889602778294107836,https://lh5.googleusercontent.com/p/AF1QipNPtXR10xTU9FOG48oXELhE9GBzbaX57BAa2kVv=w408-h544-k-no,Cafe,Cafe,4.2,19:00-01:30,,20 429 914,"RXQV+G25 Gaia Stylish Coffee & Food, Djerba Midun","serveurs, burger, chicha, pizzas, cocktails, service, cuisine, crepes, mojito, pistache",https://www.google.com/maps/place/Ga%C3%AFa+Stylish+Coffee+%26+Food/data=!4m7!3m6!1s0x13aa99d7b82eb519:0xf2dc11f5563a3f44!8m2!3d33.8387632!4d10.992628!16s%2Fg%2F11q4h3lhgw!19sChIJGbUuuNeZqhMRRD86VvUR3PI?authuser=0&hl=fr&rclk=1
ChIJRS6JqBeXqhMR_582MF-0Cfw,TOUAREG Djerba,,False,135,,TOUAREG Djerba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPGvmpo_7clpbkSaZLEVCRUEISmGtU65zUHHfhC=w426-h240-k-no,Salon de the,"Salon de the, Cafe, Creperie, Bar a chicha, Marchand de glaces, Pizzeria, Pizzas a emporter",4.1,08:00-00:00,,,"R23W+49F TOUAREG Djerba, El Haddad","lagune, pizza, crepe, menthe, bar",https://www.google.com/maps/place/TOUAREG+Djerba/data=!4m7!3m6!1s0x13aa9717a8892e45:0xfc09b45f30369fff!8m2!3d33.8028073!4d11.0459175!16s%2Fg%2F11b5z_q017!19sChIJRS6JqBeXqhMR_582MF-0Cfw?authuser=0&hl=fr&rclk=1
ChIJTWgx5N2ZqhMRG26ELfJfBWg,Cafe 203,,False,96,,Cafe 203 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMaGt1fecVmyVl09l4MtbGh_qUrcrlboJXPy0-M=w408-h272-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4,Ouvert 24h/24,,22 734 371,"Cafe 203, Djerba zone touristique, 4116","karaoke, serveur, pizza, touristique, jus",https://www.google.com/maps/place/Caf%C3%A9+203/data=!4m7!3m6!1s0x13aa99dde431684d:0x68055ff22d846e1b!8m2!3d33.8421078!4d10.9898611!16s%2Fg%2F11h5qpxczb!19sChIJTWgx5N2ZqhMRG26ELfJfBWg?authuser=0&hl=fr&rclk=1
ChIJ8WArudqXqhMRTIg4FkpcaQs,Palais Royal,,False,49,,Palais Royal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMg4lG71DDR3hRKdTRUs0mBz3IUKk3Jh1RAB8rq=w426-h240-k-no,Cafe,Cafe,4.3,07:00-21:30,,,"RX4R+P88 Palais Royal, Djerba Midun",jus de fruits,https://www.google.com/maps/place/Palais+Royal/data=!4m7!3m6!1s0x13aa97dab92b60f1:0xb695c4a1638884c!8m2!3d33.8067987!4d10.9908346!16s%2Fg%2F11c0rnl4tc!19sChIJ8WArudqXqhMRTIg4FkpcaQs?authuser=0&hl=fr&rclk=1
ChIJqVr0XXiXqhMRXFpj7fmRtbQ,LA COUPOLE,,False,47,,LA COUPOLE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPeQfdEGg3siKPsoxG0XVZaYQ2M0sDS14FAMmw=w408-h306-k-no,Salon de the,Salon de the,4.1,07:00-00:00,,75 746 046,"LA COUPOLE, Tunisia Djerba, 4199 Dar Jerba BP 41, 4199",chicha,https://www.google.com/maps/place/LA+COUPOLE/data=!4m7!3m6!1s0x13aa97785df45aa9:0xb4b591f9ed635a5c!8m2!3d33.826754!4d11.027355!16s%2Fg%2F1tdj6pnz!19sChIJqVr0XXiXqhMRXFpj7fmRtbQ?authuser=0&hl=fr&rclk=1
ChIJ4zOvXTOXqhMRaWlr7RbUzuE,Neighborhood Cafe,,False,34,,Neighborhood Cafe (proprietaire),https://www.google.com/maps/contrib/102408823712345998904,https://lh5.googleusercontent.com/p/AF1QipPv9zSfIZPtnRUxZ6Qapb0xBTsJEAAMzoB8fm4Q=w629-h240-k-no,Cafe,Cafe,4.9,08:00-22:00,,26 729 428,"Neighborhood Cafe, Avenue Mosbah, Rue Mosba Jarbou, 4116",jeu,https://www.google.com/maps/place/Neighborhood+Caf%C3%A9/data=!4m7!3m6!1s0x13aa97335daf33e3:0xe1ced416ed6b6969!8m2!3d33.8078986!4d10.9936804!16s%2Fg%2F11kpf1xz1l!19sChIJ4zOvXTOXqhMRaWlr7RbUzuE?authuser=0&hl=fr&rclk=1
ChIJgxU-A9yXqhMRiOIu9HP00fU,Cafe Capitole,,False,29,,Cafe Capitole (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPskx-GQhmG9wgEdz83ELtwTUad56rneYSsrpDc=w408-h725-k-no,Cafe,Cafe,4,Ouvert 24h/24,,75 731 770,"RX6P+RMC Cafe Capitole, Djerba Midun",,https://www.google.com/maps/place/Caf%C3%A9+Capitole/data=!4m7!3m6!1s0x13aa97dc033e1583:0xf5d1f473f42ee288!8m2!3d33.8120659!4d10.9866483!16s%2Fg%2F11bzsg2zt0!19sChIJgxU-A9yXqhMRiOIu9HP00fU?authuser=0&hl=fr&rclk=1
ChIJDykKVx2YqhMRYwv-KKIF5nU,Moon Light,,False,27,,Moon Light (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh2miR0h8lgURl7JLHCdztNqYIHtxs_AO9fF2s=w426-h240-k-no,Salon de the,Salon de the,4.1,07:00-01:00,,,"RXQV+G2F Moon Light, Djerba Midun",,https://www.google.com/maps/place/Moon+Light/data=!4m7!3m6!1s0x13aa981d570a290f:0x75e605a228fe0b63!8m2!3d33.838808!4d10.9925334!16s%2Fg%2F11c602hm2m!19sChIJDykKVx2YqhMRYwv-KKIF5nU?authuser=0&hl=fr&rclk=1
ChIJqSgX9duXqhMR78_wvgHIG5E,Cafe Continentale,,False,22,,Cafe Continentale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrePg5PiX9KyPEBqDBCjPmYnudjKnTXz2y18DE=w408-h544-k-no,Cafe,Cafe,4.7,06:00-00:00,,75 731 984,"RX6Q+G3G Cafe Continentale, Djerba Midun",,https://www.google.com/maps/place/Caf%C3%A9+Continentale/data=!4m7!3m6!1s0x13aa97dbf51728a9:0x911bc801bef0cfef!8m2!3d33.8113222!4d10.9876933!16s%2Fg%2F11bztjl3k4!19sChIJqSgX9duXqhMR78_wvgHIG5E?authuser=0&hl=fr&rclk=1
ChIJxc-iepiXqhMRdOfUESdpof8,Diva Coffee Lounge,,False,14,,Diva Coffee Lounge (proprietaire),https://www.google.com/maps/contrib/104160631924980052514,https://lh5.googleusercontent.com/p/AF1QipPJ1JgebE08mhc0CveytnuhHw4rImzjjYC98d8f=w408-h306-k-no,Cafe,Cafe,4.8,06:00-02:00,,20 899 135,"R29V+33M Diva Coffee Lounge, Djerba Midun",petit dejeuner,https://www.google.com/maps/place/Diva+Coffee+Lounge/data=!4m7!3m6!1s0x13aa97987aa2cfc5:0xffa1692711d4e774!8m2!3d33.817981!4d11.0426524!16s%2Fg%2F11kqq7_zkw!19sChIJxc-iepiXqhMRdOfUESdpof8?authuser=0&hl=fr&rclk=1
