place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJa2AaybQSAhMRp6IQGgmYalo,Le Bistrot,,False,98,,Le Bistrot (proprietaire),https://www.google.com/maps/contrib/110731841834817602052,https://lh5.googleusercontent.com/p/AF1QipOMsBlfLEMKhiTkBb4i_wjOIptbLqp8QBSNR8s1=w408-h612-k-no,Cafe,Cafe,4.4,06:30-00:00,,51 900 500,"Le Bistrot, Monastir rond point de Globe Terrestre Monastir monastir, 5000","cheesecake, crepes",https://www.google.com/maps/place/Le+Bistrot/data=!4m7!3m6!1s0x130212b4c91a606b:0x5a6a98091a10a2a7!8m2!3d35.773399!4d10.8155636!16s%2Fg%2F11fy5q97r8!19sChIJa2AaybQSAhMRp6IQGgmYalo?authuser=0&hl=fr&rclk=1
ChIJA7skKDNtAhMRtSbgqaYskr4,cafe andalouse,,False,76,,cafe andalouse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNU4inscJmpyUAMhuQC1cicI158hNc56_vrckD=w408-h306-k-no,Cafe,Cafe,4.3,06:00-23:00,,92 197 570,"QRFJ+G9H cafe andalouse, Monastir","prix, terrasse, jus",https://www.google.com/maps/place/caf%C3%A9+andalouse/data=!4m7!3m6!1s0x13026d332824bb03:0xbe922ca6a9e026b5!8m2!3d35.7738145!4d10.830988!16s%2Fg%2F11c54fzfqm!19sChIJA7skKDNtAhMRtSbgqaYskr4?authuser=0&hl=fr&rclk=1
ChIJDS6Q9tUTAhMRvvERDZuil_Q,Le Bistrot +,,False,75,,Le Bistrot + (proprietaire),https://www.google.com/maps/contrib/104079876214426271000,https://lh5.googleusercontent.com/p/AF1QipOOWqIljStzW2dPepI1gXSVvgGUX3ViYLpTPXGK=w408-h272-k-no,Cafe,Cafe,4.5,07:00-00:00,mercredi,99 175 002,"QRCC+9GP Le Bistrot +, Monastir","cheesecake, prix",https://www.google.com/maps/place/Le+Bistrot+%2B/data=!4m7!3m6!1s0x130213d5f6902e0d:0xf497a29b0d11f1be!8m2!3d35.7708537!4d10.8213632!16s%2Fg%2F11rz9kngd5!19sChIJDS6Q9tUTAhMRvvERDZuil_Q?authuser=0&hl=fr&rclk=1
ChIJUzJ8MMwSAhMRuowS37hbY8c,Friends Coffee,,False,67,https://www.facebook.com/friendscoffee2014,Friends Coffee (proprietaire),https://www.google.com/maps/contrib/117138360232991873093,https://lh5.googleusercontent.com/p/AF1QipNoJrF1p554-Ab-gaNd-53xHvJYaKmM4Vow63e3=w408-h270-k-no,Cafe,Cafe,4.3,07:30-22:00,,58 570 000,"Friends Coffee, Monastir",,https://www.google.com/maps/place/Friends+Coffee/data=!4m7!3m6!1s0x130212cc307c3253:0xc7635bb8df128cba!8m2!3d35.768728!4d10.8303607!16s%2Fg%2F11b6jgmwyq!19sChIJUzJ8MMwSAhMRuowS37hbY8c?authuser=0&hl=fr&rclk=1
ChIJcyoHx0xtAhMR-P277H3rgGg,Le Bosphore,,False,66,,Le Bosphore (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjpD3TivOesCJS10fHeRqsUksyCeUMCzWG1o4H=w421-h240-k-no,Salon de the,Salon de the,4.1,07:00-01:00,,73 479 113,"QRG8+64C Le Bosphore, Monastir",,https://www.google.com/maps/place/Le+Bosphore/data=!4m7!3m6!1s0x13026d4cc7072a73:0x6880eb7decbbfdf8!8m2!3d35.775554!4d10.8152516!16s%2Fg%2F113j08cxn!19sChIJcyoHx0xtAhMR-P277H3rgGg?authuser=0&hl=fr&rclk=1
ChIJ_wujY3QTAhMR6ADwwdGVhEs,Kavos Coffee House,,False,60,https://instagram.com/kavos_coffeehouse%3Futm_source%3Dqr%26igshid%3DMzNlNGNkZWQ4Mg%3D%3D,Kavos Coffee House (proprietaire),https://www.google.com/maps/contrib/101774459109137403396,https://lh5.googleusercontent.com/p/AF1QipNjPiHMfu_A20PIbDIGQuwVTRDOEG-pcBqUhcEV=w408-h306-k-no,Cafe,Cafe,4.9,10:00-22:00,,22 399 000,"Kavos Coffee House, Unnamed Road Monastir, 5000","jeux, sympathique",https://www.google.com/maps/place/Kavos+Coffee+House/data=!4m7!3m6!1s0x1302137463a30bff:0x4b8495d1c1f000e8!8m2!3d35.7676641!4d10.8304395!16s%2Fg%2F11q2vk0jps!19sChIJ_wujY3QTAhMR6ADwwdGVhEs?authuser=0&hl=fr&rclk=1
ChIJy1HAS4gTAhMRMzlaq23-C-M,Heritage coffee shop,,False,20,,Heritage coffee shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdEYir325gI4o-mnrV8WpEVtZkA8GQgWgPa4co=w408-h306-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,90 120 370,"QR9J+WW8 Heritage coffee shop, Av. 18 janvier 1952, Monastir",bubble tea,https://www.google.com/maps/place/Heritage+coffee+shop/data=!4m7!3m6!1s0x130213884bc051cb:0xe30bfe6dab5a3933!8m2!3d35.7697991!4d10.8323404!16s%2Fg%2F11rfddrqck!19sChIJy1HAS4gTAhMRMzlaq23-C-M?authuser=0&hl=fr&rclk=1
ChIJk9YIHeVtAhMR-8_8mLSa8Qg,Barasti Coffee Shop,,False,18,,Barasti Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipONlMYVFxJ9ps-_3OzOQ-ZOhOQTiNgdwj1lfoU3=w408-h544-k-no,Cafe,Cafe,4.1,08:00-23:00,,93 921 756,"QRHG+RM7 Barasti Coffee Shop, Rte de la Falaise, Monastir 5000",,https://www.google.com/maps/place/Barasti+Coffee+Shop/data=!4m7!3m6!1s0x13026de51d08d693:0x8f19ab498fccffb!8m2!3d35.7795386!4d10.8266687!16s%2Fg%2F11ny46xv25!19sChIJk9YIHeVtAhMR-8_8mLSa8Qg?authuser=0&hl=fr&rclk=1
ChIJsTIOPkQTAhMRllusZqN6Gco,The Hobbit,,False,17,,The Hobbit (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOtahb2BBQG0WQCfdW8CITgiN-2GEXKH8g-fbez=w408-h307-k-no,Cafe,Cafe,4.7,08:00-00:00,,27 954 991,"QR65+WHM The Hobbit, Unnamed Road, Monastir",,https://www.google.com/maps/place/The+Hobbit/data=!4m7!3m6!1s0x130213443e0e32b1:0xca197aa366ac5b96!8m2!3d35.7623284!4d10.8089209!16s%2Fg%2F11jw52sxyg!19sChIJsTIOPkQTAhMRllusZqN6Gco?authuser=0&hl=fr&rclk=1
ChIJ61eWxz8TAhMR5XoavWOLrT4,La Sqala Coffee & Snacks,,False,16,,La Sqala Coffee & Snacks (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6mO5S62yeFAPKmDJ7XmVNvaBOPFpXxuuh0TSr=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,52 156 503,"QR2H+M2G La Sqala Coffee & Snacks, Monastir",,https://www.google.com/maps/place/La+Sqala+Coffee+%26+Snacks/data=!4m7!3m6!1s0x1302133fc79657eb:0x3ead8b63bd1a7ae5!8m2!3d35.7516985!4d10.8275685!16s%2Fg%2F11h2fvsr8y!19sChIJ61eWxz8TAhMR5XoavWOLrT4?authuser=0&hl=fr&rclk=1
