place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_-MRG0r0_RIROTdkVufgBPU,Cafe Soleil,,False,31,,Cafe Soleil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOxmbbWc9IGi59azsWzlCmEwugm77CUaDefgjTF=w408-h306-k-no,Cafe,Cafe,4.4,Ouvert 24h/24,,,"PHM9+3QM Cafe Soleil, M'saken",,https://www.google.com/maps/place/Caf%C3%A9+Soleil/data=!4m7!3m6!1s0x12fdf44a1b11e3ff:0xf504e0e756643739!8m2!3d35.7327147!4d10.5694164!16s%2Fg%2F1ttxf042!19sChIJ_-MRG0r0_RIROTdkVufgBPU?authuser=0&hl=fr&rclk=1
ChIJsx-X8LD1_RIR7t5IFFjyg5w,Cafe Al Hana,,False,24,,Cafe Al Hana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPYIBg8ou4Ls2MF7I9i5i7EtwBk7AZ8YaWwfAky=w408-h725-k-no,Cafe,Cafe,4,06:00-23:00,,,"PHQM+8FW Cafe Al Hana, P1, Masakin",,https://www.google.com/maps/place/Cafe+Al+Hana/data=!4m7!3m6!1s0x12fdf5b0f0971fb3:0x9c83f2581448deee!8m2!3d35.7383575!4d10.5837099!16s%2Fg%2F11xl8tn07!19sChIJsx-X8LD1_RIR7t5IFFjyg5w?authuser=0&hl=fr&rclk=1
ChIJyYfk9cf1_RIRsvEE_hegmqQ,Cafe Jabnoun mqh~ jbnwn,,False,23,,Cafe Jabnoun mqh~ jbnwn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRBZc7Mbw3l4nRdOzh_4X-jeuxMedSW3uK_Ocn=w426-h240-k-no,Cafe,Cafe,4.8,,,,"PHFM+96R Cafe Jabnoun mqh~ jbnwn, Rue Farhat Hached, Masakin",,https://www.google.com/maps/place/Caf%C3%A9+Jabnoun+%D9%85%D9%82%D9%87%D9%89+%D8%AC%D8%A8%D9%86%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fdf5c7f5e487c9:0xa49aa017fe04f1b2!8m2!3d35.723551!4d10.5829953!16s%2Fg%2F11t6g7jrbn!19sChIJyYfk9cf1_RIRsvEE_hegmqQ?authuser=0&hl=fr&rclk=1
ChIJJ9GjqTX0_RIRQImBXDREm3k,Cafe arabesque,,False,21,,Cafe arabesque (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNE9PSUOI2YrWDwVcD802_CUjLBb-Q5YzkZkJj4=w408-h725-k-no,Cafe,Cafe,4,06:00-23:00,,,"PHHC+RJ5 Cafe arabesque, Rte de Kroussia, Masakin",,https://www.google.com/maps/place/Caf%C3%A9+arabesque/data=!4m7!3m6!1s0x12fdf435a9a3d127:0x799b44345c818940!8m2!3d35.729502!4d10.5716129!16s%2Fg%2F11cn96cycq!19sChIJJ9GjqTX0_RIRQImBXDREm3k?authuser=0&hl=fr&rclk=1
ChIJPUfalh70_RIRoAu3VkXXymQ,Cafe Prestige,,False,20,,Cafe Prestige (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNZ9QUCBjGUHKFvETwRFl4ypQtL5QK50Z6YThiS=w408-h544-k-no,Cafe,Cafe,4.3,05:00-02:00,,,"PG8W+CX6 Cafe Prestige, Masakin",,https://www.google.com/maps/place/Caf%C3%A9+Prestige/data=!4m7!3m6!1s0x12fdf41e96da473d:0x64cad74556b70ba0!8m2!3d35.7160414!4d10.547395!16s%2Fg%2F11byxg3zk0!19sChIJPUfalh70_RIRoAu3VkXXymQ?authuser=0&hl=fr&rclk=1
ChIJOX14QS30_RIRKq7YKWQVkdA,Cafe Bayda9,,False,14,,Cafe Bayda9 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7B1d34lxwBheRcKT-DFNye7NNNX0GCj7JzT71=w408-h306-k-no,Cafe,Cafe,4.5,06:00-01:00,,,"PH9F+V9R Cafe Bayda9, M'saken",,https://www.google.com/maps/place/Caf%C3%A9+Bayda9/data=!4m7!3m6!1s0x12fdf42d41787d39:0xd091156429d8ae2a!8m2!3d35.7197383!4d10.5733939!16s%2Fg%2F1yfprvgh6!19sChIJOX14QS30_RIRKq7YKWQVkdA?authuser=0&hl=fr&rclk=1
ChIJ62IgupL1_RIRb6IjBNkGgrI,Cafe Victoria,,False,12,,Cafe Victoria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMvIGDa7MBIDU7gxVViMgBZ146zIJqCTtpwDVIO=w408-h306-k-no,Restaurant,Restaurant,4.3,06:00-00:00,,,"PHJ7+J73 Cafe Victoria, M'saken",,https://www.google.com/maps/place/Caf%C3%A9+Victoria/data=!4m7!3m6!1s0x12fdf592ba2062eb:0xb28206d90423a26f!8m2!3d35.7315052!4d10.5631821!16s%2Fg%2F11jcn6vyx_!19sChIJ62IgupL1_RIRb6IjBNkGgrI?authuser=0&hl=fr&rclk=1
ChIJ-1bUGVn1_RIR5VHaqJ24ZrY,Dar waffle,,False,10,,Dar waffle (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNqoQa6p8pcySZr3pmXX4L5FmQ_VrreYOgi_VcI=w408-h543-k-no,Cafe,Cafe,4.7,,,,"PHHH+JPJ Dar waffle, Souk lekdim, Masakin",,https://www.google.com/maps/place/Dar+waffle/data=!4m7!3m6!1s0x12fdf55919d456fb:0xb666b89da8da51e5!8m2!3d35.7290988!4d10.5792665!16s%2Fg%2F11vl43m1n1!19sChIJ-1bUGVn1_RIR5VHaqJ24ZrY?authuser=0&hl=fr&rclk=1
ChIJFzAbSoX1_RIR0-UIL37IzPA,Saraya Coffee Shop,,False,10,,Saraya Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOJ_BXONGDEhH41-KTGD6lBoF4fujua86uN9Jnb=w426-h240-k-no,Cafe,Cafe,4,,,,"PHHH+MG5 Saraya Coffee Shop, Masakin",,https://www.google.com/maps/place/Saraya+Coffee+Shop/data=!4m7!3m6!1s0x12fdf5854a1b3017:0xf0ccc87e2f08e5d3!8m2!3d35.7291468!4d10.5788717!16s%2Fg%2F11plyp85ny!19sChIJFzAbSoX1_RIR0-UIL37IzPA?authuser=0&hl=fr&rclk=1
ChIJj9ARebX1_RIRub4Gja5Qn2E,cafe la republique,,False,8,,cafe la republique (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOyB4QOuUK7XaGi90a4J24jzp92kDtEVZm-PYcF=w408-h725-k-no,Cafe,Cafe,4.3,07:00-00:00,,,"PHJG+MVG cafe la republique, Masakin",,https://www.google.com/maps/place/caf%C3%A9+la+r%C3%A9publique/data=!4m7!3m6!1s0x12fdf5b57911d08f:0x619f50ae8d06beb9!8m2!3d35.7316958!4d10.5772169!16s%2Fg%2F11dfspbb5g!19sChIJj9ARebX1_RIRub4Gja5Qn2E?authuser=0&hl=fr&rclk=1
