place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJo66z5WaZAhMRjSm2gmL6LhI,Bendo Coffee Restaurant,,False,186,,Bendo Coffee Restaurant (proprietaire),https://www.google.com/maps/contrib/117109720437230624957,https://lh5.googleusercontent.com/p/AF1QipN0Wj1mOwkNZXDQNRjoG4YCbrVcvHiBTBEjjBpZ=w533-h240-k-no,Restaurant,Restaurant,4.2,07:00-00:55,,20 426 427,"Bendo Coffee Restaurant, Habib Bourguiba St, Nabeul 8000","prix, gerant, serveur, pizza, experience, famille, crepe, adresse, tayara, toilettes",https://www.google.com/maps/place/Bendo+Coffee+Restaurant/data=!4m7!3m6!1s0x13029966e5b3aea3:0x122efa6282b6298d!8m2!3d36.4464843!4d10.7384272!16s%2Fg%2F11rjjjhmc0!19sChIJo66z5WaZAhMRjSm2gmL6LhI?authuser=0&hl=fr&rclk=1
ChIJH2SPDMeZAhMRzVcS_RF66tQ,GARAGE 41,,False,103,http://instagram.com/garage_41_nabeul,GARAGE 41 (proprietaire),https://www.google.com/maps/contrib/103022561736241708540,https://lh5.googleusercontent.com/p/AF1QipOG6tsIuG7aMjNyknzQin6wvHdIFmA0gcWsAUeX=w428-h240-k-no,Restauration rapide,"Restauration rapide, Restaurant",4.2,12:00-23:00,mardi,29 514 141,"GARAGE 41, 41 Av. Hedi Nouira, Nabeul 8000","baguette, tacos, farcie, ingredients, main",https://www.google.com/maps/place/GARAGE+41/data=!4m7!3m6!1s0x130299c70c8f641f:0xd4ea7a11fd1257cd!8m2!3d36.4466191!4d10.7185919!16s%2Fg%2F11gm7527qh!19sChIJH2SPDMeZAhMRzVcS_RF66tQ?authuser=0&hl=fr&rclk=1
ChIJAbHumM6ZAhMR4elTYs9ORF8,Happy Day,,False,79,https://best--restaurants.blogspot.com/,Happy Day (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlzxvfIaaus9B6REGOS45cn6GX6XRevyI04MMg=w426-h240-k-no,Restaurant,Restaurant,4.2,11:00-00:00,,20 100 792,"FP3J+2J5 Happy Day, Nabeul","prix, pizza",https://www.google.com/maps/place/Happy+Day/data=!4m7!3m6!1s0x130299ce98eeb101:0x5f444ecf6253e9e1!8m2!3d36.4525226!4d10.7316166!16s%2Fg%2F11f6g5n69q!19sChIJAbHumM6ZAhMR4elTYs9ORF8?authuser=0&hl=fr&rclk=1
ChIJN_8zHceYAhMRNlqmdMv4hVg,Seven Swag Bistro,,False,57,https://www.facebook.com/Seven-Swag-1228051577244128/,Seven Swag Bistro (proprietaire),https://www.google.com/maps/contrib/105712880356443298381,https://lh5.googleusercontent.com/p/AF1QipO_L9E0EwzxmU6GE3MHe1X1eNYEjX1S4MwyCkt1=w426-h240-k-no,Cafe,Cafe,4,08:00-00:00,,36 383 364,"Seven Swag Bistro, Rue saida, Nabeul 8000",prix,https://www.google.com/maps/place/Seven+Swag+Bistro/data=!4m7!3m6!1s0x130298c71d33ff37:0x5885f8cb74a65a36!8m2!3d36.4463835!4d10.7246005!16s%2Fg%2F11dxkz96g7!19sChIJN_8zHceYAhMRNlqmdMv4hVg?authuser=0&hl=fr&rclk=1
ChIJr2FGQzCZAhMREh5ZXs17bSE,Syrian Corner,,False,56,,Syrian Corner (proprietaire),https://www.google.com/maps/contrib/101860914024340451911,https://lh5.googleusercontent.com/p/AF1QipOyp_XFl3fj6rUySi3HuFfFykXexQwBgSQPFYK8=w408-h306-k-no,Restaurant,Restaurant,4.4,07:00-23:30,,21 008 009,"Syrian Corner, Hedi Chaker St., Nabeul 8000","prix, poulet, syrien, sandwichs, restauration, atmosphere, chawarma, proprete, pain, choix",https://www.google.com/maps/place/Syrian+Corner/data=!4m7!3m6!1s0x13029930434661af:0x216d7bcd5e591e12!8m2!3d36.4514592!4d10.7321929!16s%2Fg%2F11qbf0ghwh!19sChIJr2FGQzCZAhMREh5ZXs17bSE?authuser=0&hl=fr&rclk=1
ChIJ_xc6LMeYAhMRswH9xNCJ1Lo,Crespella,,False,54,https://www.facebook.com/crespellatn/,Crespella (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlmnQCL-Dri8z1ZCmJOmWYaCtGGlXHzmwt08fV=w426-h240-k-no,Restaurant,Restaurant,4.2,10:00-23:00,,56 688 666,"CPWG+HFP Crespella, Nabeul","crepes, pizza",https://www.google.com/maps/place/Crespella/data=!4m7!3m6!1s0x130298c72c3a17ff:0xbad489d0c4fd01b3!8m2!3d36.4464583!4d10.7262166!16s%2Fg%2F11c6093dcl!19sChIJ_xc6LMeYAhMRswH9xNCJ1Lo?authuser=0&hl=fr&rclk=1
ChIJf7BEHPKYAhMRbZocM2iLuuI,Buvette de la Plage Nabeul,,False,23,,Buvette de la Plage Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNrUBiSEHDQKh-mSNh0vsBMm0BDCb-ad0oufsXD=w408-h544-k-no,Cafe,Cafe,4.3,06:00-00:00,,,"CPRV+RMJ Buvette de la Plage Nabeul, corniche, Av. Taieb Mhiri, Nabeul 8000",,https://www.google.com/maps/place/Buvette+de+la+Plage+Nabeul/data=!4m7!3m6!1s0x130298f21c44b07f:0xe2ba8b68331c9a6d!8m2!3d36.4420809!4d10.7441335!16s%2Fg%2F11hbprghc8!19sChIJf7BEHPKYAhMRbZocM2iLuuI?authuser=0&hl=fr&rclk=1
ChIJIZUQhZGYAhMRrMgWG0bJuvc,Chez Hamhoum,,False,22,,Chez Hamhoum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMXqlWhyeaeQQ9PjtGGKTPk8J8cLoAG_Xw_pGWO=w408-h306-k-no,Restaurant,Restaurant,4.1,09:00-23:00,,50 143 388,"FP3R+6CP Chez Hamhoum, 41 Mongi Slim St., Nabeul",pizza,https://www.google.com/maps/place/Chez+Hamhoum/data=!4m7!3m6!1s0x1302989185109521:0xf7bac9461b16c8ac!8m2!3d36.4532279!4d10.7413555!16s%2Fg%2F1ts6q86l!19sChIJIZUQhZGYAhMRrMgWG0bJuvc?authuser=0&hl=fr&rclk=1
ChIJ_YWxnm-ZAhMRfc25fg9qiOQ,Meet'in Cafe Nabeul,,False,21,,Meet'in Cafe Nabeul (proprietaire),https://www.google.com/maps/contrib/105891250644253624476,https://lh5.googleusercontent.com/p/AF1QipP-niXSTwSNJ6c3QvhGPb9vTYAeJf0c_zynKfIY=w408-h577-k-no,Salon de the,Salon de the,4.7,07:00-00:00,,22 613 613,"Meet'in Cafe Nabeul, 1 Rue ladhekia AFH, Nabeul 8000",,https://www.google.com/maps/place/Meet%27in+Caf%C3%A9+Nabeul/data=!4m7!3m6!1s0x1302996f9eb185fd:0xe4886a0f7eb9cd7d!8m2!3d36.4469282!4d10.7266915!16s%2Fg%2F11r_tsvn6t!19sChIJ_YWxnm-ZAhMRfc25fg9qiOQ?authuser=0&hl=fr&rclk=1
ChIJn0g_BfqZAhMRsAWD0XcMUdI,Chez Haji,,False,20,,Chez Haji (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpNEKyBSDTNFeM0rgGzIUdAKbS3b3w1-vIe1C_=w408-h307-k-no,Cafe,Cafe,4.5,11:00-20:00,,98 512 619,"FP4P+CQ6 Chez Haji, Nabeul",,https://www.google.com/maps/place/Chez+Haji/data=!4m7!3m6!1s0x130299fa053f489f:0xd2510c77d18305b0!8m2!3d36.4560425!4d10.7368894!16s%2Fg%2F11gh9p2ny1!19sChIJn0g_BfqZAhMRsAWD0XcMUdI?authuser=0&hl=fr&rclk=1
