place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7YUKRYEt_RIRRKG2X6kLcII,La perla,"Boutique proposant les articles de la marque de luxe (lingerie, vetements d'interieur et de nuit, et collection pour mariees).",False,10,,La perla (proprietaire),https://www.google.com/maps/contrib/117671401062802482060,https://lh5.googleusercontent.com/p/AF1QipN7s1ZXsR4FiD4AHyiuaVmHCEa3-otSKCx8BNg4=w408-h306-k-no,Cafe,Cafe,4,06:00-22:00,,23 491 148,"La perla, Manouba",,https://www.google.com/maps/place/La+perla/data=!4m7!3m6!1s0x12fd2d81450a85ed:0x82700ba95fb6a144!8m2!3d36.8216301!4d10.0760097!16s%2Fg%2F11c482sy57!19sChIJ7YUKRYEt_RIRRKG2X6kLcII?authuser=0&hl=fr&rclk=1
ChIJNyGlewEt_RIR4w_yoapnXcI,Cosmos,,False,7,,Cosmos (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOPL_po_euJ-RLYq1nbrfCvaszN4A08JVD1TWAf=w408-h544-k-no,Cafe,Cafe,4.9,06:00-23:00,,95 001 311,"R2MQ+PVM Cosmos, Oued Ellil",,https://www.google.com/maps/place/Cosmos/data=!4m7!3m6!1s0x12fd2d017ba52137:0xc25d67aaa1f20fe3!8m2!3d36.8343398!4d10.0396688!16s%2Fg%2F11gdgm527t!19sChIJNyGlewEt_RIR4w_yoapnXcI?authuser=0&hl=fr&rclk=1
ChIJG88VFuIs_RIRt9ik2Xk-pi8,Cafe des Sportifs,,False,6,,Cafe des Sportifs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNxTVsXHUyxQaIqLHA8EwBi5IIL8u7O_oqmPh0N=w408-h544-k-no,Cafe,Cafe,4,06:00-21:00,,94 385 589,"R2VM+WV6 Cafe des Sportifs, Oued Ellil",,https://www.google.com/maps/place/Caf%C3%A9+des+Sportifs/data=!4m7!3m6!1s0x12fd2ce21615cf1b:0x2fa63e79d9a4d8b7!8m2!3d36.8447942!4d10.0346435!16s%2Fg%2F11dxl9z_yk!19sChIJG88VFuIs_RIRt9ik2Xk-pi8?authuser=0&hl=fr&rclk=1
ChIJfZJ7Ktkt_RIRfCyhPN3WJiU,Victoria Cafe,,False,6,,Victoria Cafe (proprietaire),https://www.google.com/maps/contrib/114810977628301621218,https://lh5.googleusercontent.com/p/AF1QipOEttiNYewqppkG4-L8uEPGwOI9XdGwPQ1feF8_=w426-h240-k-no,Consultant en agroalimentaire,"Consultant en agroalimentaire, Cafe",4.8,,,54 431 558,"Victoria Cafe, rue de la revolution, Oued Ellil 2021",,https://www.google.com/maps/place/Victoria+Cafe/data=!4m7!3m6!1s0x12fd2dd92a7b927d:0x2526d6dd3ca12c7c!8m2!3d36.8358777!4d10.0411281!16s%2Fg%2F11fmy_4k1z!19sChIJfZJ7Ktkt_RIRfCyhPN3WJiU?authuser=0&hl=fr&rclk=1
ChIJxY8xAGMs_RIRCyNpo4VvvUg,Cafe Vert,,False,5,,Cafe Vert (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMo8DJ5dHRtS9nP2k1Yyfe8iKvb3Nt87v2FKvrh=w408-h510-k-no,Cafe,Cafe,4.2,,,,"R2H4+R23 Cafe Vert, Oued Ellil",,https://www.google.com/maps/place/Caf%C3%A9+Vert/data=!4m7!3m6!1s0x12fd2c6300318fc5:0x48bd6f85a369230b!8m2!3d36.8295112!4d10.0050328!16s%2Fg%2F11g9f3gs3p!19sChIJxY8xAGMs_RIRCyNpo4VvvUg?authuser=0&hl=fr&rclk=1
ChIJ9dkKfest_RIRmRT2RZ6ePzA,Pizzeria le plaisir chez Khalil,,False,4,,Pizzeria le plaisir chez Khalil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYvTd1E2QlkAHp_a5FK-Z4D26iwEBRUMmFI9yF=w408-h907-k-no,Pizzeria,Pizzeria,4.3,09:00-00:00,mardi,29 111 741,"Pizzeria le plaisir chez Khalil, Oued ellil, 10 rue de l'independance, La mannouba 2021",,https://www.google.com/maps/place/Pizzeria+le+plaisir+chez+Khalil/data=!4m7!3m6!1s0x12fd2deb7d0ad9f5:0x303f9e9e45f61499!8m2!3d36.8434534!4d10.0411814!16s%2Fg%2F11s1_h7z6f!19sChIJ9dkKfest_RIRmRT2RZ6ePzA?authuser=0&hl=fr&rclk=1
ChIJHb8Td_Ut_RIRYwISyvsqeOE,mqh~ lHbbcafe elahbeb,,False,3,,mqh~ lHbbcafe elahbeb (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRtbDjYI3Hgz4QrP_vxvxDQxY27yYfdDmQuMmD=w408-h306-k-no,Cafe,Cafe,5,04:00-00:00,,29 557 864,"R2WH+FC4 mqh~ lHbbcafe elahbeb, Oued Ellil",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%A7%D8%AD%D8%A8%D8%A7%D8%A8caf%C3%A9+elahbeb%E2%80%AD/data=!4m7!3m6!1s0x12fd2df57713bf1d:0xe1782afbca120263!8m2!3d36.8461177!4d10.0287114!16s%2Fg%2F11v19gbj9s!19sChIJHb8Td_Ut_RIRYwISyvsqeOE?authuser=0&hl=fr&rclk=1
ChIJGUEKAN0t_RIRH_MRAvvvSmo,Cafe Tej khalil,,False,3,,Cafe Tej khalil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNdxQ93-hfcWQL2KSlD9vGP7WqW2N0DdciMaVr8=w408-h544-k-no,Cafe,Cafe,4.7,,,,"R3H2+X67 Cafe Tej khalil, Oued Ellil",,https://www.google.com/maps/place/Caf%C3%A9+T%C3%A9j+khalil/data=!4m7!3m6!1s0x12fd2ddd000a4119:0x6a4aeffb0211f31f!8m2!3d36.8300713!4d10.0503143!16s%2Fg%2F11jznpqxs_!19sChIJGUEKAN0t_RIRH_MRAvvvSmo?authuser=0&hl=fr&rclk=1
ChIJvz5BhIss_RIR5oTdPwEZmaM,Cafe Djamel Bejawa,,False,3,,Cafe Djamel Bejawa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMp7HyzuPaG8jHBb-xnXNXlFP-9MTpjXPj_e9iu=w426-h240-k-no,Cafe,Cafe,4,06:00-22:00,,,"R2P6+M5G Cafe Djamel Bejawa, Bejaoua, Rue Bombachi Bejaoui, Manouba",,https://www.google.com/maps/place/Caf%C3%A9+Djamel+Bejawa/data=!4m7!3m6!1s0x12fd2c8b84413ebf:0xa39919013fdd84e6!8m2!3d36.8366816!4d10.010444!16s%2Fg%2F11f15h_4k4!19sChIJvz5BhIss_RIR5oTdPwEZmaM?authuser=0&hl=fr&rclk=1
ChIJEcAtq4Mt_RIRxrDN9BY2I-k,Cafe Fethi,,False,3,,Cafe Fethi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPaJXL07C0XEexDcUh2cXIF5YaaZr2e-RcKiCpO=w408-h544-k-no,Cafe,Cafe,5,06:00-20:00,,,"R3FF+G28 Cafe Fethi, Manouba",,https://www.google.com/maps/place/Caf%C3%A9+Fethi/data=!4m7!3m6!1s0x12fd2d83ab2dc011:0xe9233616f4cdb0c6!8m2!3d36.8237884!4d10.0725647!16s%2Fg%2F11c6pqjvzt!19sChIJEcAtq4Mt_RIRxrDN9BY2I-k?authuser=0&hl=fr&rclk=1
