place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzUQc7otJ_RIRErFTur4SH9o,Salon De The One Way,,False,77,,Salon De The One Way (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOuhWvAzwyVIJSxHfsOlLDYs6da0nd6ukhcwVdE=w507-h240-k-no,Salon de the,Salon de the,4,08:00-00:00,,71 446 310,"Q76P+7RW Salon De The One Way, Rades",,https://www.google.com/maps/place/Salon+De+Th%C3%A9+One+Way/data=!4m7!3m6!1s0x12fd498bee1c44cd:0xda1f12beba53b112!8m2!3d36.7607279!4d10.2870638!16s%2Fg%2F11c52pwnvs!19sChIJzUQc7otJ_RIRErFTur4SH9o?authuser=0&hl=fr&rclk=1
ChIJ1QezFvVJ_RIRmst5vvEqYfc,Caracas (Salon de the),,False,44,,Caracas (Salon de the) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO_vLre0CWJku0XZiaII1z-NSfRWU1kZ8M_ERxT=w408-h306-k-no,Cafe,Cafe,4,06:00-00:30,,50 700 400,"Q77J+M75 Caracas (Salon de the), Rue de Sfax, Rades 2098",,https://www.google.com/maps/place/Caracas+%28Salon+de+th%C3%A9%29/data=!4m7!3m6!1s0x12fd49f516b307d5:0xf7612af1be79cb9a!8m2!3d36.7641253!4d10.2807496!16s%2Fg%2F1td99_1t!19sChIJ1QezFvVJ_RIRmst5vvEqYfc?authuser=0&hl=fr&rclk=1
ChIJRXIgZ_9J_RIRDg-Mex5s1YE,Le Mistral Salon De The,,False,26,,Le Mistral Salon De The (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPdLxzV_ViQZjin-HI0SoEDbyQz1upgCzifVfzd=w408-h408-k-no,Cafe,Cafe,4,07:00-23:30,,,"Q787+QJM Le Mistral Salon De The, Rades",,https://www.google.com/maps/place/Le+Mistral+Salon+De+Th%C3%A9/data=!4m7!3m6!1s0x12fd49ff67207245:0x81d56c1e7b8c0f0e!8m2!3d36.766969!4d10.2640458!16s%2Fg%2F11f123b8wb!19sChIJRXIgZ_9J_RIRDg-Mex5s1YE?authuser=0&hl=fr&rclk=1
ChIJD0_G0PVJ_RIRDKAvDnBEAHo,CAMACTHO,,False,23,,CAMACTHO (proprietaire),https://www.google.com/maps/contrib/106501412984988147767,https://lh5.googleusercontent.com/p/AF1QipNuJwaCF1opWcDtxt5r8PQJI7PLJf0qdZaD5BLC=w408-h614-k-no,Cafe,Cafe,4,06:00-23:20,,50 700 400,"CAMACTHO, Av. De La Republique, Rades",,https://www.google.com/maps/place/CAMACTHO/data=!4m7!3m6!1s0x12fd49f5d0c64f0f:0x7a0044700e2fa00c!8m2!3d36.7640719!4d10.2772883!16s%2Fg%2F1tsq7_zt!19sChIJD0_G0PVJ_RIRDKAvDnBEAHo?authuser=0&hl=fr&rclk=1
ChIJNW6PSxxK_RIRZg0G49vT7yg,Cafe Basket,,False,20,https://cafebasketrades.wixsite.com/website,Cafe Basket (proprietaire),https://www.google.com/maps/contrib/115681834473360704124,https://lh5.googleusercontent.com/p/AF1QipMyRzMZuxUhRjAp2SKlMgeBbmrtZt3WmIfc2U-I=w454-h240-k-no,Cafe,Cafe,4.5,05:00-02:00,,58 738 778,"Cafe Basket, 28 Av. Habib Bourguiba, Rades 2040",,https://www.google.com/maps/place/Caf%C3%A9+Basket/data=!4m7!3m6!1s0x12fd4a1c4b8f6e35:0x28efd3dbe3060d66!8m2!3d36.7703356!4d10.2747057!16s%2Fg%2F11c1vb8q4v!19sChIJNW6PSxxK_RIRZg0G49vT7yg?authuser=0&hl=fr&rclk=1
ChIJa7Hu_aZL_RIR_7aHdey6hmc,Cafe Maxula,,False,12,https://www.facebook.com/CafeMaxulaRades,Cafe Maxula (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOoGddDPl3BCsbQfAFFgBkU2cQ16D74vpv7ubB1=w408-h306-k-no,Cafe,Cafe,4.4,05:00-00:00,lundi,,"Q79G+928 Cafe Maxula, Av. De La Republique, Rades",,https://www.google.com/maps/place/Caf%C3%A9+Maxula/data=!4m7!3m6!1s0x12fd4ba6fdeeb16b:0x6786baec7587b6ff!8m2!3d36.7684199!4d10.2750665!16s%2Fg%2F11h8lg0_53!19sChIJa7Hu_aZL_RIR_7aHdey6hmc?authuser=0&hl=fr&rclk=1
ChIJN4sVdAJK_RIRl6eqVt2eOcc,LAVUELTA,,False,12,,LAVUELTA (proprietaire),https://www.google.com/maps/contrib/109502973096580960321,https://lh5.googleusercontent.com/p/AF1QipO7rt72FexPUQAOibFyAscY4dCBdyovMLmEr4qo=w408-h544-k-no,Salon de the,Salon de the,4.1,06:00-00:00,,95 692 908,"LAVUELTA, 10 Av. Farhat Hached, Rades 2040",,https://www.google.com/maps/place/LAVUELTA/data=!4m7!3m6!1s0x12fd4a0274158b37:0xc7399edd56aaa797!8m2!3d36.7675708!4d10.2672693!16s%2Fg%2F11fy4rt4lw!19sChIJN4sVdAJK_RIRl6eqVt2eOcc?authuser=0&hl=fr&rclk=1
ChIJUaw-Jq9L_RIRrmDXYvXixmg,El Habib food & drinks,,False,12,,El Habib food & drinks (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOLKnehgrr2LiLxGVnQbWqog652FoSGJ9C_EY-t=w408-h306-k-no,Cafe,Cafe,4.5,07:00-00:00,,,"Q7FF+88F El Habib food & drinks, Rades",,https://www.google.com/maps/place/El+Habib+food+%26+drinks/data=!4m7!3m6!1s0x12fd4baf263eac51:0x68c6e2f562d760ae!8m2!3d36.7733108!4d10.2733029!16s%2Fg%2F11r36c9670!19sChIJUaw-Jq9L_RIRrmDXYvXixmg?authuser=0&hl=fr&rclk=1
ChIJsVoz6PdJ_RIRnwpPJeovGqk,Cafe Souk,,False,10,,Cafe Souk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO-odGtEneYneFusu6lbs4plOPNtzVzgvzfDQsA=w426-h240-k-no,Cafe,Cafe,4.8,06:30-00:00,,,"Q78F+8J9 Cafe Souk, Rades",,https://www.google.com/maps/place/Caf%C3%A8+Souk/data=!4m7!3m6!1s0x12fd49f7e8335ab1:0xa91a2fea254f0a9f!8m2!3d36.7658!4d10.2741004!16s%2Fg%2F11dzdkqhlh!19sChIJsVoz6PdJ_RIRnwpPJeovGqk?authuser=0&hl=fr&rclk=1
ChIJj4FCBhFK_RIRZSWCtSKOqSY,Cafe El Khalij,,False,10,,Cafe El Khalij (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO2UQgw7oxer-Vqhx0LO-EQV5Sf2adO2_T8yR00=w408-h306-k-no,Cafe,Cafe,4.2,05:30-22:00,,98 249 219,"Q7JF+4PW Cafe El Khalij, Rades",,https://www.google.com/maps/place/Caf%C3%A9+El+Khalij/data=!4m7!3m6!1s0x12fd4a110642818f:0x26a98e22b5822565!8m2!3d36.7803738!4d10.2743212!16s%2Fg%2F11dxh_p7p9!19sChIJj4FCBhFK_RIRZSWCtSKOqSY?authuser=0&hl=fr&rclk=1
