place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJxdDd6NQsABMRLs86_cVwu6o,Caffeine,,False,107,https://www.facebook.com/caffeinetn/,Caffeine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPHOn2bC96iNux9sDK81BuAz5Rd93kJRYiDtvjW=w408-h306-k-no,Salon de the,"Salon de the, Cafe",4.2,07:00-23:00,,74 417 012,"PQP2+MGV Caffeine, Rue Ibn Aljazzar, Sfax 3079","petit dejeuner, prix",https://www.google.com/maps/place/Caffeine/data=!4m7!3m6!1s0x13002cd4e8ddd0c5:0xaabb70c5fd3acf2e!8m2!3d34.7367337!4d10.7512861!16s%2Fg%2F11bbt9fc1j!19sChIJxdDd6NQsABMRLs86_cVwu6o?authuser=0&hl=fr&rclk=1
ChIJV784IdDSARMR7yKDelSzHw0,Cafe Moulin Rouge,,False,62,,Cafe Moulin Rouge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNGUgrYrxU5NIF46GQJOg9uh8kHQokQy9ttSXh8=w408-h306-k-no,Cafe,Cafe,4.2,06:00-01:00,,52 957 000,"PQW8+C9X Cafe Moulin Rouge, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Moulin+Rouge/data=!4m7!3m6!1s0x1301d2d02138bf57:0xd1fb3547a8322ef!8m2!3d34.7461202!4d10.7659857!16s%2Fg%2F11zlq4sbm!19sChIJV784IdDSARMR7yKDelSzHw0?authuser=0&hl=fr&rclk=1
ChIJl_SUeiwtABMRV1X1xIBDyj8,Cafe Diwan,,False,38,,Cafe Diwan (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM2soymqK3HGD64ODulPgVJe48BNRnr6lS-PbgW=w408-h725-k-no,Cafe,Cafe,4,08:00-19:00,dimanche,,"PQM6+JC9 Cafe Diwan, Rue de La Kasbah, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Diwan/data=!4m7!3m6!1s0x13002d2c7a94f497:0x3fca4380c4f55557!8m2!3d34.7340264!4d10.7611025!16s%2Fg%2F1q64gyggr!19sChIJl_SUeiwtABMRV1X1xIBDyj8?authuser=0&hl=fr&rclk=1
ChIJeUgcyxjTARMRYY18NLs5gDE,Cafe Factory,,False,29,"https://www.google.tn/maps/@34.762916,10.7480714,411m/data=!3m1!1e3!10m2!1e2!2e13",Cafe Factory (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP175VhM1uiIkQaKYlwnEts7FSmdWYo0QQ6SLLg=w408-h306-k-no,Cafe,Cafe,4,08:00-01:00,,24 300 020,"Cafe Factory, 3031 Rue Abdelaziz Thaalbi, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Factory/data=!4m7!3m6!1s0x1301d318cb1c4879:0x318039bb347c8d61!8m2!3d34.7617826!4d10.7491196!16s%2Fg%2F11cn2mmqm1!19sChIJeUgcyxjTARMRYY18NLs5gDE?authuser=0&hl=fr&rclk=1
ChIJJbkq_dQsABMRu_vNY_Rwlsc,Cafe Sorrizo,,False,15,,Cafe Sorrizo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMQp4E00pUJg31ufVYCcYzm9gDVbil5geKkXFdh=w426-h240-k-no,Cafe,Cafe,4.2,07:00-21:00,dimanche,22 247 377,"PQP2+HW6 Cafe Sorrizo, Avenue de la liberte,, Rue Ahmed Aloulou, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Sorrizo/data=!4m7!3m6!1s0x13002cd4fd2ab925:0xc79670f463cdfbbb!8m2!3d34.7364105!4d10.7522543!16s%2Fg%2F11c5wnhl6s!19sChIJJbkq_dQsABMRu_vNY_Rwlsc?authuser=0&hl=fr&rclk=1
ChIJ3WWNvtQsABMR7EYM70IeuPM,Cafe Belvue,,False,13,,Cafe Belvue (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPPg9HAYTaOkD3AIhtsPtHW-LQ0KSRkS2bP_r8o=w408-h306-k-no,Cafe,Cafe,4,06:00-23:00,,,"PQP2+V49 Cafe Belvue, Rue Ibn Aljazzar, Sfax 3079",,https://www.google.com/maps/place/Caf%C3%A9+Belvue/data=!4m7!3m6!1s0x13002cd4be8d65dd:0xf3b81e42ef0c46ec!8m2!3d34.7371727!4d10.7503512!16s%2Fg%2F11b61r4gfs!19sChIJ3WWNvtQsABMR7EYM70IeuPM?authuser=0&hl=fr&rclk=1
ChIJh2q-Gx7TARMRnPsBl5jKOfM,Camello Coffee Shop,,False,12,,Camello Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOogWaFeeMZqXHgrk5qPYXqfp1MJ5rpP3mVMpB_=w408-h306-k-no,Cafe,Cafe,4.3,07:00-22:00,,98 762 633,"QQ73+PQ7 Camello Coffee Shop, Tryq, Sfax",,https://www.google.com/maps/place/Camello+Coffee+Shop/data=!4m7!3m6!1s0x1301d31e1bbe6a87:0xf339ca989701fb9c!8m2!3d34.7642827!4d10.7544118!16s%2Fg%2F11ggmbsk_2!19sChIJh2q-Gx7TARMRnPsBl5jKOfM?authuser=0&hl=fr&rclk=1
ChIJQ1y0Ab0sABMR2Qw6h2N0p5I,Cafe Tunis,,False,12,,Cafe Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPHgcd8ZrnjNvUFNOKkS516EhMmX5lqM72xAMmj=w408-h544-k-no,Cafe,Cafe,4.4,Ouvert 24h/24,,,"PPCF+JFJ Cafe Tunis, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Tunis/data=!4m7!3m6!1s0x13002cbd01b45c43:0x92a77463873a0cd9!8m2!3d34.7215846!4d10.7236386!16s%2Fg%2F11c7653920!19sChIJQ1y0Ab0sABMR2Qw6h2N0p5I?authuser=0&hl=fr&rclk=1
ChIJIVPLy9csABMRbJqGClKUatI,Cafe Al Kadisiya (Bogga),,False,12,,Cafe Al Kadisiya (Bogga) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNL6RG4LpqWyoAxYrB0mGGmsNW5hjrCpjf-YrkM=w408-h306-k-no,Cafe,Cafe,4.3,07:00-22:00,,,"PQH3+VGJ Cafe Al Kadisiya (Bogga), Rue de Mauritanie, Sfax 3049",,https://www.google.com/maps/place/Caf%C3%A9+Al+Kadisiya+%28Bogga%29/data=!4m7!3m6!1s0x13002cd7cbcb5321:0xd26a94520a869a6c!8m2!3d34.7297051!4d10.7537647!16s%2Fg%2F11b6q1fw4j!19sChIJIVPLy9csABMRbJqGClKUatI?authuser=0&hl=fr&rclk=1
ChIJKahMNdDSARMR_Cbq7U1Ueww,Cafe Kalaa,,False,11,,Cafe Kalaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5MtPfisdiuD5krT7QFm3MtHUaHtO4J-8HF_MB=w408-h305-k-no,Cafe,Cafe,4.5,07:00-01:00,,28 465 565,"PQW7+3WW Cafe Kalaa, Rue el fadhel ben achour, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Kalaa/data=!4m7!3m6!1s0x1301d2d0354ca829:0xc7b544dedea26fc!8m2!3d34.7452381!4d10.7648192!16s%2Fg%2F11c58tfmh6!19sChIJKahMNdDSARMR_Cbq7U1Ueww?authuser=0&hl=fr&rclk=1
ChIJs_kwiyzTARMRmG15aM8IitI,Cafe Castello,,False,10,,Cafe Castello (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNhbyI0mmFhYMUwcV7TuINFJE_bll2Z5F5GL2Ym=w408-h401-k-no,Cafe,Cafe,4.3,07:00-00:00,,,"PPRX+C4H Cafe Castello, nhj mHmd SlH, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Castello/data=!4m7!3m6!1s0x1301d32c8b30f9b3:0xd28a08cf68796d98!8m2!3d34.7410559!4d10.7478627!16s%2Fg%2F11cs0b5w3n!19sChIJs_kwiyzTARMRmG15aM8IitI?authuser=0&hl=fr&rclk=1
ChIJPSMA99nSARMRVsROE7NAHUw,Cafe Relax,,False,9,,Cafe Relax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOx7oe6PbWlchLJYGWyS8cKYA8gjVj0sctyhNvR=w408-h544-k-no,Cafe,Cafe,4.2,08:00-22:00,,,"PQX6+P53 Cafe Relax, Rue Ibn Abi Dhiaf, Sfax 3069",,https://www.google.com/maps/place/Caf%C3%A9+Relax/data=!4m7!3m6!1s0x1301d2d9f700233d:0x4c1d40b3134ec456!8m2!3d34.7492692!4d10.7604291!16s%2Fg%2F11bbyhf989!19sChIJPSMA99nSARMRVsROE7NAHUw?authuser=0&hl=fr&rclk=1
ChIJl1TkCS4tABMRvQkyYtwoNbA,Cafe Chic,,False,9,,Cafe Chic (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5axcMGMfCmEVib1ED5bGGd4E7gAYi-uyrLCob=w426-h240-k-no,Salon de the,Salon de the,4.7,07:00-00:00,,,"Cafe Chic, 85 Av. Hedi Chaker Sfax 3000 Av. Hedi Chaker, Sfax 3000",,https://www.google.com/maps/place/Caf%C3%A9+Chic/data=!4m7!3m6!1s0x13002d2e09e45497:0xb03528dc623209bd!8m2!3d34.7315494!4d10.7651987!16s%2Fg%2F11c606y1q5!19sChIJl1TkCS4tABMRvQkyYtwoNbA?authuser=0&hl=fr&rclk=1
ChIJwcIdiUMtABMRBrGfkKUuTng,Bubbly Coffee Shop - Bubble Tea,,False,8,http://facebook.com/bubblycoffeeshop/,Bubbly Coffee Shop - Bubble Tea (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPf2FbeChWFasw6FORSft8ed15Vi_Rjt71CvgG8=w408-h725-k-no,Cafe,Cafe,4.3,06:00-23:00,,50 034 466,"PQJ6+P4H Bubbly Coffee Shop - Bubble Tea, Rue de Kairouan, Sfax",,https://www.google.com/maps/place/Bubbly+Coffee+Shop+-+Bubble+Tea/data=!4m7!3m6!1s0x13002d43891dc2c1:0x784e2ea5909fb106!8m2!3d34.7318122!4d10.7603611!16s%2Fg%2F11t4hm_ns4!19sChIJwcIdiUMtABMRBrGfkKUuTng?authuser=0&hl=fr&rclk=1
ChIJs1_B8xEtABMRYO7kUcRHUSc,Coffee Time,,False,7,,Coffee Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMJMCQU6_WfFaihW-VRWQ0mqeH7soyaVKOmVrPH=w408-h306-k-no,Cafe,Cafe,5,06:00-10:00,,98 416 068,"PQM6+3H9 Coffee Time, Leopold sedar senghor, Sfax",,https://www.google.com/maps/place/Coffee+Time/data=!4m7!3m6!1s0x13002d11f3c15fb3:0x275147c451e4ee60!8m2!3d34.7326653!4d10.7614776!16s%2Fg%2F11fb128999!19sChIJs1_B8xEtABMRYO7kUcRHUSc?authuser=0&hl=fr&rclk=1
ChIJQ_GFpmXTARMRoqR_SXZmeWI,Leader Cafe,,False,5,,Leader Cafe (proprietaire),https://www.google.com/maps/contrib/106518080812415550374,https://lh5.googleusercontent.com/p/AF1QipOyAT0ihUc2qI8ypL_9Yak3zP0GrR5CehXWCChY=w408-h408-k-no,Cafeteria,"Cafeteria, Cafe, Salon de the",4.8,07:00-00:00,,23 425 999,"Leader Cafe, Route de l'afrane 5 km",,https://www.google.com/maps/place/Leader+Cafe/data=!4m7!3m6!1s0x1301d365a685f143:0x62796676497fa4a2!8m2!3d34.7708599!4d10.719167!16s%2Fg%2F11c547d7qk!19sChIJQ_GFpmXTARMRoqR_SXZmeWI?authuser=0&hl=fr&rclk=1
ChIJFXR6ZfQtABMREQju7P2qLPo,Cafe Freud,,False,5,,Cafe Freud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqC4y-e6aT_ZgxUFSyosB-ASLE5t5vFjL6hlEp=w408-h306-k-no,Cafe,Cafe,4.4,06:00-00:59,,,"PPJP+HH6 Cafe Freud, Rte de la Soukra, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Freud/data=!4m7!3m6!1s0x13002df4657a7415:0xfa2caafdecee0811!8m2!3d34.7314128!4d10.7364052!16s%2Fg%2F11jz_rfng6!19sChIJFXR6ZfQtABMREQju7P2qLPo?authuser=0&hl=fr&rclk=1
ChIJDdzX9YgtABMRry_52jeNXnw,Rio Cafe,"Restaurant avec service au comptoir proposant specialites mexicaines, dont tortillas artisanales, burritos et tacos.",False,4,,Rio Cafe (proprietaire),https://www.google.com/maps/contrib/107648611205286077601,https://lh5.googleusercontent.com/p/AF1QipNqXmOIzrQgjjYEhUmmvw1s6GjFc8V2CHZvDZPE=w408-h725-k-no,Cafe,Cafe,5,,,22 301 592,"Rio Cafe, km 1 Rte de Gabes, Sfax 3000",,https://www.google.com/maps/place/Rio+Caf%C3%A9/data=!4m7!3m6!1s0x13002d88f5d7dc0d:0x7c5e8d37daf92faf!8m2!3d34.7288623!4d10.7449616!16s%2Fg%2F11c2j9ygjr!19sChIJDdzX9YgtABMRry_52jeNXnw?authuser=0&hl=fr&rclk=1
ChIJhT2ZyGTTARMRadanpPTwfp8,Cafe jumeaux,,False,4,https://www.facebook.com/cafejumeaux,Cafe jumeaux (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwFwMKVB4zoDEIRw_8t9Bel99ddxOqqLVjfrjN=w426-h240-k-no,Cafe,Cafe,5,06:30-21:00,,44 678 524,"Cafe jumeaux, 3027 Rue Hedi Nouira, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+jumeaux/data=!4m7!3m6!1s0x1301d364c8993d85:0x9f7ef0f4a4a7d669!8m2!3d34.7405705!4d10.7551035!16s%2Fg%2F11jpybnc6h!19sChIJhT2ZyGTTARMRadanpPTwfp8?authuser=0&hl=fr&rclk=1
ChIJ0WtK7CDTARMRhGZAZNu1eio,LA CASA DEL CAFFE,,False,4,,LA CASA DEL CAFFE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOJ20HNNQMkooROWj2Q5JxDqPqcF0ydH3vtw5sP=w493-h240-k-no,Cafe,Cafe,4.5,,,,"LA CASA DEL CAFFE, 115 Rte El Ain, Sfax",,https://www.google.com/maps/place/LA+CASA+DEL+CAFFE/data=!4m7!3m6!1s0x1301d320ec4a6bd1:0x2a7ab5db64406684!8m2!3d34.7638067!4d10.7147633!16s%2Fg%2F11j946z0b_!19sChIJ0WtK7CDTARMRhGZAZNu1eio?authuser=0&hl=fr&rclk=1
ChIJhxKFScQsABMRdp-PeQjjSzw,Cafe Bonjour,,False,3,,Cafe Bonjour (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNCHAc3d75UWtMwnQWTc2FMA33uJ3RIH1gUI2eD=w408-h725-k-no,Cafe,Cafe,4,06:00-23:00,,,"PPGQ+5PF Cafe Bonjour, Rte de Gabes, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+Bonjour/data=!4m7!3m6!1s0x13002cc449851287:0x3c4be308798f9f76!8m2!3d34.7254416!4d10.7393045!16s%2Fg%2F11c2j7tm6n!19sChIJhxKFScQsABMRdp-PeQjjSzw?authuser=0&hl=fr&rclk=1
ChIJ5QIKUsQtABMRX6EDUgjc1IY,Cafe ghanja,,False,2,,Cafe ghanja (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVc_LxdSo1vUv-KICN_scGWGxecZG8BHG9oVmy=w408-h306-k-no,Cafe,Cafe,4,,,,"PQQ3+6F2 Cafe ghanja, Unnamed Road, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+ghanja/data=!4m7!3m6!1s0x13002dc4520a02e5:0x86d4dc085203a15f!8m2!3d34.7380076!4d10.7536378!16s%2Fg%2F11p15pr9nz!19sChIJ5QIKUsQtABMRX6EDUgjc1IY?authuser=0&hl=fr&rclk=1
ChIJrdmTxS0tABMRtT5nUVrOha4,Cafe de Tunis,,False,2,,Cafe de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPx2KRBpsJQyNeothMbXCUYePGZ7QpT_o5PjSJO=w408-h544-k-no,Bar,"Bar, Cafe",5,09:00-00:00,,,"PQM7+2JQ Cafe de Tunis, Av. Habib Bourguiba, Sfax 3000",,https://www.google.com/maps/place/Caf%C3%A9+de+Tunis/data=!4m7!3m6!1s0x13002d2dc593d9ad:0xae85ce5a51673eb5!8m2!3d34.7325948!4d10.7641034!16s%2Fg%2F1ptwjkkvq!19sChIJrdmTxS0tABMRtT5nUVrOha4?authuser=0&hl=fr&rclk=1
ChIJO2KrdFQtABMR7-gp3ob3UK0,Cafe patron,,False,2,,Cafe patron (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCuO66u9V5yBNqc23QIpCblJ97sR4E2DrfPAWe=w408-h725-k-no,Cafe,Cafe,4.5,,,,"PQJ2+H24 Cafe patron, Rue Atlas, Sfax",,https://www.google.com/maps/place/Caf%C3%A9+patron/data=!4m7!3m6!1s0x13002d5474ab623b:0xad50f786de29e8ef!8m2!3d34.7313824!4d10.7500676!16s%2Fg%2F11kyxq6lqw!19sChIJO2KrdFQtABMR7-gp3ob3UK0?authuser=0&hl=fr&rclk=1
ChIJ9cCJbC8tABMRaI2AwuivPv4,Coffee Pirate,,False,2,,Coffee Pirate (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPls8GjqVD1wgr3C78JEh91VEQMPN-nnsnbSubd=w408-h306-k-no,Cafe,Cafe,4.5,07:00-09:00,,98 431 735,"PQH6+2W7 Coffee Pirate, Sfax",,https://www.google.com/maps/place/Coffee+Pirate/data=!4m7!3m6!1s0x13002d2f6c89c0f5:0xfe3eafe8c2808d68!8m2!3d34.7275407!4d10.7622898!16s%2Fg%2F11c6cy8p7c!19sChIJ9cCJbC8tABMRaI2AwuivPv4?authuser=0&hl=fr&rclk=1
ChIJ35p54BvTARMRrKmAxbA1t6E,Cafe carre d'or,,False,1,,Cafe carre d'or (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b1egwja-E3hKGdW9EF6BuA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.081621&pitch=0&thumbfov=100,Cafe,Cafe,4,,,,"QP36+H9R Cafe carre d'or, P13, Sfax",,https://www.google.com/maps/place/Cafe+carr%C3%A9+d%27or/data=!4m7!3m6!1s0x1301d31be0799adf:0xa1b735b0c580a9ac!8m2!3d34.7539842!4d10.7108894!16s%2Fg%2F11qpl2hgnm!19sChIJ35p54BvTARMRrKmAxbA1t6E?authuser=0&hl=fr&rclk=1
ChIJH460w9YsABMRRBMc5YNn8G0,Cafe El Helmia,,False,1,,Cafe El Helmia (proprietaire),https://www.google.com/maps/contrib/113145720583572863030,https://lh5.googleusercontent.com/p/AF1QipN8Fjvfpa8RJauTrckHXq_4xUma_fm93iBXOREp=w426-h240-k-no,Cafe,Cafe,4,08:00-18:00,dimanche,,"Cafe El Helmia, 3049, Sfax 3049",,https://www.google.com/maps/place/Caf%C3%A9+El+Helmia/data=!4m7!3m6!1s0x13002cd6c3b48e1f:0x6df06783e51c1344!8m2!3d34.7310481!4d10.7504717!16s%2Fg%2F11bz08rq9m!19sChIJH460w9YsABMRRBMc5YNn8G0?authuser=0&hl=fr&rclk=1
ChIJ9Yd_DTPTARMR7sVZmpTTTtQ,Cafe berlin,,False,1,,Cafe berlin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOJcdcltznYt2IDRnPElXeenaS5ehlaY9MnVPFB=w408-h725-k-no,Cafe,Cafe,5,05:00-23:00,dimanche,,"Cafe berlin, Cite des jardins, Route de Tunis, Imm Safa: Ndeg 12 Sfax, 3000",,https://www.google.com/maps/place/Caf%C3%A9+berlin/data=!4m7!3m6!1s0x1301d3330d7f87f5:0xd44ed3949a59c5ee!8m2!3d34.7590687!4d10.7629266!16s%2Fg%2F11p715kmb2!19sChIJ9Yd_DTPTARMR7sVZmpTTTtQ?authuser=0&hl=fr&rclk=1
