place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ8UsMTIll_BIRkZucmGlFpn0,SAM'S FOOD,,False,10,,SAM'S FOOD (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPplJPzKLDRVpZ9NWkptJOYYiPNfv8EXvkGF9GD=w426-h240-k-no,Restaurant,Restaurant,4.6,,,99 943 256,"39MC+RP5 SAM'S FOOD, Siliana",,https://www.google.com/maps/place/SAM%27S+FOOD/data=!4m7!3m6!1s0x12fc65894c0c4bf1:0x7da64569989c9b91!8m2!3d36.0845055!4d9.3718564!16s%2Fg%2F11kmcrjrrb!19sChIJ8UsMTIll_BIRkZucmGlFpn0?authuser=0&hl=fr&rclk=1
ChIJ5S4pkZJ7_BIRqx_H4qViY-A,Brooklyn Cooffe,,False,5,,Brooklyn Cooffe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPnsWyxdMq9W2S1YtHrM5SbBaT04sWh8Wv8oGzS=w408-h725-k-no,Salon de the,"Salon de the, Cafe",4,,,98 205 001,"39P8+35J Brooklyn Cooffe, Siliana",,https://www.google.com/maps/place/Brooklyn+Cooffe/data=!4m7!3m6!1s0x12fc7b9291292ee5:0xe06362a5e2c71fab!8m2!3d36.0852093!4d9.3653899!16s%2Fg%2F11gj4h2124!19sChIJ5S4pkZJ7_BIRqx_H4qViY-A?authuser=0&hl=fr&rclk=1
ChIJtz8akvd7_BIRQT8IjHHo9Dg,Daily Dose,,False,3,,Daily Dose (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBTySltFaTY3WqXB4Nhmg1HHopZz59DnJqgdZm=w408-h544-k-no,Cafe,Cafe,5,,,,"39M3+PJ4 Daily Dose, Siliana",,https://www.google.com/maps/place/Daily+Dose/data=!4m7!3m6!1s0x12fc7bf7921a3fb7:0x38f4e8718c083f41!8m2!3d36.0842559!4d9.3540635!16s%2Fg%2F11kj_8y4cm!19sChIJtz8akvd7_BIRQT8IjHHo9Dg?authuser=0&hl=fr&rclk=1
ChIJR-B8cbN6_BIRT11wVV7FqSM,Cafe Panorama,,False,2,,Cafe Panorama (proprietaire),,,Cafe,Cafe,4,05:30-00:00,,,"39P8+22C Cafe Panorama, P4, Siliana",,https://www.google.com/maps/place/Caf%C3%A9+Panorama/data=!4m7!3m6!1s0x12fc7ab3717ce047:0x23a9c55e55705d4f!8m2!3d36.0850568!4d9.3650154!16s%2Fg%2F11c329tgwk!19sChIJR-B8cbN6_BIRT11wVV7FqSM?authuser=0&hl=fr&rclk=1
ChIJkRWHUFZl_BIRQjY0ECpvdZM,Cafe classico,,False,2,,Cafe classico (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtLLAnnojh85W78_Z0MnSWMpy2uKEh_CP6KPj9=w408-h306-k-no,Cafe,Cafe,5,,,28 602 073,"39P9+RHJ Cafe classico, Rue Habib Thameur, Siliana",,https://www.google.com/maps/place/Caf%C3%A9+classico/data=!4m7!3m6!1s0x12fc655650871591:0x93756f2a10343642!8m2!3d36.0870798!4d9.3688911!16s%2Fg%2F11hj9z595b!19sChIJkRWHUFZl_BIRQjY0ECpvdZM?authuser=0&hl=fr&rclk=1
ChIJW_m4dJpl_BIRksmIvwDn4D4,Ridha lablebi,,False,2,,Ridha lablebi (proprietaire),,,Restaurant tunisien,Restaurant tunisien,5,,,,"39P9+GR6 Ridha lablebi, Av. de l'Independance, Siliana",,https://www.google.com/maps/place/Ridha+lablebi/data=!4m7!3m6!1s0x12fc659a74b8f95b:0x3ee0e700bf88c992!8m2!3d36.0862949!4d9.36952!16s%2Fg%2F11klrv53zt!19sChIJW_m4dJpl_BIRksmIvwDn4D4?authuser=0&hl=fr&rclk=1
ChIJgX3W8wN7_BIRmCuVm5m1kqs,TAHA Coffee,,False,1,,TAHA Coffee (proprietaire),https://www.google.com/maps/contrib/107048928689729769588,https://lh5.googleusercontent.com/p/AF1QipNY5wjbLci5Yo3f7kRQwZsDrCM7eY5N5XgtwKA-=w408-h725-k-no,Cafe specialise dans les boissons expresso,Cafe specialise dans les boissons expresso,5,Ouvert 24h/24,,40 494 316,"TAHA Coffee, cite la republique siliana, 6100",,https://www.google.com/maps/place/TAHA+Coffee/data=!4m7!3m6!1s0x12fc7b03f3d67d81:0xab92b5999b952b98!8m2!3d36.0831761!4d9.3715575!16s%2Fg%2F11fnrs4tlc!19sChIJgX3W8wN7_BIRmCuVm5m1kqs?authuser=0&hl=fr&rclk=1
ChIJdaJEkAh7_BIRx8dXN9RgfpI,Cafe Ferdawes,,False,1,,Cafe Ferdawes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNtcke6e4L4W-FccFew5MPDWMtwVU_W2X9kvlOe=w408-h725-k-no,Cafe,Cafe,5,,,96 911 560,"39H8+VHP Cafe Ferdawes, Unnamed Road, Siliana",,https://www.google.com/maps/place/Caf%C3%A9+Ferdawes/data=!4m7!3m6!1s0x12fc7b089044a275:0x927e60d43757c7c7!8m2!3d36.0797219!4d9.3664473!16s%2Fg%2F11g21n9q32!19sChIJdaJEkAh7_BIRx8dXN9RgfpI?authuser=0&hl=fr&rclk=1
ChIJd_9IQQ17_BIRfUXT4QrwNq4,Palm Coffe,,False,1,,Palm Coffe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAOTka8B3R_OVHp-hxn3aH8kUGxK1yHzTkbdUa=w408-h306-k-no,Cafe,Cafe,5,Ouvert 24h/24,,28 633 733,"39Q7+FRM Palm Coffe, Siliana",,https://www.google.com/maps/place/Palm+Coffe/data=!4m7!3m6!1s0x12fc7b0d4148ff77:0xae36f00ae1d3457d!8m2!3d36.0887208!4d9.3645335!16s%2Fg%2F11rr7m0bfd!19sChIJd_9IQQ17_BIRfUXT4QrwNq4?authuser=0&hl=fr&rclk=1
ChIJLYIUmzZl_BIRUsrciSxQoaU,Cafe 92,,False,1,,Cafe 92 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO-QyEYRsU4xqs58BOyBr_uqSZ65q69yeTPV6Qy=w408-h544-k-no,Cafe,Cafe,5,,,,"39QC+7QH Cafe 92, Siliana",,https://www.google.com/maps/place/Caf%C3%A9+92/data=!4m7!3m6!1s0x12fc65369b14822d:0xa5a1502c89dcca52!8m2!3d36.0882352!4d9.3718977!16s%2Fg%2F11qgh59bjs!19sChIJLYIUmzZl_BIRUsrciSxQoaU?authuser=0&hl=fr&rclk=1
