place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJa2AaybQSAhMRp6IQGgmYalo,Le Bistrot,,False,98,,Le Bistrot (proprietaire),https://www.google.com/maps/contrib/110731841834817602052,https://lh5.googleusercontent.com/p/AF1QipOMsBlfLEMKhiTkBb4i_wjOIptbLqp8QBSNR8s1=w408-h612-k-no,Cafe,Cafe,4.4,06:30-00:00,,51 900 500,"Le Bistrot, Monastir rond point de Globe Terrestre Monastir monastir, 5000","cheesecake, crepes",https://www.google.com/maps/place/Le+Bistrot/data=!4m7!3m6!1s0x130212b4c91a606b:0x5a6a98091a10a2a7!8m2!3d35.773399!4d10.8155636!16s%2Fg%2F11fy5q97r8!19sChIJa2AaybQSAhMRp6IQGgmYalo?authuser=0&hl=fr&rclk=1
ChIJDS6Q9tUTAhMRvvERDZuil_Q,Le Bistrot +,,False,75,,Le Bistrot + (proprietaire),https://www.google.com/maps/contrib/104079876214426271000,https://lh5.googleusercontent.com/p/AF1QipOOWqIljStzW2dPepI1gXSVvgGUX3ViYLpTPXGK=w408-h272-k-no,Cafe,Cafe,4.5,07:00-00:00,mercredi,99 175 002,"QRCC+9GP Le Bistrot +, Monastir","cheesecake, prix",https://www.google.com/maps/place/Le+Bistrot+%2B/data=!4m7!3m6!1s0x130213d5f6902e0d:0xf497a29b0d11f1be!8m2!3d35.7708537!4d10.8213632!16s%2Fg%2F11rz9kngd5!19sChIJDS6Q9tUTAhMRvvERDZuil_Q?authuser=0&hl=fr&rclk=1
ChIJ_wujY3QTAhMR6ADwwdGVhEs,Kavos Coffee House,,False,60,https://instagram.com/kavos_coffeehouse%3Futm_source%3Dqr%26igshid%3DMzNlNGNkZWQ4Mg%3D%3D,Kavos Coffee House (proprietaire),https://www.google.com/maps/contrib/101774459109137403396,https://lh5.googleusercontent.com/p/AF1QipNjPiHMfu_A20PIbDIGQuwVTRDOEG-pcBqUhcEV=w408-h306-k-no,Cafe,Cafe,4.9,10:00-22:00,,22 399 000,"Kavos Coffee House, Unnamed Road Monastir, 5000","jeux, sympathique",https://www.google.com/maps/place/Kavos+Coffee+House/data=!4m7!3m6!1s0x1302137463a30bff:0x4b8495d1c1f000e8!8m2!3d35.7676641!4d10.8304395!16s%2Fg%2F11q2vk0jps!19sChIJ_wujY3QTAhMR6ADwwdGVhEs?authuser=0&hl=fr&rclk=1
ChIJdTXLtUENAhMRYO7otw-soEc,La Scala,,False,57,,La Scala (proprietaire),https://www.google.com/maps/contrib/102092649981784719565,https://lh5.googleusercontent.com/p/AF1QipP9u-YrmGB6kSpZ9nfVhpVayBdakfX6-omWWtI8=w408-h306-k-no,Restaurant,Restaurant,4.4,08:00-00:00,,28 401 411,"QP5P+78Q La Scala, Monastir",hamburger,https://www.google.com/maps/place/La+Scala/data=!4m7!3m6!1s0x13020d41b5cb3575:0x47a0ac0fb7e8ee60!8m2!3d35.7582152!4d10.7358448!16s%2Fg%2F11rxp9y3z4!19sChIJdTXLtUENAhMRYO7otw-soEc?authuser=0&hl=fr&rclk=1
ChIJEbVP1KcSAhMRtK_XjkuLd-w,Cafe El-Majless,,False,40,,Cafe El-Majless (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMMmCQZ95c8ouHjuB1QZceUijrDB3W7G7aWF9mf=w408-h544-k-no,Cafe,Cafe,4.3,05:00-22:30,,,"QR73+W2G Cafe El-Majless, Monastir",,https://www.google.com/maps/place/Caf%C3%A9+El-Majl%C3%A9ss/data=!4m7!3m6!1s0x130212a7d44fb511:0xec778b4b8ed7afb4!8m2!3d35.7648231!4d10.8025658!16s%2Fg%2F1hf2mzkhk!19sChIJEbVP1KcSAhMRtK_XjkuLd-w?authuser=0&hl=fr&rclk=1
ChIJdf_6T-oMAhMR2kroDZ_5p3Y,Skanes Palm,,False,21,,Skanes Palm (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMsjVvXoKSzeGfY4TiqdNmIeoSTKBO1tgFt2-bv=w408-h544-k-no,Restaurant,Restaurant,4.5,10:30-01:30,,97 888 884,"QP5P+78Q Skanes Palm, Monastir",,https://www.google.com/maps/place/Skanes+Palm/data=!4m7!3m6!1s0x13020cea4ffaff75:0x76a7f99f0de84ada!8m2!3d35.7582095!4d10.7358515!16s%2Fg%2F11f3zk_f7k!19sChIJdf_6T-oMAhMR2kroDZ_5p3Y?authuser=0&hl=fr&rclk=1
ChIJy1HAS4gTAhMRMzlaq23-C-M,Heritage coffee shop,,False,20,,Heritage coffee shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdEYir325gI4o-mnrV8WpEVtZkA8GQgWgPa4co=w408-h306-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,90 120 370,"QR9J+WW8 Heritage coffee shop, Av. 18 janvier 1952, Monastir",bubble tea,https://www.google.com/maps/place/Heritage+coffee+shop/data=!4m7!3m6!1s0x130213884bc051cb:0xe30bfe6dab5a3933!8m2!3d35.7697991!4d10.8323404!16s%2Fg%2F11rfddrqck!19sChIJy1HAS4gTAhMRMzlaq23-C-M?authuser=0&hl=fr&rclk=1
ChIJk9YIHeVtAhMR-8_8mLSa8Qg,Barasti Coffee Shop,,False,18,,Barasti Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipONlMYVFxJ9ps-_3OzOQ-ZOhOQTiNgdwj1lfoU3=w408-h544-k-no,Cafe,Cafe,4.1,08:00-23:00,,93 921 756,"QRHG+RM7 Barasti Coffee Shop, Rte de la Falaise, Monastir 5000",,https://www.google.com/maps/place/Barasti+Coffee+Shop/data=!4m7!3m6!1s0x13026de51d08d693:0x8f19ab498fccffb!8m2!3d35.7795386!4d10.8266687!16s%2Fg%2F11ny46xv25!19sChIJk9YIHeVtAhMR-8_8mLSa8Qg?authuser=0&hl=fr&rclk=1
ChIJz6vCaKANAhMR7l_nVOzqsnI,Twin Tower,,False,16,,Twin Tower (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjN-xoc5y17iE2r7zvuyLh-uYhs8kym1ZFdJ0_=w408-h544-k-no,Cafe,Cafe,4.3,,,,"QP5H+X8H Twin Tower, Sahline","serveur, prix, enfants",https://www.google.com/maps/place/Twin+Tower/data=!4m7!3m6!1s0x13020da068c2abcf:0x72b2eaec54e75fee!8m2!3d35.7600033!4d10.7284383!16s%2Fg%2F11sv_5_0f8!19sChIJz6vCaKANAhMR7l_nVOzqsnI?authuser=0&hl=fr&rclk=1
ChIJ61eWxz8TAhMR5XoavWOLrT4,La Sqala Coffee & Snacks,,False,16,,La Sqala Coffee & Snacks (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6mO5S62yeFAPKmDJ7XmVNvaBOPFpXxuuh0TSr=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,52 156 503,"QR2H+M2G La Sqala Coffee & Snacks, Monastir",,https://www.google.com/maps/place/La+Sqala+Coffee+%26+Snacks/data=!4m7!3m6!1s0x1302133fc79657eb:0x3ead8b63bd1a7ae5!8m2!3d35.7516985!4d10.8275685!16s%2Fg%2F11h2fvsr8y!19sChIJ61eWxz8TAhMR5XoavWOLrT4?authuser=0&hl=fr&rclk=1
