place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWTNdXAuK_RIRipBo2X7DUk4,Mio Mondo Cafe,,False,967,,Mio Mondo Cafe (proprietaire),https://www.google.com/maps/contrib/118013217065311971170,https://lh5.googleusercontent.com/p/AF1QipMFUaDmucMZW4GKm8_D1Az5sjOnRig5ES8mdYJn=w426-h240-k-no,Cafe,"Cafe, Marchand de glaces, Patisserie, Pizzeria, Restaurant, Centre commercial, Salon de the",4.1,07:00-01:00,,73 243 273,"Mio Mondo Cafe, route touristique khezema 4057, Boulevard du 14 Janvier, Sousse 4057","chicha, serveurs, glace, famille, fumeurs, brunch, pizza, service, terrasse, pourboire",https://www.google.com/maps/place/Mio+Mondo+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0b5c5d3359:0x4e52c37ed968908a!8m2!3d35.8585963!4d10.6146498!16s%2Fg%2F1tf5yh__!19sChIJWTNdXAuK_RIRipBo2X7DUk4?authuser=0&hl=fr&rclk=1
ChIJaSUuhAyK_RIRR4HPaAtUU-E,Big Ben Cafe,,False,468,https://www.facebook.com/BigBenRestoCafe/,Big Ben Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjnHclFyigcBpjIVFOQSWCWfUmC-kdLGCBQxlp=w408-h306-k-no,Cafe,Cafe,4,07:00-02:00,,58 573 854,"VJ67+392 Big Ben Cafe, Sousse","prix, enfants, brunch, serveur, famille, pizza, hamburger, plats, chaises, omelette",https://www.google.com/maps/place/Big+Ben+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0c842e2569:0xe153540b68cf8147!8m2!3d35.8601341!4d10.6133956!16s%2Fg%2F11g9r8syhh!19sChIJaSUuhAyK_RIRR4HPaAtUU-E?authuser=0&hl=fr&rclk=1
ChIJKXZFu3eK_RIRkiSJ8pahbkY,Twins Cafe,,False,279,,Twins Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM3oGR4cdMCNPQ2tTxh4GfT7AsACTPj_d-h_Jh-=w426-h240-k-no,Cafe,Cafe,4,08:00-00:00,,73 271 765,"RJX9+62V Twins Cafe, Av. 14 Janvier, Sousse","salon de the, serveur, chicha, brunch, omelette, prix",https://www.google.com/maps/place/Twins+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a77bb457629:0x466ea196f2892492!8m2!3d35.8481217!4d10.6175517!16s%2Fg%2F1hhjkrylf!19sChIJKXZFu3eK_RIRkiSJ8pahbkY?authuser=0&hl=fr&rclk=1
ChIJw5NwYnV1AhMRg8MUvyXgpP8,Cafe La Sirene,,False,241,,Cafe La Sirene (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPD0k2Km17hIBtK9a6pmC17iSYSq0jYaycnVFih=w426-h240-k-no,Cafe,Cafe,4,07:30-00:00,,,"Cafe La Sirene, 1 Av. Habib Bourguiba, Sousse","prix, plage, chicha, terrasse, serveurs, vue, amandes, crepe, toilettes, musique",https://www.google.com/maps/place/Caf%C3%A9+La+Sir%C3%A8ne/data=!4m7!3m6!1s0x13027575627093c3:0xffa4e025bf14c383!8m2!3d35.8335382!4d10.6404191!16s%2Fg%2F1tdj69yz!19sChIJw5NwYnV1AhMRg8MUvyXgpP8?authuser=0&hl=fr&rclk=1
ChIJ88rgY3N1AhMRPS26yaq0C04,Cafe Beb Al Medina,,False,175,https://www.facebook.com/BEBAlMedina/,Cafe Beb Al Medina (proprietaire),https://www.google.com/maps/contrib/112424319669691302706,https://lh5.googleusercontent.com/p/AF1QipNOwNdN5wsjuhiHfVc9_IhZoYW-68kKL_obk-YP=w408-h305-k-no,Salon de the,Salon de the,4.1,08:00-22:00,,29 594 200,"Cafe Beb Al Medina, Sousse","vue, prix, serveur, petit dejeuner, milkshake, crepe, burger, pizza, etage, mer",https://www.google.com/maps/place/Caf%C3%A9+Beb+Al+Medina/data=!4m7!3m6!1s0x1302757363e0caf3:0x4e0bb4aac9ba2d3d!8m2!3d35.8278877!4d10.6403986!16s%2Fg%2F11cs5m7v4j!19sChIJ88rgY3N1AhMRPS26yaq0C04?authuser=0&hl=fr&rclk=1
ChIJw0dRdfeL_RIR6vPGygi9y9s,Jazz Cafe,,False,153,,Jazz Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6kb_GrGvvFVcQjomypD-FS0QN7p_NuMJyxR3L=w408-h906-k-no,Cafe,Cafe,4.2,06:00-01:00,,52 405 204,"VJF2+HM9 Jazz Cafe, Hammam Sousse","petit dejeuner, musique, prix, serveur",https://www.google.com/maps/place/Jazz+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8bf7755147c3:0xdbcbbd08cac6f3ea!8m2!3d35.8739838!4d10.6016682!16s%2Fg%2F11tgd66p1g!19sChIJw0dRdfeL_RIR6vPGygi9y9s?authuser=0&hl=fr&rclk=1
ChIJZUegP4iK_RIRZ5PdlZ3-a2Y,yucca coffee shop,,False,81,,yucca coffee shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPeaa6S2Np0NOsKjFOuI0o5LKWFyapocL4P_I9Q=w408-h544-k-no,Cafe,Cafe,4.1,07:00-00:00,,50 312 312,"yucca coffee shop, sahloul 4",experience,https://www.google.com/maps/place/yucca+coffee+shop/data=!4m7!3m6!1s0x12fd8a883fa04765:0x666bfe9d95dd9367!8m2!3d35.8352974!4d10.6067677!16s%2Fg%2F11fy4t6skn!19sChIJZUegP4iK_RIRZ5PdlZ3-a2Y?authuser=0&hl=fr&rclk=1
ChIJa6Rvd_WL_RIRunDXWvgjtM8,Biscotinno's,,False,81,,Biscotinno's (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNNKYJAsgAkKtlmIPyDWGPHVrPbV2z0__PHoxSl=w408-h272-k-no,Cafe,Cafe,4.5,07:00-22:00,,,"RJV4+R44 Biscotinno's, Rue Imam Boukhari, Sousse","cheesecake, atmosphere, musique, gout sucre, ornement, self service, caramel",https://www.google.com/maps/place/Biscotinno%27s/data=!4m7!3m6!1s0x12fd8bf5776fa46b:0xcfb423f85ad770ba!8m2!3d35.844512!4d10.6053311!16s%2Fg%2F11qh3r45b5!19sChIJa6Rvd_WL_RIRunDXWvgjtM8?authuser=0&hl=fr&rclk=1
ChIJMeBJnod1AhMRtD7iLosXABw,Mado Cafe Resto,,False,64,,Mado Cafe Resto (proprietaire),https://www.google.com/maps/contrib/117226385254388229646,https://lh5.googleusercontent.com/p/AF1QipO2JcvZsPq3rdJtN_pJcOAaNIvZADmC8-2VHE6m=w426-h240-k-no,Restaurant,"Restaurant, Restaurant servant le petit-dejeuner, Cafe, Diner",4.3,07:00-00:00,,29 027 027,"Mado Cafe Resto, Unnamed Road",prix,https://www.google.com/maps/place/Mado+Caf%C3%A9+Resto/data=!4m7!3m6!1s0x130275879e49e031:0x1c00178b2ee23eb4!8m2!3d35.8432601!4d10.6207803!16s%2Fg%2F11gfls92k1!19sChIJMeBJnod1AhMRtD7iLosXABw?authuser=0&hl=fr&rclk=1
ChIJObaqc22K_RIRgoMMmk5DeLo,Cafe Journal,,False,61,,Cafe Journal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMBEInS8uVXhCso7IbdjarqvWtYoK97vGv7cwwO=w408-h306-k-no,Cafe,Cafe,4,08:00-21:00,,,"VJ44+8VV Cafe Journal, Rue du Misk, Sousse",,https://www.google.com/maps/place/Caf%C3%A9+Journal/data=!4m7!3m6!1s0x12fd8a6d73aab639:0xba78434e9a0c8382!8m2!3d35.8558687!4d10.6071687!16s%2Fg%2F11cn5shyx4!19sChIJObaqc22K_RIRgoMMmk5DeLo?authuser=0&hl=fr&rclk=1
