place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYS1o9urL-xIROYpFONp06yc,Big Ben Resto,,False,24,https://www.facebook.com/pages/Big-Ben-Resto/1643318282455345,Big Ben Resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKuEbhrBYEAXNtsKYjk8NiMh1N6uU1mNAKJo_B=w408-h306-k-no,Restaurant,Restaurant,4.3,09:00-23:00,,22 254 905,"VHR3+G3R Big Ben Resto, Ave H.Bourguiba Rd, Tajerouine",,https://www.google.com/maps/place/Big+Ben+Resto/data=!4m7!3m6!1s0x12fbcbeaf6682d61:0x27eb74da38458a39!8m2!3d35.8913534!4d8.5526432!16s%2Fg%2F11gg_v_jkk!19sChIJYS1o9urL-xIROYpFONp06yc?authuser=0&hl=fr&rclk=1
ChIJhTUDzsHL-xIRCoFb-HQvma8,Cafe Essalem,,False,11,,Cafe Essalem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO4-pEc0Z8ZxdqG9bBpmhsUyMN1qamTKiNL2WuL=w408-h306-k-no,Cafe,Cafe,4.7,Ouvert 24h/24,,40 188 684,"VHV3+G86 Cafe Essalem, Ave H.Bourguiba Rd, Tajerouine",,https://www.google.com/maps/place/Caf%C3%A9+Essalem/data=!4m7!3m6!1s0x12fbcbc1ce033585:0xaf992f74f85b810a!8m2!3d35.893789!4d8.55326!16s%2Fg%2F11dxc8tdw0!19sChIJhTUDzsHL-xIRCoFb-HQvma8?authuser=0&hl=fr&rclk=1
ChIJC_zfiXbL-xIR2qc220AbQNU,UP TOWN Cafe & Resto,,False,7,https://m.facebook.com/Tajerouine-UpTown-102854505252105/posts,UP TOWN Cafe & Resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOBtxBVBPwYSBbwAd_hfUTQktNJCfY5oQnEqJp7=w426-h240-k-no,Restaurant familial,Restaurant familial,5,10:00-23:00,,51 477 218,"WH34+3HC UP TOWN Cafe & Resto, Tajerouine",,https://www.google.com/maps/place/UP+TOWN+Caf%C3%A9+%26+Resto/data=!4m7!3m6!1s0x12fbcb7689dffc0b:0xd5401b40db36a7da!8m2!3d35.9026882!4d8.5564023!16s%2Fg%2F11pcm2htpn!19sChIJC_zfiXbL-xIR2qc220AbQNU?authuser=0&hl=fr&rclk=1
ChIJWz3o71jL-xIRxuIPZXKA4-Q,Dose coffee Shop,,False,6,,Dose coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNvmmIldMOFrs5dkyf8__agqqrIO0tPipikfVG5=w426-h240-k-no,Cafe,Cafe,4.3,07:30-00:00,,28 567 145,"VHQ2+J4V Dose coffee Shop, nhj lfrwsy@, Tajerouine",,https://www.google.com/maps/place/Dose+coffee+Shop/data=!4m7!3m6!1s0x12fbcb58efe83d5b:0xe4e38072650fe2c6!8m2!3d35.8891211!4d8.5502898!16s%2Fg%2F11khslxtcy!19sChIJWz3o71jL-xIRxuIPZXKA4-Q?authuser=0&hl=fr&rclk=1
ChIJmUKNKBjL-xIRcviyn7VGXME,Cafe Clover,,False,6,https://www.facebook.com/mohamedali.saidi.1675,Cafe Clover (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN05FinfGvMVBsePzHk82QappCPoccL1R6T9xP-=w426-h240-k-no,Cafe,Cafe,5,06:00-00:00,,28 499 649,WH52+GW5 Cafe Clover,,https://www.google.com/maps/place/Cafe+Clover/data=!4m7!3m6!1s0x12fbcb18288d4299:0xc15c46b59fb2f872!8m2!3d35.9087705!4d8.5523618!16s%2Fg%2F11ghlkc0w1!19sChIJmUKNKBjL-xIRcviyn7VGXME?authuser=0&hl=fr&rclk=1
ChIJOd1zNbrL-xIRsX3OIXinAJI,jbn lHmdny,,False,3,,jbn lHmdny (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTmAiprbcoPynuL1Mh571SQ36nBBOaUQ0-7cWt=w408-h306-k-no,Restaurant,Restaurant,5,,,99 061 517,"VHV3+Q43 jbn lHmdny, Tajerouine",,https://www.google.com/maps/place/%D8%A7%D8%AC%D8%A8%D8%A7%D9%86+%D8%A7%D9%84%D8%AD%D9%85%D8%AF%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fbcbba3573dd39:0x9200a77821ce7db1!8m2!3d35.8943887!4d8.5528001!16s%2Fg%2F11j8p5mf9r!19sChIJOd1zNbrL-xIRsX3OIXinAJI?authuser=0&hl=fr&rclk=1
ChIJDfGEHE7L-xIRmoeeslL0Lek,Cafe galaxi,,False,2,,Cafe galaxi (proprietaire),,,Cafe,Cafe,5,,,,"VHW3+4R5 Cafe galaxi, Tajerouine",,https://www.google.com/maps/place/Caf%C3%A9+galaxi/data=!4m7!3m6!1s0x12fbcb4e1c84f10d:0xe92df452b29e879a!8m2!3d35.8952334!4d8.5540815!16s%2Fg%2F11rqz0x0db!19sChIJDfGEHE7L-xIRmoeeslL0Lek?authuser=0&hl=fr&rclk=1
ChIJQWdUV1HL-xIRK1_6Ka4HcZo,Tej Coffee,,False,1,,Tej Coffee (proprietaire),,,Cafe,Cafe,5,,,,"WH34+8F Tej Coffee, Tajerouine",,https://www.google.com/maps/place/Tej+Coffee/data=!4m7!3m6!1s0x12fbcb5157546741:0x9a7107ae29fa5f2b!8m2!3d35.9034863!4d8.5562018!16s%2Fg%2F11pyyg0g45!19sChIJQWdUV1HL-xIRK1_6Ka4HcZo?authuser=0&hl=fr&rclk=1
ChIJwcX4bkjL-xIRj_dHavRgM1Q,Cirta Nova Cafe,,False,1,,Cirta Nova Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7YeyAxmctqAGphLNtZGLDilScWJQk0dBmrw9f=w408-h306-k-no,Epicerie,Epicerie,5,08:00-18:00,dimanche,21 110 830,"VHV3+9G2 Cirta Nova Cafe, Ave H.Bourguiba Rd, Tajerouine",,https://www.google.com/maps/place/Cirta+Nova+Caf%C3%A9/data=!4m7!3m6!1s0x12fbcb486ef8c5c1:0x543360f46a47f78f!8m2!3d35.8933827!4d8.5537656!16s%2Fg%2F11ll8hljp2!19sChIJwcX4bkjL-xIRj_dHavRgM1Q?authuser=0&hl=fr&rclk=1
ChIJQ0vpzgbL-xIRCbiuGE9N0Rc,el mondial,,False,1,,el mondial (proprietaire),,,Cafe,Cafe,5,,,,"VHQ3+V2X el mondial, Tajerouine",,https://www.google.com/maps/place/el+mondial/data=!4m7!3m6!1s0x12fbcb06cee94b43:0x17d14d4f18aeb809!8m2!3d35.889741!4d8.5526097!16s%2Fg%2F11rqh47w7n!19sChIJQ0vpzgbL-xIRCbiuGE9N0Rc?authuser=0&hl=fr&rclk=1
