place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJra-y6XW3VBIR73_kfO2Y7ro,Cafe La Palma,,False,40,,Cafe La Palma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNnNczTLJV2JOg3mwwMhMDyTGHThz-GHX0crIVK=w426-h240-k-no,Cafe,Cafe,4.1,Ouvert 24h/24,,75 858 706,"XF34+4X3 Cafe La Palma, Tataouine",,https://www.google.com/maps/place/Cafe+La+Palma/data=!4m7!3m6!1s0x1254b775e9b2afad:0xbaee98ed7ce47fef!8m2!3d32.9527659!4d10.4574254!16s%2Fg%2F11c5t0131v!19sChIJra-y6XW3VBIR73_kfO2Y7ro?authuser=0&hl=fr&rclk=1
ChIJ-d7t9HW3VBIRXVuBj5ih03s,Cafe Alhambra,,False,21,,Cafe Alhambra (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOvjoqmwATG0Y1ptFpQS6Y_CbhHO1G6i4BM84z_=w408-h306-k-no,Salon de the,Salon de the,4.4,06:00-00:00,,23 304 031,"XF35+J6F Cafe Alhambra, Tataouine",,https://www.google.com/maps/place/Caf%C3%A9+Alhambra/data=!4m7!3m6!1s0x1254b775f4eddef9:0x7bd3a1988f815b5d!8m2!3d32.9540687!4d10.4580533!16s%2Fg%2F11gb5g25zw!19sChIJ-d7t9HW3VBIRXVuBj5ih03s?authuser=0&hl=fr&rclk=1
ChIJnzUX-ly3VBIRb2dEsGePVsg,Cafe Carthage,,False,12,,Cafe Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRfkBJpKGGXXZmLTWiZ94UtsPiQoRDV-D5y8S6=w408-h725-k-no,Cafe,Cafe,4.7,06:00-23:00,,,"WCHX+J9R Cafe Carthage, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Caf%C3%A9+Carthage/data=!4m7!3m6!1s0x1254b75cfa17359f:0xc8568f67b044676f!8m2!3d32.929111!4d10.4484!16s%2Fg%2F11c5x6_sj4!19sChIJnzUX-ly3VBIRb2dEsGePVsg?authuser=0&hl=fr&rclk=1
ChIJx3TQqqC3VBIRqu72kIZSLco,Cafe Hanibal,,False,12,,Cafe Hanibal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMHQONxSp6La8u2WxbhSDN_L4yz0hhw7YSAUqmd=w408-h544-k-no,Cafe,Cafe,4.8,05:30-22:00,,,"XF39+73M Cafe Hanibal, Tataouine",,https://www.google.com/maps/place/Caf%C3%A9+Hanibal/data=!4m7!3m6!1s0x1254b7a0aad074c7:0xca2d528690f6eeaa!8m2!3d32.9532206!4d10.4676635!16s%2Fg%2F11cs6977kr!19sChIJx3TQqqC3VBIRqu72kIZSLco?authuser=0&hl=fr&rclk=1
ChIJh1rhily3VBIRcAqQe4OGAGY,Cafe Palestine,,False,9,,Cafe Palestine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOkazCFSBE1FyR7zwnEJwCmqvKDskEWsHyeAUjq=w408-h306-k-no,Cafe,Cafe,4,05:00-20:00,,,"WCHX+888 Cafe Palestine, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Caf%C3%A9+Palestine/data=!4m7!3m6!1s0x1254b75c8ae15a87:0x660086837b900a70!8m2!3d32.928288!4d10.4483166!16s%2Fg%2F12cp66f86!19sChIJh1rhily3VBIRcAqQe4OGAGY?authuser=0&hl=fr&rclk=1
ChIJv54JyaC3VBIR3HvbnJoeIGg,Al Maqam,,False,9,,Al Maqam (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNmNehir83i0lz31NLOJT2oSgDvVTpDTNFYqyG0=w408-h306-k-no,Salon de the,Salon de the,4.4,08:00-20:00,,75 857 567,"WFQ2+2Q2 Al Maqam, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Al+Maqam/data=!4m7!3m6!1s0x1254b7a0c9099ebf:0x68201e9a9cdb7bdc!8m2!3d32.9375194!4d10.4519!16s%2Fg%2F11j0jfygz8!19sChIJv54JyaC3VBIR3HvbnJoeIGg?authuser=0&hl=fr&rclk=1
ChIJc-KsDwS3VBIRZWoN51GgXlc,Cafe 3S Tataouine,,False,9,,Cafe 3S Tataouine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsMw4sDQwAtpwoLsBfIIFLFfJJz-azNNuEs--J=w408-h306-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.6,08:00-18:00,,95 072 500,"WFWH+7CJ Cafe 3S Tataouine, Tataouine",,https://www.google.com/maps/place/Cafe+3S+Tataouine/data=!4m7!3m6!1s0x1254b7040face273:0x575ea051e70d6a65!8m2!3d32.945705!4d10.4785022!16s%2Fg%2F11gfhqlw62!19sChIJc-KsDwS3VBIRZWoN51GgXlc?authuser=0&hl=fr&rclk=1
ChIJwS3y4ly3VBIR5upBd5BN4t8,Patisserie Du Sud Kilani Ounissi,,False,9,,Patisserie Du Sud Kilani Ounissi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMlcSNFWauN2ioxvSKgT-a39STldtelRb8lqiJy=w408-h240-k-no-pi1.7007327-ya345.01083-ro-0.16558461-fo100,Cafeteria,Cafeteria,4,08:00-21:00,,53 407 827,"WCHX+GHM Patisserie Du Sud Kilani Ounissi, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Patisserie+Du+Sud+Kilani+Ounissi/data=!4m7!3m6!1s0x1254b75ce2f22dc1:0xdfe24d907741eae6!8m2!3d32.928849!4d10.4489281!16s%2Fg%2F11dx8m243n!19sChIJwS3y4ly3VBIR5upBd5BN4t8?authuser=0&hl=fr&rclk=1
ChIJexRUwTe3VBIR9bf9ZJ0b6ec,espace happy day's tataouine,,False,5,,espace happy day's tataouine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrSWlzXUuuTtXwDDKybQTCJ2HnWe6rO2Gb6qnh=w408-h544-k-no,Salon de the,Salon de the,4,05:05-02:00,,92 289 067,"espace happy day's tataouine, C111, Tataouine",,https://www.google.com/maps/place/espace+happy+day%27s+tataouine/data=!4m7!3m6!1s0x1254b737c154147b:0xe7e91b9d64fdb7f5!8m2!3d32.9362667!4d10.4558948!16s%2Fg%2F11ghs7_yw1!19sChIJexRUwTe3VBIR9bf9ZJ0b6ec?authuser=0&hl=fr&rclk=1
ChIJv0rgz7W3VBIRiydy7jsqDNQ,Coffee shop Agil Energy,,False,4,,Coffee shop Agil Energy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdcTBYD3fzC5bVs3HOfydDQ4JLWXO2soCtbF9G=w408-h306-k-no,Cafe,Cafe,5,Ouvert 24h/24,,75 860 030,"WFJ2+J9C Coffee shop Agil Energy, Tataouine",,https://www.google.com/maps/place/Coffee+shop+Agil+Energy/data=!4m7!3m6!1s0x1254b7b5cfe04abf:0xd40c2a3bee72278b!8m2!3d32.9315527!4d10.4508901!16s%2Fg%2F11l370l1l5!19sChIJv0rgz7W3VBIRiydy7jsqDNQ?authuser=0&hl=fr&rclk=1
