place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzz_eYgdj-RIRFIPTmLxeC_Y,Sweet Cafe (qhw@ lrlw),,False,12,,Sweet Cafe (qhw@ lrlw) (proprietaire),https://www.google.com/maps/contrib/108165276518820125534,https://lh5.googleusercontent.com/p/AF1QipOF_Uh91vnXNI0HQajyoTT0akRdOoF04zont-BI=w408-h306-k-no,Salon de the,Salon de the,5,Ouvert 24h/24,,20 261 962,"Sweet Cafe (qhw@ lrlw), P17, Thala",,https://www.google.com/maps/place/Sweet+Caf%C3%A9+%28%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%B1%D8%A7%D9%84%D9%88%29%E2%80%AD/data=!4m7!3m6!1s0x12f9630762de3fcf:0xf60b5ebc98d38314!8m2!3d35.5647658!4d8.6748507!16s%2Fg%2F11ght9btry!19sChIJzz_eYgdj-RIRFIPTmLxeC_Y?authuser=0&hl=fr&rclk=1
ChIJu-B6VMVi-RIRL7SkXdV5Pzk,Restaurant Faouzi Merguez & Lablebi,,False,8,,Restaurant Faouzi Merguez & Lablebi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPOJvGQTJDP3oR2B82vVV6QH-Goz_mSNsFWdxmf=w408-h408-k-no,Restaurant,Restaurant,4,05:00-16:00,,,"HMCC+6GG Restaurant Faouzi Merguez & Lablebi, P17, Thala",,https://www.google.com/maps/place/Restaurant+Faouzi+Merguez+%26+Lablebi/data=!4m7!3m6!1s0x12f962c5547ae0bb:0x393f79d55da4b42f!8m2!3d35.5705651!4d8.6713272!16s%2Fg%2F11g6lx9t0v!19sChIJu-B6VMVi-RIRL7SkXdV5Pzk?authuser=0&hl=fr&rclk=1
ChIJ0xOvN89i-RIRLY-4MFYIHIg,mqh~ lHj mnwr Cafe Elhaj Mnawer,,False,6,,mqh~ lHj mnwr Cafe Elhaj Mnawer (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNU5YOGw0PIAnIJnqd8JKTdhWiWYq_6p5mCY91b=w408-h279-k-no,Cafe,Cafe,5,Ouvert 24h/24,,52 219 821,"HMG9+4R7 mqh~ lHj mnwr Cafe Elhaj Mnawer, P17, Thala 1210",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%AD%D8%A7%D8%AC+%D9%85%D9%86%D9%88%D8%B1+Caf%C3%A9+Elhaj+Mnawer%E2%80%AD/data=!4m7!3m6!1s0x12f962cf37af13d3:0x881c085630b88f2d!8m2!3d35.5752882!4d8.6695389!16s%2Fg%2F11cs9mty6q!19sChIJ0xOvN89i-RIRLY-4MFYIHIg?authuser=0&hl=fr&rclk=1
ChIJ9xBVDNpi-RIRk46xReow_8w,qhw@ lshTr,,False,6,,qhw@ lshTr (proprietaire),,,Cafe,Cafe,5,08:00-20:00,,,"HM8C+CJ2 qhw@ lshTr, Thala",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%B4%D8%B7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x12f962da0c5510f7:0xccff30ea45b18e93!8m2!3d35.5660015!4d8.67153!16s%2Fg%2F11csb0slpn!19sChIJ9xBVDNpi-RIRk46xReow_8w?authuser=0&hl=fr&rclk=1
ChIJpXOkcc9i-RIR-KW7MSaXHug,lqhw@ lHmr,,False,5,,lqhw@ lHmr (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOaZLmG1AH7HtGXCRsGww-6dn4Aenj76Nal6P7Z=w408-h544-k-no,Cafe,Cafe,4.6,05:00-23:00,,,"HMFC+C3R lqhw@ lHmr, Thala",,https://www.google.com/maps/place/%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%AD%D9%85%D8%B1%D8%A7%D8%A1%E2%80%AD/data=!4m7!3m6!1s0x12f962cf71a473a5:0xe81e972631bba5f8!8m2!3d35.5736122!4d8.670138!16s%2Fg%2F11c209571n!19sChIJpXOkcc9i-RIR-KW7MSaXHug?authuser=0&hl=fr&rclk=1
ChIJM7jFXsVi-RIRQTHOGCwuyWM,qhw@ smyr,,False,4,,qhw@ smyr (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMKwie1F1Pi5iFkUdlh0sw4F8q2iUtVBLktnaiQ=w408-h544-k-no,Cafe,Cafe,4.5,04:00-00:00,,,"HMCC+GGM qhw@ smyr, Thala",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%B3%D9%85%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x12f962c55ec5b833:0x63c92e2c18ce3141!8m2!3d35.5713461!4d8.6712907!16s%2Fg%2F11c208qnh7!19sChIJM7jFXsVi-RIRQTHOGCwuyWM?authuser=0&hl=fr&rclk=1
ChIJQVMYelHR-xIRq5rdebfoRz4,Cafe fala7,,False,4,,Cafe fala7 (proprietaire),,,Cafe,Cafe,4.8,Ouvert 24h/24,,,"PHRH+V69 Cafe fala7, Ave H.Bourguiba Rd, Bir Salah",,https://www.google.com/maps/place/Caf%C3%A9+fala7/data=!4m7!3m6!1s0x12fbd1517a185341:0x3e47e8b779dd9aab!8m2!3d35.7421978!4d8.5780467!16s%2Fg%2F11l1hzky5k!19sChIJQVMYelHR-xIRq5rdebfoRz4?authuser=0&hl=fr&rclk=1
ChIJ1bnt7Ubd-xIRPwzK38G6rzc,Cafe wld rHl,,False,4,,Cafe wld rHl (proprietaire),,,Cafe,Cafe,4.8,08:00-10:00,,,"MRMP+JF8 Cafe wld rHl, C85",,https://www.google.com/maps/place/Caf%C3%A9+%D8%A7%D9%88%D9%84%D8%A7%D8%AF+%D8%B1%D8%AD%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12fbdd46ededb9d5:0x37afbac1dfca0c3f!8m2!3d35.6840432!4d8.8361947!16s%2Fg%2F11nnw60r9j!19sChIJ1bnt7Ubd-xIRPwzK38G6rzc?authuser=0&hl=fr&rclk=1
ChIJD2enStpi-RIRWAR4ElqjTpE,qhw@ slym wld mhny@,,False,3,,qhw@ slym wld mhny@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOzgI2qyzYAsmgKfgi8OWDOli4y5kaFPJX6Eno6=w408-h544-k-no,Cafe,Cafe,5,05:00-23:00,,,"HM8F+9GM qhw@ slym wld mhny@, P17, Talah 1210",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%B3%D9%84%D9%8A%D9%85+%D9%88%D9%84%D8%AF+%D9%85%D9%87%D9%86%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f962da4aa7670f:0x914ea35a12780458!8m2!3d35.5659598!4d8.6737864!16s%2Fg%2F11c1_vry37!19sChIJD2enStpi-RIRWAR4ElqjTpE?authuser=0&hl=fr&rclk=1
ChIJuxi4l-pj-RIRkzNfY-1_2bc,The Grind House,,False,2,,The Grind House (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPLdKGqvuHhx1pzioLbzFS7jwG_IespFF65QYPV=w408-h543-k-no,Cafe,Cafe,5,,,96 052 367,"HM9F+Q34 The Grind House, Thala",,https://www.google.com/maps/place/The+Grind+House/data=!4m7!3m6!1s0x12f963ea97b818bb:0xb7d97fed635f3393!8m2!3d35.5693819!4d8.6727159!16s%2Fg%2F11s5zhfg_0!19sChIJuxi4l-pj-RIRkzNfY-1_2bc?authuser=0&hl=fr&rclk=1
