place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDZ98ByjAVxIRI3Yy4cO3ATY,Restaurant Le Soleil,,False,282,,Restaurant Le Soleil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN53zKTAEssBJ3NvW9VDXiPigGo1CqAYjqYCUZA=w408-h544-k-no,Restaurant tunisien,Restaurant tunisien,4.2,Ouvert 24h/24,,22 193 881,"W49M+4MQ Restaurant Le Soleil, Av. Abou el Kacem Chebbi, Tozeur 2200","couscous, dromadaire, chakchouka, cuisine traditionnelle, poulet, grillades, serveur, agneau, viande de chameau, bocaux",https://www.google.com/maps/place/Restaurant+Le+Soleil/data=!4m7!3m6!1s0x1257c028077c9f0d:0x3601b7c3e1327623!8m2!3d33.9178306!4d8.1342398!16s%2Fg%2F11c5__pbh3!19sChIJDZ98ByjAVxIRI3Yy4cO3ATY?authuser=0&hl=fr&rclk=1
ChIJh91swCnAVxIR1tFsU8jxHHk,Restaurant De La Republique Tozeur,,False,153,,Restaurant De La Republique Tozeur (proprietaire),https://www.google.com/maps/contrib/106757074563449866680,https://lh5.googleusercontent.com/p/AF1QipON6QcwrkhNlObW10LV7SjM2EuXuhpxRtzstBZ2=w408-h906-k-no,Restaurant tunisien,Restaurant tunisien,4.1,Ouvert 24h/24,,23 821 901,"2200, W4CP+C5 Restaurant De La Republique Tozeur, Rue Hedi Jahallah, Tozeur","prix, dromadaire, poulet, couscous, salades, legumes, agneau, travail, os, touristes",https://www.google.com/maps/place/Restaurant+De+La+R%C3%A9publique+Tozeur/data=!4m7!3m6!1s0x1257c029c06cdd87:0x791cf1c8536cd1d6!8m2!3d33.9210306!4d8.1354729!16s%2Fg%2F11d_z80t4n!19sChIJh91swCnAVxIR1tFsU8jxHHk?authuser=0&hl=fr&rclk=1
ChIJC13pWnXBVxIRhKXAiKQUX3I,Cafe Berbere  ,,False,146,,Cafe Berbere   (proprietaire),https://www.google.com/maps/contrib/116210305562151743967,https://lh5.googleusercontent.com/p/AF1QipPa_hSSnfbV2_NOqwG_LwCIVwcV9Er9MkNv24kv=w408-h544-k-no,Cafe,Cafe,5,08:30-00:00,,50 719 277,"W4CQ+88Q Cafe Berbere  , Ouled El Hadef, Tozeur","atmosphere, jus, musique, chicha, droit de propriete, fleur, the a la menthe, oranger, terrasse, citronnade",https://www.google.com/maps/place/Caf%C3%A9+Berb%C3%A8re+%E2%B5%9C%E2%B4%B0%E2%B4%B1%E2%B4%B0%E2%B5%94%E2%B5%8F%E2%B4%BB%E2%B5%9C+%E2%B5%9C%E2%B4%B0%E2%B5%8E%E2%B4%B0%E2%B5%A3%E2%B5%89%E2%B5%96%E2%B5%9C/data=!4m7!3m6!1s0x1257c1755ae95d0b:0x725f14a488c0a584!8m2!3d33.9208502!4d8.1383214!16s%2Fg%2F11sc8cmk9m!19sChIJC13pWnXBVxIRhKXAiKQUX3I?authuser=0&hl=fr&rclk=1
ChIJbXk7x1XrVxIRqgRGg3Vl_Os,Scoop Cafe-Resto,,False,111,,Scoop Cafe-Resto (proprietaire),https://www.google.com/maps/contrib/108922082878652484513,https://lh5.googleusercontent.com/p/AF1QipP1SnMOVN8MbDo1z4zpeLrOBD8levv46GKvTrIz=w408-h272-k-no,Restaurant,"Restaurant, Cafe",4.3,07:00-00:00,,27 720 721,"Scoop Cafe-Resto, Av. Abou el Kacem Chebbi, Tozeur 2210","glace, tayara, experience",https://www.google.com/maps/place/Scoop+Caf%C3%A9-Resto/data=!4m7!3m6!1s0x1257eb55c73b796d:0xebfc6575834604aa!8m2!3d33.9149897!4d8.1287874!16s%2Fg%2F11n650xm8b!19sChIJbXk7x1XrVxIRqgRGg3Vl_Os?authuser=0&hl=fr&rclk=1
ChIJxXvTfTvAVxIRLYDmsuCWNEs,Restaurant Chak Wak,,False,73,,Restaurant Chak Wak (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO_UXa4pHEkJvwCvM5VwUUFcTCrn_1liCUMxIE7=w408-h544-k-no,Restaurant,Restaurant,4.2,08:00-00:00,,55 139 738,"W46W+JP4 Restaurant Chak Wak, Rte des Touaregs, Tozeur","chats, musique, prix",https://www.google.com/maps/place/Restaurant+Chak+Wak/data=!4m7!3m6!1s0x1257c03b7dd37bc5:0x4b3496e0b2e6802d!8m2!3d33.9115082!4d8.1468364!16s%2Fg%2F11dyqshh_9!19sChIJxXvTfTvAVxIRLYDmsuCWNEs?authuser=0&hl=fr&rclk=1
ChIJURwLTpzrVxIR6pLsubS4S2k,Le Minaret Ferkous,,False,69,,Le Minaret Ferkous (proprietaire),https://www.google.com/maps/contrib/100406068314728882583,https://lh5.googleusercontent.com/p/AF1QipNTuk_v5qhisXxf1IMbLwf1nG4bo6PwR_1y_rlt=w408-h725-k-no,Restaurant,"Restaurant, Cafe",4.8,Ouvert 24h/24,,22 716 333,"W4CP+H3M Le Minaret Ferkous, Rue Mohamed Ali El Ajimi, Tozeur","experience, cadre, cafe, continuation, musique",https://www.google.com/maps/place/Le+Minaret+Ferkous/data=!4m7!3m6!1s0x1257eb9c4e0b1c51:0x694bb8b4b9ec92ea!8m2!3d33.9214663!4d8.1351477!16s%2Fg%2F11kqzvg8p8!19sChIJURwLTpzrVxIR6pLsubS4S2k?authuser=0&hl=fr&rclk=1
ChIJE_yiZVfBVxIR7hocmVt7BVo,Resto Cafe El Berka,,False,30,,Resto Cafe El Berka (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmWD3QM7QsZH_Tp-Q8kHLbCKTXVOJOtYJdh2vz=w408-h306-k-no,Restaurant,Restaurant,4.9,11:00-22:00,,28 297 297,"W48Q+HH9 Resto Cafe El Berka, Route de la Berka, Tozeur",,https://www.google.com/maps/place/Resto+Caf%C3%A9+El+Berka/data=!4m7!3m6!1s0x1257c15765a2fc13:0x5a057b5b991c1aee!8m2!3d33.916396!4d8.1389735!16s%2Fg%2F11vjggt1rf!19sChIJE_yiZVfBVxIR7hocmVt7BVo?authuser=0&hl=fr&rclk=1
ChIJP-uedKXBVxIROKrLkQh2dTo,L'atelier d'Amel Line,,False,22,,L'atelier d'Amel Line (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNk9q56FZL-rmsPS0TSY5hn6nohHaDVnCGKCYC-=w426-h240-k-no,Cafe,Cafe,4.8,,,25 840 707,"W4CP+6F4 L'atelier d'Amel Line, Av. Habib Bourguiba, Tozeur","musee d'art, vue",https://www.google.com/maps/place/L%27atelier+d%27Amel+Line/data=!4m7!3m6!1s0x1257c1a5749eeb3f:0x3a75760891cbaa38!8m2!3d33.9205125!4d8.1362031!16s%2Fg%2F11j42gfsrh!19sChIJP-uedKXBVxIROKrLkQh2dTo?authuser=0&hl=fr&rclk=1
ChIJEZHjFFPBVxIR4PyiCVTNFhY,Essiguifa,,False,22,https://www.facebook.com/ESSIGUIFADETOZEUR%3Fmibextid%3DZbWKwL,Essiguifa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMWMeZPAvCPbuvqS2gMrq_S00v7LKwBZARK5fpZ=w408-h306-k-no,Restaurant tunisien,Restaurant tunisien,4.8,08:00-00:00,,51 396 397,"W4CQ+Q3M Essiguifa, Av. de Kairouan, Tozeur",cafe,https://www.google.com/maps/place/Essiguifa/data=!4m7!3m6!1s0x1257c15314e39111:0x1616cd5409a2fce0!8m2!3d33.9219963!4d8.1376639!16s%2Fg%2F11s8rcnhlc!19sChIJEZHjFFPBVxIR4PyiCVTNFhY?authuser=0&hl=fr&rclk=1
ChIJ4QP_sYPqVxIRsRBS1hUaymE,Salon De The Soltan,,False,18,,Salon De The Soltan (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBklijWtGlAA8MUyaaHh_dNV3Vs2qR0w6LYA6U=w408-h306-k-no,Cafe,Cafe,4.1,,,27 421 425,"W4CJ+H87 Salon De The Soltan, Ave Farhat Hached, Tozeur",,https://www.google.com/maps/place/Salon+De+Th%C3%A9+Soltan/data=!4m7!3m6!1s0x1257ea83b1ff03e1:0x61ca1a15d65210b1!8m2!3d33.9214237!4d8.1307944!16s%2Fg%2F11c57y3vf9!19sChIJ4QP_sYPqVxIRsRBS1hUaymE?authuser=0&hl=fr&rclk=1
