place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuyfUqYoz_RIRIszoe4XPAzk,Cafe Mrabet,,False,565,https://elmrabet.tn/,Cafe Mrabet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnYVH4L80JPkmLwMps7XnMn5ZOEr1t57kaJ-e0=w408-h544-k-no,Restaurant familial,"Restaurant familial, Cafe",4.1,08:00-22:00,,93 420 895,"Cafe Mrabet, 27 Souk Trok, Tunis","cafes, the, serveur, ramadan, tunisien, terrasse, coeur, decor, couscous, tradition",https://www.google.com/maps/place/Caf%C3%A9+Mrabet/data=!4m7!3m6!1s0x12fd338aa9d427bb:0x3903cf857be8cc22!8m2!3d36.7972783!4d10.1702851!16s%2Fg%2F11b6v5w86l!19sChIJuyfUqYoz_RIRIszoe4XPAzk?authuser=0&hl=fr&rclk=1
ChIJg_rm-nQ0_RIR2guj6aUCaC0,EL ALI Resto & Cafe Culturel,,False,532,https://instagram.com/resto_el_ali%3Figshid%3DOGQ2MjdiOTE%3D,EL ALI Resto & Cafe Culturel (proprietaire),https://www.google.com/maps/contrib/114444395705674073490,https://lh5.googleusercontent.com/p/AF1QipNmihF4SA_zSUh8dCGKe4RqYNiXC3s50L-3MHNO=w408-h271-k-no,Restaurant,"Restaurant, Cafe",4.2,08:00-17:00,dimanche,71 321 927,"EL ALI Resto & Cafe Culturel, Rue Jamaa Ezzitouna, Tunis","petit dejeuner, tunisien, couscous, musique, service, coeur, tajine, souk, cuisine traditionnelle, entree",https://www.google.com/maps/place/EL+ALI+Resto+%26+Caf%C3%A9+Culturel/data=!4m7!3m6!1s0x12fd3474fae6fa83:0x2d6802a5e9a30bda!8m2!3d36.7981557!4d10.172971!16s%2Fg%2F113hnpbqr!19sChIJg_rm-nQ0_RIR2guj6aUCaC0?authuser=0&hl=fr&rclk=1
ChIJiSFXDEM1_RIRyrPgH3UzeQg,Obladi Coffee,,False,254,,Obladi Coffee (proprietaire),https://www.google.com/maps/contrib/118414528732555765080,https://lh5.googleusercontent.com/p/AF1QipMT2qhIMCUig0bCKhYeNBybj6mCbsKncn2EZibq=w408-h408-k-no,Cafe,Cafe,4.2,07:00-22:00,,24 318 745,"Obladi Coffee, Rue du Lac Huron, Tunis","prix, atmosphere, musique, serveur, experience, brunch, etudiants, croissant, methode d'apprentissage, sourire",https://www.google.com/maps/place/Obladi+Coffee/data=!4m7!3m6!1s0x12fd35430c572189:0x87933751fe0b3ca!8m2!3d36.8366942!4d10.24654!16s%2Fg%2F11f57k77c7!19sChIJiSFXDEM1_RIRyrPgH3UzeQg?authuser=0&hl=fr&rclk=1
ChIJ-dzK52Q0_RIRNMvCQVJEbs0,Cafe Culturel Liber'The,,False,191,,Cafe Culturel Liber'The (proprietaire),https://www.google.com/maps/contrib/100870946040008361944,https://lh5.googleusercontent.com/p/AF1QipNZdD-nCzkvxAd46Dyn8Bnjai_r15BWVSQcp9Pk=w426-h240-k-no,Cafe,Cafe,4.1,07:00-22:00,dimanche,21 901 721,"Cafe Culturel Liber'The, 55 Rue d'Iran, Tunis 1002","musique, livres, atmosphere, fumeur, concept, wifi",https://www.google.com/maps/place/Caf%C3%A9+Culturel+Liber%27Th%C3%A9/data=!4m7!3m6!1s0x12fd3464e7cadcf9:0xcd6e445241c2cb34!8m2!3d36.8145518!4d10.1823676!16s%2Fg%2F12hpm00yb!19sChIJ-dzK52Q0_RIRNMvCQVJEbs0?authuser=0&hl=fr&rclk=1
ChIJjWAIEns0_RIRDBfqBuxjnWw,Ben's Coffee,,False,144,,Ben's Coffee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO9UQK8c58hj0soDfESuBeG_jCUiU3sC2q8eKKv=w408-h544-k-no,Cafe,Cafe,4,09:00-21:00,dimanche,54 381 083,"Ben's Coffee, Gouvernorat de 36, Av. de La Liberte, Tunis 1002","brunch, prix, musique, gaufres, salade, gateau, cappuccino, environnement, choix",https://www.google.com/maps/place/Ben%27s+Coffee/data=!4m7!3m6!1s0x12fd347b1208608d:0x6c9d63ec06ea170c!8m2!3d36.8103058!4d10.1795181!16s%2Fg%2F11c4ky7rj6!19sChIJjWAIEns0_RIRDBfqBuxjnWw?authuser=0&hl=fr&rclk=1
ChIJ2T3o48lK_RIR8utylY-EgTM,Kube,,False,142,,Kube (proprietaire),https://www.google.com/maps/contrib/111337085416701182434,https://lh5.googleusercontent.com/p/AF1QipP4b57Ps9F5e1PfkLd4lxz-pwGFBR29bNZEeotE=w408-h272-k-no,Salon de the,"Salon de the, Restaurant",4,07:00-02:00,,29 414 446,"Kube, R7VM+V3 Les Berges du Lac, Tunis Rue De La Feuille D'Erable, Les Berges Du Lac2 Tunis, 1052","petit dejeuner, chicha, prix, salade, serveurs, crepe, lac, brunch, quantite, jus",https://www.google.com/maps/place/Kube/data=!4m7!3m6!1s0x12fd4ac9e3e83dd9:0x3381848f9572ebf2!8m2!3d36.8447226!4d10.2827153!16s%2Fg%2F11c1qz0gkv!19sChIJ2T3o48lK_RIR8utylY-EgTM?authuser=0&hl=fr&rclk=1
ChIJ-cJ2tPUz_RIRnm3ixX1L3Mw,Tirana Cafe,,False,78,https://www.facebook.com/tiranacafe,Tirana Cafe (proprietaire),https://www.google.com/maps/contrib/111695276244005082224,https://lh5.googleusercontent.com/p/AF1QipPVzVhhPfxU89b_MqCOYYpdxCCjEymcl5zeSD8V=w408-h306-k-no,Cafe,Cafe,4.5,06:00-23:30,,29 140 180,"Tirana Cafe, Hannibal Center, 53 Av. Mohamed Abdelwaheb, El Manar 2092","quantite, prix, serveur",https://www.google.com/maps/place/Tirana+Caf%C3%A9/data=!4m7!3m6!1s0x12fd33f5b476c2f9:0xccdc4b7dc5e26d9e!8m2!3d36.8361968!4d10.1369539!16s%2Fg%2F11t0tv55m4!19sChIJ-cJ2tPUz_RIRnm3ixX1L3Mw?authuser=0&hl=fr&rclk=1
ChIJf2koR6k1_RIRnYcF29XAp2M,Cosmitto,,False,70,https://www.facebook.com/profile.php/%3Fid%3D100057263418756,Cosmitto (proprietaire),https://www.google.com/maps/contrib/100702983539981170469,https://lh5.googleusercontent.com/p/AF1QipNkflSpKOKJ3wNJvUzxMUCYwyIBRXJsiSD_5lE4=w408-h247-k-no,Cafe,Cafe,4.1,Ouvert 24h/24,,58 349 077,"Cosmitto, 15 Av. De Carthage, Tunis 1000","wifi, fumeur, chocolat, croissant",https://www.google.com/maps/place/Cosmitto/data=!4m7!3m6!1s0x12fd35a94728697f:0x63a7c0d5db05879d!8m2!3d36.7966182!4d10.1813301!16s%2Fg%2F11lh6ff3xz!19sChIJf2koR6k1_RIRnYcF29XAp2M?authuser=0&hl=fr&rclk=1
ChIJ4c7KSnU0_RIR7lSJ0D4aAgQ,Cafe De La Vigne,,False,64,,Cafe De La Vigne (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPRlm8PM2_-5Cup9EeDrVy6yTJ_tLZlhvjzsj_a=w408-h510-k-no,Cafe,Cafe,4.3,06:00-17:00,dimanche,,"Q5WC+MMC Cafe De La Vigne, swq lrb`, Rue El Kahia, Tunis 1111",,https://www.google.com/maps/place/Caf%C3%A9+De+La+Vigne/data=!4m7!3m6!1s0x12fd34754acacee1:0x4021a3ed08954ee!8m2!3d36.7966906!4d10.1716316!16s%2Fg%2F11c53hh0gg!19sChIJ4c7KSnU0_RIR7lSJ0D4aAgQ?authuser=0&hl=fr&rclk=1
ChIJbfU0H9wz_RIR9kt6_0wndFc,Meraki Coffee Shop,,False,63,,Meraki Coffee Shop (proprietaire),https://www.google.com/maps/contrib/108289831636924731008,https://lh5.googleusercontent.com/p/AF1QipNZEv7z0Oy1e1szge2I4lSgvb8akwUnG736exCE=w408-h408-k-no,Cafe,Cafe,4.3,07:00-23:00,,71 505 208,"Meraki Coffee Shop, 21 Av. Habib Bourguiba, Tunis 2000","fumeurs, prix",https://www.google.com/maps/place/Meraki+Coffee+Shop/data=!4m7!3m6!1s0x12fd33dc1f34f56d:0x5774274cff7a4bf6!8m2!3d36.8107503!4d10.1407014!16s%2Fg%2F11py9wyt7t!19sChIJbfU0H9wz_RIR9kt6_0wndFc?authuser=0&hl=fr&rclk=1
