place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJtePaWi0R_RIRDXfb4bQvYKc,Espace de Loisirs La Grotte,,False,32,,Espace de Loisirs La Grotte (proprietaire),https://www.google.com/maps/contrib/118000048371891981079,https://lh5.googleusercontent.com/p/AF1QipNqK9NqG7tM7f-_3_WegAbu1-GC0B56XD5oYYg=w408-h408-k-no,Cafe,Cafe,4.4,07:00-00:00,,23 037 303,"Espace de Loisirs La Grotte, Zaghouan",,https://www.google.com/maps/place/Espace+de+Loisirs+La+Grotte/data=!4m7!3m6!1s0x12fd112d5adae3b5:0xa7602fb4e1db770d!8m2!3d36.3994608!4d10.1463217!16s%2Fg%2F11vppc19dx!19sChIJtePaWi0R_RIRDXfb4bQvYKc?authuser=0&hl=fr&rclk=1
ChIJIbX8OBgR_RIRqblx2tMvjoU,L'art'doiz,,False,28,,L'art'doiz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMIJtaQPBK5LMSG2IS5HgHRhw4YDcae1WsdVIp7=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,98 642 562,"L'art'doiz, 1100 Rue D'environnement, Zaghouan",,https://www.google.com/maps/place/L%27art%27doiz/data=!4m7!3m6!1s0x12fd111838fcb521:0x858e2fd3da71b9a9!8m2!3d36.4132607!4d10.1354744!16s%2Fg%2F11crzffk6g!19sChIJIbX8OBgR_RIRqblx2tMvjoU?authuser=0&hl=fr&rclk=1
ChIJqd3YoroR_RIRBhbcYIA19Rc,La Fabrica,,False,24,,La Fabrica (proprietaire),https://www.google.com/maps/contrib/101672304803770430716,https://lh5.googleusercontent.com/p/AF1QipP8-qQKOmznuPWffh-4JvTHhAmgnlSh-yQWrUlU=w408-h530-k-no,Cafe,Cafe,4.9,Ouvert 24h/24,,92 123 223,"La Fabrica, Zaghouan 1100",,https://www.google.com/maps/place/La+Fabrica/data=!4m7!3m6!1s0x12fd11baa2d8dda9:0x17f5358060dc1606!8m2!3d36.4007612!4d10.1431321!16s%2Fg%2F11ssx4794y!19sChIJqd3YoroR_RIRBhbcYIA19Rc?authuser=0&hl=fr&rclk=1
ChIJM7oM_fcR_RIRADWEUTD_4DA,THE BUNGALOW coffee shop,,False,22,,THE BUNGALOW coffee shop (proprietaire),https://www.google.com/maps/contrib/108865158487206932438,https://lh5.googleusercontent.com/p/AF1QipNfhOmD4BbudwVuVuXxXF1Tc7Axf9onuTbJGTAP=w426-h240-k-no,Cafe,"Cafe, Creperie",4.5,06:30-23:00,,92 744 012,"THE BUNGALOW coffee shop, Residence Hotel les Nymphes, 1100",,https://www.google.com/maps/place/THE+BUNGALOW+coffee+shop/data=!4m7!3m6!1s0x12fd11f7fd0cba33:0x30e0ff3051843500!8m2!3d36.3915367!4d10.1364411!16s%2Fg%2F11qg4pkfj4!19sChIJM7oM_fcR_RIRADWEUTD_4DA?authuser=0&hl=fr&rclk=1
ChIJo4Y-bggR_RIRHEm403edFZk,Salon de The Damas,,False,14,,Salon de The Damas (proprietaire),https://www.google.com/maps/contrib/101300703269432345136,https://lh5.googleusercontent.com/p/AF1QipOyZrEKnBuELJMK6yZcJnt7V4F_l4RyhubKcVGR=w431-h240-k-no,Salon de the,Salon de the,4.1,07:00-02:00,,54 186 964,"Salon de The Damas, C36, Zaghouan",,https://www.google.com/maps/place/Salon+de+Th%C3%A9+Damas/data=!4m7!3m6!1s0x12fd11086e3e86a3:0x99159d77d3b8491c!8m2!3d36.4146299!4d10.1358645!16s%2Fg%2F11f6hjs0gf!19sChIJo4Y-bggR_RIRHEm403edFZk?authuser=0&hl=fr&rclk=1
ChIJNQMcx9MR_RIR-aqrJnY4dwQ,Grech Coffee,,False,11,,Grech Coffee (proprietaire),https://www.google.com/maps/contrib/110217812783381460375,https://lh5.googleusercontent.com/p/AF1QipPosqZq5dr6mhrlY4rQh8hK4QxpkuU3SjdVGOe0=w408-h544-k-no,Cafe,Cafe,4.9,06:00-00:00,,50 554 971,"Grech Coffee, Gouvernorat de, Rue 20 Mars, Zaghouan 1100",,https://www.google.com/maps/place/Grech+Coffee/data=!4m7!3m6!1s0x12fd11d3c71c0335:0x477387626abaaf9!8m2!3d36.4050648!4d10.1396623!16s%2Fg%2F11tcr6hhk3!19sChIJNQMcx9MR_RIR-aqrJnY4dwQ?authuser=0&hl=fr&rclk=1
ChIJ8euCtA0R_RIRWxy4Nz-0Ov4,Cafe Malouf,,False,11,,Cafe Malouf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPCaeDtasbv_fOpCUsLzit_JBhFXNQ2Eqqio5kD=w408-h244-k-no,Cafe,Cafe,4.3,05:00-21:00,,23 806 738,"C42V+CJR Cafe Malouf, Zaghouan",,https://www.google.com/maps/place/Caf%C3%A9+Malouf/data=!4m7!3m6!1s0x12fd110db482ebf1:0xfe3ab43f37b81c5b!8m2!3d36.4011086!4d10.1440142!16s%2Fg%2F12ltfg0r3!19sChIJ8euCtA0R_RIRWxy4Nz-0Ov4?authuser=0&hl=fr&rclk=1
ChIJfbKcpnYR_RIRnIxid1qQ6Jw,Black Tap,,False,9,,Black Tap (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPICFFnEMUtb3rmNw0DK5Kum-DUT4b06phP_J3d=w408-h720-k-no,Cafe,Cafe,4.1,08:00-00:00,,25 459 750,"95W3+HGV Black Tap, Av. 14 janvier, Zaghouan",,https://www.google.com/maps/place/Black+Tap/data=!4m7!3m6!1s0x12fd1176a69cb27d:0x9ce8905a77628c9c!8m2!3d36.3964962!4d10.153801!16s%2Fg%2F11c2kk7_2m!19sChIJfbKcpnYR_RIRnIxid1qQ6Jw?authuser=0&hl=fr&rclk=1
ChIJUdT_m5QR_RIRGkR4JB9JTGc,Cafe gypsy,,False,8,,Cafe gypsy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOki4oco4i--deGjY9VSVxJpzetcSFz5j5hxGnD=w408-h544-k-no,Cafe,Cafe,4.3,,,,"C48G+C9R Cafe gypsy, Unnamed Road, Zaghouan",,https://www.google.com/maps/place/Caf%C3%A9+gypsy/data=!4m7!3m6!1s0x12fd11949bffd451:0x674c491f2478441a!8m2!3d36.4161103!4d10.1258814!16s%2Fg%2F11ght1l563!19sChIJUdT_m5QR_RIRGkR4JB9JTGc?authuser=0&hl=fr&rclk=1
ChIJK-wqsQwR_RIR75cUXdzg6gg,Cafe Errahba,,False,6,,Cafe Errahba (proprietaire),,,Cafe,Cafe,5,,,,"94XW+GWR Cafe Errahba, Zaghouan",,https://www.google.com/maps/place/Caf%C3%A9+Errahba/data=!4m7!3m6!1s0x12fd110cb12aec2b:0x8eae0dc5d1497ef!8m2!3d36.3988741!4d10.1472778!16s%2Fg%2F11dymnl78d!19sChIJK-wqsQwR_RIR75cUXdzg6gg?authuser=0&hl=fr&rclk=1
