place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJocGlekbvqhMRt5mQgXU7As8,Restaurant El Bibane,,False,153,,Restaurant El Bibane (proprietaire),https://www.google.com/maps/contrib/110942011780858454739,https://lh5.googleusercontent.com/p/AF1QipNPRc8gXGss4fU-sPM-Yi901O3lAaccvFhRF7MN=w408-h306-k-no,Restaurant,Restaurant,4.3,"12:00-16:00, 19:00-23:00",,99 242 403,"Restaurant El Bibane, Plage sonia zarzis, 4170, Zarzis","mer, poisson, prix, salade, service, proprete, vue, pates, serveurs, daurade",https://www.google.com/maps/place/Restaurant+El+Bibane/data=!4m7!3m6!1s0x13aaef467aa5c1a1:0xcf023b75819099b7!8m2!3d33.5198496!4d11.1151234!16s%2Fg%2F11lfl3_f7p!19sChIJocGlekbvqhMRt5mQgXU7As8?authuser=0&hl=fr&rclk=1
ChIJ8xipKwnvqhMRGLLeizHSA0g,Pizza Bab Elhara,,False,67,,Pizza Bab Elhara (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMFFNijY0DN9OFTAA4wkU9wwEokKUIT9LMl7XX8=w408-h306-k-no,Pizzeria,Pizzeria,4.3,12:00-22:00,lundi,98 204 003,"G436+R9Q Pizza Bab Elhara, Zarzis",doute,https://www.google.com/maps/place/Pizza+Bab+Elhara/data=!4m7!3m6!1s0x13aaef092ba918f3:0x4803d2318bdeb218!8m2!3d33.5045977!4d11.1109831!16s%2Fg%2F1q69x7dp7!19sChIJ8xipKwnvqhMRGLLeizHSA0g?authuser=0&hl=fr&rclk=1
ChIJAzXPMhjvqhMR8xqVXDtxtk4,CHICKEN STREET,,False,48,http://www.chickenstreet.fr/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website,CHICKEN STREET (proprietaire),https://www.google.com/maps/contrib/102837573482080526407,https://lh5.googleusercontent.com/p/AF1QipPlsjIupgd8p012iI_StmszAVplFyKhLYPrnxry=w408-h306-k-no,Restauration rapide,"Restauration rapide, Restaurant de volaille, Restaurant specialise dans les ailes de poulet, Restaurant familial, Poulet frit a emporter, Restaurant halal, Restaurant de hamburgers, Livraison de repas a domicile, Restaurant",4,11:30-00:00,,50 059 006,"CHICKEN STREET, Av. Mohamed V, Zarzis",,https://www.google.com/maps/place/CHICKEN+STREET/data=!4m7!3m6!1s0x13aaef1832cf3503:0x4eb6713b5c951af3!8m2!3d33.5055083!4d11.10947!16s%2Fg%2F11kqwj682g!19sChIJAzXPMhjvqhMR8xqVXDtxtk4?authuser=0&hl=fr&rclk=1
ChIJT8wozATvqhMR8l8iUz8tHLc,El Margoum,,False,40,,El Margoum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtuVQc6uUI28HvBHDbK830-_gPYFmcLmTzEkTb=w426-h240-k-no,Salon de the,Salon de the,4.2,Ouvert 24h/24,,98 233 519,"G464+M5W El Margoum, Av. Mohamed V, Zarzis",,https://www.google.com/maps/place/El+Margoum/data=!4m7!3m6!1s0x13aaef04cc28cc4f:0xb71c2d3f53225ff2!8m2!3d33.511739!4d11.1054584!16s%2Fg%2F11b6q41srg!19sChIJT8wozATvqhMR8l8iUz8tHLc?authuser=0&hl=fr&rclk=1
ChIJv09XEAXvqhMRo2gpevmpDZo,RBAT EL HALFAWIN,,False,37,,RBAT EL HALFAWIN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOPRF8gNgCvADULhot1joI9OQfiCwa-krN3TmQW=w408-h544-k-no,Cafe,Cafe,4.1,Ouvert 24h/24,,25 719 219,"G454+XR4 RBAT EL HALFAWIN, Route de Jerba, Av. Mohamed V, Zarzis 4170",,https://www.google.com/maps/place/RBAT+EL+HALFAWIN/data=!4m7!3m6!1s0x13aaef0510574fbf:0x9a0da9f97a2968a3!8m2!3d33.5098774!4d11.1070675!16s%2Fg%2F1tcz03b2!19sChIJv09XEAXvqhMRo2gpevmpDZo?authuser=0&hl=fr&rclk=1
ChIJ48FJ2w7vqhMRJ3uiNcDjvic,Cafe Gourmand,,False,36,,Cafe Gourmand (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNqjyoSwSjCyK488aIZoWeCQ12uoDtve8OkVD2F=w408-h306-k-no,Cafe,Cafe,4.4,08:00-21:45,,,"Cafe Gourmand, 1e Arrondissement, Zarzis",cheese cake,https://www.google.com/maps/place/Cafe+Gourmand/data=!4m7!3m6!1s0x13aaef0edb49c1e3:0x27bee3c035a27b27!8m2!3d33.5042494!4d11.1098083!16s%2Fg%2F11c2qkll_v!19sChIJ48FJ2w7vqhMRJ3uiNcDjvic?authuser=0&hl=fr&rclk=1
ChIJod7GQqfvqhMRm8XkhHaUHdk,Restaurant le sfaxien,,False,31,,Restaurant le sfaxien (proprietaire),https://www.google.com/maps/contrib/100127958999356194256,https://lh5.googleusercontent.com/p/AF1QipMehSauyTki0t08cX14mgd515wJOxgFGddGJ6zV=w408-h305-k-no,Restauration rapide,"Restauration rapide, Restaurant",4,Ouvert 24h/24,lundi,50 846 356,"Restaurant le sfaxien, Plage le casino, Zarzis 4170","poissons, prix",https://www.google.com/maps/place/Restaurant+le+sfaxien/data=!4m7!3m6!1s0x13aaefa742c6dea1:0xd91d947684e4c59b!8m2!3d33.5028684!4d11.1172504!16s%2Fg%2F11c6nmq2qy!19sChIJod7GQqfvqhMRm8XkhHaUHdk?authuser=0&hl=fr&rclk=1
ChIJM1XpDRLvqhMRqgCjsbtYPbU,Hannibal,,False,22,,Hannibal (proprietaire),,,Cafe,Cafe,4.1,05:00-22:00,,29 306 203,"G423+JQG Hannibal, C118, Zarzis",,https://www.google.com/maps/place/Hannibal/data=!4m7!3m6!1s0x13aaef120de95533:0xb53d58bbb1a300aa!8m2!3d33.501574!4d11.1044406!16s%2Fg%2F12nvb2y3g!19sChIJM1XpDRLvqhMRqgCjsbtYPbU?authuser=0&hl=fr&rclk=1
ChIJD_E2YcPvqhMRciykP9WuamY,Cafe eleanor,,False,16,,Cafe eleanor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNPi67LFuCwE4Pj9HNF1k8uvRnZwb_kAOK_wIHK=w408-h306-k-no,Cafe,Cafe,4.2,07:00-23:00,,75 738 810,"G3CW+RF8 Cafe eleanor, Zarzis",,https://www.google.com/maps/place/Caf%C3%A9+eleanor/data=!4m7!3m6!1s0x13aaefc36136f10f:0x666aaed53fa42c72!8m2!3d33.5220497!4d11.0962035!16s%2Fg%2F11ffhv3d7f!19sChIJD_E2YcPvqhMRciykP9WuamY?authuser=0&hl=fr&rclk=1
ChIJw9QseAXvqhMRHLeUoxu205c,Fast Food La Palma,,False,10,,Fast Food La Palma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPL0EDS_B_QOMbqRLljJ7P3xebo_03t7FZj1aeD=w408-h306-k-no,Restaurant,Restaurant,4.1,10:00-01:00,,27 994 990,"G445+FHV Fast Food La Palma, Av. Mohamed V, Zarzis",,https://www.google.com/maps/place/Fast+Food+La+Palma/data=!4m7!3m6!1s0x13aaef05782cd4c3:0x97d3b61ba394b71c!8m2!3d33.5062256!4d11.1089255!16s%2Fg%2F11dfx6j0jc!19sChIJw9QseAXvqhMRHLeUoxu205c?authuser=0&hl=fr&rclk=1
ChIJ7bE1zw7vqhMR4_91hjT7GxY,lablabi sadok,,False,10,,lablabi sadok (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMhyMoj-wOiAgJTmCuhj7ol5DkIMavPDA9BTOg6=w408-h725-k-no,Restaurant,Restaurant,4.9,09:00-23:30,,,"G436+G43 lablabi sadok, Av. Mohamed Ali Hammi, Zarzis",,https://www.google.com/maps/place/lablabi+sadok/data=!4m7!3m6!1s0x13aaef0ecf35b1ed:0x161bfb348675ffe3!8m2!3d33.5037742!4d11.1103069!16s%2Fg%2F11f4_2w5xy!19sChIJ7bE1zw7vqhMR4_91hjT7GxY?authuser=0&hl=fr&rclk=1
