place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJw2uQJsAjAhMRdPkRGWip8ZM,El Margoum,,False,114,,El Margoum (proprietaire),https://www.google.com/maps/contrib/113177391305063257670,https://lh5.googleusercontent.com/p/AF1QipPPvYR7cLDHuqhBwIuuy1em5QmSYVaOtENndFpn=w408-h306-k-no,Salon de the,"Salon de the, Cafe",4.3,07:00-02:00,,97 452 246,"El Margoum, Mahdia","mer, prix",https://www.google.com/maps/place/El+Margoum/data=!4m7!3m6!1s0x130223c026906bc3:0x93f1a9681911f974!8m2!3d35.5139152!4d11.0476924!16s%2Fg%2F11b609wlfp!19sChIJw2uQJsAjAhMRdPkRGWip8ZM?authuser=0&hl=fr&rclk=1
ChIJEW7ITT0lAhMRpJv_q9aicME,Malibu,,False,74,,Malibu (proprietaire),https://www.google.com/maps/contrib/109068692846471792996,https://lh5.googleusercontent.com/p/AF1QipOz111CKdl84ZbM1XGSIn8BNFThMI_y3Wbd8xMy=w408-h307-k-no,Cafe,Cafe,4.2,06:00-00:00,,99 651 499,"Malibu, A proximite de","prix, pizza, cocktails, creme, petit-dejeuner",https://www.google.com/maps/place/Malibu/data=!4m7!3m6!1s0x1302253d4dc86e11:0xc170a2d6abff9ba4!8m2!3d35.5030348!4d11.0684896!16s%2Fg%2F11sh5qdsrm!19sChIJEW7ITT0lAhMRpJv_q9aicME?authuser=0&hl=fr&rclk=1
ChIJKyCOELEjAhMRMQYA1GDNWcs,el Habib,,False,33,,el Habib (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPP7PG2azf0s0cu9f-Me-nMug3y8MP-2Fht15Q8=w408-h306-k-no,Cafe,Cafe,4.4,07:00-00:00,,99 951 997,"E19, el Habib, Avenue de l'Environnement, Mahdia 5199",,https://www.google.com/maps/place/el+Habib/data=!4m7!3m6!1s0x130223b1108e202b:0xcb59cd60d4000631!8m2!3d35.5242596!4d11.0336693!16s%2Fg%2F1tvdxn_y!19sChIJKyCOELEjAhMRMQYA1GDNWcs?authuser=0&hl=fr&rclk=1
ChIJEYh00oMjAhMRFDLDRWp7JiA,cafe Fratello Aminos,,False,28,https://cafe-fratello-aminos.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,cafe Fratello Aminos (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP4Om8M6DRLyv6GFLcvjz984XtGrgaOSVcqz1I=w444-h240-k-no,Cafeteria,Cafeteria,4.3,Ouvert 24h/24,,,"G363+3GH cafe Fratello Aminos, plage de corniche, Av. 14 Janvier, Mahdia 5100",,https://www.google.com/maps/place/caf%C3%A9+Fratello+Aminos/data=!4m7!3m6!1s0x13022383d2748811:0x20267b6a45c33214!8m2!3d35.5101832!4d11.053851!16s%2Fg%2F11t7t580z0!19sChIJEYh00oMjAhMRFDLDRWp7JiA?authuser=0&hl=fr&rclk=1
ChIJV1TJYgAjAhMRBHMoLpFybTM,Feels coffee shop,,False,21,https://www.facebook.com/profile.php%3Fid%3D61553860994917%26mibextid%3DLQQJ4d,Feels coffee shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnyyIfOoYSu4FMC_2zWCBwKk3-rY0sWDr_loJf=w426-h240-k-no,Cafe,Cafe,4.3,07:00-00:00,lundi,,"G26P+X5V Feels coffee shop, Mahdia",,https://www.google.com/maps/place/Feels+coffee+shop/data=!4m7!3m6!1s0x1302230062c95457:0x336d72912e287304!8m2!3d35.5125735!4d11.0354167!16s%2Fg%2F11y29wdjjz!19sChIJV1TJYgAjAhMRBHMoLpFybTM?authuser=0&hl=fr&rclk=1
ChIJb2XAw7EjAhMRJmoK3Iyohqc,Cafe la zone,,False,17,,Cafe la zone (proprietaire),https://www.google.com/maps/contrib/103097607298241054880,https://lh5.googleusercontent.com/p/AF1QipNSl46RYGIEgPHjajHFYrPXSH8uFoWti_j0zY-H=w408-h306-k-no,Cafe,Cafe,4.4,Ouvert 24h/24,,94 901 600,"Cafe la zone, zone tourestique, Hiboun",,https://www.google.com/maps/place/Caf%C3%A9+la+zone/data=!4m7!3m6!1s0x130223b1c3c0656f:0xa786a88cdc0a6a26!8m2!3d35.5270169!4d11.0333189!16s%2Fg%2F11f3nl3pq8!19sChIJb2XAw7EjAhMRJmoK3Iyohqc?authuser=0&hl=fr&rclk=1
ChIJDeNQzNojAhMRNscr1mIkgbs,Cafe El Mahdi,,False,17,,Cafe El Mahdi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMpzI6ME_vVIuIb7CylbjypZzGzSMM3em5s7X2J=w408-h544-k-no,Cafe,Cafe,4.2,06:00-00:00,,,"G24Q+5H3 Cafe El Mahdi, shr` twns, Mahdia",,https://www.google.com/maps/place/Cafe+El+Mahdi/data=!4m7!3m6!1s0x130223dacc50e30d:0xbb812462d62bc736!8m2!3d35.5053952!4d11.0389369!16s%2Fg%2F11c2pz_j4x!19sChIJDeNQzNojAhMRNscr1mIkgbs?authuser=0&hl=fr&rclk=1
ChIJLTCcmmUjAhMR7UYZ9KNgq_g,Cafe Ahmed Alaya mqh~ 'Hmd `ly@,,False,11,,Cafe Ahmed Alaya mqh~ 'Hmd `ly@ (proprietaire),https://www.google.com/maps/contrib/112473106698137310737,https://lh5.googleusercontent.com/p/AF1QipNf_jH8-iHsUuFZgPUvc7wklilr1mohv8sdvo6I=w408-h306-k-no,Cafe,Cafe,4.8,05:00-00:00,,98 408 936,"Cafe Ahmed Alaya mqh~ 'Hmd `ly@, Mahdia",,https://www.google.com/maps/place/Caf%C3%A9+Ahmed+Alaya+%D9%85%D9%82%D9%87%D9%89+%D8%A3%D8%AD%D9%85%D8%AF+%D8%B9%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x130223659a9c302d:0xf8ab60a3f41946ed!8m2!3d35.509826!4d11.051911!16s%2Fg%2F11v0b21gmt!19sChIJLTCcmmUjAhMR7UYZ9KNgq_g?authuser=0&hl=fr&rclk=1
ChIJRQErwCkjAhMRHKZt1GhAWtc,Bouji Coffee Shop,,False,10,https://instagram.com/bouji_coffee_shop%3Figshid%3DYmMyMTA2M2Y%3D,Bouji Coffee Shop (proprietaire),https://www.google.com/maps/contrib/113350738624808224596,https://lh5.googleusercontent.com/p/AF1QipNxJCJ3Tg40Wa8sNC5y3tAW-NeHNZrePX_tZUVS=w408-h544-k-no,Cafe,Cafe,4.4,07:00-00:00,,,"Bouji Coffee Shop, Av. 14 Janvier, Mahdia 5100",,https://www.google.com/maps/place/Bouji+Coffee+Shop/data=!4m7!3m6!1s0x13022329c02b0145:0xd75a4068d46da61c!8m2!3d35.5047819!4d11.0678669!16s%2Fg%2F11s4x35zzq!19sChIJRQErwCkjAhMRHKZt1GhAWtc?authuser=0&hl=fr&rclk=1
ChIJq-bVImojAhMRL16n1JpI0Qc,L'imperial,,False,9,https://m.facebook.com/Limperial-caferesto-112714245066833/%3Fmibextid%3DLQQJ4d,L'imperial (proprietaire),https://www.google.com/maps/contrib/118413875558008903224,https://lh5.googleusercontent.com/p/AF1QipNb7J4TAItK11V8XYP0qGoKDB_e2kmBtOUxfYNn=w408-h306-k-no,Cafe,Cafe,4,07:00-00:00,,54 617 997,"G2FJ+PQ7 L'imperial, Hiboun",,https://www.google.com/maps/place/L%27imp%C3%A9rial/data=!4m7!3m6!1s0x1302236a22d5e6ab:0x7d1489ad4a75e2f!8m2!3d35.5242875!4d11.0319219!16s%2Fg%2F11tsfx_q14!19sChIJq-bVImojAhMRL16n1JpI0Qc?authuser=0&hl=fr&rclk=1
