place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzV0eQs-14hIRr_w6avHo0wE,Four Seasons Hotels and Resorts,"Logements elegants dans hotel haut de gamme en bord de golfe avec spa, piscine semi-couverte et 3 restaurants.",False,1249,https://www.fourseasons.com/tunis/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-tsh-hre-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna,Four Seasons Hotels and Resorts (proprietaire),https://www.google.com/maps/contrib/109209668988140684852,https://lh5.googleusercontent.com/p/AF1QipP1C-qrXgAlGVq0NbzureelQDK0i5D7HQBskKHO=w408-h248-k-no,Hotel,"Hotel, Residence hoteliere, Complexe hotelier, Spa, Lieu de mariage",4.5,,,31 260 000,"Four Seasons Hotels and Resorts, 1057 La Marsa, Gammarth 1057","spa, plage, diner, 5 etoiles, architecture, cadre, professionnalisme, salle de sport, sublime, haut de gamme",https://www.google.com/maps/place/Four+Seasons+Hotels+and+Resorts/data=!4m10!3m9!1s0x12e2b5cf421e5dcd:0x1d3e8f16a3afcaf!5m2!4m1!1i2!8m2!3d36.9203157!4d10.2941119!16s%2Fg%2F11c5h2cmrd!19sChIJzV0eQs-14hIRr_w6avHo0wE?authuser=0&hl=fr&rclk=1
ChIJcxFbJFm04hIRKIVoVXZMi5Y,Movenpick Gammarth,Chambres et suites haut de gamme dans hotel cotier offrant 2 piscines et des restaurants avec vue sur la mer.,False,1210,https://movenpick.accor.com/en/africa/tunisia/tunis/hotel-tunis-gammarth.html%3Fmerchantid%3Dseo-maps-TN-B4I5%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DGammarth-Tunis%26y_source%3D1_MTUzNjI2OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Gammarth (proprietaire),https://www.google.com/maps/contrib/115098570417696325478,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHizk01eG3NtCzvK4ieAjsQmviCZdvTFgzvDCz-noP-xQwcCqZkFvyY-I7sX24J0KRAdwdQj-HRPe49o88widPADuLbThQ60Cd-7ZadsZKsWNNRPi8JuxMTJpUMTzG3fjCaH4cXAwjRxx3VB99jHTzOAGIWpZcshxxwNxFPR-mBd_TdJQG1bcw=w408-h271-k-no,Hotel,Hotel,4.1,,,71 741 444,"B P 36, Movenpick Gammarth, Av. Taieb Mhiri, La Marsa 2078","spa, piscine, vue, 5 etoiles, sourire, serveur, pays, brunch, hammam, catastrophique",https://www.google.com/maps/place/M%C3%B6venpick+Gammarth/data=!4m10!3m9!1s0x12e2b459245b1173:0x968b4c7655688528!5m2!4m1!1i2!8m2!3d36.8948848!4d10.3209641!16s%2Fg%2F11bw470w57!19sChIJcxFbJFm04hIRKIVoVXZMi5Y?authuser=0&hl=fr&rclk=1
ChIJzbhseui14hIRMQBp4aKffzY,Gammarth,"Chambres raffinees, certaines avec balcon, dans hotel en bord de plage avec 4 restaurants et bain turc.",False,1209,https://www.wyndhamhotels.com/ramada/gammarth-tunisia/ramada-plaza-tunis/overview%3FCID%3DLC:wmcic5n98gs1g0r:19180%26iata%3D00093796,Gammarth (proprietaire),https://www.google.com/maps/contrib/106022516806978260710,https://lh5.googleusercontent.com/p/AF1QipN8AxKPE6C6-8MuBHK48bNtxM2PdxMJK5EOUFiM=w408-h306-k-no,Hotel,"Hotel, Hostellerie, Motel",4,,,71 911 100,"W7GJ+FQR Gammarth, Les Cotes De Cathage, Gammarth","piscine, plage, etoiles, hygiene, buffet, accueillant, iqama, qualite, seminaires, terrain de tennis",https://www.google.com/maps/place/Gammarth/data=!4m10!3m9!1s0x12e2b5e87a6cb8cd:0x367f9fa2e1690031!5m2!4m1!1i2!8m2!3d36.9247741!4d10.2798728!16s%2Fg%2F1tgfsvds!19sChIJzbhseui14hIRMQBp4aKffzY?authuser=0&hl=fr&rclk=1
ChIJ6SND70604hIRzsi7WSOXWIY,GOLDEN CARTHAGE TUNIS,"Hotel haut de gamme avec 3 restaurants, 3 piscines exterieures et spa. Petit-dejeuner/parking/Wi-Fi gratuits.",False,1184,http://www.goldencarthage.com/,GOLDEN CARTHAGE TUNIS (proprietaire),https://www.google.com/maps/contrib/101405992254211187110,https://lh5.googleusercontent.com/p/AF1QipPWY2ESUtNoNDpI9o899iaf1LK4OEyuFNdWKcwg=w470-h240-k-no,Hotel,Hotel,4,,,71 913 000,"GOLDEN CARTHAGE TUNIS, Avenue de la Promenade les cotes de CARTHAGE, Marsa 2078","spa, appartement, mer, renovation, hamam, luxe, buffet, region, italien, aeroport",https://www.google.com/maps/place/GOLDEN+CARTHAGE+TUNIS/data=!4m10!3m9!1s0x12e2b44eef4323e9:0x8658972359bbc8ce!5m2!4m1!1i2!8m2!3d36.9053783!4d10.3124536!16s%2Fg%2F1tdssp4h!19sChIJ6SND70604hIRzsi7WSOXWIY?authuser=0&hl=fr&rclk=1
ChIJg8sWCrRK_RIRi8ciewWRvyM,Le Corail Suites Hotel,"Hotel de style decontracte avec hebergements sobres, 2 restaurants lumineux et cafe au mobilier chaleureux.",False,829,https://www.corail-suites.com/,Le Corail Suites Hotel (proprietaire),https://www.google.com/maps/contrib/106527367624462608804,https://lh5.googleusercontent.com/p/AF1QipMerv4s7-PSxZm4AGJZ_vFtbOcJ4tqlubvdMjd1=w408-h272-k-no,Hotel,Hotel,4.4,,,71 268 000,"Le Corail Suites Hotel, Rue de la Feuille D'Erable, Cite Les Pins, Les Berges du Lac 2, Tunis 1053","immortalite, travailleurs, reception, ahlam, interaction, iqama, exorciste, contact humain, belamcanda, verbe",https://www.google.com/maps/place/Le+Corail+Suites+Hotel/data=!4m10!3m9!1s0x12fd4ab40a16cb83:0x23bf91057b22c78b!5m2!4m1!1i2!8m2!3d36.847774!4d10.276207!16s%2Fg%2F12hkyn7c8!19sChIJg8sWCrRK_RIRi8ciewWRvyM?authuser=0&hl=fr&rclk=1
ChIJJX0j8Mm04hIRsi-Anu4v1is,Villa Didon Hotel & Spa,"Chambres et suites elegantes (certaines avec vue sur le golfe), restaurant de luxe, 2 bars branches et spa.",False,686,http://www.villadidoncarthage.com/,Villa Didon Hotel & Spa (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHAPPtRT6QSwccZI0z431vHf-T0On0EaMKff3eRJS24hJOTdKNSX__wu2WGij4RzVG6ibD0GdgRM2VyxsuNaAnVcmKhHDntf7gyhRUaly-GzIWm1TP2P2fF_VpT3EGTFJr8llnyJ6ts-5G6Hj6pITLhueLW3nfiXo1b9gqjKv9vRXSE_CW4x9nSAA=w408-h305-k-no,Hotel,Hotel,4.1,,,31 323 000,"V82G+X35 Villa Didon Hotel & Spa, Byrsa, Rue Mendes France, 2016","vue, diner, mer, cocktails, terrasse, cuisine, service, serveur, entree, pates",https://www.google.com/maps/place/Villa+Didon+H%C3%B4tel+%26+Spa/data=!4m10!3m9!1s0x12e2b4c9f0237d25:0x2bd62fee9e802fb2!5m2!4m1!1i2!8m2!3d36.8523875!4d10.3252337!16s%2Fg%2F1tf895st!19sChIJJX0j8Mm04hIRsi-Anu4v1is?authuser=0&hl=fr&rclk=1
ChIJWSvpPZ604hIRMokhBwNlc5Y,La Villa Bleue,"Hebergements chics dans hotel haut de gamme avec vue sur le golfe, piscine exterieure et restaurant raffine.",False,619,http://www.lavillableuesidibousaid.com/,La Villa Bleue (proprietaire),https://www.google.com/maps/contrib/117043383151301524028,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHnth-R51bEjotK1doyee0XiUMhLx-nLfiabzXtSGp2NquMXklemFhc3z34jQ28yhyFqe1eoUuYl_T9_Yk_OjVCPgYKvCKvxytzchJT41fAak2MZ2KrCLfe6Q22CmFgRS2s_E0Fq_jtYA2FBikP-61aRP3tC9305gjXxeg_MnPth6a8yior9xo=w408-h306-k-no,Hotel,Hotel,4.4,,,71 742 000,"La Villa Bleue, 68 rue Kennedy, Sidi Bou Said 2026","vue, cadre, experience, touristique, est, repas, spa, serveurs, arnaque, magique",https://www.google.com/maps/place/La+Villa+Bleue/data=!4m10!3m9!1s0x12e2b49e3de92b59:0x9673650307218932!5m2!4m1!1i2!8m2!3d36.8700276!4d10.3523524!16s%2Fg%2F11b63crxs1!19sChIJWSvpPZ604hIRMokhBwNlc5Y?authuser=0&hl=fr&rclk=1
ChIJPWQ694u04hIREeu0btlhr5U,Dar El Marsa Hotel & Spa - Hotel 5 Etoiles,"Logements clairs dans hotel moderne avec tables en terrasse, piscine sur toit, spa et vue sur mer.",False,428,https://www.darelmarsa.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3DGMB,Dar El Marsa Hotel & Spa - Hotel 5 Etoiles (proprietaire),https://www.google.com/maps/contrib/102202250391152913376,https://lh5.googleusercontent.com/p/AF1QipPJurAbCkE8jFlh5Ofrma87YmxH2d6W-LBbk2DL=w408-h271-k-no,Hotel,"Hotel, Restaurant, Seminaire, Hotel bien-etre",4,,,71 728 000,"Dar El Marsa Hotel & Spa - Hotel 5 Etoiles, 75 Av. Habib Bourguiba, Marsa 2078","toit, terrasse, qualite, etoiles, vue sur la mer, massages, alcool, plats, moderne, hammam",https://www.google.com/maps/place/Dar+El+Marsa+Hotel+%26+Spa+-+H%C3%B4tel+5+Etoiles/data=!4m10!3m9!1s0x12e2b48bf73a643d:0x95af61d96eb4eb11!5m2!4m1!1i2!8m2!3d36.8841858!4d10.3320732!16s%2Fg%2F1q5bm8mt3!19sChIJPWQ694u04hIREeu0btlhr5U?authuser=0&hl=fr&rclk=1
ChIJq6qq6sg0_RIRc3FI_rDFJ_o,Tunis Marriott Hotel,"Hotel haut de gamme avec 2 restaurants raffines, un salon d'accueil et une piscine sur le toit bordee d'un bar.",False,326,https://www.marriott.com/en-us/hotels/tunmc-tunis-marriott-hotel/overview/%3Fscid%3Df2ae0541-1279-4f24-b197-a979c79310b0,Tunis Marriott Hotel (proprietaire),https://www.google.com/maps/contrib/101484772929140016302,https://lh5.googleusercontent.com/p/AF1QipMNodE8XP6EecKYVCfxvOK2lHPfHluFN6H14UCS=w426-h240-k-no,Hotel,"Hotel, Service d'organisation d'evenements professionnels, Lieu de mariage",4.2,,,31 220 022,"Tunis Marriott Hotel, Rue Zohra Faiza, Yasmine Tower, Immeuble, Tunis 1082","aeroport, bar, experience, diner, business, toit, buffet, SPA, vue, je",https://www.google.com/maps/place/Tunis+Marriott+Hotel/data=!4m10!3m9!1s0x12fd34c8eaaaaaab:0xfa27c5b0fe487173!5m2!4m1!1i2!8m2!3d36.8473571!4d10.2011188!16s%2Fg%2F11c2pm28w3!19sChIJq6qq6sg0_RIRc3FI_rDFJ_o?authuser=0&hl=fr&rclk=1
ChIJk48DAp604hIRSExAT5OOzYs,Hotel Dar Said,"Chambres et suites claires dans hotel raffine avec vue sur golfe, restaurant haut de gamme et piscine.",False,168,,Hotel Dar Said (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEzVmIt8qhvHN3j2f6rlqKoBboRNjIqBpl6udnlKnRvx52CCHa4wyhQZF421fo7KRHTDbq5t9lfXYF3jzmSlp8EjDJ8-s9nWia87UZo446FApDyrWvu1VB3E7hYBkUPuaq2ieSR7QdiasC19OIHB4NUfolhjXp2v9GLhMGwbzpIGfSCAr4eI6g2iQ=w408-h408-k-no,Hotel,Hotel,4.4,,,71 729 666,"Hotel Dar Said, Rue Toumi 2026, Carthage","piscine, jardin, chambre, vue, mer, service, coeur, terrasse, village, hammam",https://www.google.com/maps/place/H%C3%B4tel+Dar+Said/data=!4m10!3m9!1s0x12e2b49e02038f93:0x8bcd8e934f404c48!5m2!4m1!1i2!8m2!3d36.8711347!4d10.3492197!16s%2Fg%2F1tgwjxh6!19sChIJk48DAp604hIRSExAT5OOzYs?authuser=0&hl=fr&rclk=1
