place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJh4NJFmUz_RIRdADTVf9v14Q,Sheraton Tunis Hotel,"Hotel haut de gamme avec 3 restaurants, spa, bars, bassin interieur et piscine exterieure.",False,1185,https://www.marriott.com/en-us/hotels/tunsi-sheraton-tunis-hotel/overview/%3Fscid%3Df2ae0541-1279-4f24-b197-a979c79310b0,Sheraton Tunis Hotel (proprietaire),https://www.google.com/maps/contrib/105425435202763160348,https://lh5.googleusercontent.com/p/AF1QipNwO0in3-LSITsF4tyb900xnoCHhyqsHjmoblZH=w408-h272-k-no,Hotel,"Hotel, Service d'organisation d'evenements professionnels, Lieu de mariage",4.2,,,71 100 300,"B.P. 345, Sheraton Tunis Hotel, Av. de la Ligue des Etats Arabes, Tunis 1080","service, piscine, etoiles, aeroport, business, spa, bar, luxe, salle de sport, hammam",https://www.google.com/maps/place/Sheraton+Tunis+Hotel/data=!4m10!3m9!1s0x12fd336516498387:0x84d76fff55d30074!5m2!4m1!1i2!8m2!3d36.8311401!4d10.1606623!16s%2Fg%2F1tfws1hy!19sChIJh4NJFmUz_RIRdADTVf9v14Q?authuser=0&hl=fr&rclk=1
ChIJ3TdVZq3M4hIR3h6zfpfEXVM,The Penthouse,"Appart'hotel convivial offrant logements avec cuisine. Patinoire, bowling et piscine saisonniere.",False,424,https://www.thepenthouse.tn/,The Penthouse (proprietaire),https://www.google.com/maps/contrib/115079674210043909563,https://lh5.googleusercontent.com/p/AF1QipOg2YCF7gKUL-CDKJhOn1MRp9S3GAaLaIE8ysf5=w408-h272-k-no,Hotel,Hotel,4.2,,,71 811 535,"The Penthouse, Rue Medinat Radhoua, Ariana 2203","service, piscine, chambres, suites, prix, patinoire, bowling, cuisine, experimenter, luxe",https://www.google.com/maps/place/The+Penthouse/data=!4m10!3m9!1s0x12e2ccad665537dd:0x535dc4977eb31ede!5m2!4m1!1i2!8m2!3d36.8627206!4d10.1601918!16s%2Fg%2F11b73mkmlb!19sChIJ3TdVZq3M4hIR3h6zfpfEXVM?authuser=0&hl=fr&rclk=1
ChIJq6qq6sg0_RIRc3FI_rDFJ_o,Tunis Marriott Hotel,"Hotel haut de gamme avec 2 restaurants raffines, un salon d'accueil et une piscine sur le toit bordee d'un bar.",False,326,https://www.marriott.com/en-us/hotels/tunmc-tunis-marriott-hotel/overview/%3Fscid%3Df2ae0541-1279-4f24-b197-a979c79310b0,Tunis Marriott Hotel (proprietaire),https://www.google.com/maps/contrib/101484772929140016302,https://lh5.googleusercontent.com/p/AF1QipMNodE8XP6EecKYVCfxvOK2lHPfHluFN6H14UCS=w426-h240-k-no,Hotel,"Hotel, Service d'organisation d'evenements professionnels, Lieu de mariage",4.2,,,31 220 022,"Tunis Marriott Hotel, Rue Zohra Faiza, Yasmine Tower, Immeuble, Tunis 1082","aeroport, bar, experience, diner, business, toit, buffet, SPA, vue, je",https://www.google.com/maps/place/Tunis+Marriott+Hotel/data=!4m10!3m9!1s0x12fd34c8eaaaaaab:0xfa27c5b0fe487173!5m2!4m1!1i2!8m2!3d36.8473571!4d10.2011188!16s%2Fg%2F11c2pm28w3!19sChIJq6qq6sg0_RIRc3FI_rDFJ_o?authuser=0&hl=fr&rclk=1
ChIJWXZ-czlNABMRTw2RxgZXYlM,Hotel Cercina,Hotel sobre proposant bar simple ainsi que restaurant avec terrasse et vue sur mer.,False,169,,Hotel Cercina (proprietaire),https://www.google.com/maps/contrib/102986128172343638349,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFWaU-Gb38LWdNDZpkNO4xSCF6T_EHmvKUaRwJNoyzqb86rpr5kCdlUxOtKOhgUH699Je0DBeJVkQst4ExdGyuJGMPAAqWgNYzauIEg0H8gPgq55IRfaDUmYN6zisYzaIcO39p2yIT5vxOTJ7GF4ocgtqb1Q--_jhvYeBrdiQZgUhb80ZH7MvVi=w427-h240-k-no,Hotel,"Hotel, Restaurant",4.2,,,74 489 600,"Hotel Cercina, 3025","mer, chambres, prix, service, cuisine, ile",https://www.google.com/maps/place/H%C3%B4tel+Cercina/data=!4m10!3m9!1s0x13004d39737e7659:0x53625706c6910d4f!5m2!4m1!1i2!8m2!3d34.6897745!4d11.1344753!16s%2Fg%2F1tdqwyvt!19sChIJWXZ-czlNABMRTw2RxgZXYlM?authuser=0&hl=fr&rclk=1
ChIJFTT_TDk1_RIRNMhCi0k5GPo,ROYAL ASBU HOTEL TUNIS,"Chambres et suites elegantes dans un hotel haut de gamme avec 2 restaurants, un bar lounge et un spa.",False,153,,ROYAL ASBU HOTEL TUNIS (proprietaire),https://www.google.com/maps/contrib/117654376851932352843,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEC0aUaUHwo0Hi3Lm8BzAdigd1QIlFw8XNKMK1qhS-kjln_ZBWJEu7n8uz_TkeW3k0GfY9U5iL0NIpwiXpo5v2mLTt9Jx3JTXS_K2n9_4rc1PJcGA69WZ34EotqGsQ0oftVw6CU-M7oUc02OIArIWx2dymxRvfKWT4bpBv3e0V1tLNXV2ftxsvDew=w408-h272-k-no,Hotel,Hotel,4,,,70 224 600,"R5RX+MP ROYAL ASBU HOTEL TUNIS, Tunis","chambres, aeroport, douche, piscine, experience, prix, buffet, room service, professionnelle, argent",https://www.google.com/maps/place/ROYAL+ASBU+HOTEL+TUNIS/data=!4m10!3m9!1s0x12fd35394cff3415:0xfa1839498b42c834!5m2!4m1!1i2!8m2!3d36.8416635!4d10.1993261!16s%2Fg%2F11j4jx0svt!19sChIJFTT_TDk1_RIRNMhCi0k5GPo?authuser=0&hl=fr&rclk=1
ChIJOVGLS7C14hIRguF_dMNFQ8U,LA MENARA,,False,41,http://www.lamenara.tn/,LA MENARA (proprietaire),https://www.google.com/maps/contrib/113361500000227367193,https://lh5.googleusercontent.com/p/AF1QipO1kfiG91wZVnrIMm6tP9fwmcayh10XoBeuX5YT=w408-h725-k-no,Hotel,Hotel,4.9,,,54 847 878,"LA MENARA, 2026 Rue Ali Ben Ayed, Tunis","chambre, piscine",https://www.google.com/maps/place/LA+MENARA/data=!4m10!3m9!1s0x12e2b5b04b8b5139:0xc54345c3747fe182!5m2!4m1!1i2!8m2!3d36.8722516!4d10.3452926!16s%2Fg%2F11k4nyktz6!19sChIJOVGLS7C14hIRguF_dMNFQ8U?authuser=0&hl=fr&rclk=1
ChIJRw0Tu9Q1_RIRts2NmcY7rqc,MAIA HOTEL SUITE,,False,22,,MAIA HOTEL SUITE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPzTawyONQ2w9zljJ6Ol7IaZCHJkDt0oGzvYncR=w408-h306-k-no,Hotel,Hotel,4.6,,,,"MAIA HOTEL SUITE, 1053 Lac Leman, Tunis",chambre,https://www.google.com/maps/place/MAIA+H%C3%94TEL+SUITE/data=!4m10!3m9!1s0x12fd35d4bb130d47:0xa7ae3bc6998dcdb6!5m2!4m1!1i2!8m2!3d36.8390986!4d10.2399116!16s%2Fg%2F11tf7dz3xp!19sChIJRw0Tu9Q1_RIRts2NmcY7rqc?authuser=0&hl=fr&rclk=1
ChIJ725XNJbL4hIRqdbO4FPmmGs,Le Turquoise,,False,2,,Le Turquoise (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNJCh_W_Hujyw2MR1ZD6LEN-V7YE0EN4VhTgIpy=w438-h240-k-no,Hotel,Hotel,5,,,,"Le Turquoise, Residence safsaf Apt h214 route de gammarth (hotel le palace, Gammarth",,https://www.google.com/maps/place/Le+Turquoise/data=!4m10!3m9!1s0x12e2cb9634576eef:0x6b98e653e0ced6a9!5m2!4m1!1i2!8m2!3d36.8814291!4d10.2250597!16s%2Fg%2F11hh1ky2zd!19sChIJ725XNJbL4hIRqdbO4FPmmGs?authuser=0&hl=fr&rclk=1
ChIJQ1I1_DUz_RIREWan-G6YIsc,Hotel Ennasr,,False,1,,Hotel Ennasr (proprietaire),,,Hotel,Hotel,5,,,55 270 719,"Hotel Ennasr, 16 Avenue Behi El Adgham Ariana, Governorate 2001",,https://www.google.com/maps/place/Hotel+Ennasr/data=!4m10!3m9!1s0x12fd3335fc355243:0xc722986ef8a76611!5m2!4m1!1i2!8m2!3d36.857536!4d10.147483!16s%2Fg%2F11jn55_myy!19sChIJQ1I1_DUz_RIREWan-G6YIsc?authuser=0&hl=fr&rclk=1
ChIJLT-emewz_RIRmXojvdKVkOY,aychik homestay,,False,1,,aychik homestay (proprietaire),https://www.google.com/maps/contrib/103547465256232344475,,Hostellerie,Hostellerie,5,,,73 449 075,"bolc A Appart A4-2, aychik homestay, cite latif 1, Ariana 2037",,https://www.google.com/maps/place/aychik+homestay/data=!4m10!3m9!1s0x12fd33ec999e3f2d:0xe69095d2bd237a99!5m2!4m1!1i2!8m2!3d36.8558062!4d10.1668125!16s%2Fg%2F11vl5swbn0!19sChIJLT-emewz_RIRmXojvdKVkOY?authuser=0&hl=fr&rclk=1
