place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzV0eQs-14hIRr_w6avHo0wE,Four Seasons Hotels and Resorts,"Logements elegants dans hotel haut de gamme en bord de golfe avec spa, piscine semi-couverte et 3 restaurants.",False,1249,https://www.fourseasons.com/tunis/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-tsh-hre-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna,Four Seasons Hotels and Resorts (proprietaire),https://www.google.com/maps/contrib/109209668988140684852,https://lh5.googleusercontent.com/p/AF1QipP1C-qrXgAlGVq0NbzureelQDK0i5D7HQBskKHO=w408-h248-k-no,Hotel,"Hotel, Residence hoteliere, Complexe hotelier, Spa, Lieu de mariage",4.5,,,31 260 000,"Four Seasons Hotels and Resorts, 1057 La Marsa, Gammarth 1057","spa, plage, diner, 5 etoiles, architecture, cadre, professionnalisme, salle de sport, sublime, haut de gamme",https://www.google.com/maps/place/Four+Seasons+Hotels+and+Resorts/data=!4m10!3m9!1s0x12e2b5cf421e5dcd:0x1d3e8f16a3afcaf!5m2!4m1!1i2!8m2!3d36.9203157!4d10.2941119!16s%2Fg%2F11c5h2cmrd!19sChIJzV0eQs-14hIRr_w6avHo0wE?authuser=0&hl=fr&rclk=1
ChIJC9P1nGQ0_RIRf5DM7rIaXUQ,Hotel ibis Tunis,"Hotel de style decontracte avec chambres sobres, Wi-Fi gratuit, restaurant simple et bar.",False,926,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3D6144%26merchantid%3Dseo-maps-TN-6144%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjExMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Hotel ibis Tunis (proprietaire),https://www.google.com/maps/contrib/105041267567602329639,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHA0bamRwJ9EQLSNv9IdZOjxBwJNF7pebWtGx4gF7iqdNKsJbqbkWKEiUWH_t-7_sQBliksY1Nc9pSt4UrcpCKKtBsM-y6xPWunc3a3UtV9n53fGZUSEHAlFNIzI_Xnvvvqi-JWNf8rRgTjfoZU0oolvMSLIYEm3TuhxO0hdwwPl0dU8g8Nloysow=w408-h306-k-no,Hotel,Hotel,4,,,71 830 300,"Hotel ibis Tunis, Rue de Syrie, Tunis 1002","service, chambre, buffet, aeroport, diner, novotel, capitale, souriant, deplacement professionnel, meme",https://www.google.com/maps/place/H%C3%B4tel+ibis+Tunis/data=!4m10!3m9!1s0x12fd34649cf5d30b:0x445d1ab2eecc907f!5m2!4m1!1i2!8m2!3d36.8116062!4d10.1839263!16s%2Fg%2F1tf919bt!19sChIJC9P1nGQ0_RIRf5DM7rIaXUQ?authuser=0&hl=fr&rclk=1
ChIJFTT_TDk1_RIRNMhCi0k5GPo,ROYAL ASBU HOTEL TUNIS,"Chambres et suites elegantes dans un hotel haut de gamme avec 2 restaurants, un bar lounge et un spa.",False,153,,ROYAL ASBU HOTEL TUNIS (proprietaire),https://www.google.com/maps/contrib/117654376851932352843,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEC0aUaUHwo0Hi3Lm8BzAdigd1QIlFw8XNKMK1qhS-kjln_ZBWJEu7n8uz_TkeW3k0GfY9U5iL0NIpwiXpo5v2mLTt9Jx3JTXS_K2n9_4rc1PJcGA69WZ34EotqGsQ0oftVw6CU-M7oUc02OIArIWx2dymxRvfKWT4bpBv3e0V1tLNXV2ftxsvDew=w408-h272-k-no,Hotel,Hotel,4,,,70 224 600,"R5RX+MP ROYAL ASBU HOTEL TUNIS, Tunis","chambres, aeroport, douche, piscine, experience, prix, buffet, room service, professionnelle, argent",https://www.google.com/maps/place/ROYAL+ASBU+HOTEL+TUNIS/data=!4m10!3m9!1s0x12fd35394cff3415:0xfa1839498b42c834!5m2!4m1!1i2!8m2!3d36.8416635!4d10.1993261!16s%2Fg%2F11j4jx0svt!19sChIJFTT_TDk1_RIRNMhCi0k5GPo?authuser=0&hl=fr&rclk=1
ChIJpVm30Isz_RIRZnJIPZqHju0,Dar Ben Gacem,"Maison d'hotes haut de gamme avec logements richement decores, petit-dejeuner gratuit et toit-terrasse.",False,130,http://www.darbengacem.om/,Dar Ben Gacem (proprietaire),https://www.google.com/maps/contrib/116486323777614233558,https://lh5.googleusercontent.com/p/AF1QipOXgUL6rse0aLuWkc3eHG17TK8_vVzg6Sfr0aDy=w408-h271-k-no,Hotel,Hotel,4.8,,,71 563 742,"Dar Ben Gacem, 38 Rue du Pacha, Tunis 1006","histoire, experience, chambre, service, musee, porte, coeur, demeure, wifi, confortable",https://www.google.com/maps/place/Dar+Ben+Gacem/data=!4m10!3m9!1s0x12fd338bd0b759a5:0xed8e879a3d487266!5m2!4m1!1i2!8m2!3d36.800702!4d10.1677891!16s%2Fg%2F12vr9yqdj!19sChIJpVm30Isz_RIRZnJIPZqHju0?authuser=0&hl=fr&rclk=1
ChIJG6slA300_RIRkzV7fKut4YM,Residence Le Consul,,False,42,,Residence Le Consul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMR8jbhwZ_jBsRrT2gG6uNPW_vkAsMOaZVkiSfo=w408-h544-k-no,Hotel,Hotel,4.2,,,71 891 510,"Residence Le Consul, Gouvernorat de, 81 Av. de La Liberte, Tunis 1002","chambre, service",https://www.google.com/maps/place/R%C3%A9sidence+Le+Consul/data=!4m10!3m9!1s0x12fd347d0325ab1b:0x83e1adab7c7b3593!5m2!4m1!1i2!8m2!3d36.81484!4d10.1793804!16s%2Fg%2F11c5f4lkg6!19sChIJG6slA300_RIRkzV7fKut4YM?authuser=0&hl=fr&rclk=1
ChIJOVGLS7C14hIRguF_dMNFQ8U,LA MENARA,,False,41,http://www.lamenara.tn/,LA MENARA (proprietaire),https://www.google.com/maps/contrib/113361500000227367193,https://lh5.googleusercontent.com/p/AF1QipO1kfiG91wZVnrIMm6tP9fwmcayh10XoBeuX5YT=w408-h725-k-no,Hotel,Hotel,4.9,,,54 847 878,"LA MENARA, 2026 Rue Ali Ben Ayed, Tunis","chambre, piscine",https://www.google.com/maps/place/LA+MENARA/data=!4m10!3m9!1s0x12e2b5b04b8b5139:0xc54345c3747fe182!5m2!4m1!1i2!8m2!3d36.8722516!4d10.3452926!16s%2Fg%2F11k4nyktz6!19sChIJOVGLS7C14hIRguF_dMNFQ8U?authuser=0&hl=fr&rclk=1
ChIJQ5HyOwA1_RIR7AzN5m2tkEI,Hotel Dar Ali,,False,31,,Hotel Dar Ali (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNucSlyP4Y3LO2rTNBDKdWftpWSQaFNtpEv0WiN=w408-h611-k-no,Hotel,Hotel,4.1,,,,"Hotel Dar Ali, 32 Av. de La Gare, Tunis","prix, chambre propre",https://www.google.com/maps/place/Hotel+Dar+Ali/data=!4m10!3m9!1s0x12fd35003bf29143:0x4290ad6de6cd0cec!5m2!4m1!1i2!8m2!3d36.7928286!4d10.1802081!16s%2Fg%2F11vkn_lbfr!19sChIJQ5HyOwA1_RIR7AzN5m2tkEI?authuser=0&hl=fr&rclk=1
ChIJqWM1XQA1_RIRzSznTRrpNbI,Maison du 18eme Siecle,,False,3,,Maison du 18eme Siecle (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHn87wbT5Js2QPhYujN_PkCyC-xHHrfW3s_prvpEfkCk225C81aMglhwhgCybEhfRpfKWU-M4v6mGbu1blt4YH2bBt8gkwRL5YKtWa-RmGKFpJPmqarjgc6lJ_fTim0O-SAUy1RD0q0qWItg4aSC1BeFSl4ZShWB8Qk3JnGXTZrgBW0DHMBEsMQBQ=w408-h544-k-no,Chambre d'hotes,Chambre d'hotes,4.3,,,,"Q5VC+MPP Maison du 18eme Siecle, du Riche, Tunis 1008",,https://www.google.com/maps/place/Maison+du+18%C3%A8me+Si%C3%A8cle/data=!4m10!3m9!1s0x12fd35005d3563a9:0xb235e91a4de72ccd!5m2!4m1!1i2!8m2!3d36.794242!4d10.171959!16s%2Fg%2F11y2czp01x!19sChIJqWM1XQA1_RIRzSznTRrpNbI?authuser=0&hl=fr&rclk=1
ChIJ71oIXQe14hIRBdrSXPrXzMY,chambresd'hotes DAR EL FELL,,False,2,,chambresd'hotes DAR EL FELL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrs4-lYxxlnmg1OpweGmcJI90TQWJoY2t0o3Fq=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,5,,,,"Site archeologique de Carthage, Rue Hedi Zarrouk, chambresd'hotes DAR EL FELL",,https://www.google.com/maps/place/chambresd%27hotes+DAR+EL+FELL/data=!4m10!3m9!1s0x12e2b5075d085aef:0xc6ccd7fa5cd2da05!5m2!4m1!1i2!8m2!3d36.8709761!4d10.3486256!16s%2Fg%2F11p6132xp9!19sChIJ71oIXQe14hIRBdrSXPrXzMY?authuser=0&hl=fr&rclk=1
ChIJNWNa3oOfAhMRQcbFFcVUgg0,Les oronges,,False,2,,Les oronges (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGNJgccEd5SA3EX-RgEUqzy-BpdKZ21Sahl62cxf9_lA8V7BoHneKt5CUCa5iXSwxA0RznPtpQka7l-X81xpq6iVMBmTerWQhU9JriOwHS8la7JTXtVxjs0rUHKjC35SWoF5o3tCZ2ZdhIP2pWyhF_POM2gfeQN21s5NVCxrcTsQY5bl5mC5-hgcQ=w493-h240-k-no,Hotel,Hotel,4.5,,,,"CJ4C+VXX Les oronges, Hammamet",,https://www.google.com/maps/place/Les+oronges/data=!4m10!3m9!1s0x13029f83de5a6335:0xd8254c515c5c641!5m2!4m1!1i2!8m2!3d36.4072253!4d10.6224798!16s%2Fg%2F11t82h0q2z!19sChIJNWNa3oOfAhMRQcbFFcVUgg0?authuser=0&hl=fr&rclk=1
