place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJg9aOYcKYAhMRHDRTdOtSPBU,Hotel Khayam Garden Beach Resort and Spa,"Hotel chic, chambres conviviales (certaines avec vue sur mer), restaurants et piscines interieure/exterieures.",False,1206,http://khayamgarden.com/,Hotel Khayam Garden Beach Resort and Spa (proprietaire),https://www.google.com/maps/contrib/112123319170605984199,https://lh5.googleusercontent.com/p/AF1QipMz02Vm2n_6sznNqxHjc0XemXNIJeATW9ZQwIqb=w408-h272-k-no,Hotel,Hotel,4.2,,,72 223 133,"Hotel Khayam Garden Beach Resort and Spa, Mohammed V St., Nabeul 8000","animation, toboggans, serveurs, animateurs, rochers, burkini, directeur, souk, tir a l'arc",https://www.google.com/maps/place/H%C3%B4tel+Khayam+Garden+Beach+Resort+and+Spa/data=!4m10!3m9!1s0x130298c2618ed683:0x153c52eb7453341c!5m2!4m1!1i2!8m2!3d36.4404525!4d10.7316551!16s%2Fg%2F1hc15fn0d!19sChIJg9aOYcKYAhMRHDRTdOtSPBU?authuser=0&hl=fr&rclk=1
ChIJS-1KjyyfAhMRBsgln1g6N-I,Dar Khayam Hotel,,False,399,http://www.khayamhotels.com/,Dar Khayam Hotel (proprietaire),https://www.google.com/maps/contrib/102242165863824338160,https://lh5.googleusercontent.com/p/AF1QipPdYwgiTmTGwsTX3N6SABPpn3xLSBUhsDR44N7N=w408-h272-k-no,Hotel,Hotel,4,,,72 322 630,"Dar Khayam Hotel, Boulevard de l'Environnement, Mrezga 8050","plage, animation, animateurs, serveur, restauration, equipe, m'a, toboggans, all inclusive, bemol",https://www.google.com/maps/place/Dar+Khayam+H%C3%B4tel/data=!4m10!3m9!1s0x13029f2c8f4aed4b:0xe2373a589f25c806!5m2!4m1!1i2!8m2!3d36.4202945!4d10.6689061!16s%2Fg%2F11qlfbvmsh!19sChIJS-1KjyyfAhMRBsgln1g6N-I?authuser=0&hl=fr&rclk=1
ChIJ4W1RxJeYAhMRilJy2LBOCR4,Dar R'Bat,"Maison d'hotes elegante dans un riad de 1890 proposant un hammam, une piscine exterieure et le petit-dejeuner.",False,62,http://www.darrbat.com/,Dar R'Bat (proprietaire),https://www.google.com/maps/contrib/117665930447490265047,https://lh5.googleusercontent.com/p/AF1QipMEcw_0BsN8ecyeDYKbtfHzsfGJUVryWpW67Wai=w408-h611-k-no,Maison d'hotes,"Maison d'hotes, Chambre d'hotes, Hotel",4.7,,,28 310 610,"Dar R'Bat, 20 Rue Ibn Charaf, Nabeul 8000","piscine, chambres, gout, patio, souk, paix, proprete, soir",https://www.google.com/maps/place/Dar+R%27Bat/data=!4m10!3m9!1s0x13029897c4516de1:0x1e094eb0d872528a!5m2!4m1!1i2!8m2!3d36.4569777!4d10.7331473!16s%2Fg%2F11cn0zs7lf!19sChIJ4W1RxJeYAhMRilJy2LBOCR4?authuser=0&hl=fr&rclk=1
ChIJg-mBEJSYAhMRcKaby2jZSCM,Dar El Gaied - Guest House,"Logements raffines avec balcon dans maison d'hotes elegante offrant piscine exterieure, jardin et repas.",False,51,http://www.dar-elgaied.com/,Dar El Gaied - Guest House (proprietaire),https://www.google.com/maps/contrib/100484726571491314526,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEdvv3SOaOm9OY_p502Sor7b1KbvS9IQsHtROG4j50hCWQxGvFaFi4h7fnGI0ZHo6FVGk4HRi0tQ8UHonG5qftFOjOsUiSgXb1_pt241bXiq0Gn7Q9tfcNFhUWU0tTaIAOnW4_hXl6B0CgY89uN7eX2P4S4C4Dra8qC_ojDO9VwN7Q0YK1N2fWXSg=w408-h544-k-no,Maison d'hotes,Maison d'hotes,4.1,,,53 551 125,"Dar El Gaied - Guest House, Statue ibn khaldoun Nabeul, 8000","jardin, paix, piscine, diner",https://www.google.com/maps/place/Dar+El+Ga%C3%AFed+-+Guest+House/data=!4m10!3m9!1s0x130298941081e983:0x2348d968cb9ba670!5m2!4m1!1i2!8m2!3d36.4523945!4d10.7370338!16s%2Fg%2F11dzwcgkch!19sChIJg-mBEJSYAhMRcKaby2jZSCM?authuser=0&hl=fr&rclk=1
ChIJrylNBiSfAhMRFSW7hvjOMko,Le Lagon De HAMMAMET,,False,45,,Le Lagon De HAMMAMET (proprietaire),https://www.google.com/maps/contrib/108362108067841186500,https://lh5.googleusercontent.com/p/AF1QipOIzQJVhbo8kKnrj214kQO4jNC3ZmUc7ZGFGVIm=w408-h306-k-no,Hotel,Hotel,4.3,,,+974 6619 0192,"Le Lagon De HAMMAMET, Nabeul",appartement,https://www.google.com/maps/place/Le+Lagon+De+HAMMAMET/data=!4m10!3m9!1s0x13029f24064d29af:0x4a32cef886bb2515!5m2!4m1!1i2!8m2!3d36.4362358!4d10.6930236!16s%2Fg%2F11c1wwq7t0!19sChIJrylNBiSfAhMRFSW7hvjOMko?authuser=0&hl=fr&rclk=1
ChIJWT9RHr6YAhMR-fcf_c0KTq4,Dar Sabri,"Suites elegantes dans riad contemporain, hammam et toit-terrasse avec bassin.",False,41,http://www.dar-sabri.com/,Dar Sabri (proprietaire),https://www.google.com/maps/contrib/111475047957761478785,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFnjAoLYgGgoMuwxUN1Xv1NfB21QMeqmz9QawG_42k84rCUY6q-8TebqPNaek77UBIVeUJyxH-YsKwTU6cqHAYnWWUjbVPG4Jl2QxwDe-lVeJ6e1M5WByQZoUmOm94qd3JicWYu6Ae-3KO4DoR1jv6pbnjl3fvcLlUN4706UEjvNnaccNDLZqJ4uw=w408-h287-k-no,Hotel,"Hotel, Maison d'hotes",4.4,,,72 272 877,"Dar Sabri, Avenue 7 Impasse Farhat Hached, Nabeul 8000",coeur,https://www.google.com/maps/place/Dar+Sabri/data=!4m10!3m9!1s0x130298be1e513f59:0xae4e0acdfd1ff7f9!5m2!4m1!1i2!8m2!3d36.4547341!4d10.7364232!16s%2Fg%2F11xkb38fr!19sChIJWT9RHr6YAhMR-fcf_c0KTq4?authuser=0&hl=fr&rclk=1
ChIJgW8kUWZj_RIRcfzrs6I0fvw,Dar Hammamet Guest House,,False,36,,Dar Hammamet Guest House (proprietaire),https://www.google.com/maps/contrib/108784150432300085239,https://lh5.googleusercontent.com/p/AF1QipMkUsgypzPt8YBkVNswXHDM3YwTsnXQWalkgZZg=w408-h272-k-no,Maison d'hotes,Maison d'hotes,4.7,,,55 788 966,"Dar Hammamet Guest House, Rue Mohamed Ben Romdhane, Hammamet 8050","chambre, gout, proprete, service",https://www.google.com/maps/place/Dar+Hammamet+Guest+House/data=!4m10!3m9!1s0x12fd636651246f81:0xfc7e34a2b3ebfc71!5m2!4m1!1i2!8m2!3d36.3934822!4d10.6133727!16s%2Fg%2F11s0x8hdyy!19sChIJgW8kUWZj_RIRcfzrs6I0fvw?authuser=0&hl=fr&rclk=1
ChIJrQoZ87ph_RIRqtW8IDQVGHw,Dar Beldi Maison d'hotes,,False,16,,Dar Beldi Maison d'hotes (proprietaire),https://www.google.com/maps/contrib/115389724702714570317,https://lh5.googleusercontent.com/p/AF1QipOgUzLgFD-1BCpNYfzeIVUPdiiuv8UMv2k6Wwr_=w408-h271-k-no,Maison d'hotes,Maison d'hotes,4.9,,,98 322 859,"Dar Beldi Maison d'hotes, Bir Bou Rekba 8042",piscine,https://www.google.com/maps/place/Dar+Beldi+Maison+d%27h%C3%B4tes/data=!4m10!3m9!1s0x12fd61baf3190aad:0x7c18153420bcd5aa!5m2!4m1!1i2!8m2!3d36.4269803!4d10.588745!16s%2Fg%2F11dzsvzf3z!19sChIJrQoZ87ph_RIRqtW8IDQVGHw?authuser=0&hl=fr&rclk=1
ChIJB3aTvlU1-xIRqzB5QkhyXRY,Dar Daniella - Small Design Luxury Hotel,,False,6,https://www.dardaniella.com/,Dar Daniella - Small Design Luxury Hotel (proprietaire),https://www.google.com/maps/contrib/108979598339780266911,https://lh5.googleusercontent.com/p/AF1QipPKv16KA6n90E-uN_8vsTV9bjbKgTt7ma6rgYEZ=w426-h240-k-no,Hotel,Hotel,5,,,21 359 877,"Dar Daniella - Small Design Luxury Hotel, Rue kroumirie, Tabarka 8110",,https://www.google.com/maps/place/Dar+Daniella+-+Small+Design+Luxury+Hotel/data=!4m10!3m9!1s0x12fb3555be937607:0x165d7248427930ab!5m2!4m1!1i2!8m2!3d36.9584217!4d8.7543917!16s%2Fg%2F11l21bqf6j!19sChIJB3aTvlU1-xIRqzB5QkhyXRY?authuser=0&hl=fr&rclk=1
ChIJNZ-x2ZCYAhMR7NBmyb6VAeU,Dar Oum El Khair,,False,4,,Dar Oum El Khair (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEW7Cbvo6WeqxFZpiglfl7Y5ikP1yZWuVL19EbzVoph_1FvT9eUZhkou-2ZF2pvGecmsZZk9sBOonNDwp2AdMtF9wBKtRquTYjLWdPlS4o5NGOm_resr3H_kngQN6tom8EqTUnZANTDPfHKgTOHN6P5EztY-t7UvEGTtHRafBRSxjVN8TYT2Fz1=w408-h306-k-no,Maison d'hotes,Maison d'hotes,4.8,,,21 658 876,"FP4Q+8GF Dar Oum El Khair, Ave. de France, Nabeul",,https://www.google.com/maps/place/Dar+Oum+El+Khair/data=!4m10!3m9!1s0x13029890d9b19f35:0xe50195bec966d0ec!5m2!4m1!1i2!8m2!3d36.4558162!4d10.7387978!16s%2Fg%2F1vy9j52r!19sChIJNZ-x2ZCYAhMR7NBmyb6VAeU?authuser=0&hl=fr&rclk=1
