place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlcgIttmHVhIRIxrOdHN7IUY,Sun Palm Douz,"Chambres et suites de style decontracte dans hotel standard avec piscine exterieure, restaurant et hammam.",False,4669,http://www.goldenyasmin.com/,Sun Palm Douz (proprietaire),https://www.google.com/maps/contrib/114355028698076258064,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHE6sNubzdh9bdAbjHiRxhQfxrn9QSKQPcuEWS6sNufeTJ9X2XKjG49iVjBqxMceh0YgSjIs3vXnbYZb6zTd-eWuHkurbjW4r6XEfo-f531W5WyRStZbVWRGV6CbrCvpfO7eN052VfgRQzBXlXfGCmQpNnCgoQlwzSkuMITxKselxnv-tE1ZUI7=w408-h272-k-no,Hotel,Hotel,4.7,,,75 470 123,"Sun Palm Douz, Zone Touristique Bp 98, Douz 4260","piscine, desert, excursion, quad, sucree, dromadaire, palmiers, oasis, dunes, escale",https://www.google.com/maps/place/Sun+Palm+Douz/data=!4m10!3m9!1s0x125687d9b608c895:0x46217b7374ce1a23!5m2!4m1!1i2!8m2!3d33.4358315!4d9.0159386!16s%2Fg%2F1td8dxw1!19sChIJlcgIttmHVhIRIxrOdHN7IUY?authuser=0&hl=fr&rclk=1
ChIJC_t_doHqVxIRBSdxoDs_X_g,Hotel Ras El Ain Tozeur,"Hotel de luxe, restaurant de style decontracte, spa, salle de fitness, et piscines interieure et exterieure.",False,1042,https://www.goldenyasmin.com/,Hotel Ras El Ain Tozeur (proprietaire),https://www.google.com/maps/contrib/105542293437372958323,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHr9qOHJ9GkyDg-Yar8vmj3UJ6pmQH3-mYIdUUl1xmi15bORy48-HOE3OtHHLr76J8tGqNX68-hQZsfhFL-vGG9xgYzyz8loWgiK_179AY9bnFOQhBmOtSlgZZujttlInHt5SGPt8pfeNv0pgFWjmN-xi00RqyKkkLfUIK5majeX4AnYXeR3FmM=w426-h240-k-no,Hotel,Hotel,4,,,76 452 003,"Hotel Ras El Ain Tozeur, Bp 141, Tozeur 2200","chambre, buffet, desert, restauration, excursion, proprete, equipe, massage, piscine couverte, service",https://www.google.com/maps/place/H%C3%B4tel+Ras+El+A%C3%AFn+Tozeur/data=!4m10!3m9!1s0x1257ea81767ffb0b:0xf85f3f3ba0712705!5m2!4m1!1i2!8m2!3d33.9129878!4d8.1174973!16s%2Fg%2F1tdjt4t4!19sChIJC_t_doHqVxIRBSdxoDs_X_g?authuser=0&hl=fr&rclk=1
ChIJ3f____OHVhIRqL79-G_DNfY,Sahara Douz,"Elegant hotel aux allures de chateau avec restaurant, bars, piscines interieure et exterieure, spa.",False,951,http://www.saharadouz.com/,Sahara Douz (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEWniRiM7Jjk6xb9NylXlLGKDu8LhNlmako8SN3mDj6hq5XzEFffukyYw5h4F6jJdW2namUPIh-XdGrye6OeZ-oIUkulx2sLi-JryT_tH1z2l-n9YsySqstWwwYwJ5BADAycjTHkCEoZBmmfyIH-CYmlNeoQjzz1ZwK0k-5kbXeIB-wdSr1JoceZg=w408-h271-k-no,Hotel,Hotel,4,,,75 470 864,"Sahara Douz, Zone Touristique De Douz, Douz, 4260, 4260","piscine, desert, chambre, buffet, boissons, bar, excursion, chicha, oasis, chameau",https://www.google.com/maps/place/Sahara+Douz/data=!4m10!3m9!1s0x125687f3ffffffdd:0xf635c36ff8fdbea8!5m2!4m1!1i2!8m2!3d33.4353323!4d9.0200085!16s%2Fg%2F1pxxrv1m1!19sChIJ3f____OHVhIRqL79-G_DNfY?authuser=0&hl=fr&rclk=1
ChIJBy0ku4zqVxIRsAeBnvJtip8,Residence l'Oued,"Hotel de style marocain avec restaurant a l'ambiance decontractee, piscine exterieure et chambres conviviales.",False,162,http://www.hotel-residence-loued-tozeur.vivehotels.com/,Residence l'Oued (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEGwWmdxWB3pKWIupU0WElxkrshJp_MsoTQ8Rv1Tekzueyl5NVyYi7d5WDMRgp3L2NbxoiRAmthlB1Pq7LIEv7Nd0iXxRsSyiq4nQZsYYAft5mva-9x-BekFF6TjH6Q3JqHYiWAMPQnoL4EoOOQgzlXHKtHJNOwC_AJYl0YJMToS5zfATSQJYEm=w408-h408-k-no,Hotel,Hotel,4.1,,,76 463 036,"W47H+942 Residence l'Oued, Tozeur","piscine, prix, chambre, nettoyage, service, monnaie",https://www.google.com/maps/place/R%C3%A9sidence+l%E2%80%99Oued/data=!4m10!3m9!1s0x1257ea8cbb242d07:0x9f8a6df29e8107b0!5m2!4m1!1i2!8m2!3d33.913436!4d8.1277689!16s%2Fg%2F1tf8jrfw!19sChIJBy0ku4zqVxIRsAeBnvJtip8?authuser=0&hl=fr&rclk=1
ChIJMz1egoHqVxIR3wTTv4JXWoQ,Maison D'hotes Dar Saida Beya,"Chambres et suites elegantes dans un hotel haut de gamme avec hammam et patio, petit-dejeuner gratuit.",False,83,http://www.darsaidabeya.com/,Maison D'hotes Dar Saida Beya (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHw0nppv0-cJGDyg5hACBRhKM-uOqAcLnq3Tyxv-n51WwF89yci47AaedqYagH2aD4gQpwhh8bqG49D8eak5sNe01Rv9I6IlDxRxDMQP0bX7F0kF6EtrZBlNDQc7TufzPClErNuN9yBOuFAvDwKZjCb2ielAP30MMV8X_D_lJd8rVkgWMQTsQI=w408-h275-k-no,Maison d'hotes,Maison d'hotes,4.7,,,25 566 066,"W49P+HFM Maison D'hotes Dar Saida Beya, Rue Ahmed El Ayech, Tozeur 2200","hammam, hotel de charme, chambres, confort",https://www.google.com/maps/place/Maison+D%27h%C3%B4tes+Dar+Saida+Beya/data=!4m10!3m9!1s0x1257ea81825e3d33:0x845a5782bfd304df!5m2!4m1!1i2!8m2!3d33.9189642!4d8.1361647!16s%2Fg%2F1tgsl6pb!19sChIJMz1egoHqVxIR3wTTv4JXWoQ?authuser=0&hl=fr&rclk=1
ChIJZ_om_O-HVhIRlJHy32hKgx0,Hotel 20 mars,,False,82,http://www.nefzaoua-voyages.com/,Hotel 20 mars (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGDV4Yctidz251UKH65KzBFPbZq2m24tulugVwP8SrCMC0uDK9xytSMV-KfS5lOen6v0aTKQdQVNudc11Id7N0y-2Nl0A9pJXtB7lYdlPsGEQf8RYBDccPGClgOzu71smPd0rvQse_IHQvKSqMtQWAR8qdVwC-yPT2VdaKvaTHyMN8-iJQTGVtm3Q=w408-h271-k-no,Hotel,Hotel,4.1,,,75 472 920,"F24F+CP3 Hotel 20 mars, Douz","prix, desert, chambre, qualite, wifi, nettoyage",https://www.google.com/maps/place/H%C3%B4tel+20+mars/data=!4m10!3m9!1s0x125687effc26fa67:0x1d834a68dff29194!5m2!4m1!1i2!8m2!3d33.4560247!4d9.024303!16s%2Fg%2F1tg4hj89!19sChIJZ_om_O-HVhIRlJHy32hKgx0?authuser=0&hl=fr&rclk=1
ChIJuSmBksCHVhIR7hCHFEzC_RE,Maison Proche de Desert,,False,58,,Maison Proche de Desert (proprietaire),https://www.google.com/maps/contrib/111045691308711625998,https://lh5.googleusercontent.com/p/AF1QipMqiNV-f50bdMgnw8c7SH4yxZojPRJPoramEdjE=w408-h306-k-no,Maison d'hotes,Maison d'hotes,4.5,,,96 894 044,"Maison Proche de Desert, Douz","tente, pain, diner, chameaux, porte",https://www.google.com/maps/place/Maison+Proche+de+Desert/data=!4m10!3m9!1s0x125687c0928129b9:0x11fdc24c148710ee!5m2!4m1!1i2!8m2!3d33.4409465!4d9.0337675!16s%2Fg%2F11c74hfybk!19sChIJuSmBksCHVhIR7hCHFEzC_RE?authuser=0&hl=fr&rclk=1
ChIJD1Y37Vy3VBIRcBBOq4Q3TLA,Auberge Alferdaous,,False,49,https://www.hotelstunisian.com/auberge-alferdaous/,Auberge Alferdaous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPWIinOxmCbpNcXYKpq8fMcPSDYhRcaW3SloCoD=w408-h306-k-no,Hostel,Hostel,4.3,,,90 031 690,"Auberge Alferdaous, 44 Av. habib bourguiba, Tataouine 3200","prix, cuisine, centre ville, droit de propriete, payer, dinar, wifi, douche, pain, climatisation",https://www.google.com/maps/place/Auberge+Alferdaous/data=!4m10!3m9!1s0x1254b75ced37560f:0xb04c3784ab4e1070!5m2!4m1!1i2!8m2!3d32.9282678!4d10.4488963!16s%2Fg%2F11h11kzbv6!19sChIJD1Y37Vy3VBIRcBBOq4Q3TLA?authuser=0&hl=fr&rclk=1
ChIJe7yzu_CHVhIRWr3yBaDnil0,Maison d'hote Murmures de civilisation,,False,36,https://www.facebook.com/maison.hotes.douz.tunisie/,Maison d'hote Murmures de civilisation (proprietaire),https://www.google.com/maps/contrib/100262525887448395123,https://lh5.googleusercontent.com/p/AF1QipOa6wQ0iqoP2CFYPYHqgJVpHv9B4MUlmXa2Bb2R=w408-h272-k-no,Hotel,Hotel,4.9,,,22 364 896,"Maison d'hote Murmures de civilisation, 17 Rue de Combattants, Douz 4260","desert, salah, chambres, voyage, chambre d'hote, tente, repas",https://www.google.com/maps/place/Maison+d%27h%C3%B4te+Murmures+de+civilisation/data=!4m10!3m9!1s0x125687f0bbb3bc7b:0x5d8ae7a005f2bd5a!5m2!4m1!1i2!8m2!3d33.4608622!4d9.024922!16s%2Fg%2F11f0_gj0rp!19sChIJe7yzu_CHVhIRWr3yBaDnil0?authuser=0&hl=fr&rclk=1
ChIJrWziahyJVhIR8WsC4rqFBRU,Tente ElBey,,False,27,,Tente ElBey (proprietaire),https://www.google.com/maps/contrib/102109787662893927139,https://lh5.googleusercontent.com/p/AF1QipPSI4aKVYS2fQYdAn54blvxVH8UwcWwqEU5U7bq=w576-h240-k-no,Hebergement d'interieur,Hebergement d'interieur,4.6,,,27 659 520,"Tente ElBey, 3 km route, Zaafrane 4260","experience, magique, cuisine, sommeil",https://www.google.com/maps/place/Tente+ElBey/data=!4m10!3m9!1s0x1256891c6ae26cad:0x150585bae2026bf1!5m2!4m1!1i2!8m2!3d33.46773!4d8.9777256!16s%2Fg%2F11pbb1rzbh!19sChIJrWziahyJVhIR8WsC4rqFBRU?authuser=0&hl=fr&rclk=1
