place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRxgwSrTp4hIRc681lT5nwnQ,Dar El Lamma,"Logements elegants dans hotel chic avec piscine exterieure, hammam en marbre et jardin luxuriant.",False,131,http://www.darellamma.com/,Dar El Lamma (proprietaire),https://www.google.com/maps/contrib/112476623079669780323,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGHbip58wtPCxNuWvlyHuHCYIBl0xqaPa2GWjiERWOyDSN4-HMJYdusWHvBxWBXrbwSTt-t6JjtYhpz4tOtt6FxBrXXCKVI8Z90A1biLKOims6vp6fyrU3FDZD8g2Jd7yyzj3CSWryfbuu2b7YGD2MVOArOy-TZl-QtqARnogqY0b1OXixfsKz5=w408-h271-k-no,Maison d'hotes,Maison d'hotes,4.4,,,55 355 000,"Dar El Lamma, Route Ain Hadida, Ras Jebel 7070","piscine, cadre, nature, service, team building, proprete",https://www.google.com/maps/place/Dar+El+Lamma/data=!4m10!3m9!1s0x12e2e9b44a301847:0x74c2673e9535af73!5m2!4m1!1i2!8m2!3d37.2289037!4d10.1314216!16s%2Fg%2F11cmbgpqj4!19sChIJRxgwSrTp4hIRc681lT5nwnQ?authuser=0&hl=fr&rclk=1
ChIJAQAAQJfB4hIRTuq_Fwc7alU,Plage Ghar El Melh,,False,88,,Plage Ghar El Melh (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOxUDg_DWu2u_m_MbpUgusfFvnMP80SgSjNKFvE=w426-h240-k-no,Hotel,Hotel,4.6,,,,"559Q+FC3 Plage Ghar El Melh, Ghar El Melh",plages,https://www.google.com/maps/place/Plage+Ghar+El+Melh/data=!4m10!3m9!1s0x12e2c19740000001:0x556a3b0717bfea4e!5m2!4m1!1i2!8m2!3d37.1686472!4d10.1885423!16s%2Fg%2F11d_bbn57r!19sChIJAQAAQJfB4hIRTuq_Fwc7alU?authuser=0&hl=fr&rclk=1
ChIJ4fSQVkvA4hIRACnyOn5Tlso,Les Jardins de la Mer Ghar el Melh,"Hotel tropical de style decontracte avec vue sur lac, bungalows bohemes, restaurant et piscine exterieure.",False,82,http://www.ljdlmgharelmelh.com/,Les Jardins de la Mer Ghar el Melh (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG3eJuw2ARMLc5L4sRNu9FD1QtVbJwR5zfYQivlEhqMa56XOkciQ-ps619LbDuDt8p5lbwV6GrzPeOTGqgL15gVCPcRin6DJR3KJPlVg3dH3gA0_aZ5vE6SyZtAb4etBV9N6PwkQigh7jB1TZSzmIHCyrYs7kpjvJXvRWFyUFIgiIPTP96tPIIZmA=w408-h306-k-no,Hotel,Hotel,4.2,,,22 251 279,"Les Jardins de la Mer Ghar el Melh, 2 el ayoun ghar el Melh, Ghar al Milh 7033","chambre, vue, hotes, piscine, prix",https://www.google.com/maps/place/Les+Jardins+de+la+Mer+Ghar+el+Melh/data=!4m10!3m9!1s0x12e2c04b5690f4e1:0xca96537e3af22900!5m2!4m1!1i2!8m2!3d37.1704765!4d10.2156266!16s%2Fg%2F11g8bwq3gt!19sChIJ4fSQVkvA4hIRACnyOn5Tlso?authuser=0&hl=fr&rclk=1
ChIJjyy-cUuk-xIRZJdVHcYgYPA,Dar Alyssa,,False,56,,Dar Alyssa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMuKHYS0nNK-5difi5hMXOa3KYVKDW-44Lugyfe=w408-h306-k-no,Restaurant,Restaurant,4.4,,,97 926 051,"5PH4+XF9 Dar Alyssa, El Kef","petit dejeuner, chambres, famille",https://www.google.com/maps/place/Dar+Alyssa/data=!4m10!3m9!1s0x12fba44b71be2c8f:0xf06020c61d559764!5m2!4m1!1i2!8m2!3d36.1799104!4d8.7062362!16s%2Fg%2F11c0tb3bss!19sChIJjyy-cUuk-xIRZJdVHcYgYPA?authuser=0&hl=fr&rclk=1
ChIJq0JzXg7q4hIRp579EqWvBMI,Villa Sounine,"Hebergements chics, certains avec terrasse et vue sur la mer, dans maison d'hotes raffinee comprenant jardin paisible.",False,49,http://villasounine.com/,Villa Sounine (proprietaire),https://www.google.com/maps/contrib/105690089698115703181,https://lh5.googleusercontent.com/p/AF1QipOfqkDMfKSr9XJMnHCjHue5WkCxy8dcHha57QLA=w408-h263-k-no,Maison d'hotes,Maison d'hotes,4.4,,,,"Villa Sounine, El Mkataa, 7025 Sounine, Sounine 7025","mer, vue",https://www.google.com/maps/place/Villa+Sounine/data=!4m10!3m9!1s0x12e2ea0e5e7342ab:0xc204afa512fd9ea7!5m2!4m1!1i2!8m2!3d37.2074258!4d10.1854888!16s%2Fg%2F11f4wtj3_0!19sChIJq0JzXg7q4hIRp579EqWvBMI?authuser=0&hl=fr&rclk=1
ChIJT34EFpja4hIR5g9mqT8MbhU,Dar Utique,,False,33,,Dar Utique (proprietaire),https://www.google.com/maps/contrib/117321831298734771955,https://lh5.googleusercontent.com/p/AF1QipNS2Pbt8Q2PonV1zkng_5sfeMM_Ck88tPvrF3ij=w426-h240-k-no,Maison d'hotes,"Maison d'hotes, Hotel",4.7,,,29 019 081,"Dar Utique, ruine 2063","chambres, week-end, piscine, experience, cheminee, proprietaire, jardin, service",https://www.google.com/maps/place/Dar+Utique/data=!4m10!3m9!1s0x12e2da9816047e4f:0x156e0c3fa9660fe6!5m2!4m1!1i2!8m2!3d37.0502334!4d10.0569356!16s%2Fg%2F11f3ryv66l!19sChIJT34EFpja4hIR5g9mqT8MbhU?authuser=0&hl=fr&rclk=1
ChIJp1WGmtQ-_BIRbCfqXqhZITE,Dar El Henchir,"Hotel sobre avec chambres traditionnelles au mobilier ancien, restaurant et terrasse.",False,33,https://www.facebook.com/profile.php/%3Fid%3D100063673205877,Dar El Henchir (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF6iBi034CnQXPHOcNkUsiWxaWwkCi-U3H3sGpiiKDAnduzPhvmVd59Q2uzMOM4b2RDH4Bc8LaSYVHUZRFNYliO-fGo5QvFP9J5HCaxQp6FyyZ7eT6m9z5TAjD2jlx6NL4uUho_SaZP9vBk72nBJXkMFmunHRQPWwtgxyoMdMLxYUe9RE_nM5M=w408-h306-k-no,Maison d'hotes,"Maison d'hotes, Lodge",4.6,,,23 302 239,"Dar El Henchir, Al-Waslatiyah , km 55 Route De Kairouan Oueslatia , On Main Road To Alwaslatiyah, Ousseltia 3120",,https://www.google.com/maps/place/Dar+El+Henchir/data=!4m10!3m9!1s0x12fc3ed49a8655a7:0x312159a85eea276c!5m2!4m1!1i2!8m2!3d35.8279739!4d9.6322095!16s%2Fg%2F11c1xsjfrm!19sChIJp1WGmtQ-_BIRbCfqXqhZITE?authuser=0&hl=fr&rclk=1
ChIJy1Bras0d4xIRwDikmzX4VRs,Dar Salama,,False,26,,Dar Salama (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFFR7zklbjMycNWJwmTfxh5cCueralFkCabOgYQNclMPgkZRs-j4CQik2rzpAWg1UAvoT6gj8jOCvcHcpQLJz0zYOevoOhDIDavXoXygpMplcvVX4S979JBkXMS8tFGfBL9qHAenBW4ICMwgERq449kya9d4MkLCH6WWQCWSTJ9YGmxET4NUt-E_w=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,4.7,,,27 063 707,"Dar Salama, Route Panoramique De La Corniche Bizerte TN 7000, Bizerte",,https://www.google.com/maps/place/Dar+Salama/data=!4m10!3m9!1s0x12e31dcd6a6b50cb:0x1b55f8359ba438c0!5m2!4m1!1i2!8m2!3d37.3235829!4d9.8587484!16s%2Fg%2F11c1xqg7yz!19sChIJy1Bras0d4xIRwDikmzX4VRs?authuser=0&hl=fr&rclk=1
ChIJCVEwxDDA4hIRc5-6mtAunMQ,Dar Saidane - Ailes d'Hirondelles,,False,24,https://www.facebook.com/%2520DarSaidane/,Dar Saidane - Ailes d'Hirondelles (proprietaire),https://www.google.com/maps/contrib/102163223821760651115,https://lh5.googleusercontent.com/p/AF1QipO3cmZlxu7MpaKdSV1hO6vrPbxSoBeHTuBgSfZA=w408-h306-k-no,Maison d'hotes,Maison d'hotes,4.7,,,52 312 914,"Dar Saidane - Ailes d'Hirondelles, Route Hmari Km 2,5, Raf Raf Plage 7015",foret,https://www.google.com/maps/place/Dar+Sa%C3%AFdane+-+Ailes+d%27Hirondelles/data=!4m10!3m9!1s0x12e2c030c4305109:0xc49c2ed09aba9f73!5m2!4m1!1i2!8m2!3d37.1808501!4d10.2245672!16s%2Fg%2F11b6dw0rqq!19sChIJCVEwxDDA4hIRc5-6mtAunMQ?authuser=0&hl=fr&rclk=1
ChIJr-7_yEUe4xIRz5bRNprYeBo,Dar El Kasba Bizerte,,False,21,https://www.hotelstunisian.com/dar-el-kasba-bizerte/,Dar El Kasba Bizerte (proprietaire),https://www.google.com/maps/contrib/111752028785945492445,https://lh5.googleusercontent.com/p/AF1QipOTfY7rvq6B5ZPjTz22Uflkwz3znhUybYVZR4zx=w408-h506-k-no,Hotel,"Hotel, Chambre d'hotes",4.7,,,23 311 219,"Dar El Kasba Bizerte, Bizerte",chambre,https://www.google.com/maps/place/Dar+El+Kasba+Bizerte/data=!4m10!3m9!1s0x12e31e45c8ffeeaf:0x1a78d89a36d196cf!5m2!4m1!1i2!8m2!3d37.2791898!4d9.8758447!16s%2Fg%2F11dxqld_41!19sChIJr-7_yEUe4xIRz5bRNprYeBo?authuser=0&hl=fr&rclk=1
